base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand,num_loss_of_load_h2_demand
0_HourlyBenchmark,1,Gurobi,0.0,2.8507694,11.4701603,1.0854032,0.8704059,126.60401467782452,OPTIMAL,800,602,0.0,0.0,,0,0
kmedoids_cross_convex,2,Gurobi,0.0531018,0.2638341,0.7314676,0.004335,0.0052322,81.66295233377484,OPTIMAL,8,8,0.0025748,915.5187179683517,OPTIMAL,36,0
kmedoids_cross_convex,2,Gurobi,0.0453384,0.2099811,0.5737855,0.0021578,0.0048012,81.66295233377484,OPTIMAL,8,8,0.0013028,915.5187179683517,OPTIMAL,36,0
kmedoids_cross_convex,2,Gurobi,0.0441021,0.2163186,0.5922357,0.0023418,0.0047077,81.66295233377484,OPTIMAL,8,8,0.0011489,915.5187179683517,OPTIMAL,36,0
kmedoids_cross_convex,2,Gurobi,0.0477743,0.2193074,0.6300118,0.0026324,0.0052767,68.38731175390762,OPTIMAL,8,8,0.0018106,1858.458420412721,OPTIMAL,49,0
kmedoids_cross_convex,2,Gurobi,0.8346413,0.2623042,0.6146408,0.0023223,0.0049933,68.38731175390762,OPTIMAL,8,8,0.0013874,1858.458420412721,OPTIMAL,49,0
kmedoids_cross_convex,2,Gurobi,0.0404529,0.2243327,0.6433494,0.0027996,0.0052131,81.66295233377484,OPTIMAL,8,8,0.0015347,915.5187179683517,OPTIMAL,36,0
kmedoids_cross_convex,2,Gurobi,0.041319,0.2445711,0.7142985,0.0019073,0.0053498,68.38731175390762,OPTIMAL,8,8,0.0015758,1858.458420412721,OPTIMAL,49,0
kmedoids_cross_convex,2,Gurobi,0.0423129,0.2435933,0.744027,0.0024497,0.0054381,68.38731175390762,OPTIMAL,8,8,0.0011707,1858.458420412721,OPTIMAL,49,0
kmedoids_cross_convex,2,Gurobi,0.0418605,0.249944,0.8506507,0.0026202,0.0057425,68.38731175390762,OPTIMAL,8,8,0.0011049,1858.458420412721,OPTIMAL,49,0
kmedoids_cross_convex,2,Gurobi,0.0405187,0.2517383,0.8247533,0.0022603,0.0055318,81.66295233377484,OPTIMAL,8,8,0.00156,915.5187179683517,OPTIMAL,36,0
kmedoids_cross_convex,4,Gurobi,0.0787765,0.2787309,0.8816433,0.0027005,0.0062478,84.34884921232242,OPTIMAL,16,14,0.0013206,777.2521998074635,OPTIMAL,32,0
kmedoids_cross_convex,4,Gurobi,0.2673511,0.2086655,0.5852884,0.0023082,0.0049566,92.32277768509528,OPTIMAL,16,14,0.0014522,478.1570285374123,OPTIMAL,18,0
kmedoids_cross_convex,4,Gurobi,0.0697241,0.2424953,0.6804651,0.002723,0.0049933,92.07635145780397,OPTIMAL,16,14,0.0014668,484.7376210482499,OPTIMAL,19,0
kmedoids_cross_convex,4,Gurobi,0.0695402,0.2389058,0.6921252,0.0026118,0.0057169,92.07767723181328,OPTIMAL,16,14,0.001265,484.7376210482499,OPTIMAL,19,0
kmedoids_cross_convex,4,Gurobi,0.06252,0.2555399,0.7339699,0.0027928,0.0056379,92.07717495436587,OPTIMAL,16,14,0.001226,484.7376210482499,OPTIMAL,19,0
kmedoids_cross_convex,4,Gurobi,0.1891582,0.212558,0.6029663,0.0027731,0.0054312,92.07580973765187,OPTIMAL,16,14,0.0011669,484.7376210482499,OPTIMAL,19,0
kmedoids_cross_convex,4,Gurobi,0.0675201,0.2296082,0.7292057,0.0022266,0.0056567,84.34704577732296,OPTIMAL,16,14,0.0016219,777.2521998074635,OPTIMAL,32,0
kmedoids_cross_convex,4,Gurobi,0.0712748,0.245596,0.7033297,0.0021224,0.0055432,84.34758539004903,OPTIMAL,16,14,0.0015593,777.2521998074635,OPTIMAL,32,0
kmedoids_cross_convex,4,Gurobi,0.155626,0.2161419,0.5927085,0.0018947,0.0050828,92.0787451964834,OPTIMAL,16,14,0.0014961,484.7376210482499,OPTIMAL,19,0
kmedoids_cross_convex,4,Gurobi,0.0659791,0.2290199,0.6445705,0.0026068,0.005363,91.94157055518691,OPTIMAL,16,14,0.0014556,488.7920413275217,OPTIMAL,21,0
kmedoids_cross_convex,6,Gurobi,0.1402503,0.2118104,0.6055222,0.0019923,0.0059487,84.34861907793312,OPTIMAL,24,20,0.0019497,777.2521998074635,OPTIMAL,32,0
kmedoids_cross_convex,6,Gurobi,0.0750997,0.2428204,0.6551977,0.0025387,0.0054701,92.32236421684,OPTIMAL,24,20,0.0015327,478.1570285374123,OPTIMAL,18,0
kmedoids_cross_convex,6,Gurobi,0.1366292,0.2136328,0.5956284,0.002511,0.0054395,92.07449932297467,OPTIMAL,24,20,0.0012267,484.7376210482499,OPTIMAL,19,0
