base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand
0_HourlyBenchmark,1,Gurobi,0.0,5.4223031,15.4806291,8.3002936,2.0806393,490.37233247512637,OPTIMAL,122640,105125,0.0,0.0,,9
convex_cross,4,Gurobi,12.841928,0.3654313,0.9567804,0.0068591,0.0107199,475.52701907643893,OPTIMAL,672,581,0.1282199,542.6466970020222,OPTIMAL,0
convex_cross,8,Gurobi,2.6262317,0.3579854,0.8146549,0.0108883,0.0103809,565.7686482771732,OPTIMAL,1344,1157,0.0667003,534.020734290301,OPTIMAL,0
convex_cross,12,Gurobi,2.7194107,0.3318781,0.9801776,0.016978,0.0125012,574.2307717823383,OPTIMAL,2016,1733,0.0326745,530.9371739099704,OPTIMAL,0
convex_cross,16,Gurobi,4.1433002,0.422347,1.0259404,0.0239609,0.0229624,561.6807913014619,OPTIMAL,2688,2309,0.0349014,526.2002194447565,OPTIMAL,0
convex_cross,20,Gurobi,4.7264903,0.323768,0.9948249,0.0293454,0.0178417,547.7140911447859,OPTIMAL,3360,2885,0.0451478,524.6664392501731,OPTIMAL,0
convex_cross,30,Gurobi,7.4963199,0.405774,1.0226436,0.039722,0.0239163,547.6670560424677,OPTIMAL,5040,4325,0.0335755,521.905676861512,OPTIMAL,0
convex_cross,60,Gurobi,12.5266877,0.4348939,1.1605277,0.0924088,0.0407771,539.4270291822816,OPTIMAL,10080,8645,0.0352661,520.9447516535338,OPTIMAL,0
convex_cross,90,Gurobi,17.9145451,0.5017386,1.3525491,0.2935055,0.0600875,532.4223911879307,OPTIMAL,15120,12965,0.0364846,520.5895177419515,OPTIMAL,0
convex_cross,120,Gurobi,23.1312405,0.541285,1.4734291,0.4148982,0.1426802,533.5992831543713,OPTIMAL,20160,17285,0.033273,520.441867839733,OPTIMAL,0
convex_cross,180,Gurobi,31.847371,0.712278,1.7772122,0.7477582,0.2090075,532.1782083332162,OPTIMAL,30240,25925,0.0358655,519.4624419185777,OPTIMAL,0
convex_cross,240,Gurobi,44.7947998,0.7748361,2.0181054,1.0359129,0.2659068,529.5733777236799,OPTIMAL,40320,34565,0.0347811,518.6037994021649,OPTIMAL,0
convex_cross,360,Gurobi,65.437061,1.0279095,2.4574366,1.8930469,0.4891621,526.2353461658782,OPTIMAL,60480,51845,0.0391229,518.0227780343425,OPTIMAL,0
convex_per,4,Gurobi,3.653579,0.3551959,1.0380148,0.0081811,0.014152,516.8579018224901,OPTIMAL,672,581,0.0701449,535.16478544895,OPTIMAL,0
convex_per,8,Gurobi,1.4269504,0.3842742,1.2026822,0.0113989,0.0139495,525.5799935218724,OPTIMAL,1344,1157,0.043014,533.0122163150579,OPTIMAL,0
convex_per,12,Gurobi,2.1305123,0.3680397,1.1420558,0.0161982,0.0208495,546.3908070766109,OPTIMAL,2016,1733,0.0377907,532.6951781340782,OPTIMAL,0
convex_per,16,Gurobi,2.6612428,0.3917523,1.1867803,0.0282762,0.0271362,572.9153686238249,OPTIMAL,2688,2309,0.0476456,521.8964567102646,OPTIMAL,0
convex_per,20,Gurobi,3.2857589,0.4510209,1.3096058,0.0325643,0.0319943,561.9019028466304,OPTIMAL,3360,2885,0.0352703,498.29733805016883,OPTIMAL,2
convex_per,30,Gurobi,5.5870842,0.3208837,1.191822,0.0461703,0.0265856,555.5160284598012,OPTIMAL,5040,4325,0.0341167,510.03415877822874,OPTIMAL,0
convex_per,60,Gurobi,7.6341293,0.4909093,1.2700688,0.138267,0.0472817,538.425809929071,OPTIMAL,10080,8645,0.0331778,520.3750340260824,OPTIMAL,0
convex_per,90,Gurobi,10.6731795,0.5304198,1.4600151,0.2793662,0.068877,531.6181759388872,OPTIMAL,15120,12965,0.0346641,518.7298777164714,OPTIMAL,0
convex_per,120,Gurobi,15.1953827,0.6243702,1.6285109,0.4112875,0.1429847,529.8646417513448,OPTIMAL,20160,17285,0.0389675,519.5141805068969,OPTIMAL,0
convex_per,180,Gurobi,19.664273,0.707531,1.8237716,0.8029486,0.2145414,528.506408698507,OPTIMAL,30240,25925,0.04495,519.5385679642773,OPTIMAL,0
convex_per,240,Gurobi,23.5733656,0.7904777,2.2266639,1.0572143,0.2799653,523.4753394664095,OPTIMAL,40320,34565,0.0415952,515.2491893078919,OPTIMAL,0
convex_per,360,Gurobi,33.3303816,1.0224027,2.6753098,1.7404516,0.4107282,521.2404334420294,OPTIMAL,60480,51845,0.0359771,510.0246211514537,OPTIMAL,0
conicalb_cross,4,Gurobi,2.7532432,0.3947343,1.250854,0.0060412,0.009354,570.3187675233397,OPTIMAL,672,581,0.0683784,535.383799080514,OPTIMAL,0
conicalb_cross,8,Gurobi,3.5355393,0.3846281,1.0935874,0.0135992,0.0195683,550.4668604574678,OPTIMAL,1344,1157,0.0442942,537.3057038497615,OPTIMAL,0
conicalb_cross,12,Gurobi,3.4494939,0.3799988,1.0577986,0.0150907,0.0134618,546.8261520770163,OPTIMAL,2016,1733,0.0859034,531.3804505461621,OPTIMAL,0
conicalb_cross,16,Gurobi,4.2773637,0.3976151,1.1602052,0.0261328,0.0261051,546.5389361050728,OPTIMAL,2688,2309,0.0778391,526.2263137445855,OPTIMAL,0
conicalb_cross,20,Gurobi,4.950053,0.4294008,1.1512115,0.0273424,0.0195911,541.2404538895502,OPTIMAL,3360,2885,0.0316789,525.2314142607067,OPTIMAL,0
conicalb_cross,30,Gurobi,7.8062804,0.4651957,1.3416974,0.0521911,0.0440697,527.1286058904184,OPTIMAL,5040,4325,0.0387024,522.1578411074439,OPTIMAL,0
conicalb_cross,60,Gurobi,13.8282887,0.4911112,1.3731537,0.1187687,0.058838,522.2541170896294,OPTIMAL,10080,8645,0.0379867,523.0493003505586,OPTIMAL,0
conicalb_cross,90,Gurobi,17.0950171,0.5790194,1.5902941,0.1966277,0.0618838,521.1691117903475,OPTIMAL,15120,12965,0.0371205,521.7929389588686,OPTIMAL,0
conicalb_cross,120,Gurobi,21.4153632,0.6801581,1.6513182,0.3844821,0.1482015,521.3265825613041,OPTIMAL,20160,17285,0.0356446,522.3914213023397,OPTIMAL,0
conicalb_cross,180,Gurobi,34.3485252,0.7231301,1.7323913,0.7321906,0.1397432,523.0318466228789,OPTIMAL,30240,25925,0.0323145,521.0808115391774,OPTIMAL,0
conicalb_cross,240,Gurobi,41.5632325,0.580277,1.2792482,1.0326359,0.2787385,521.975048476466,OPTIMAL,40320,34565,0.0334828,520.0223266858791,OPTIMAL,0
conicalb_cross,360,Gurobi,33.2092793,0.6268971,1.6502184,1.7566517,0.229993,522.0382920235826,OPTIMAL,60480,51845,0.033258,519.7105424766651,OPTIMAL,0
conicalb_per,4,Gurobi,1.002389,0.2509969,0.7481381,0.0072888,0.0086626,586.9730634429751,OPTIMAL,672,581,0.0687224,539.9189248902336,OPTIMAL,0
