base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,reduced_num_lol,reduced_lol,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand,loss_of_load_e_demand
0_HourlyBenchmark,1,Gurobi,0.0,2.4324606,2.393592,3.3894019,0.7079744,480.6422558965859,OPTIMAL,0,0.0,122640,105125,0.0,0.0,,0,0.0
convex_cross,4,Gurobi,1.9920895,0.2809957,0.7598389,0.0072407,0.0115741,478.28497384454937,OPTIMAL,0,0.0,672,581,0.0820066,7301.887744016154,OPTIMAL,68,4.555028934823817
convex_cross,8,Gurobi,1.5636183,0.3157162,0.8301827,0.0110167,0.0143688,476.5493363437171,OPTIMAL,0,0.0,1344,1157,0.0379357,6624.089188051649,OPTIMAL,62,4.103845920084956
convex_cross,12,Gurobi,2.0112743,0.3451571,0.9535895,0.0205784,0.017362,485.52856568211104,OPTIMAL,0,0.0,2016,1733,0.0518489,2722.753312825038,OPTIMAL,40,1.4997461559411518
convex_cross,16,Gurobi,2.5757618,0.3815662,0.9456441,0.030392,0.021759,482.1467423786664,OPTIMAL,0,0.0,2688,2309,0.0651498,2894.081378657488,OPTIMAL,40,1.613234358762151
convex_cross,20,Gurobi,3.4788348,0.361875,0.940094,0.0384415,0.0229674,480.5052119209662,OPTIMAL,0,0.0,3360,2885,0.0359921,2848.87676080684,OPTIMAL,36,1.5845147257415446
convex_cross,30,Gurobi,5.5295091,0.3719604,1.1286358,0.0709619,0.0350827,478.459501157217,OPTIMAL,0,0.0,5040,4325,0.0389438,3744.210081485956,OPTIMAL,52,2.181944635432272
convex_cross,60,Gurobi,11.6938525,0.3837229,1.0085936,0.2086052,0.0471494,473.5607103398728,OPTIMAL,0,0.0,10080,8645,0.046415,3739.499088318429,OPTIMAL,37,2.1798726852260772
convex_cross,90,Gurobi,14.9204817,0.4764853,1.2026772,0.4777896,0.0697467,474.3042307467836,OPTIMAL,0,0.0,15120,12965,0.0335561,3682.1340146031353,OPTIMAL,36,2.1416468610550083
convex_cross,120,Gurobi,20.3507606,0.4615984,1.2140596,0.3960124,0.0865419,481.7921425104614,OPTIMAL,0,0.0,20160,17285,0.0365971,501.00724744668844,OPTIMAL,2,0.013907232056021845
convex_cross,180,Gurobi,35.2832172,0.5644688,1.4134401,0.7593678,0.1317962,480.5382043137541,OPTIMAL,0,0.0,30240,25925,0.0345077,497.2012634791876,OPTIMAL,1,0.011552470881307175
convex_cross,240,Gurobi,49.9838789,0.5997222,1.5242327,0.9014403,0.2745957,479.0401800033174,OPTIMAL,0,0.0,40320,34565,0.0397084,505.98865547493364,OPTIMAL,2,0.01758176470376438
convex_cross,360,Gurobi,86.6156943,0.7365174,1.8480772,1.6472263,0.2625485,478.3264339722497,OPTIMAL,0,0.0,60480,51845,0.0379911,480.7356702278348,OPTIMAL,0,0.0
convex_per,4,Gurobi,0.454518,0.3260219,0.8533443,0.0061204,0.012176,453.5251610176725,OPTIMAL,0,0.0,672,581,0.0500078,10424.726886048982,OPTIMAL,100,6.636642722970458
convex_per,8,Gurobi,2.4752221,0.3771098,0.8024712,0.0118195,0.0140707,506.6751562908166,OPTIMAL,0,0.0,1344,1157,0.0385952,3796.8292647972835,OPTIMAL,46,2.215020912401454
convex_per,12,Gurobi,1.4220323,0.319284,0.9441654,0.0195879,0.0193525,509.5354483673068,OPTIMAL,0,0.0,2016,1733,0.0344368,3263.299812453047,OPTIMAL,42,1.8606112558238548
convex_per,16,Gurobi,1.7256958,0.3530991,1.0278058,0.0344965,0.0204815,496.3405524548157,OPTIMAL,0,0.0,2688,2309,0.0359755,3055.866139032147,OPTIMAL,38,1.7229006574544137
convex_per,20,Gurobi,2.0631911,0.3626098,0.958577,0.0691743,0.0290165,496.5623545003736,OPTIMAL,0,0.0,3360,2885,0.0403715,2831.2193918167895,OPTIMAL,34,1.573580734307706
convex_per,30,Gurobi,3.0880517,0.3854226,1.0925552,0.0746445,0.0313886,482.9690332854505,OPTIMAL,0,0.0,5040,4325,0.0391929,2886.578603459083,OPTIMAL,36,1.6101997528099266
convex_per,60,Gurobi,6.6033352,0.4283218,1.0867803,0.1835144,0.0480055,482.290783573964,OPTIMAL,0,0.0,10080,8645,0.0455393,1710.4503581174831,OPTIMAL,19,0.8250406296772397
convex_per,90,Gurobi,10.7007372,0.4142334,1.0849248,0.3613274,0.0692816,485.7264974722036,OPTIMAL,0,0.0,15120,12965,0.0359001,482.05535311174674,OPTIMAL,0,0.0
convex_per,120,Gurobi,11.947878,0.4765865,1.2800762,0.4239814,0.0864763,485.20863111240334,OPTIMAL,0,0.0,20160,17285,0.0306766,482.06428774867175,OPTIMAL,0,0.0
convex_per,180,Gurobi,18.893581,0.5309293,1.4217403,0.9080369,0.1263496,485.0308328545425,OPTIMAL,0,0.0,30240,25925,0.0340482,481.6552644496034,OPTIMAL,0,0.0
convex_per,240,Gurobi,25.8180678,0.636484,1.6756476,1.1003322,0.1648665,483.5549132783981,OPTIMAL,0,0.0,40320,34565,0.0333991,481.2031087326784,OPTIMAL,0,0.0
convex_per,360,Gurobi,39.8009575,0.7785282,1.8613797,1.7030284,0.2278305,481.30987296043867,OPTIMAL,0,0.0,60480,51845,0.0319136,480.82396377630675,OPTIMAL,0,0.0
conicalb_cross,4,Gurobi,2.7862492,0.2971516,0.803632,0.0072212,0.0134637,453.6356540389112,OPTIMAL,0,0.0,672,581,0.0533483,10224.683220927895,OPTIMAL,93,6.5083399660236605
conicalb_cross,8,Gurobi,1.8448885,0.299638,0.7819185,0.0127784,0.0142686,446.469555175099,OPTIMAL,0,0.0,1344,1157,0.0514502,16720.790014963757,OPTIMAL,151,10.84251397754062
conicalb_cross,12,Gurobi,2.3124376,0.3290428,0.8729871,0.019622,0.0170415,463.5177182640855,OPTIMAL,0,0.0,2016,1733,0.0355007,4158.061258665932,OPTIMAL,54,2.4592945711914718
conicalb_cross,16,Gurobi,2.8111428,0.382374,0.9870628,0.0309213,0.0214627,461.0494680272628,OPTIMAL,0,0.0,2688,2309,0.0328024,4559.006912897779,OPTIMAL,56,2.7268651823819408
conicalb_cross,20,Gurobi,3.3498779,0.3686447,0.9721812,0.0387082,0.0227237,459.1880614337422,OPTIMAL,0,0.0,3360,2885,0.0304181,4893.85479888927,OPTIMAL,66,2.950360039201499
conicalb_cross,30,Gurobi,5.2283743,0.3909262,1.1297594,0.0648804,0.0311714,466.67585065301546,OPTIMAL,0,0.0,5040,4325,0.0385677,4634.0490092366135,OPTIMAL,60,2.7756898025785697
conicalb_cross,60,Gurobi,10.2096064,0.4191505,1.2208956,0.2302778,0.0479995,468.137281905599,OPTIMAL,0,0.0,10080,8645,0.0348837,4960.023440759559,OPTIMAL,55,2.9930943668833727
conicalb_cross,90,Gurobi,16.3092864,0.4193525,1.049514,0.3669622,0.0634563,467.7289835939514,OPTIMAL,0,0.0,15120,12965,0.0324223,3466.4411758046776,OPTIMAL,37,1.997521524996043
conicalb_cross,120,Gurobi,21.2066394,0.4775243,1.3113705,0.4146068,0.0823497,475.67890721828456,OPTIMAL,0,0.0,20160,17285,0.0322846,482.06162839862907,OPTIMAL,1,0.00010699511285561236
conicalb_cross,180,Gurobi,32.9093694,0.5448538,1.3580606,0.7149055,0.1151664,474.72881597118106,OPTIMAL,0,0.0,30240,25925,0.031384,481.44407141371,OPTIMAL,0,0.0
conicalb_cross,240,Gurobi,51.8288159,0.5455245,1.4847675,1.0717106,0.1492747,473.85064194447597,OPTIMAL,0,0.0,40320,34565,0.0304857,481.0832515851115,OPTIMAL,0,0.0
conicalb_cross,360,Gurobi,99.9400821,0.8321872,1.8645907,1.6796261,0.3717097,472.92215888327775,OPTIMAL,0,0.0,60480,51845,0.0300079,480.80271644891155,OPTIMAL,0,0.0
conicalb_per,4,Gurobi,0.8897816,0.3369317,0.8513123,0.0071359,0.0134713,428.09074668588613,OPTIMAL,0,0.0,672,581,0.0357436,3101.189840307263,OPTIMAL,38,1.7503406975608056
conicalb_per,8,Gurobi,1.0671834,0.3300778,1.0206486,0.0145221,0.0200431,479.79635443689585,OPTIMAL,0,0.0,1344,1157,0.0321662,2721.073968662312,OPTIMAL,28,1.4994723033150452
conicalb_per,12,Gurobi,2.9280315,0.368383,0.8820261,0.0189798,0.0173369,477.8181350390963,OPTIMAL,0,0.0,2016,1733,0.033477,3372.77184338708,OPTIMAL,34,1.9358854185051757
conicalb_per,16,Gurobi,1.6561707,0.3171546,0.90898,0.028109,0.020798,466.1509850081463,OPTIMAL,0,0.0,2688,2309,0.0310275,3252.429029226279,OPTIMAL,33,1.855408363602527
conicalb_per,20,Gurobi,2.0480191,0.3476215,0.8960929,0.0301687,0.020251,478.64984024312264,OPTIMAL,0,0.0,3360,2885,0.0335135,488.14789045769567,OPTIMAL,1,0.003671345003716908
conicalb_per,30,Gurobi,2.6874864,0.3605322,0.9774762,0.0738707,0.0320656,483.57050878592594,OPTIMAL,0,0.0,5040,4325,0.0288687,485.76744796117424,OPTIMAL,1,0.002212109368655124
