base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand
0_HourlyBenchmark,1,Gurobi,0.0,1.2844945,4.1783765,5.1430319,0.5802108,478.4794048830108,OPTIMAL,122640,105125,0.0,0.0,,10
convex_cross,4,Gurobi,0.909773,0.30638,0.786803,0.0071278,0.0095334,553.7528092158435,OPTIMAL,672,581,0.0781024,536.646411781327,OPTIMAL,0
convex_cross,8,Gurobi,1.8406916,0.3059857,0.8685495,0.0114307,0.0118807,529.8298545636071,OPTIMAL,1344,1157,0.0351565,528.3619206684024,OPTIMAL,0
convex_cross,12,Gurobi,3.9598844,0.3123994,0.9080542,0.0159956,0.0141588,536.3007301464675,OPTIMAL,2016,1733,0.0361499,525.2165399039454,OPTIMAL,0
convex_cross,16,Gurobi,3.1022284,0.3329228,1.0656196,0.0244249,0.0168055,537.3417255880441,OPTIMAL,2688,2309,0.0451795,525.1441181408992,OPTIMAL,0
convex_cross,20,Gurobi,3.8697316,0.3561189,1.1290621,0.0306107,0.0195348,526.3689408930644,OPTIMAL,3360,2885,0.0365978,522.1866391046226,OPTIMAL,0
convex_cross,30,Gurobi,5.7477522,0.3811018,1.1655505,0.0492252,0.0270644,523.8511687452028,OPTIMAL,5040,4325,0.0367322,521.0054471605333,OPTIMAL,0
convex_cross,60,Gurobi,10.4829014,0.4291282,1.3797053,0.1226153,0.0442958,525.3774586881067,OPTIMAL,10080,8645,0.0387478,519.9071070013416,OPTIMAL,0
convex_cross,90,Gurobi,16.9150625,0.5005878,1.5397534,0.3689436,0.0810027,524.283763764884,OPTIMAL,15120,12965,0.0384597,519.7278224991604,OPTIMAL,0
convex_cross,120,Gurobi,22.7076423,0.4596556,1.1070638,0.3304189,0.0813538,522.7714280169286,OPTIMAL,20160,17285,0.0344769,519.2057071283224,OPTIMAL,0
convex_cross,180,Gurobi,35.2398254,0.5051501,1.5714278,0.7700022,0.1137304,521.8444998755198,OPTIMAL,30240,25925,0.0381923,517.9887441650646,OPTIMAL,0
convex_cross,240,Gurobi,57.9349088,0.6493587,1.5807437,0.8086992,0.1514949,521.1028146933617,OPTIMAL,40320,34565,0.0368519,517.916765729081,OPTIMAL,0
convex_cross,360,Gurobi,99.0236523,0.76593,2.2650767,1.399462,0.2265026,518.938749788193,OPTIMAL,60480,51845,0.0355877,517.6860007773732,OPTIMAL,0
convex_per,4,Gurobi,1.5386194,0.356433,0.8780783,0.0065498,0.009172,571.7109787613712,OPTIMAL,672,581,0.0541159,537.6346290384475,OPTIMAL,0
convex_per,8,Gurobi,1.1486374,0.3322377,1.0159197,0.0120592,0.0130056,574.2881217350105,OPTIMAL,1344,1157,0.0375031,529.9037856222553,OPTIMAL,0
convex_per,12,Gurobi,1.2616085,0.3442198,1.11425,0.0151146,0.0146896,533.4693771100161,OPTIMAL,2016,1733,0.0354521,525.4754152960578,OPTIMAL,0
convex_per,16,Gurobi,1.7956684,0.3566611,1.1844162,0.0233957,0.0172268,526.83412953132,OPTIMAL,2688,2309,0.0350307,527.0483573686743,OPTIMAL,0
convex_per,20,Gurobi,2.2554649,0.4040005,1.2157831,0.0277074,0.0221493,533.2152855558805,OPTIMAL,3360,2885,0.0363501,524.2097544734274,OPTIMAL,0
convex_per,30,Gurobi,3.2853831,0.4129896,1.3017647,0.0447955,0.0275683,532.0490229417201,OPTIMAL,5040,4325,0.0334891,522.1836717986373,OPTIMAL,0
convex_per,60,Gurobi,6.5909785,0.4356964,1.3472737,0.1349672,0.0451292,522.7850695057334,OPTIMAL,10080,8645,0.0430735,518.6721711035066,OPTIMAL,0
convex_per,90,Gurobi,10.5461977,0.4337588,1.051301,0.2585067,0.0639828,521.2846934010265,OPTIMAL,15120,12965,0.0389791,517.892697165571,OPTIMAL,0
convex_per,120,Gurobi,11.9020183,0.4319314,1.197082,0.3725158,0.0804781,522.702749864793,OPTIMAL,20160,17285,0.0348476,517.2826681339129,OPTIMAL,0
convex_per,180,Gurobi,17.549714,0.5167618,1.4931539,0.7500433,0.2018397,522.3995534822668,OPTIMAL,30240,25925,0.0392741,516.7643288545532,OPTIMAL,0
convex_per,240,Gurobi,24.4154233,0.6203358,1.6549071,0.968786,0.1533838,519.3896124678331,OPTIMAL,40320,34565,0.0370354,516.4003748761235,OPTIMAL,0
convex_per,360,Gurobi,38.4138353,0.7450137,1.9625062,1.6084444,0.2251467,517.7201449779656,OPTIMAL,60480,51845,0.0754021,515.4357132154549,OPTIMAL,0
conical_cross,4,Gurobi,3.9027845,0.3085974,0.7953487,0.0073235,0.0098306,492.8484256915029,OPTIMAL,672,581,0.0381717,522.4967498058492,OPTIMAL,0
conical_cross,8,Gurobi,3.3847678,0.3143666,0.997293,0.0139094,0.0190148,526.6035736547976,OPTIMAL,1344,1157,0.0396831,520.4359498828054,OPTIMAL,0
conical_cross,12,Gurobi,4.5855112,0.3121317,0.9869785,0.0162537,0.0155128,538.784903363615,OPTIMAL,2016,1733,0.0342209,521.7034564460128,OPTIMAL,0
conical_cross,16,Gurobi,5.2081081,0.369092,1.0346333,0.0220854,0.0194125,538.5781062636465,OPTIMAL,2688,2309,0.0336609,520.6179774028398,OPTIMAL,0
conical_cross,20,Gurobi,5.9623995,0.390313,1.2351962,0.0235805,0.020866,536.7645719732421,OPTIMAL,3360,2885,0.0347541,520.5564789199852,OPTIMAL,0
conical_cross,30,Gurobi,7.0130668,0.3904776,1.2889877,0.0408337,0.0267836,534.7532973275208,OPTIMAL,5040,4325,0.0326111,520.6746533114313,OPTIMAL,0
conical_cross,60,Gurobi,11.21983,0.4538117,1.3343006,0.1090784,0.0418007,525.5660720435071,OPTIMAL,10080,8645,0.035936,518.561114316612,OPTIMAL,0
conical_cross,90,Gurobi,16.28703,0.4320254,1.0619243,0.238324,0.0645202,519.0068221310521,OPTIMAL,15120,12965,0.0323844,518.2354715108922,OPTIMAL,0
conical_cross,120,Gurobi,21.1805894,0.4589628,1.0998873,0.419966,0.0773245,513.4500263094282,OPTIMAL,20160,17285,0.0304603,518.2319955236892,OPTIMAL,0
conical_cross,180,Gurobi,38.575367,0.5342147,1.2979026,0.7673151,0.1180374,511.99492117221126,OPTIMAL,30240,25925,0.0333686,517.0492951830413,OPTIMAL,0
conical_cross,240,Gurobi,52.7282042,0.6252321,1.6309481,1.0179427,0.1565914,514.0328781638583,OPTIMAL,40320,34565,0.0440667,516.362468160464,OPTIMAL,0
conical_cross,360,Gurobi,82.5817191,0.8160953,2.016653,1.5107472,0.2195472,512.677494246513,OPTIMAL,60480,51845,0.0356662,515.5387668698539,OPTIMAL,0
conical_per,4,Gurobi,0.5189548,0.3346235,0.9215203,0.0075472,0.0110648,508.8117433729538,OPTIMAL,672,581,0.0489842,539.5543731425641,OPTIMAL,0
conical_per,8,Gurobi,1.0097233,0.3330672,1.1192451,0.0109684,0.0133341,508.32181462747,OPTIMAL,1344,1157,0.0344837,523.993889306431,OPTIMAL,0
conical_per,12,Gurobi,2.7713766,0.3425997,0.8678298,0.0155184,0.0164154,522.1625952487357,OPTIMAL,2016,1733,0.0385901,520.5079330935288,OPTIMAL,0
conical_per,16,Gurobi,1.9204655,0.3328765,0.9389406,0.0222735,0.0177602,535.2785279688669,OPTIMAL,2688,2309,0.0328405,519.7775398438496,OPTIMAL,0
conical_per,20,Gurobi,2.2090212,0.322102,1.0285809,0.0249348,0.0194427,545.7505418311902,OPTIMAL,3360,2885,0.0391526,519.8304887520454,OPTIMAL,0
conical_per,30,Gurobi,2.7996538,0.3394347,1.0723595,0.0379068,0.0266727,538.9426440965589,OPTIMAL,5040,4325,0.0332219,520.1927557015338,OPTIMAL,0
conical_per,60,Gurobi,5.0928493,0.3668385,1.1060065,0.0939468,0.0419063,536.4837024521204,OPTIMAL,10080,8645,0.0328088,518.540335947317,OPTIMAL,0
conical_per,90,Gurobi,7.3105912,0.4413891,1.2790636,0.212487,0.0601823,529.0503091201678,OPTIMAL,15120,12965,0.0394004,518.5551388847429,OPTIMAL,0
conical_per,120,Gurobi,10.6653995,0.4674958,1.1272351,0.3149987,0.0851852,527.085826250629,OPTIMAL,20160,17285,0.0295935,518.5216221470475,OPTIMAL,0
conical_per,180,Gurobi,14.9641444,0.4864787,1.5748855,0.7379604,0.1126443,522.7596990410899,OPTIMAL,30240,25925,0.0353124,516.729029505623,OPTIMAL,0
conical_per,240,Gurobi,23.4670577,0.5828599,1.6108368,1.1279788,0.1448604,516.7870308872353,OPTIMAL,40320,34565,0.0315736,516.9444476100258,OPTIMAL,0
conical_per,360,Gurobi,39.7123045,0.7419958,1.9452802,1.7010883,0.2129135,511.68314737760215,OPTIMAL,60480,51845,0.0349714,514.7529419427408,OPTIMAL,0
conicalb_cross,4,Gurobi,1.7137733,0.3173225,0.8310535,0.0067334,0.0104929,548.1794912901144,OPTIMAL,672,581,0.0477828,539.2986035083453,OPTIMAL,0
conicalb_cross,8,Gurobi,3.918864,0.3141734,0.8520815,0.0109402,0.0117342,522.1189222452998,OPTIMAL,1344,1157,0.0374497,524.8879886252414,OPTIMAL,0
conicalb_cross,12,Gurobi,2.9763774,0.3310067,1.0970077,0.0159296,0.0163427,526.2860766281416,OPTIMAL,2016,1733,0.0345599,524.9600291937464,OPTIMAL,0
conicalb_cross,16,Gurobi,3.6785074,0.371069,1.1556427,0.025773,0.0179355,524.0410227310208,OPTIMAL,2688,2309,0.033317,524.2027597769757,OPTIMAL,0
conicalb_cross,20,Gurobi,4.1856503,0.3986741,1.6293575,0.0431215,0.0348073,521.5885041159377,OPTIMAL,3360,2885,0.0335878,524.6191498573737,OPTIMAL,0
conicalb_cross,30,Gurobi,6.0969226,0.3924523,1.25442,0.0422509,0.0261338,519.2695056723586,OPTIMAL,5040,4325,0.0338973,521.0008680644156,OPTIMAL,0
conicalb_cross,60,Gurobi,11.1405439,0.4537552,1.3576773,0.1156288,0.0435262,517.9989619948647,OPTIMAL,10080,8645,0.0330679,520.4403078696555,OPTIMAL,0
