base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand
0_HourlyBenchmark,1,Gurobi,0.0,5.808344,16.040024,8.1433425,2.5395347,478.4794048830108,OPTIMAL,122640,105125,0.0,0.0,,10
convex_cross,4,Gurobi,12.9663574,0.3428938,0.9517142,0.0072612,0.0119256,514.595081912956,OPTIMAL,672,581,0.1012001,519.2119870408051,OPTIMAL,0
convex_cross,8,Gurobi,1.6729268,0.3463845,0.7842422,0.0108707,0.0099404,543.103828359287,OPTIMAL,1344,1157,0.0419026,519.8217514337889,OPTIMAL,0
convex_cross,12,Gurobi,2.8784941,0.2272424,0.8940882,0.0152945,0.0144315,538.874528249999,OPTIMAL,2016,1733,0.0780131,518.865290846679,OPTIMAL,0
convex_cross,16,Gurobi,4.0298269,0.3796452,0.9108228,0.0253332,0.0156668,527.0326138807924,OPTIMAL,2688,2309,0.039703,515.3273448703818,OPTIMAL,0
convex_cross,20,Gurobi,5.0834509,0.4140242,1.0572008,0.0282774,0.0182395,525.5560975238604,OPTIMAL,3360,2885,0.0407329,510.46779572276887,OPTIMAL,0
convex_cross,30,Gurobi,10.2155194,0.4284919,1.107882,0.1288308,0.0445057,522.3154446802394,OPTIMAL,5040,4325,0.0380881,508.84093791199325,OPTIMAL,0
convex_cross,60,Gurobi,17.3762212,0.4043578,1.1855243,0.1168452,0.052211,514.2379736983954,OPTIMAL,10080,8645,0.0329764,491.6152915245747,OPTIMAL,0
convex_cross,90,Gurobi,27.2421216,0.4655411,1.2307202,0.3601549,0.1093326,485.5694961551826,OPTIMAL,15120,12965,0.0393772,485.8400331333231,OPTIMAL,29
convex_cross,120,Gurobi,39.0216572,0.5820561,1.4770408,0.444182,0.0999716,487.11529471514297,OPTIMAL,20160,17285,0.0349155,480.36622613978506,OPTIMAL,1
convex_cross,180,Gurobi,58.67614,0.6829447,1.6524447,1.0303067,0.1439416,488.53937543164216,OPTIMAL,30240,25925,0.0401487,480.66677178687854,OPTIMAL,3
convex_cross,240,Gurobi,86.3033014,0.6746464,1.8765287,1.0564109,0.3206423,474.4395703965917,OPTIMAL,40320,34565,0.0420433,478.6345808203815,OPTIMAL,10
convex_cross,360,Gurobi,155.2336488,1.3765933,3.8380487,2.9407169,0.7132235,473.8838603198562,OPTIMAL,60480,51845,0.057179,478.7052501315543,OPTIMAL,8
convex_per,4,Gurobi,3.2775876,0.5245792,1.8007299,0.0100139,0.0177629,568.8571208703911,OPTIMAL,672,581,0.077061,538.9949188302112,OPTIMAL,0
convex_per,8,Gurobi,2.6870588,0.4610405,1.4252613,0.0134993,0.0147556,552.9605075396038,OPTIMAL,1344,1157,0.1467625,529.7368975157545,OPTIMAL,0
convex_per,12,Gurobi,1.7839765,0.453505,1.4183284,0.0171521,0.025428,560.7952475594917,OPTIMAL,2016,1733,0.0572495,518.2234691922152,OPTIMAL,0
convex_per,16,Gurobi,2.2928527,0.4825968,1.4315317,0.0309574,0.0186994,559.533975798621,OPTIMAL,2688,2309,0.0438535,516.956542555495,OPTIMAL,0
convex_per,20,Gurobi,2.9777043,0.5106395,1.6290529,0.0378278,0.0435082,539.200536218282,OPTIMAL,3360,2885,0.0582655,516.6264400838195,OPTIMAL,0
convex_per,30,Gurobi,4.8624872,0.5630142,1.6601803,0.0422551,0.0280528,525.671214277548,OPTIMAL,5040,4325,0.0336277,517.2436755194437,OPTIMAL,0
convex_per,60,Gurobi,12.8036978,0.505506,1.284924,0.1278397,0.0418146,512.9426400760766,OPTIMAL,10080,8645,0.0325044,485.03616501672377,OPTIMAL,10
convex_per,90,Gurobi,16.2341403,0.607482,1.6113116,0.2950699,0.0596767,500.4099842574273,OPTIMAL,15120,12965,0.0324549,483.74709149139755,OPTIMAL,1
convex_per,120,Gurobi,23.2313405,0.6550763,1.8916167,0.4576223,0.1334825,501.56249344789,OPTIMAL,20160,17285,0.037092,483.281194312905,OPTIMAL,2
convex_per,180,Gurobi,36.5870171,0.7559497,2.2484102,0.7684033,0.1820887,483.40417121479277,OPTIMAL,30240,25925,0.0423721,479.4354116860891,OPTIMAL,7
convex_per,240,Gurobi,46.4710418,0.8659372,2.2237698,0.9306908,0.4948178,481.74001358177384,OPTIMAL,40320,34565,0.0359808,479.8460257408206,OPTIMAL,2
convex_per,360,Gurobi,53.4843279,0.6718862,1.7356265,1.7656066,0.2378573,480.0358420646103,OPTIMAL,60480,51845,0.0370238,479.48212493462654,OPTIMAL,4
conicalb_cross,4,Gurobi,1.2515878,0.2661339,0.7686371,0.0061614,0.0087798,518.7939899339365,OPTIMAL,672,581,0.0341661,523.409066416567,OPTIMAL,0
conicalb_cross,8,Gurobi,2.6453476,0.229437,0.6197188,0.0115866,0.0102068,534.925467322136,OPTIMAL,1344,1157,0.0589959,517.9613223331673,OPTIMAL,0
conicalb_cross,12,Gurobi,1.6665865,0.2600526,0.7365942,0.0173453,0.0161499,513.9813473885074,OPTIMAL,2016,1733,0.0359636,518.1829971041349,OPTIMAL,0
