base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand
0_HourlyBenchmark,1,Gurobi,0.0,0.9407135,3.7686081,6.4879537,0.7461083,491.9440869753471,OPTIMAL,122640,105125,0.0,0.0,,0
convex_cross_dirac,2,Gurobi,2.4784653,0.2335691,0.865536,0.0048008,0.0087975,503.76659448469707,OPTIMAL,336,293,0.1069066,69634.78703345056,OPTIMAL,687
convex_cross_dirac,4,Gurobi,0.3045953,0.2943812,0.97509,0.0078629,0.0091887,567.4952345542902,OPTIMAL,672,581,0.0463904,528.6639661336014,OPTIMAL,0
convex_cross_dirac,8,Gurobi,0.5694331,0.3118192,0.9335539,0.0124793,0.011523,514.8649007935261,OPTIMAL,1344,1157,0.1251989,617.3967888458521,OPTIMAL,3
convex_cross_dirac,12,Gurobi,1.3653038,0.318646,1.0727181,0.0221568,0.0250129,514.7036418727032,OPTIMAL,2016,1733,0.0471508,936.1920268063368,OPTIMAL,12
convex_cross_dirac,16,Gurobi,1.4805082,0.3170414,0.9864644,0.0293127,0.0162251,492.340901005417,OPTIMAL,2688,2309,0.0358761,785.2024977318907,OPTIMAL,9
convex_cross_dirac,20,Gurobi,1.9094337,0.3382074,0.99043,0.0422411,0.0182787,506.47207253282147,OPTIMAL,3360,2885,0.0383711,8072.977813804487,OPTIMAL,78
convex_cross_dirac,30,Gurobi,3.3597556,0.3779498,1.1118849,0.0680057,0.025246,509.42084824224656,OPTIMAL,5040,4325,0.0356428,11079.906158792328,OPTIMAL,106
convex_cross_dirac,60,Gurobi,8.7312303,0.33559,1.0916002,0.1647278,0.0465506,493.1349186916284,OPTIMAL,10080,8645,0.0578161,774.923433090306,OPTIMAL,7
convex_cross_dirac,90,Gurobi,11.6994998,0.3730291,0.9602665,0.2668327,0.0609737,490.888166425028,OPTIMAL,15120,12965,0.0406358,800.9810461551773,OPTIMAL,7
convex_cross_dirac,120,Gurobi,19.3293948,0.4367921,1.1799367,0.4582878,0.0807941,483.6378193527837,OPTIMAL,20160,17285,0.0364895,792.1907703687968,OPTIMAL,7
convex_cross_dirac,180,Gurobi,32.6874943,0.5529177,2.3817648,0.9244973,0.1635399,488.13395430559535,OPTIMAL,30240,25925,0.0376985,728.3235950748663,OPTIMAL,7
convex_cross_dirac,240,Gurobi,51.7482485,0.6128648,1.5002113,1.7465079,0.2514525,492.1716485253686,OPTIMAL,40320,34565,0.0435634,492.4833013690658,OPTIMAL,0
convex_cross_dirac,360,Gurobi,98.2534956,0.7339068,1.7838437,2.0243318,0.2177609,499.31441973717904,OPTIMAL,60480,51845,0.0391619,492.230232582567,OPTIMAL,0
convex_per_dirac,2,Gurobi,0.0515393,0.3424793,1.1594765,0.0046936,0.0098444,196.0178637519645,OPTIMAL,336,293,0.40904,9.915479365519166e6,OPTIMAL,14712
convex_per_dirac,4,Gurobi,0.046004,0.3629049,1.2057733,0.0071729,0.0115386,462.5256908994615,OPTIMAL,672,581,0.4551268,14547.119644227152,OPTIMAL,124
convex_per_dirac,8,Gurobi,1.5999779,0.2929945,0.8966308,0.0115947,0.0117866,561.5192948093628,OPTIMAL,1344,1157,0.053236,1464.0047403843919,OPTIMAL,11
convex_per_dirac,12,Gurobi,0.8303755,0.2909241,0.9313741,0.0193599,0.014434,551.1345023620896,OPTIMAL,2016,1733,0.0680693,1212.8228937654656,OPTIMAL,10
convex_per_dirac,16,Gurobi,0.7320783,0.3225902,1.0087383,0.035472,0.0190996,536.6645383507141,OPTIMAL,2688,2309,0.0502985,724.6253749987795,OPTIMAL,8
convex_per_dirac,20,Gurobi,1.1168711,0.3542325,1.0532755,0.0393746,0.0194444,515.3607572159992,OPTIMAL,3360,2885,0.0393532,963.5827773038689,OPTIMAL,9
convex_per_dirac,30,Gurobi,1.9194868,0.3525948,1.120825,0.0612825,0.0260789,501.9476693580556,OPTIMAL,5040,4325,0.0409701,530.5734660431083,OPTIMAL,2
convex_per_dirac,60,Gurobi,4.6112558,0.4069957,1.2094828,0.1442811,0.0453738,495.7019728490615,OPTIMAL,10080,8645,0.0377384,567.2059218884003,OPTIMAL,3
