base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand
0_HourlyBenchmark,1,Gurobi,0.0,1.3525242,2.5219156,6.1273358,0.5937706,490.37233247512637,OPTIMAL,122640,105125,0.0,0.0,,9
convex_cross,4,Gurobi,4.9161393,0.3156417,0.8671838,0.0073128,0.0104003,647.53461918058,OPTIMAL,672,581,0.0953892,533.8275360352948,OPTIMAL,0
convex_cross,8,Gurobi,1.8082727,0.3028952,0.9330573,0.0426306,0.0155635,549.6687161645162,OPTIMAL,1344,1157,0.042096,528.4915327664065,OPTIMAL,0
convex_cross,12,Gurobi,2.5750595,0.3442524,1.0925094,0.016832,0.0151784,561.6301463117456,OPTIMAL,2016,1733,0.0352691,528.1411760307072,OPTIMAL,0
convex_cross,16,Gurobi,3.3505206,0.3948758,1.3687436,0.0251846,0.0196707,539.7248377057763,OPTIMAL,2688,2309,0.0410518,527.4377956586609,OPTIMAL,0
convex_cross,20,Gurobi,4.4926528,0.4079673,1.2345474,0.0283663,0.0213016,532.2337088405204,OPTIMAL,3360,2885,0.0379561,527.7510638052773,OPTIMAL,0
convex_cross,30,Gurobi,6.2215929,0.3998709,1.2479899,0.0465781,0.0284026,527.6614863914621,OPTIMAL,5040,4325,0.0394684,527.3681498677278,OPTIMAL,0
convex_cross,60,Gurobi,12.9999837,0.4390924,1.4865603,0.1320454,0.0464033,522.6699936797115,OPTIMAL,10080,8645,0.0408252,521.3989235807934,OPTIMAL,0
convex_cross,90,Gurobi,19.4054462,0.4561065,1.1449995,0.329313,0.0805188,520.7804821021673,OPTIMAL,15120,12965,0.033781,520.6774291345412,OPTIMAL,0
convex_cross,120,Gurobi,25.9803959,0.5060294,1.2410507,0.5524722,0.0847044,512.2592124058633,OPTIMAL,20160,17285,0.0331888,520.5575495644013,OPTIMAL,0
convex_cross,180,Gurobi,45.4599366,0.5669833,1.7384462,0.6789272,0.1148383,513.085906218477,OPTIMAL,30240,25925,0.0356523,522.1151004602641,OPTIMAL,0
convex_cross,240,Gurobi,67.7875994,0.6004174,1.6397138,0.8861249,0.1462852,513.7170480368679,OPTIMAL,40320,34565,0.0346729,519.7989873711766,OPTIMAL,0
convex_cross,360,Gurobi,109.4202722,0.7873823,2.1701153,1.8424925,0.2199553,510.80881663971667,OPTIMAL,60480,51845,0.0432977,517.4112315965133,OPTIMAL,0
convex_per,4,Gurobi,1.0636151,0.3902305,1.0119971,0.0071067,0.013481,551.1569548334658,OPTIMAL,672,581,0.0518686,537.0767910824667,OPTIMAL,0
convex_per,8,Gurobi,0.9743382,0.4096234,1.275085,0.011071,0.0149743,567.0774447998219,OPTIMAL,1344,1157,0.0484265,532.0800425506285,OPTIMAL,0
convex_per,12,Gurobi,1.4595543,0.4081245,1.4476421,0.0173798,0.0189576,526.8024277724136,OPTIMAL,2016,1733,0.039993,527.1864416546068,OPTIMAL,0
convex_per,16,Gurobi,3.2854932,0.405153,0.9601247,0.0244036,0.0194114,521.0130973232011,OPTIMAL,2688,2309,0.0383846,526.9560236996017,OPTIMAL,0
convex_per,20,Gurobi,2.4030295,0.4020601,1.1487192,0.0303782,0.0217314,527.212168951582,OPTIMAL,3360,2885,0.0358307,526.700994281503,OPTIMAL,0
