base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand
0_HourlyBenchmark,1,Gurobi,0.0,2.7580941,4.9738569,7.3465498,0.9335728,491.9440869753471,OPTIMAL,122640,105125,0.0,0.0,,0
convex_cross,4,Gurobi,5.8512663,0.3068139,0.8549701,0.0069723,0.0094866,638.1869826197823,OPTIMAL,672,581,0.1234059,535.0674079420222,OPTIMAL,0
convex_cross,8,Gurobi,2.1348386,0.3178486,1.0067062,0.0116282,0.0123231,559.6395028590007,OPTIMAL,1344,1157,0.0395825,528.685597280355,OPTIMAL,0
convex_cross,12,Gurobi,3.0904924,0.3754127,0.9592041,0.0190333,0.0179441,565.5655581842952,OPTIMAL,2016,1733,0.043362,528.5876125980511,OPTIMAL,0
convex_cross,16,Gurobi,4.2428106,0.3462724,0.9065469,0.0249301,0.0178712,543.5509818643256,OPTIMAL,2688,2309,0.0493265,527.5028019799613,OPTIMAL,0
convex_cross,20,Gurobi,4.4691285,0.3231546,0.9344964,0.0274109,0.0178836,538.2508633199237,OPTIMAL,3360,2885,0.0332723,527.6973134902572,OPTIMAL,0
convex_cross,30,Gurobi,7.3781487,0.4465644,1.2624885,0.0601453,0.0396107,535.757803449724,OPTIMAL,5040,4325,0.0408145,527.6310316224035,OPTIMAL,0
convex_cross,60,Gurobi,15.5358883,0.4141931,1.1303854,0.1326483,0.0551335,531.5724424661655,OPTIMAL,10080,8645,0.0393116,526.6044058216464,OPTIMAL,0
convex_cross,90,Gurobi,18.7639637,0.369743,0.972317,0.2164081,0.0639531,531.9334179014743,OPTIMAL,15120,12965,0.0739972,526.3552813020383,OPTIMAL,0
convex_cross,120,Gurobi,25.1267829,0.4357113,1.124385,0.4264711,0.0850368,526.5572651393259,OPTIMAL,20160,17285,0.0307024,526.1275359318133,OPTIMAL,0
convex_cross,180,Gurobi,44.9354197,0.4987489,1.2311292,0.6710574,0.1278942,526.7290262372865,OPTIMAL,30240,25925,0.0404461,525.5357534519017,OPTIMAL,0
convex_cross,240,Gurobi,64.1550453,0.6072967,1.477095,0.8254955,0.1701843,526.2884379248105,OPTIMAL,40320,34565,0.0380499,525.1486070599533,OPTIMAL,0
convex_cross,360,Gurobi,105.5100451,0.7464566,1.8503224,1.5489278,0.2519897,521.8062658191596,OPTIMAL,60480,51845,0.030845,524.5847855437029,OPTIMAL,0
convex_per,4,Gurobi,0.9708932,0.4622754,1.2769567,0.0064474,0.012287,555.9420441878988,OPTIMAL,672,581,0.0432564,537.0786860440888,OPTIMAL,0
convex_per,8,Gurobi,2.7961664,0.4165532,1.0938536,0.0141326,0.0177084,574.0114862712867,OPTIMAL,1344,1157,0.0414369,533.1106389756403,OPTIMAL,0
convex_per,12,Gurobi,1.8026157,0.420778,1.3181153,0.018737,0.0199684,539.3078328464468,OPTIMAL,2016,1733,0.0442567,527.8586045522721,OPTIMAL,0
convex_per,16,Gurobi,2.1226481,0.397797,1.1609185,0.0314478,0.0259731,534.0926370845903,OPTIMAL,2688,2309,0.0357242,527.9616743932985,OPTIMAL,0
convex_per,20,Gurobi,3.0792607,0.4447034,1.273306,0.0401988,0.0260458,537.0785231737315,OPTIMAL,3360,2885,0.0463681,527.644626756127,OPTIMAL,0
convex_per,30,Gurobi,4.090833,0.4806422,1.3737776,0.0449348,0.0281771,532.2144070909239,OPTIMAL,5040,4325,0.041322,526.2707805106827,OPTIMAL,0
