base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand
0_HourlyBenchmark,1,Gurobi,0.0,1.0446254,3.4107844,5.7119203,0.4545418,490.37233247512637,OPTIMAL,122640,105125,0.0,0.0,,9
convex_cross,4,Gurobi,1.9290739,0.2504345,0.7115808,0.0061093,0.009129,530.5781570706384,OPTIMAL,672,581,0.084586,533.5844709696908,OPTIMAL,0
convex_cross,8,Gurobi,1.0503603,0.2615388,0.8770678,0.0106348,0.0124604,555.6030853120993,OPTIMAL,1344,1157,0.0354486,529.1104534124278,OPTIMAL,0
convex_cross,12,Gurobi,1.5484139,0.2661412,0.7848822,0.0164848,0.0142922,548.1889908201942,OPTIMAL,2016,1733,0.0331693,526.9303361598484,OPTIMAL,0
convex_cross,16,Gurobi,2.2671945,0.2885356,0.8423599,0.0239817,0.0174311,542.700766868474,OPTIMAL,2688,2309,0.0331573,527.036544029811,OPTIMAL,0
convex_cross,20,Gurobi,2.8182518,0.311987,0.8986972,0.0267599,0.0192949,537.269664917879,OPTIMAL,3360,2885,0.0324575,527.3541427986593,OPTIMAL,0
convex_cross,30,Gurobi,4.5808746,0.3159447,0.9643549,0.0507838,0.0266036,536.8948039995098,OPTIMAL,5040,4325,0.0395018,526.1147217121716,OPTIMAL,0
convex_cross,60,Gurobi,10.4081288,0.3381157,0.958726,0.0995339,0.0477298,531.851413571434,OPTIMAL,10080,8645,0.039197,525.8243213734726,OPTIMAL,0
convex_cross,90,Gurobi,13.8835406,0.3674835,1.091232,0.2647966,0.0655688,531.9955807758131,OPTIMAL,15120,12965,0.0365555,525.5897239986685,OPTIMAL,0
convex_cross,120,Gurobi,20.6018646,0.4121701,1.0455232,0.360009,0.1374795,528.7826266429972,OPTIMAL,20160,17285,0.0349441,525.4502923060934,OPTIMAL,0
