base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand
0_HourlyBenchmark,1,Gurobi,0.0,0.9492197,3.8632281,6.0557575,1.5359204,490.37233247512637,OPTIMAL,122640,105125,0.0,0.0,,9
convex_cross,4,Gurobi,3.6163645,0.2613261,0.8109152,0.0063387,0.0094958,547.1324638577667,OPTIMAL,672,581,0.0919798,518.2191842155024,OPTIMAL,0
convex_cross,8,Gurobi,0.708772,0.2989189,0.8556292,0.0113376,0.0123423,541.7793552365529,OPTIMAL,1344,1157,0.0413807,523.155693125733,OPTIMAL,0
convex_cross,12,Gurobi,1.2548276,0.3011817,0.9791509,0.0178796,0.0153125,543.6242598816594,OPTIMAL,2016,1733,0.0548403,515.2976572948501,OPTIMAL,0
convex_cross,16,Gurobi,1.8354128,0.3123013,0.9488988,0.0243842,0.0168298,535.6111489041014,OPTIMAL,2688,2309,0.0369722,517.2944627006623,OPTIMAL,0
convex_cross,20,Gurobi,2.2386722,0.3202611,0.9557434,0.0306339,0.0457497,520.8058185411554,OPTIMAL,3360,2885,0.0326499,516.990080101178,OPTIMAL,0
convex_cross,30,Gurobi,5.6075321,0.3124938,0.8814698,0.0462382,0.0248544,534.2615104392321,OPTIMAL,5040,4325,0.0341889,503.3680218116974,OPTIMAL,0
convex_cross,60,Gurobi,9.0292983,0.335573,1.0295501,0.1379504,0.0419408,491.92950608468624,OPTIMAL,10080,8645,0.0510626,490.86526858655077,OPTIMAL,11
convex_cross,90,Gurobi,13.9247654,0.3681375,1.0061784,0.342744,0.0595142,488.1627884481019,OPTIMAL,15120,12965,0.0354819,490.78286382551283,OPTIMAL,12
convex_cross,120,Gurobi,22.0462112,0.4316051,1.2454461,0.4719975,0.0824732,482.5055217138488,OPTIMAL,20160,17285,0.0363516,490.50356991760975,OPTIMAL,9
convex_cross,180,Gurobi,34.2401811,0.4701378,1.2487688,0.8803939,0.1112268,484.01892736706014,OPTIMAL,30240,25925,0.0333732,490.91742715341195,OPTIMAL,15
convex_cross,240,Gurobi,52.8509588,0.5659932,1.4344838,1.3652492,0.1474798,492.6717843092062,OPTIMAL,40320,34565,0.03777,492.4864064677927,OPTIMAL,1
convex_cross,360,Gurobi,95.4256287,0.721884,1.8220713,2.2788225,0.2282299,497.438427779289,OPTIMAL,60480,51845,0.0374207,491.741207689701,OPTIMAL,3
convex_per,4,Gurobi,0.5366292,0.321397,0.93845,0.0063128,0.0096597,566.6471364768447,OPTIMAL,672,581,0.0477877,536.9750895108243,OPTIMAL,0
convex_per,8,Gurobi,1.8898645,0.3094874,0.948758,0.0095559,0.014327,574.4186035402138,OPTIMAL,1344,1157,0.1225561,532.4285609130651,OPTIMAL,0
convex_per,12,Gurobi,0.9731591,0.2913756,0.8834535,0.0139234,0.0142886,574.0556092655144,OPTIMAL,2016,1733,0.0407897,526.8308081363783,OPTIMAL,0
convex_per,16,Gurobi,1.2061482,0.3205106,0.9130411,0.024352,0.0173465,561.6942279255479,OPTIMAL,2688,2309,0.0327254,523.5473860536517,OPTIMAL,0
convex_per,20,Gurobi,1.4424995,0.3503056,0.9824786,0.0273726,0.0185639,537.338105240499,OPTIMAL,3360,2885,0.0365387,523.5520270065023,OPTIMAL,0
convex_per,30,Gurobi,2.3893527,0.3678516,1.1378157,0.0471384,0.0259957,534.4862698708888,OPTIMAL,5040,4325,0.0483576,517.8942948758922,OPTIMAL,0
convex_per,60,Gurobi,5.5910789,0.3977019,1.1579629,0.1342607,0.0414309,499.1581598808742,OPTIMAL,10080,8645,0.0479034,492.98259510230275,OPTIMAL,4
convex_per,90,Gurobi,9.5629814,0.39965,1.2137072,0.3249048,0.0671838,496.523040418468,OPTIMAL,15120,12965,0.0333428,493.17176393068155,OPTIMAL,4
convex_per,120,Gurobi,10.5500683,0.4067063,1.1406316,0.3624734,0.0763528,495.8023922189981,OPTIMAL,20160,17285,0.0360742,492.94837778692647,OPTIMAL,4
convex_per,180,Gurobi,17.1743891,0.4764104,1.3240287,0.8461034,0.1138661,493.0496612669621,OPTIMAL,30240,25925,0.0347018,491.93392600846295,OPTIMAL,4
