base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand
0_HourlyBenchmark,1,Gurobi,0.0,4.3838353,11.8993298,7.6561246,1.3465388,490.37233247512637,OPTIMAL,122640,105125,0.0,0.0,,9
convex_cross,4,Gurobi,9.7048592,0.2349057,0.6963533,0.0081865,0.0088481,518.3500461553137,OPTIMAL,672,581,0.094233,530.6785563839644,OPTIMAL,0
convex_cross,8,Gurobi,1.6979933,0.2286733,0.639851,0.0110771,0.0111371,541.8791819098732,OPTIMAL,1344,1157,0.0394153,524.5443933617548,OPTIMAL,0
convex_cross,12,Gurobi,2.3972759,0.242808,0.7089663,0.016923,0.0141888,521.2685118185962,OPTIMAL,2016,1733,0.0396539,495.326989406311,OPTIMAL,3
convex_cross,16,Gurobi,3.6503418,0.2706377,0.7098705,0.0276838,0.0168525,514.0350397326564,OPTIMAL,2688,2309,0.0383816,494.93151324089996,OPTIMAL,5
convex_cross,20,Gurobi,4.2630312,0.3169185,0.7580465,0.0308415,0.0210997,503.5749792632763,OPTIMAL,3360,2885,0.0412616,494.29240534147766,OPTIMAL,4
convex_cross,30,Gurobi,7.4774092,0.2686117,0.7379854,0.0707512,0.0269233,503.30573401383583,OPTIMAL,5040,4325,0.0599276,503.8884574015148,OPTIMAL,25
convex_cross,60,Gurobi,12.5801303,0.3005363,0.9092262,0.1437256,0.0438742,494.8631934060825,OPTIMAL,10080,8645,0.043652,491.90533344401206,OPTIMAL,7
convex_cross,90,Gurobi,19.1363937,0.3642945,0.967299,0.3744913,0.0595821,494.6138270496323,OPTIMAL,15120,12965,0.0365052,491.7403586450694,OPTIMAL,7
convex_cross,120,Gurobi,29.4318807,0.3999374,1.1626735,0.4244254,0.0808435,491.4620989248369,OPTIMAL,20160,17285,0.0367633,491.5835762071052,OPTIMAL,7
convex_cross,180,Gurobi,45.6528968,0.4537027,1.295984,0.7087111,0.1125051,490.8611381598391,OPTIMAL,30240,25925,0.0357242,491.3845240219307,OPTIMAL,7
convex_cross,240,Gurobi,70.3335805,0.8409183,2.040411,1.1293456,0.1507358,493.99557977389526,OPTIMAL,40320,34565,0.0404229,491.86715428194015,OPTIMAL,3
convex_cross,360,Gurobi,137.1437155,0.7333746,1.9207746,2.4602081,0.3893403,493.9942789080959,OPTIMAL,60480,51845,0.0413416,491.8105434572002,OPTIMAL,3
