base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand
0_HourlyBenchmark,1,Gurobi,0.0,4.538115,11.6564307,5.1606115,1.549043,480.452727657423,OPTIMAL,122640,105125,0.0,0.0,,9
convex_cross,4,Gurobi,9.9364042,0.2154992,0.6495828,0.0069888,0.00819,526.4472552779885,OPTIMAL,672,581,0.0791726,529.2086540813195,OPTIMAL,0
convex_cross,8,Gurobi,3.6640762,0.2341416,0.6670768,0.0102556,0.0117312,512.7699199162395,OPTIMAL,1344,1157,0.0364068,521.2376772741976,OPTIMAL,0
convex_cross,12,Gurobi,3.994463,0.2464742,0.6988069,0.0149267,0.0137759,529.6294165095113,OPTIMAL,2016,1733,0.044839,521.3288892770748,OPTIMAL,0
convex_cross,16,Gurobi,4.368983,0.2683565,0.767482,0.0242328,0.0188507,524.6469443254749,OPTIMAL,2688,2309,0.0525166,520.5965188973763,OPTIMAL,0
convex_cross,20,Gurobi,5.5062679,0.2867241,0.8166116,0.0306538,0.0255507,522.2081317352646,OPTIMAL,3360,2885,0.0372612,518.8182238801191,OPTIMAL,0
convex_cross,30,Gurobi,7.6860379,0.2945105,0.8512178,0.0549829,0.0264081,519.7216771062367,OPTIMAL,5040,4325,0.0366565,515.7271059812088,OPTIMAL,0
convex_cross,60,Gurobi,14.5559513,0.3166561,0.9231518,0.1101366,0.0445758,515.6576513135412,OPTIMAL,10080,8645,0.0734969,515.0354868908007,OPTIMAL,0
convex_cross,90,Gurobi,20.3372704,0.3580833,0.9663178,0.2402966,0.0639748,517.4431179199669,OPTIMAL,15120,12965,0.0375804,514.7474980174729,OPTIMAL,0
convex_cross,120,Gurobi,26.5342725,0.3892688,1.0565749,0.3879192,0.0923235,515.2498956224905,OPTIMAL,20160,17285,0.0324285,513.3633777656653,OPTIMAL,0
convex_cross,180,Gurobi,42.2844739,0.4493817,1.1906021,0.8674824,0.2393055,513.3487117721538,OPTIMAL,30240,25925,0.0351712,509.869151263228,OPTIMAL,0
convex_cross,240,Gurobi,60.0352167,0.5215121,1.4657004,0.9223869,0.1489463,511.76724198623816,OPTIMAL,40320,34565,0.0350899,509.1668094140629,OPTIMAL,0
convex_cross,360,Gurobi,101.9019076,0.6987641,1.8984193,1.4140628,0.2222908,506.4865880361141,OPTIMAL,60480,51845,0.0529233,496.0525747319019,OPTIMAL,0
convex_per,4,Gurobi,2.0650789,0.3149117,1.0792229,0.0071726,0.0113466,549.4973681074077,OPTIMAL,672,581,0.0581953,529.7226505545734,OPTIMAL,0
convex_per,8,Gurobi,2.0694195,0.2607813,0.8116503,0.0121422,0.0121895,557.8243391875159,OPTIMAL,1344,1157,0.0329988,522.0587406727786,OPTIMAL,0
convex_per,12,Gurobi,1.5674727,0.3135912,0.8692467,0.0174403,0.0142966,530.1721651249534,OPTIMAL,2016,1733,0.0324171,520.5044981036974,OPTIMAL,0
convex_per,16,Gurobi,2.1471448,0.3054423,0.9363982,0.0250915,0.0166957,530.6128253556117,OPTIMAL,2688,2309,0.0323525,520.1159378898827,OPTIMAL,0
convex_per,20,Gurobi,2.8092431,0.3286437,0.9504608,0.0289874,0.0213325,524.5785958357616,OPTIMAL,3360,2885,0.0325943,520.0260703854456,OPTIMAL,0
convex_per,30,Gurobi,3.6932196,0.3268542,1.0557817,0.0418938,0.0265,519.0984207072974,OPTIMAL,5040,4325,0.0325474,518.3798277766151,OPTIMAL,0
convex_per,60,Gurobi,8.1610955,0.3528665,1.0966751,0.1187636,0.0484013,513.874928799648,OPTIMAL,10080,8645,0.0344751,517.0778182326637,OPTIMAL,0
convex_per,90,Gurobi,12.3428165,0.3630981,1.0085081,0.2695982,0.0646262,516.517751435977,OPTIMAL,15120,12965,0.0328496,514.0577903229333,OPTIMAL,0
convex_per,120,Gurobi,14.6204994,0.4155467,1.1723462,0.3829825,0.0869785,516.4721831956348,OPTIMAL,20160,17285,0.0321733,514.8419467974587,OPTIMAL,0
convex_per,180,Gurobi,22.6619476,0.507068,1.4546123,0.7523091,0.1162168,516.8914561015523,OPTIMAL,30240,25925,0.0301763,513.7341291264613,OPTIMAL,0
convex_per,240,Gurobi,31.9209647,0.6167978,1.4917221,1.300561,0.1522027,515.3395984397771,OPTIMAL,40320,34565,0.0312896,513.3200595219438,OPTIMAL,0
convex_per,360,Gurobi,53.2686759,0.7065747,1.7884855,1.4591764,0.3747782,512.8267898945211,OPTIMAL,60480,51845,0.0331247,509.86771626046936,OPTIMAL,0
conical_cross,4,Gurobi,4.8802848,0.2430924,0.7142257,0.0071353,0.0084351,486.1338629420402,OPTIMAL,672,581,0.032156,516.97143933327,OPTIMAL,0
conical_cross,8,Gurobi,2.6969669,0.2556345,0.7473317,0.010856,0.0111478,531.1909556073402,OPTIMAL,1344,1157,0.0329482,513.7813351499401,OPTIMAL,0
conical_cross,12,Gurobi,3.655559,0.2839816,0.8932332,0.0170793,0.0266563,513.4227379706258,OPTIMAL,2016,1733,0.034371,515.9013188865833,OPTIMAL,0
conical_cross,16,Gurobi,4.0648694,0.314208,0.8850246,0.0217145,0.0183334,533.7008915962215,OPTIMAL,2688,2309,0.0310966,516.1285794537476,OPTIMAL,0
conical_cross,20,Gurobi,4.7325066,0.3134085,0.944958,0.0251522,0.0195838,533.2073122244328,OPTIMAL,3360,2885,0.0292841,515.9868252439444,OPTIMAL,0
conical_cross,30,Gurobi,6.1206303,0.3201712,1.135251,0.0426238,0.024882,529.4333341232739,OPTIMAL,5040,4325,0.0299092,515.9991510457618,OPTIMAL,0
conical_cross,60,Gurobi,10.6790683,0.3294323,0.9653616,0.092176,0.0454284,517.7938467773528,OPTIMAL,10080,8645,0.0294849,514.806663836016,OPTIMAL,0
conical_cross,90,Gurobi,11.1708407,0.353519,0.992639,0.2810935,0.0676055,516.6994145095565,OPTIMAL,15120,12965,0.0345481,513.2731170707586,OPTIMAL,0
conical_cross,120,Gurobi,15.6289509,0.3703011,0.9671601,0.3180913,0.0789696,516.0345974868926,OPTIMAL,20160,17285,0.0335073,512.9427757079601,OPTIMAL,0
conical_cross,180,Gurobi,31.0940603,0.4492788,1.1942596,0.7542686,0.1153106,509.28293155214743,OPTIMAL,30240,25925,0.031531,510.04010487707836,OPTIMAL,0
conical_cross,240,Gurobi,42.3242649,0.5329729,1.3012948,1.1348166,0.1535356,508.3405294223677,OPTIMAL,40320,34565,0.0319397,506.90902705878096,OPTIMAL,0
conical_cross,360,Gurobi,69.0389714,0.6657433,1.7318544,1.676492,0.2213901,496.3411142284091,OPTIMAL,60480,51845,0.0326453,489.42042398211794,OPTIMAL,0
conical_per,4,Gurobi,0.5582282,0.2941737,0.9153779,0.0063965,0.0092159,492.6722783163455,OPTIMAL,672,581,0.0495022,529.8690668569394,OPTIMAL,0
conical_per,8,Gurobi,2.2536731,0.2623844,0.8611468,0.0111219,0.0122467,507.40931981088676,OPTIMAL,1344,1157,0.030864,523.0844913590226,OPTIMAL,0
conical_per,12,Gurobi,1.1110514,0.2730322,0.7857405,0.0363365,0.0143357,527.6669223995248,OPTIMAL,2016,1733,0.0368898,515.2197554498032,OPTIMAL,0
conical_per,16,Gurobi,1.7313555,0.2933099,0.8279269,0.02113,0.0176093,535.944486262801,OPTIMAL,2688,2309,0.0470905,516.6597557997579,OPTIMAL,0
conical_per,20,Gurobi,2.0531783,0.3071394,0.8667485,0.0250925,0.0200946,527.5432901209163,OPTIMAL,3360,2885,0.0336624,515.248712567584,OPTIMAL,0
conical_per,30,Gurobi,2.8025394,0.3162895,0.9555424,0.0402147,0.0259324,532.3359701832956,OPTIMAL,5040,4325,0.0337254,516.2956382186748,OPTIMAL,0
conical_per,60,Gurobi,4.7151995,0.3510942,1.0431461,0.1097593,0.0429653,529.8451381565982,OPTIMAL,10080,8645,0.0347001,514.6697853229357,OPTIMAL,0
conical_per,90,Gurobi,7.8984205,0.343136,0.9871581,0.2347738,0.0604502,524.0370833273039,OPTIMAL,15120,12965,0.0320876,514.6877467520061,OPTIMAL,0
conical_per,120,Gurobi,8.3850555,0.4008612,1.1373478,0.341956,0.0784517,522.3357729580046,OPTIMAL,20160,17285,0.0312579,514.7281767687236,OPTIMAL,0
conical_per,180,Gurobi,12.9529065,0.4799739,1.3408892,0.7487102,0.1165517,516.0278485397731,OPTIMAL,30240,25925,0.0327847,513.3403784874191,OPTIMAL,0
conical_per,240,Gurobi,20.0080878,0.5215768,1.2964726,1.1000274,0.1534111,513.1618743603533,OPTIMAL,40320,34565,0.033,513.1012051444226,OPTIMAL,0
