base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand
0_HourlyBenchmark,1,Gurobi,0.0,1.333748,4.0612625,4.0395782,0.616653,480.452727657423,OPTIMAL,122640,105125,0.0,0.0,,9
convex_cross,4,Gurobi,0.7135734,0.3366236,0.8440153,0.0059816,0.0106294,491.92164821892527,OPTIMAL,672,581,0.073744,521.6578204706784,OPTIMAL,0
convex_cross,8,Gurobi,1.1893892,0.2874607,0.7242578,0.0101792,0.0120007,532.296872862511,OPTIMAL,1344,1157,0.0399421,516.3976919294896,OPTIMAL,0
convex_cross,12,Gurobi,3.1827767,0.3380204,0.8492284,0.0141596,0.0156306,532.2557428717423,OPTIMAL,2016,1733,0.0350972,516.6042057765869,OPTIMAL,0
convex_cross,16,Gurobi,2.2815578,0.3213568,0.8815206,0.0212189,0.0156233,531.5039376004166,OPTIMAL,2688,2309,0.0322911,516.21237705653,OPTIMAL,0
convex_cross,20,Gurobi,3.0451355,0.36393,0.9988929,0.0255389,0.0224664,519.1827926912179,OPTIMAL,3360,2885,0.0488343,515.1490466111359,OPTIMAL,0
convex_cross,30,Gurobi,5.2043676,0.3923238,1.1496581,0.0456533,0.0265337,517.0027141339477,OPTIMAL,5040,4325,0.0343577,515.2507699882542,OPTIMAL,0
convex_cross,60,Gurobi,9.5105163,0.4260399,1.2347188,0.108835,0.0440389,516.8094060250926,OPTIMAL,10080,8645,0.0327941,514.0338430548816,OPTIMAL,0
convex_cross,90,Gurobi,13.7058639,0.4453987,1.3643271,0.3372057,0.0941714,514.8616287930682,OPTIMAL,15120,12965,0.0332363,513.5917648169262,OPTIMAL,0
convex_cross,120,Gurobi,19.7222604,0.5083638,1.1409055,0.3712246,0.0852399,516.0101056959826,OPTIMAL,20160,17285,0.0374421,512.7439574969727,OPTIMAL,0
convex_cross,180,Gurobi,29.6285253,0.504064,1.4417783,0.7813253,0.1102033,513.471928483679,OPTIMAL,30240,25925,0.0347085,509.9212470931828,OPTIMAL,0
convex_cross,240,Gurobi,46.3574628,0.6120128,1.673223,0.8758487,0.1682699,511.84646603900114,OPTIMAL,40320,34565,0.0374272,509.1646964434995,OPTIMAL,0
convex_cross,360,Gurobi,87.963644,0.7768293,2.0879051,1.4269239,0.2158301,500.72187671797457,OPTIMAL,60480,51845,0.0342607,487.652452343912,OPTIMAL,1
convex_per,4,Gurobi,0.4471395,0.3756772,0.9973407,0.0061223,0.0116029,548.136919431042,OPTIMAL,672,581,0.0488172,530.0872369413005,OPTIMAL,0
convex_per,8,Gurobi,2.2061168,0.3884389,1.0026763,0.0096439,0.0163436,562.8580610070145,OPTIMAL,1344,1157,0.1082513,526.024130493035,OPTIMAL,0
