base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand
0_HourlyBenchmark,1,Gurobi,0.0,1.1075881,4.0732531,6.3636473,0.7261115,490.37233247512637,OPTIMAL,122640,105125,0.0,0.0,,9
kmedoids_cross_convex,4,Gurobi,2.2467744,0.2733626,0.7679876,0.006895,0.0094463,466.73069862341504,OPTIMAL,672,581,0.1373933,1945.5023559294525,OPTIMAL,1649
kmedoids_cross_convex,4,Gurobi,0.2205275,0.2790912,0.8567231,0.0076152,0.0098343,442.1456730232735,OPTIMAL,672,581,0.1010006,3807.205717335548,OPTIMAL,3173
kmedoids_cross_convex,4,Gurobi,0.2216503,0.2813115,0.916803,0.0070605,0.0098853,440.38707957603015,OPTIMAL,672,581,0.0747223,6023.655815375799,OPTIMAL,4311
kmedoids_cross_convex,4,Gurobi,0.2911556,0.3055871,0.9820775,0.00691,0.0092401,429.5546902246821,OPTIMAL,672,581,0.0856428,3968.857568680964,OPTIMAL,3192
kmedoids_cross_convex,4,Gurobi,0.2293357,0.311752,0.9871967,0.0068809,0.0095557,449.6898768785077,OPTIMAL,672,581,0.0917375,7260.113675312061,OPTIMAL,4703
kmedoids_cross_convex,4,Gurobi,0.24281,0.3420581,1.0915339,0.0084358,0.0101741,455.4452229823787,OPTIMAL,672,581,0.0348026,7431.350774196552,OPTIMAL,4752
kmedoids_cross_convex,4,Gurobi,0.2455485,0.3565059,1.2368633,0.007729,0.0104742,449.6898768785077,OPTIMAL,672,581,0.0368771,7260.113675312059,OPTIMAL,4703
kmedoids_cross_convex,4,Gurobi,1.5364778,0.2881443,0.7869636,0.0060592,0.0099168,463.38149179122416,OPTIMAL,672,581,0.1555497,1910.6538820926387,OPTIMAL,1606
kmedoids_cross_convex,4,Gurobi,0.456074,0.299758,0.8903827,0.0076088,0.0106424,450.03699970446985,OPTIMAL,672,581,0.0962385,3228.446432316026,OPTIMAL,2773
kmedoids_cross_convex,4,Gurobi,0.2607522,0.2868612,0.9075629,0.0070551,0.0123268,444.64828833813857,OPTIMAL,672,581,0.0848245,3893.8006181393475,OPTIMAL,3239
kmedoids_cross_convex,8,Gurobi,0.3345154,0.3003358,0.9738756,0.0125924,0.011523,425.9744512331492,OPTIMAL,1344,1157,0.0389757,3788.2924029569685,OPTIMAL,3051
kmedoids_cross_convex,8,Gurobi,0.3945523,0.3511414,1.0905936,0.0125679,0.0132026,442.7354775681275,OPTIMAL,1344,1157,0.0565898,2394.0528182179405,OPTIMAL,1931
kmedoids_cross_convex,8,Gurobi,0.3888589,0.3338974,1.0595042,0.0113886,0.0118521,436.1708404173511,OPTIMAL,1344,1157,0.0945017,2728.823559926794,OPTIMAL,2446
kmedoids_cross_convex,8,Gurobi,0.4478761,0.3526295,1.1059654,0.0124617,0.0123191,442.967427383286,OPTIMAL,1344,1157,0.0723046,2452.6794943145837,OPTIMAL,2116
kmedoids_cross_convex,8,Gurobi,0.4327498,0.3728618,1.2416331,0.0146646,0.016463,439.53632299560064,OPTIMAL,1344,1157,0.0608651,3046.5487410590176,OPTIMAL,2704
kmedoids_cross_convex,8,Gurobi,1.653528,0.2894912,0.775785,0.0129344,0.0125563,442.45013857637247,OPTIMAL,1344,1157,0.053771,3714.712292265329,OPTIMAL,3119
kmedoids_cross_convex,8,Gurobi,0.5199304,0.3004359,0.8949373,0.0134602,0.0124863,456.3302972744623,OPTIMAL,1344,1157,0.076856,2387.1389451163873,OPTIMAL,2000
kmedoids_cross_convex,8,Gurobi,0.4998775,0.331887,0.9913546,0.0116259,0.0115558,428.66201598370014,OPTIMAL,1344,1157,0.0935756,3774.299301633044,OPTIMAL,3049
kmedoids_cross_convex,8,Gurobi,0.4322734,0.3011997,0.9414327,0.0132374,0.0119717,433.04037733966703,OPTIMAL,1344,1157,0.0358783,3990.9425382400655,OPTIMAL,3230
kmedoids_cross_convex,8,Gurobi,0.3736998,0.3276267,0.9914458,0.0133262,0.0118537,437.28841229987665,OPTIMAL,1344,1157,0.0682551,2702.5424590416737,OPTIMAL,2442
kmedoids_cross_convex,12,Gurobi,0.4810771,0.3320468,1.1032581,0.0193694,0.0155661,441.46579829442834,OPTIMAL,2016,1733,0.0534057,1480.7157228858446,OPTIMAL,1265
kmedoids_cross_convex,12,Gurobi,0.4805807,0.3447538,1.1186934,0.0195885,0.0157975,436.03558566559127,OPTIMAL,2016,1733,0.0556969,2547.2134029120048,OPTIMAL,2299
kmedoids_cross_convex,12,Gurobi,0.5774133,0.3971019,1.1838286,0.0187355,0.0147111,425.5936260243465,OPTIMAL,2016,1733,0.0342848,2906.2167758085093,OPTIMAL,2574
kmedoids_cross_convex,12,Gurobi,1.8497344,0.3097267,0.8346223,0.0196116,0.0130103,434.8527148365459,OPTIMAL,2016,1733,0.0370759,2737.2432625296524,OPTIMAL,2479
kmedoids_cross_convex,12,Gurobi,0.67809,0.3101527,0.9369037,0.0186624,0.0149691,446.71812659789157,OPTIMAL,2016,1733,0.0613651,1392.2789671032126,OPTIMAL,1132
kmedoids_cross_convex,12,Gurobi,0.6066091,0.3176801,1.0131611,0.0185825,0.0142782,449.0452103257967,OPTIMAL,2016,1733,0.0574117,1990.7105830658911,OPTIMAL,1764
kmedoids_cross_convex,12,Gurobi,0.6240627,0.3613308,1.1432492,0.0213576,0.0145308,441.042191214585,OPTIMAL,2016,1733,0.0588152,2006.651269513672,OPTIMAL,1728
kmedoids_cross_convex,12,Gurobi,0.5406133,0.3385816,1.06879,0.0181903,0.0153515,439.9519876568965,OPTIMAL,2016,1733,0.074096,2980.210195847217,OPTIMAL,2439
kmedoids_cross_convex,12,Gurobi,0.5137833,0.3716357,1.0686836,0.0181032,0.0150809,451.1948478046733,OPTIMAL,2016,1733,0.0686391,1523.76580523406,OPTIMAL,1309
kmedoids_cross_convex,12,Gurobi,0.4868715,0.3559465,1.196332,0.0205126,0.0148528,433.3548926196324,OPTIMAL,2016,1733,0.0561943,2677.992315236503,OPTIMAL,2421
kmedoids_cross_convex,16,Gurobi,1.8054815,0.3099334,0.8198278,0.0291653,0.0167205,463.2825084627264,OPTIMAL,2688,2309,0.0754,629.6428148549442,OPTIMAL,208
kmedoids_cross_convex,16,Gurobi,0.8214654,0.327974,0.852443,0.0284822,0.0164891,449.24686676008423,OPTIMAL,2688,2309,0.0481862,879.9499484133564,OPTIMAL,552
kmedoids_cross_convex,16,Gurobi,0.7239252,0.370874,0.9057183,0.0279631,0.0196472,460.0722976607502,OPTIMAL,2688,2309,0.0527575,608.7130509387607,OPTIMAL,178
kmedoids_cross_convex,16,Gurobi,0.6615336,0.3764026,1.0403818,0.0278808,0.0168807,441.1280637693013,OPTIMAL,2688,2309,0.0545289,1444.7414702102728,OPTIMAL,1236
kmedoids_cross_convex,16,Gurobi,0.6733887,0.3610877,1.0498686,0.0294948,0.0168405,436.30398081117147,OPTIMAL,2688,2309,0.0422634,1570.3825032380207,OPTIMAL,1361
kmedoids_cross_convex,16,Gurobi,0.7810481,0.3990564,1.127941,0.0277223,0.0175327,453.9759367136293,OPTIMAL,2688,2309,0.0766011,1904.4004662692437,OPTIMAL,1546
kmedoids_cross_convex,16,Gurobi,0.7195864,0.3785826,1.1890506,0.0525735,0.0241903,453.05337570902327,OPTIMAL,2688,2309,0.1144144,1746.1201312357684,OPTIMAL,1399
kmedoids_cross_convex,16,Gurobi,1.9142795,0.3092248,0.8208032,0.0323062,0.0162987,440.75510603907185,OPTIMAL,2688,2309,0.0740325,1803.2106198140473,OPTIMAL,1555
kmedoids_cross_convex,16,Gurobi,0.8170035,0.3286978,0.8345677,0.027138,0.016342,443.92952282522407,OPTIMAL,2688,2309,0.0508508,1590.5834418169688,OPTIMAL,1386
kmedoids_cross_convex,16,Gurobi,0.5636846,0.3660324,0.9774308,0.0268868,0.018218,439.0710567985381,OPTIMAL,2688,2309,0.0355663,1863.8843764700441,OPTIMAL,1647
kmedoids_cross_convex,20,Gurobi,0.7199782,0.3191345,1.0707131,0.0384934,0.0263786,460.24120302300975,OPTIMAL,3360,2885,0.056273,687.5399269732081,OPTIMAL,277
kmedoids_cross_convex,20,Gurobi,0.7745656,0.3293873,1.0006981,0.0302161,0.0198173,449.9806190801827,OPTIMAL,3360,2885,0.0520237,885.7175522224287,OPTIMAL,565
kmedoids_cross_convex,20,Gurobi,0.8748318,0.389468,1.1276936,0.0418482,0.0203618,455.86481943571556,OPTIMAL,3360,2885,0.055573,639.2336436651858,OPTIMAL,204
kmedoids_cross_convex,20,Gurobi,0.8126456,0.371233,1.2154316,0.0368705,0.0228064,482.0325599643622,OPTIMAL,3360,2885,0.0546791,493.7036643605043,OPTIMAL,2
kmedoids_cross_convex,20,Gurobi,2.2533137,0.3470078,0.9483005,0.04729,0.0197717,442.10005839272145,OPTIMAL,3360,2885,0.0601817,1428.8940636123384,OPTIMAL,1203
kmedoids_cross_convex,20,Gurobi,0.9124517,0.3358957,0.8032442,0.0313815,0.0192706,448.9125025848524,OPTIMAL,3360,2885,0.0533205,1261.3169013069191,OPTIMAL,1003
kmedoids_cross_convex,20,Gurobi,0.7884469,0.3328395,0.8266551,0.0408233,0.0199819,464.53014850099447,OPTIMAL,3360,2885,0.0679099,662.5844297407198,OPTIMAL,264
kmedoids_cross_convex,20,Gurobi,0.7393485,0.3087796,1.0537559,0.0479194,0.0200555,455.27689872686426,OPTIMAL,3360,2885,0.0840944,1974.105158480472,OPTIMAL,1518
kmedoids_cross_convex,20,Gurobi,0.8075499,0.3223905,0.9748888,0.0322073,0.0183951,451.53506586657124,OPTIMAL,3360,2885,0.0683689,1072.8933291310404,OPTIMAL,791
kmedoids_cross_convex,20,Gurobi,0.7779829,0.3649111,1.0320952,0.0349795,0.0191566,443.90201815033913,OPTIMAL,3360,2885,0.0522868,1303.4463192009111,OPTIMAL,1079
kmedoids_cross_convex,30,Gurobi,1.0293037,0.3657693,1.1330368,0.0540025,0.0251759,461.8733306760676,OPTIMAL,5040,4325,0.0533337,680.8918654329636,OPTIMAL,266
kmedoids_cross_convex,30,Gurobi,2.6989231,0.3309466,0.886107,0.0516713,0.0248849,449.78082499096695,OPTIMAL,5040,4325,0.0503624,874.2260202597977,OPTIMAL,537
kmedoids_cross_convex,30,Gurobi,1.0601705,0.349228,0.9082249,0.057404,0.0260399,457.683109152627,OPTIMAL,5040,4325,0.0604163,670.2768905966803,OPTIMAL,229
kmedoids_cross_convex,30,Gurobi,1.0162479,0.3577507,1.0506212,0.0663642,0.0250679,488.33290534713694,OPTIMAL,5040,4325,0.0528977,492.63319990634693,OPTIMAL,3
kmedoids_cross_convex,30,Gurobi,1.0608721,0.319948,0.9709153,0.0854338,0.0305444,464.0035377502564,OPTIMAL,5040,4325,0.049283,656.58769906067,OPTIMAL,241
kmedoids_cross_convex,30,Gurobi,1.0010953,0.3645849,1.0972592,0.0586675,0.0249021,460.2837672299951,OPTIMAL,5040,4325,0.0384547,712.6783645722657,OPTIMAL,325
kmedoids_cross_convex,30,Gurobi,0.9750813,0.3575002,1.0838227,0.0894738,0.0360281,460.7845119859902,OPTIMAL,5040,4325,0.0384915,679.6675989082752,OPTIMAL,280
kmedoids_cross_convex,30,Gurobi,2.3774334,0.3183143,0.8243969,0.0595575,0.0241195,465.74481495365944,OPTIMAL,5040,4325,0.0488514,555.1848824990269,OPTIMAL,112
kmedoids_cross_convex,30,Gurobi,1.2531223,0.3432953,0.8879783,0.0623174,0.0285254,447.23772032586294,OPTIMAL,5040,4325,0.0540217,1136.0532286586463,OPTIMAL,841
kmedoids_cross_convex,30,Gurobi,1.1551967,0.3642814,1.027314,0.0616683,0.0265767,485.5579854916664,OPTIMAL,5040,4325,0.0760056,501.13824166728347,OPTIMAL,37
kmedoids_cross_convex,60,Gurobi,1.5959544,0.4228642,1.2745923,0.2437928,0.0432493,462.6624107435487,OPTIMAL,10080,8645,0.0554694,622.1172187765518,OPTIMAL,193
kmedoids_cross_convex,60,Gurobi,1.6617334,0.4496673,1.3758003,0.1603396,0.0457419,472.1951753188693,OPTIMAL,10080,8645,0.0348965,520.3935256714994,OPTIMAL,66
kmedoids_cross_convex,60,Gurobi,1.7098612,0.4479849,1.3021688,0.2260553,0.048462,461.43648235575915,OPTIMAL,10080,8645,0.0483681,683.796088482438,OPTIMAL,245
kmedoids_cross_convex,60,Gurobi,3.3398035,0.3908468,0.9645279,0.1753096,0.0405865,492.0274211111457,OPTIMAL,10080,8645,0.0493882,491.8474086077124,OPTIMAL,6
kmedoids_cross_convex,60,Gurobi,1.5790656,0.4288631,0.9625522,0.1929866,0.0416287,494.13258091865265,OPTIMAL,10080,8645,0.0306668,491.9991864661981,OPTIMAL,7
kmedoids_cross_convex,60,Gurobi,1.6871816,0.4426487,1.1268088,0.1483038,0.0421496,490.46842092193407,OPTIMAL,10080,8645,0.0356538,491.56763802661266,OPTIMAL,5
