base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand
0_HourlyBenchmark,1,Gurobi,0.0,2.2796986,3.0182745,4.2568836,0.9984876,480.452727657423,OPTIMAL,122640,105125,0.0,0.0,,9
kmedoids_cross_convex,4,Gurobi,1.6495837,0.2946344,0.9470521,0.0063863,0.009443,542.8475363808085,OPTIMAL,672,581,0.1337011,525.2782569074926,OPTIMAL,0
kmedoids_cross_convex,4,Gurobi,0.4395436,0.2846406,0.9193206,0.0063552,0.0095074,542.8475363808085,OPTIMAL,672,581,0.0161484,525.2782569074926,OPTIMAL,0
kmedoids_cross_convex,4,Gurobi,0.5356709,0.401974,1.2479694,0.0061185,0.0100561,542.8475363808085,OPTIMAL,672,581,0.0138432,525.2782569074926,OPTIMAL,0
kmedoids_cross_convex,4,Gurobi,0.4119028,0.3097833,1.0677173,0.0061088,0.0097453,542.8475363808085,OPTIMAL,672,581,0.0134084,525.2782569074926,OPTIMAL,0
kmedoids_cross_convex,4,Gurobi,0.4204295,0.3247882,1.0689655,0.0062518,0.0101458,542.8475363808085,OPTIMAL,672,581,0.0163289,525.2782569074926,OPTIMAL,0
kmedoids_cross_convex,4,Gurobi,0.4032313,0.3209717,0.9969543,0.0063883,0.0104552,542.8475363808085,OPTIMAL,672,581,0.0126421,525.2782569074926,OPTIMAL,0
kmedoids_cross_convex,4,Gurobi,0.3940116,0.3205671,1.0334539,0.0059316,0.0101393,542.8475363808086,OPTIMAL,672,581,0.0150691,525.2782569074926,OPTIMAL,0
kmedoids_cross_convex,4,Gurobi,0.4299902,0.3301692,1.0480809,0.005601,0.0100622,542.8475363808086,OPTIMAL,672,581,0.0141113,525.2782569074926,OPTIMAL,0
kmedoids_cross_convex,4,Gurobi,1.5084341,0.2914883,0.8557144,0.0062252,0.0111452,542.8475363808086,OPTIMAL,672,581,0.0156384,525.2782569074926,OPTIMAL,0
kmedoids_cross_convex,4,Gurobi,0.4646117,0.2895618,0.8703588,0.0057736,0.0095089,542.8475363808086,OPTIMAL,672,581,0.0134858,525.2782569074926,OPTIMAL,0
kmedoids_cross_convex,8,Gurobi,0.8288345,0.2918996,0.9633549,0.0103998,0.0125403,515.6973460245798,OPTIMAL,1344,1157,0.1105501,517.303799535962,OPTIMAL,0
kmedoids_cross_convex,8,Gurobi,0.8776181,0.3250756,1.0603554,0.0107524,0.0127653,514.4125517319001,OPTIMAL,1344,1157,0.0583762,515.7112433518478,OPTIMAL,0
kmedoids_cross_convex,8,Gurobi,0.9100508,0.3397499,1.0019878,0.0110959,0.0119052,520.2030166871346,OPTIMAL,1344,1157,0.0526036,518.3190521839465,OPTIMAL,0
kmedoids_cross_convex,8,Gurobi,0.8317838,0.3458589,1.0654138,0.0099911,0.0121705,526.7342807721676,OPTIMAL,1344,1157,0.0678209,522.3068852752501,OPTIMAL,0
kmedoids_cross_convex,8,Gurobi,0.911054,0.328855,1.0527297,0.0100915,0.0118532,522.9027701877329,OPTIMAL,1344,1157,0.0874739,517.1582298356999,OPTIMAL,0
kmedoids_cross_convex,8,Gurobi,2.1082541,0.2927491,0.7671459,0.009219,0.0111401,515.1092471948284,OPTIMAL,1344,1157,0.0990739,524.3712253563407,OPTIMAL,0
kmedoids_cross_convex,8,Gurobi,0.9734039,0.2705646,0.8426181,0.0108017,0.0116427,517.5735605085799,OPTIMAL,1344,1157,0.0740623,517.2782288444199,OPTIMAL,0
kmedoids_cross_convex,8,Gurobi,0.9425315,0.3247066,0.9086444,0.0100845,0.0116097,531.5414216614511,OPTIMAL,1344,1157,0.0549677,522.3065547219155,OPTIMAL,0
kmedoids_cross_convex,8,Gurobi,0.8863339,0.3317333,1.0609914,0.0103698,0.0133652,523.4167143132471,OPTIMAL,1344,1157,0.0504056,518.1980120255697,OPTIMAL,0
kmedoids_cross_convex,8,Gurobi,0.8882796,0.324498,1.1180147,0.0112833,0.0122422,515.7000234661432,OPTIMAL,1344,1157,0.0496212,517.7663786236815,OPTIMAL,0
kmedoids_cross_convex,12,Gurobi,0.9652585,0.330873,1.0667921,0.014555,0.0145635,514.6660956001832,OPTIMAL,2016,1733,0.0519856,515.9920893620257,OPTIMAL,0
kmedoids_cross_convex,12,Gurobi,1.2630922,0.3457895,1.095501,0.0159979,0.0144302,512.873462130119,OPTIMAL,2016,1733,0.0544852,515.3500948828153,OPTIMAL,0
