base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand
0_HourlyBenchmark,1,Gurobi,0.0,1.0422921,4.1414463,7.0277089,0.4840657,490.37233247512637,OPTIMAL,122640,105125,0.0,0.0,,9
convex_cross,4,Gurobi,5.6090187,0.2542397,0.8086296,0.0071401,0.0101882,512.7371050151252,OPTIMAL,672,581,0.1054791,532.1001823525029,OPTIMAL,0
convex_cross,8,Gurobi,4.0123705,0.2731584,0.7680519,0.0104612,0.0128792,550.6179490749494,OPTIMAL,1344,1157,0.0974357,512.7105698231395,OPTIMAL,0
convex_cross,12,Gurobi,5.3766428,0.268397,0.8729614,0.0352446,0.013336,543.7636366217486,OPTIMAL,2016,1733,0.0538243,496.2238081415406,OPTIMAL,0
convex_cross,16,Gurobi,6.0642889,0.2840352,0.8240357,0.0249184,0.0227216,525.8855096286198,OPTIMAL,2688,2309,0.0374387,494.53235308035244,OPTIMAL,2
convex_cross,20,Gurobi,6.8429229,0.2937405,0.8591739,0.0421526,0.0208969,518.1830894559104,OPTIMAL,3360,2885,0.063592,496.8272375845546,OPTIMAL,0
convex_cross,30,Gurobi,7.7928412,0.3041036,0.9565537,0.0519311,0.0254355,505.38279807503005,OPTIMAL,5040,4325,0.040036,492.0320773903332,OPTIMAL,3
convex_cross,60,Gurobi,11.6100964,0.3470778,0.9628783,0.146785,0.0485491,510.26792383988584,OPTIMAL,10080,8645,0.0349743,494.4385546041937,OPTIMAL,0
convex_cross,90,Gurobi,13.4373712,0.3689509,1.1188833,0.3862008,0.0619804,493.0498651869594,OPTIMAL,15120,12965,0.0341094,491.8615238298383,OPTIMAL,4
convex_cross,120,Gurobi,13.7466027,0.4111934,1.2473794,0.4749791,0.0766356,493.5838969592021,OPTIMAL,20160,17285,0.0324825,491.7197122380419,OPTIMAL,2
convex_cross,180,Gurobi,19.5571728,0.4844145,1.3589688,1.1579885,0.1260857,492.5227315556058,OPTIMAL,30240,25925,0.0358151,491.62781845889634,OPTIMAL,4
convex_cross,240,Gurobi,28.8741455,0.53087,1.3315049,2.0248913,0.1493951,490.65989769252195,OPTIMAL,40320,34565,0.03402,491.65953481892717,OPTIMAL,4
convex_cross,360,Gurobi,50.1657435,1.0928393,2.5807312,2.2582485,0.6003427,489.71236146825845,OPTIMAL,60480,51845,0.0474082,491.1312446180704,OPTIMAL,6
convex_per,4,Gurobi,1.0555493,0.2823744,0.8392991,0.0068396,0.0096923,506.52617985356505,OPTIMAL,672,581,0.0486943,534.9904062149051,OPTIMAL,0
convex_per,8,Gurobi,2.7092438,0.2667882,0.8091999,0.011489,0.011501,542.6090297098535,OPTIMAL,1344,1157,0.0378624,525.3595689749694,OPTIMAL,0
convex_per,12,Gurobi,2.7869951,0.2786579,0.8219179,0.0174649,0.0187721,524.6583162439424,OPTIMAL,2016,1733,0.0377192,494.9343721064764,OPTIMAL,1
convex_per,16,Gurobi,4.0724163,0.3095842,0.8821056,0.0226788,0.016344,551.1560084679485,OPTIMAL,2688,2309,0.0355244,493.98236847522276,OPTIMAL,3
convex_per,20,Gurobi,4.5231477,0.3088199,0.93204,0.0350133,0.0190359,530.5385798683318,OPTIMAL,3360,2885,0.0339767,494.0380041698767,OPTIMAL,2
convex_per,30,Gurobi,3.9466708,0.3181983,0.9551492,0.0532857,0.0246942,506.71059780482744,OPTIMAL,5040,4325,0.0367609,492.36890344997767,OPTIMAL,3
convex_per,60,Gurobi,6.7564708,0.3574161,0.9859845,0.1429038,0.0414276,510.17771621449185,OPTIMAL,10080,8645,0.0332777,492.94112480055463,OPTIMAL,1
convex_per,90,Gurobi,8.9557877,0.3708969,1.0674142,0.27726,0.0615231,500.8897585832014,OPTIMAL,15120,12965,0.0370662,491.8829627299646,OPTIMAL,2
convex_per,120,Gurobi,9.8770839,0.417767,1.1804002,0.4256076,0.0722421,498.66969309941913,OPTIMAL,20160,17285,0.0321412,491.90574024729784,OPTIMAL,2
convex_per,180,Gurobi,11.3622547,0.4909234,1.2777884,0.9208921,0.1100035,495.2862577446858,OPTIMAL,30240,25925,0.035851,491.6886684680418,OPTIMAL,2
convex_per,240,Gurobi,14.5930201,0.5497179,1.3992911,1.7116719,0.1407557,493.4770728729118,OPTIMAL,40320,34565,0.0331138,491.43343554286696,OPTIMAL,4
convex_per,360,Gurobi,19.9733212,0.6873294,1.6881559,2.1052334,0.2335817,492.21672097431883,OPTIMAL,60480,51845,0.0321262,491.2776086947092,OPTIMAL,5
conicalb_cross,4,Gurobi,3.1016659,0.2622212,0.8002394,0.0061006,0.0093397,548.4716739706433,OPTIMAL,672,581,0.0916438,526.9307621506273,OPTIMAL,0
conicalb_cross,8,Gurobi,4.6258437,0.2553135,0.7608663,0.0094923,0.0128119,532.8532872855527,OPTIMAL,1344,1157,0.0865392,502.61483599775283,OPTIMAL,4
conicalb_cross,12,Gurobi,5.4661482,0.2897794,0.9336432,0.0164316,0.016156,532.5559671997821,OPTIMAL,2016,1733,0.041476,497.3859834540158,OPTIMAL,0
conicalb_cross,16,Gurobi,4.2159871,0.3120366,0.9139444,0.0262515,0.0171631,515.1104117287421,OPTIMAL,2688,2309,0.0322195,500.7291040914083,OPTIMAL,0
conicalb_cross,20,Gurobi,7.5637406,0.3097286,0.9654225,0.0325669,0.0196382,506.8717989645501,OPTIMAL,3360,2885,0.0349971,493.3528324827505,OPTIMAL,3
conicalb_cross,30,Gurobi,6.5641438,0.3213204,0.9637079,0.0537181,0.0236168,498.5782732556913,OPTIMAL,5040,4325,0.0345605,493.3485786354842,OPTIMAL,1
conicalb_cross,60,Gurobi,10.610077,0.369685,1.1105993,0.1523699,0.0419617,486.12621631805007,OPTIMAL,10080,8645,0.0345038,491.5163243159894,OPTIMAL,7
conicalb_cross,90,Gurobi,14.5464846,0.3506513,1.0291814,0.3488517,0.0620583,485.16122745984234,OPTIMAL,15120,12965,0.0354831,492.1544760908801,OPTIMAL,4
conicalb_cross,120,Gurobi,16.259518,0.4110214,1.2254186,0.4448302,0.0751443,485.413406507694,OPTIMAL,20160,17285,0.0317112,491.98564050684234,OPTIMAL,5
conicalb_cross,180,Gurobi,21.1354176,0.4996745,1.3761163,1.1714966,0.1178876,487.03939986264146,OPTIMAL,30240,25925,0.0369732,491.6131942240916,OPTIMAL,4
conicalb_cross,240,Gurobi,27.2076251,0.5128105,1.4495927,1.1440938,0.1445646,486.05288490455035,OPTIMAL,40320,34565,0.0322768,491.45737688971127,OPTIMAL,5
