base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand
0_HourlyBenchmark,1,Gurobi,0.0,5.7676372,16.9194845,7.5829693,2.0380858,478.4794048830108,OPTIMAL,122640,105125,0.0,0.0,,10
convex_cross,4,Gurobi,13.8996011,0.3169429,0.9038849,0.007017,0.0134515,443.3078402212074,OPTIMAL,672,581,0.105046,535.3882660128975,OPTIMAL,0
convex_cross,8,Gurobi,2.4631923,0.2558776,0.8829937,0.0113221,0.0121543,485.4485588682142,OPTIMAL,1344,1157,0.0609422,767.8275522335769,OPTIMAL,277
convex_cross,12,Gurobi,2.875254,0.3604232,0.810199,0.0189796,0.0181582,541.8187338083669,OPTIMAL,2016,1733,0.0827606,505.5659859945023,OPTIMAL,0
convex_cross,16,Gurobi,3.9812308,0.3758527,0.8284825,0.0225376,0.0266016,532.5266828588777,OPTIMAL,2688,2309,0.0480575,489.2952443352395,OPTIMAL,19
convex_cross,20,Gurobi,5.3358263,0.39042,0.8686635,0.030275,0.0314009,509.4735348461701,OPTIMAL,3360,2885,0.0542519,486.2585976942021,OPTIMAL,3
convex_cross,30,Gurobi,8.5783467,0.4442901,0.8411549,0.0701568,0.0438279,495.71206611799937,OPTIMAL,5040,4325,0.0527007,485.0505356399361,OPTIMAL,23
convex_cross,60,Gurobi,13.662456,0.4426866,1.0131416,0.2127655,0.0774282,502.95152927202224,OPTIMAL,10080,8645,0.056829,483.21472321042125,OPTIMAL,4
convex_cross,90,Gurobi,17.8094619,0.5117576,1.1895037,0.4964947,0.1091643,481.99280142459094,OPTIMAL,15120,12965,0.0734863,479.73755926473433,OPTIMAL,14
convex_cross,120,Gurobi,23.2814624,0.600982,1.3459412,0.6123708,0.2281643,485.1573538568469,OPTIMAL,20160,17285,0.0547523,479.65451352514884,OPTIMAL,9
convex_cross,180,Gurobi,32.2900502,0.6520965,1.5728852,1.0785536,0.2281526,480.6252608627391,OPTIMAL,30240,25925,0.0496909,479.06442754873467,OPTIMAL,6
convex_cross,240,Gurobi,41.5296961,0.6967402,1.8057242,1.5709597,0.3318281,480.89613429846327,OPTIMAL,40320,34565,0.0522837,479.21006293787207,OPTIMAL,8
convex_cross,360,Gurobi,60.6435649,1.0629925,2.3799324,2.2096843,0.4922011,480.55797494186777,OPTIMAL,60480,51845,0.0537406,479.272036064196,OPTIMAL,5
convex_per,4,Gurobi,3.1216039,0.4050732,1.012024,0.0086921,0.0121274,500.06557688924227,OPTIMAL,672,581,0.0764514,536.6026922474064,OPTIMAL,0
convex_per,8,Gurobi,2.208123,0.3743476,0.9919798,0.0161856,0.0231931,499.4137562156546,OPTIMAL,1344,1157,0.0634994,521.1298136792666,OPTIMAL,0
convex_per,12,Gurobi,2.1850844,0.3779039,0.9437703,0.0176957,0.0221391,493.54755031379443,OPTIMAL,2016,1733,0.0503678,748.4040290928741,OPTIMAL,265
convex_per,16,Gurobi,2.6134347,0.3618621,0.9786494,0.0269324,0.0293442,527.1036480546106,OPTIMAL,2688,2309,0.0500476,491.9346502670063,OPTIMAL,35
convex_per,20,Gurobi,3.2204689,0.3947104,1.0256889,0.0337076,0.0322241,527.2672633773062,OPTIMAL,3360,2885,0.0473025,489.8979302739805,OPTIMAL,32
convex_per,30,Gurobi,4.8858689,0.4439577,1.0918333,0.0700166,0.0454163,519.448985063664,OPTIMAL,5040,4325,0.0468921,482.940497514767,OPTIMAL,13
convex_per,60,Gurobi,8.4668883,0.5102601,1.2138366,0.1920515,0.0810413,494.6564778186591,OPTIMAL,10080,8645,0.0572814,484.0668743499388,OPTIMAL,20
convex_per,90,Gurobi,12.9462185,0.5465335,1.2481278,0.4742516,0.1151811,497.82461506663157,OPTIMAL,15120,12965,0.0748258,481.2172851062235,OPTIMAL,3
convex_per,120,Gurobi,14.9950059,0.5638936,1.3310066,0.4668124,0.1534394,481.25044974443114,OPTIMAL,20160,17285,0.0510559,481.3449418655982,OPTIMAL,21
