base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand
0_HourlyBenchmark,1,Gurobi,0.0,4.8014054,12.5411988,8.458389,1.4083409,490.37233247512637,OPTIMAL,122640,105125,0.0,0.0,,9
convex_cross,4,Gurobi,11.9841082,0.2420671,0.710046,0.0068755,0.0084902,526.9944421867093,OPTIMAL,672,581,0.1069093,529.280298895383,OPTIMAL,0
convex_cross,8,Gurobi,2.4650602,0.2648249,0.7470807,0.0124715,0.0118746,565.8607326222456,OPTIMAL,1344,1157,0.1249375,530.4734089597281,OPTIMAL,0
convex_cross,12,Gurobi,3.0246828,0.2621728,0.6924421,0.0158996,0.0145096,548.8107108479862,OPTIMAL,2016,1733,0.0917794,519.8016164935813,OPTIMAL,0
convex_cross,16,Gurobi,3.8726604,0.2652005,0.8729063,0.0237623,0.0343504,536.5422966594406,OPTIMAL,2688,2309,0.0431565,514.8454272335415,OPTIMAL,0
convex_cross,20,Gurobi,5.5551146,0.2749603,0.7604252,0.0376114,0.0225241,527.8538823614365,OPTIMAL,3360,2885,0.0603033,494.9763291710911,OPTIMAL,3
convex_cross,30,Gurobi,8.2320868,0.2896987,0.7908152,0.0612536,0.0466623,519.3176284095507,OPTIMAL,5040,4325,0.038267,495.47595960807945,OPTIMAL,0
convex_cross,60,Gurobi,12.7573589,0.3158978,0.9313227,0.1573046,0.0429111,504.13162498784095,OPTIMAL,10080,8645,0.0413813,492.74824709826856,OPTIMAL,3
convex_cross,90,Gurobi,19.5963444,0.4016047,1.1036058,0.4523698,0.0654794,493.5678870046631,OPTIMAL,15120,12965,0.0386999,492.16133642654034,OPTIMAL,4
convex_cross,120,Gurobi,26.0052531,0.4201673,1.1613276,0.5385021,0.0842848,495.4771468905366,OPTIMAL,20160,17285,0.0386333,491.8819805291783,OPTIMAL,5
convex_cross,180,Gurobi,49.9319123,0.7862389,1.7899423,1.0996537,0.1383047,490.27665475659643,OPTIMAL,30240,25925,0.0601901,490.7448344704604,OPTIMAL,8
convex_cross,240,Gurobi,63.2141661,0.8665918,2.3054859,1.4202941,0.2918637,492.04556855373903,OPTIMAL,40320,34565,0.051963,491.1699998298694,OPTIMAL,4
convex_cross,360,Gurobi,111.7449611,0.9953685,2.8526329,2.8523543,0.2993489,491.5449868265811,OPTIMAL,60480,51845,0.0362608,491.2606729658299,OPTIMAL,5
convex_per,4,Gurobi,3.3160633,0.4474942,1.5019084,0.0065297,0.014296,565.5761782416268,OPTIMAL,672,581,0.0892689,529.2390589242036,OPTIMAL,0
convex_per,8,Gurobi,3.1764189,0.4208643,1.3682944,0.0117049,0.0204258,532.7471141515508,OPTIMAL,1344,1157,0.0800931,519.3475589002799,OPTIMAL,0
convex_per,12,Gurobi,2.5030087,0.4651591,1.4224235,0.021185,0.022242,546.2436679993267,OPTIMAL,2016,1733,0.0332897,506.29741887386837,OPTIMAL,0
convex_per,16,Gurobi,3.3930995,0.4730093,1.4292842,0.0220428,0.0290258,552.8246594276131,OPTIMAL,2688,2309,0.0488727,500.2315739976161,OPTIMAL,0
convex_per,20,Gurobi,4.0971864,0.5204845,1.4886776,0.0329124,0.0336022,539.9782494456356,OPTIMAL,3360,2885,0.0728755,495.152153633532,OPTIMAL,2
convex_per,30,Gurobi,5.246975,0.5026606,1.5394067,0.0618791,0.0345247,517.8041438242158,OPTIMAL,5040,4325,0.0306325,493.66681192853696,OPTIMAL,3
convex_per,60,Gurobi,11.8298366,0.486007,1.4426013,0.1892559,0.0754438,493.1356916977126,OPTIMAL,10080,8645,0.037995,491.99116617988136,OPTIMAL,2
convex_per,90,Gurobi,15.2354665,0.5833563,1.7307299,0.4249818,0.0993063,491.48545727678487,OPTIMAL,15120,12965,0.0481126,491.95748427150414,OPTIMAL,2
convex_per,120,Gurobi,19.4982892,0.7253492,1.9869673,0.6567303,0.1127898,493.36602274385535,OPTIMAL,20160,17285,0.0392658,491.92139733226713,OPTIMAL,4
convex_per,180,Gurobi,28.9423267,0.7403138,1.9942012,1.1139351,0.2308692,492.0189969325405,OPTIMAL,30240,25925,0.0340816,491.7100176469776,OPTIMAL,2
convex_per,240,Gurobi,34.4642105,0.8325093,2.2788271,1.9568266,0.2907539,493.66176749148366,OPTIMAL,40320,34565,0.0412055,491.68998612627365,OPTIMAL,3
convex_per,360,Gurobi,50.4921175,1.1517929,2.6711124,2.3057578,0.5720275,493.40135331400444,OPTIMAL,60480,51845,0.0320604,491.2121974796326,OPTIMAL,5
conicalb_cross,4,Gurobi,3.4574251,0.4039326,1.2669068,0.006651,0.0094972,494.785653391299,OPTIMAL,672,581,0.0501373,529.8942935857085,OPTIMAL,0
conicalb_cross,8,Gurobi,3.956044,0.2513579,0.732262,0.0132933,0.0130389,513.7015645026806,OPTIMAL,1344,1157,0.0765576,527.4465950743026,OPTIMAL,0
conicalb_cross,12,Gurobi,2.4242577,0.2755786,0.7309739,0.0158768,0.0127661,527.153073920108,OPTIMAL,2016,1733,0.0639265,520.6208675107998,OPTIMAL,0
conicalb_cross,16,Gurobi,3.3891578,0.2587319,0.7143104,0.0227207,0.0151954,498.2770318000632,OPTIMAL,2688,2309,0.031803,496.5268856647546,OPTIMAL,3
conicalb_cross,20,Gurobi,3.7714139,0.2978951,0.7704989,0.0304705,0.0174225,497.84924769878825,OPTIMAL,3360,2885,0.0331051,496.29791537120917,OPTIMAL,3
conicalb_cross,30,Gurobi,6.1269774,0.3130417,0.8472612,0.0427403,0.0245029,501.89598998006875,OPTIMAL,5040,4325,0.0241682,519.8738772882424,OPTIMAL,0
conicalb_cross,60,Gurobi,9.1248164,0.4216631,0.9818053,0.1803861,0.0425359,492.23926677234806,OPTIMAL,10080,8645,0.0353724,494.54937191883414,OPTIMAL,3
conicalb_cross,90,Gurobi,15.1589156,0.3380567,0.9699935,0.2973254,0.0673722,482.05136471376005,OPTIMAL,15120,12965,0.0372648,491.10792243692623,OPTIMAL,7
conicalb_cross,120,Gurobi,17.480778,0.395382,1.0083011,0.5061933,0.0863469,483.337876909473,OPTIMAL,20160,17285,0.0356518,491.0996612496629,OPTIMAL,7
conicalb_cross,180,Gurobi,26.7179702,0.4324379,1.1288933,0.7266754,0.1100874,484.4756943814788,OPTIMAL,30240,25925,0.0355967,491.9687488416518,OPTIMAL,4
