base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand
0_HourlyBenchmark,1,Gurobi,0.0,5.5646966,15.9644618,8.7446675,1.9405497,490.37233247512637,OPTIMAL,122640,105125,0.0,0.0,,9
convex_cross,4,Gurobi,12.7480485,0.2738252,1.0018138,0.0086909,0.008851,468.0498909847761,OPTIMAL,672,581,0.0980644,542.3931103226492,OPTIMAL,0
convex_cross,8,Gurobi,2.6223417,0.3802935,0.9899652,0.0119961,0.0112875,553.6699185449082,OPTIMAL,1344,1157,0.0979664,511.96884194705535,OPTIMAL,1
convex_cross,12,Gurobi,2.9092686,0.3558068,0.9947281,0.0151179,0.0209378,566.2969156764976,OPTIMAL,2016,1733,0.036862,498.2946873780754,OPTIMAL,0
convex_cross,16,Gurobi,4.0222332,0.3871707,1.0225846,0.0265601,0.0157447,553.1388418028567,OPTIMAL,2688,2309,0.0383076,522.7608612430103,OPTIMAL,0
convex_cross,20,Gurobi,4.8249139,0.4207776,1.096664,0.0328411,0.0178092,537.56306108178,OPTIMAL,3360,2885,0.0360687,502.08187362333393,OPTIMAL,0
convex_cross,30,Gurobi,8.133963,0.4544352,1.2257872,0.0575024,0.0305119,523.3124929758037,OPTIMAL,5040,4325,0.0441085,494.89812923335296,OPTIMAL,4
convex_cross,60,Gurobi,11.9528624,0.4608711,1.2444837,0.1360956,0.0517132,511.68392617890936,OPTIMAL,10080,8645,0.0368284,493.0781398623604,OPTIMAL,6
convex_cross,90,Gurobi,16.940291,0.5231499,1.3791876,0.3925171,0.0618404,505.1475758492543,OPTIMAL,15120,12965,0.0351133,492.5777481476441,OPTIMAL,6
convex_cross,120,Gurobi,22.2623548,0.6032151,1.508421,0.5673751,0.1239699,491.08285548268344,OPTIMAL,20160,17285,0.0410265,491.6721848740374,OPTIMAL,3
convex_cross,180,Gurobi,30.4657196,0.7044338,1.8569134,1.0340052,0.1697883,493.7102731326719,OPTIMAL,30240,25925,0.0401397,491.64310457733785,OPTIMAL,4
convex_cross,240,Gurobi,42.9382939,0.876187,2.0057294,1.7244715,0.1870443,490.6536799774663,OPTIMAL,40320,34565,0.0364169,491.65877042282443,OPTIMAL,4
convex_cross,360,Gurobi,63.4409099,0.9434761,2.5875775,2.8423219,0.443275,489.71122275280993,OPTIMAL,60480,51845,0.0392255,491.1312446180704,OPTIMAL,6
convex_per,4,Gurobi,3.41016,0.2593989,0.8026477,0.0074705,0.0122114,510.3970340081814,OPTIMAL,672,581,0.0790982,535.16478544895,OPTIMAL,0
convex_per,8,Gurobi,1.5481559,0.2712943,0.8141496,0.0114854,0.0118484,520.9176232690655,OPTIMAL,1344,1157,0.0356065,529.1100764614571,OPTIMAL,0
convex_per,12,Gurobi,1.8658873,0.2858351,0.869861,0.0156907,0.0140483,549.8674493843811,OPTIMAL,2016,1733,0.0336931,512.9178233403985,OPTIMAL,0
convex_per,16,Gurobi,2.3500251,0.3132501,1.0427202,0.0263062,0.0184904,553.5483528887534,OPTIMAL,2688,2309,0.0448866,495.3047938824974,OPTIMAL,2
convex_per,20,Gurobi,2.8455216,0.3193391,0.9670813,0.0260569,0.019376,550.1865329976978,OPTIMAL,3360,2885,0.0622503,494.4320004776449,OPTIMAL,3
convex_per,30,Gurobi,3.8339131,0.3622152,1.0468152,0.0446064,0.0239188,536.9860297273608,OPTIMAL,5040,4325,0.0332461,495.9359530451395,OPTIMAL,2
convex_per,60,Gurobi,7.3885737,0.3096041,0.872976,0.1194272,0.0423668,517.9484155585466,OPTIMAL,10080,8645,0.034934,493.3955651460325,OPTIMAL,1
convex_per,90,Gurobi,8.598932,0.3557275,1.0491468,0.2827692,0.0629337,500.8334969367621,OPTIMAL,15120,12965,0.0375687,492.7531284560094,OPTIMAL,3
convex_per,120,Gurobi,11.8010575,0.4058517,1.0713774,0.3731849,0.082186,499.9391371421387,OPTIMAL,20160,17285,0.0421278,491.8640534054193,OPTIMAL,2
