base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand
0_HourlyBenchmark,1,Gurobi,0.0,4.9253609,16.2355366,9.3372845,2.0960631,490.37233247512637,OPTIMAL,122640,105125,0.0,0.0,,9
convex_cross,4,Gurobi,13.6389228,0.3210181,0.8968497,0.0077663,0.0116624,469.0907879137089,OPTIMAL,672,581,0.1432109,542.6199234642388,OPTIMAL,0
convex_cross,8,Gurobi,2.9097168,0.3545987,0.8845614,0.0131947,0.0152195,563.4317473539446,OPTIMAL,1344,1157,0.1066975,530.8849580231716,OPTIMAL,0
convex_cross,12,Gurobi,2.9827778,0.3792068,0.8601676,0.0236047,0.0180672,575.2642940524177,OPTIMAL,2016,1733,0.0444348,529.5411038444037,OPTIMAL,0
convex_cross,16,Gurobi,4.2731005,0.3738576,0.8017013,0.0333772,0.027512,560.1698890594818,OPTIMAL,2688,2309,0.0575907,524.263495360295,OPTIMAL,0
convex_cross,20,Gurobi,5.6433744,0.3738816,0.8192532,0.0299754,0.0291828,546.3120638974392,OPTIMAL,3360,2885,0.0876506,522.9087191904612,OPTIMAL,0
convex_cross,30,Gurobi,7.3105594,0.3993482,0.8141417,0.0665238,0.028486,527.8150012478768,OPTIMAL,5040,4325,0.0429747,496.7825191500727,OPTIMAL,1
convex_cross,60,Gurobi,14.2584801,0.426318,1.0888983,0.1505215,0.0636089,519.130492246014,OPTIMAL,10080,8645,0.0468144,494.5010405261725,OPTIMAL,3
convex_cross,90,Gurobi,15.0192807,0.3376384,0.9394577,0.2934033,0.0638031,511.5603426021097,OPTIMAL,15120,12965,0.0498248,494.0513461382322,OPTIMAL,3
convex_cross,120,Gurobi,19.5212797,0.5893585,1.5769855,0.4597119,0.1598032,520.0621680682638,OPTIMAL,20160,17285,0.0619028,495.0899230543067,OPTIMAL,2
convex_cross,180,Gurobi,35.7886683,0.7911566,1.6540788,0.9733286,0.149992,519.3215157882553,OPTIMAL,30240,25925,0.0462646,494.8212212636428,OPTIMAL,2
convex_cross,240,Gurobi,48.7380744,0.8373594,1.9600163,1.3334642,0.3207635,513.9872665455673,OPTIMAL,40320,34565,0.0516227,494.0516065759034,OPTIMAL,1
convex_cross,360,Gurobi,70.0045888,1.0759347,2.3608471,2.5672427,0.4787926,503.93417268941585,OPTIMAL,60480,51845,0.0523474,491.91521810850037,OPTIMAL,3
convex_per,4,Gurobi,3.3057629,0.3968153,1.0353058,0.0080179,0.013879,512.4184421352721,OPTIMAL,672,581,0.0847372,535.16478544895,OPTIMAL,0
convex_per,8,Gurobi,2.7362424,0.4289376,1.083891,0.014209,0.0191669,522.6548824359088,OPTIMAL,1344,1157,0.0509675,532.723864193536,OPTIMAL,0
convex_per,12,Gurobi,2.4365671,0.4423823,1.0722794,0.0256163,0.0186369,556.0394035381787,OPTIMAL,2016,1733,0.0404259,525.5583028246484,OPTIMAL,0
convex_per,16,Gurobi,2.7620582,0.4209645,1.1016041,0.0270259,0.0212232,569.784268025685,OPTIMAL,2688,2309,0.0922178,522.023278554518,OPTIMAL,0
convex_per,20,Gurobi,3.3675953,0.4188558,1.1197966,0.0355312,0.0344999,555.4139869890878,OPTIMAL,3360,2885,0.0624453,498.0706704570236,OPTIMAL,2
convex_per,30,Gurobi,4.8075096,0.4537854,1.2026023,0.0494876,0.0273798,543.5087351679863,OPTIMAL,5040,4325,0.0448794,497.9193828126661,OPTIMAL,2
convex_per,60,Gurobi,8.1405501,0.5573803,1.3259089,0.1626428,0.0792825,531.9460995755148,OPTIMAL,10080,8645,0.0478803,508.8336179372795,OPTIMAL,0
