base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand
0_HourlyBenchmark,1,Gurobi,0.0,1.3186018,3.7012245,6.1859702,0.5812548,490.37233247512637,OPTIMAL,122640,105125,0.0,0.0,,9
convex_cross,4,Gurobi,2.2885963,0.3029998,0.7561193,0.0062624,0.0103258,522.5032795347348,OPTIMAL,672,581,0.09019,532.546846081559,OPTIMAL,0
convex_cross,8,Gurobi,1.7859619,0.2868152,0.816221,0.0104131,0.0115467,560.2668572664242,OPTIMAL,1344,1157,0.0478452,497.3859834540158,OPTIMAL,0
convex_cross,12,Gurobi,2.3248829,0.2667453,0.7534417,0.016431,0.0139569,546.0373418607694,OPTIMAL,2016,1733,0.0374988,520.302986678031,OPTIMAL,0
convex_cross,16,Gurobi,3.1851574,0.2837513,0.8347584,0.0265035,0.0171748,530.5959700011978,OPTIMAL,2688,2309,0.0344986,498.20835444449557,OPTIMAL,0
convex_cross,20,Gurobi,3.8185679,0.3375547,0.9135773,0.0289445,0.0191904,531.8977449219295,OPTIMAL,3360,2885,0.0333782,497.40051884216945,OPTIMAL,0
convex_cross,30,Gurobi,5.4162802,0.3516068,1.0417965,0.0600082,0.0241213,517.3730620795916,OPTIMAL,5040,4325,0.0326424,494.97240838735075,OPTIMAL,2
convex_cross,60,Gurobi,10.3970284,0.3808683,1.1693963,0.1289548,0.04254,505.1994981389721,OPTIMAL,10080,8645,0.0344824,493.04554817332496,OPTIMAL,5
convex_cross,90,Gurobi,15.5167001,0.3752917,0.9632721,0.4482513,0.076192,503.05589629464106,OPTIMAL,15120,12965,0.0372201,492.97357085286603,OPTIMAL,1
convex_cross,120,Gurobi,17.9274908,0.3937869,1.0835353,0.5345954,0.0767906,503.5342611322884,OPTIMAL,20160,17285,0.0311575,492.87318914103525,OPTIMAL,2
convex_cross,180,Gurobi,28.1994723,0.4871071,1.3954295,0.6749178,0.1124618,497.80833680817193,OPTIMAL,30240,25925,0.0590294,492.8706283788492,OPTIMAL,4
convex_cross,240,Gurobi,39.9915359,0.5767982,1.3890422,1.0081838,0.1870451,494.5701028246489,OPTIMAL,40320,34565,0.0391925,492.2852965301118,OPTIMAL,1
convex_cross,360,Gurobi,71.4933229,0.7100041,1.8958732,1.7431496,0.2177135,495.5026263065074,OPTIMAL,60480,51845,0.0322158,491.6154755336657,OPTIMAL,4
convex_per,4,Gurobi,2.1720194,0.2942395,0.7430475,0.0066017,0.0095621,566.3671097871405,OPTIMAL,672,581,0.0477588,536.9750895108243,OPTIMAL,0
convex_per,8,Gurobi,1.4119211,0.3184386,0.8391415,0.0110014,0.0125644,542.6090297098535,OPTIMAL,1344,1157,0.0316681,525.3595689749694,OPTIMAL,0
convex_per,12,Gurobi,1.6518223,0.3220445,0.9482602,0.0152121,0.020303,570.8553492961476,OPTIMAL,2016,1733,0.0703739,521.4576933706892,OPTIMAL,0
convex_per,16,Gurobi,2.046528,0.3346279,1.0671174,0.0233362,0.0186798,551.1094490673956,OPTIMAL,2688,2309,0.066171,499.81343837636274,OPTIMAL,2
convex_per,20,Gurobi,2.9760534,0.4319461,1.090702,0.0283849,0.0198632,537.12331144173,OPTIMAL,3360,2885,0.0317854,497.8329086434321,OPTIMAL,2
convex_per,30,Gurobi,3.5962024,0.3739042,1.1609848,0.0537162,0.029373,517.7920255812894,OPTIMAL,5040,4325,0.031781,496.35423700199203,OPTIMAL,9
convex_per,60,Gurobi,6.6374532,0.398477,1.2020989,0.112958,0.0438067,502.6465576970117,OPTIMAL,10080,8645,0.0349288,493.01689506833617,OPTIMAL,3
convex_per,90,Gurobi,10.0407066,0.4105395,0.8928699,0.2908359,0.0628748,499.31366420497693,OPTIMAL,15120,12965,0.0100827,493.01689506833617,OPTIMAL,3
convex_per,120,Gurobi,10.3885623,0.4008433,1.060296,0.3729415,0.0758075,496.9176490351057,OPTIMAL,20160,17285,0.0292393,493.0082531145197,OPTIMAL,3
convex_per,180,Gurobi,15.7513047,0.4788653,1.3007667,0.5092528,0.1176194,498.62531402873645,OPTIMAL,30240,25925,0.0292142,492.93218257353413,OPTIMAL,3
convex_per,240,Gurobi,20.9805336,0.6444559,1.441481,1.040523,0.2608063,494.9661512765261,OPTIMAL,40320,34565,0.0342487,492.09602905837573,OPTIMAL,1
convex_per,360,Gurobi,30.4465451,0.668041,1.8026099,1.6763515,0.2277394,493.92699106127657,OPTIMAL,60480,51845,0.0312012,491.7310719416357,OPTIMAL,3
conicalb_cross,4,Gurobi,2.5580007,0.2979249,0.7298774,0.0061601,0.0102781,500.69226051160274,OPTIMAL,672,581,0.0468167,535.3062617134138,OPTIMAL,0
conicalb_cross,8,Gurobi,2.2681027,0.2911974,0.7847517,0.010382,0.0126015,536.0433794234415,OPTIMAL,1344,1157,0.0654547,532.6357332816465,OPTIMAL,0
