base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand
0_HourlyBenchmark,1,Gurobi,0.0,1.1064284,3.8131894,4.609378,0.52371,478.4794048830108,OPTIMAL,122640,105125,0.0,0.0,,10
convex_cross,4,Gurobi,22.3875011,0.2719755,0.765467,0.0066365,0.0100432,499.3990260087281,OPTIMAL,672,581,0.1791903,2193.0973737246427,OPTIMAL,1342
convex_cross,8,Gurobi,23.2842549,0.2886984,0.9874869,0.0108324,0.0114578,533.1779170483212,OPTIMAL,1344,1157,0.1727222,1045.1023780963535,OPTIMAL,538
convex_cross,12,Gurobi,22.6744403,0.305429,1.051854,0.0151208,0.0153806,530.8706874509019,OPTIMAL,2016,1733,0.1040648,615.3021088507292,OPTIMAL,175
convex_cross,16,Gurobi,22.0949104,0.3214611,0.9783806,0.0222294,0.0188451,526.743588015635,OPTIMAL,2688,2309,0.046398,544.9166523775596,OPTIMAL,65
convex_cross,20,Gurobi,22.5167052,0.3200926,1.0118393,0.0280198,0.0204464,518.5853094777165,OPTIMAL,3360,2885,0.0591318,556.8823520960685,OPTIMAL,120
convex_cross,30,Gurobi,23.1640973,0.3288079,1.1066999,0.0490361,0.0257112,503.9638339926832,OPTIMAL,5040,4325,0.1069915,522.7211685096107,OPTIMAL,86
convex_cross,60,Gurobi,24.472939,0.3771291,1.0389082,0.117624,0.045665,496.0180099525893,OPTIMAL,10080,8645,0.067832,484.7932479652801,OPTIMAL,23
convex_cross,90,Gurobi,22.8993042,0.4027034,1.2783805,0.242427,0.0611899,492.6002360892473,OPTIMAL,15120,12965,0.0367831,484.2210620074449,OPTIMAL,23
convex_cross,120,Gurobi,23.5457483,0.462891,1.517952,0.3650796,0.0809066,488.6100687225473,OPTIMAL,20160,17285,0.0353552,485.35088324689895,OPTIMAL,25
convex_cross,180,Gurobi,26.4393751,0.520994,1.306553,0.7795571,0.1178578,481.402577998764,OPTIMAL,30240,25925,0.035307,486.13591785790976,OPTIMAL,31
convex_cross,240,Gurobi,24.9681492,0.5814264,1.7455563,1.5106735,0.1571721,491.54132359417196,OPTIMAL,40320,34565,0.0372768,480.098300727155,OPTIMAL,4
convex_cross,360,Gurobi,27.3368895,0.732761,1.9935868,2.2648034,0.3848543,488.6888423336393,OPTIMAL,60480,51845,0.0361912,479.4611406466498,OPTIMAL,5
convex_per,4,Gurobi,9.8836095,0.3245505,1.1046979,0.0060421,0.009429,522.046867077464,OPTIMAL,672,581,0.1049774,596.6923664770235,OPTIMAL,146
convex_per,8,Gurobi,11.7056902,0.2988864,0.9986213,0.0104764,0.0122612,526.1543777836771,OPTIMAL,1344,1157,0.0397497,596.6364016339853,OPTIMAL,146
convex_per,12,Gurobi,9.8492336,0.2947081,1.0061648,0.0155324,0.0144131,523.1130618564481,OPTIMAL,2016,1733,0.0424974,596.3654009245996,OPTIMAL,149
convex_per,16,Gurobi,10.2370356,0.3328638,1.1024655,0.0252365,0.0186887,520.9367513234671,OPTIMAL,2688,2309,0.0389531,604.472646368557,OPTIMAL,164
convex_per,20,Gurobi,10.3081211,0.3471746,1.1098636,0.0239813,0.0209543,519.3124639964103,OPTIMAL,3360,2885,0.0358947,604.5466579961435,OPTIMAL,165
convex_per,30,Gurobi,9.9455882,0.4272072,1.3398359,0.0411708,0.0255328,518.3627794241473,OPTIMAL,5040,4325,0.0332605,619.0041576151718,OPTIMAL,198
convex_per,60,Gurobi,12.0562132,0.3681287,0.9473058,0.1194137,0.0486102,509.36308156196776,OPTIMAL,10080,8645,0.0384407,602.3096079674118,OPTIMAL,159
convex_per,90,Gurobi,11.1825888,0.4064954,1.071343,0.2386884,0.0609145,507.7630170691649,OPTIMAL,15120,12965,0.054169,491.282461344181,OPTIMAL,32
convex_per,120,Gurobi,11.0951903,0.4511733,1.3262368,0.3800169,0.0787101,497.8315315734804,OPTIMAL,20160,17285,0.0592416,486.0038339653019,OPTIMAL,31
convex_per,180,Gurobi,13.1928021,0.5134273,1.3797629,0.7095723,0.1109988,487.9542101511781,OPTIMAL,30240,25925,0.0508843,494.2706402644506,OPTIMAL,48
convex_per,240,Gurobi,11.6112656,0.5467285,1.4662871,1.0497623,0.1563068,480.41659878146294,OPTIMAL,40320,34565,0.0481902,487.79219699640777,OPTIMAL,30
convex_per,360,Gurobi,12.885257,0.7185685,1.8867479,2.2843314,0.3671236,481.2159687022434,OPTIMAL,60480,51845,0.036905,484.279707356882,OPTIMAL,27
conicalb_cross,4,Gurobi,22.9229214,0.3188792,1.0689037,0.0081746,0.0130021,492.81953361244854,OPTIMAL,672,581,0.0841086,1013.0325893987844,OPTIMAL,486
conicalb_cross,8,Gurobi,24.4518475,0.3382184,1.0309242,0.0109101,0.0128341,525.1912359983605,OPTIMAL,1344,1157,0.0940559,1091.4900094462012,OPTIMAL,571
conicalb_cross,12,Gurobi,22.7112975,0.3245559,1.1793395,0.0146299,0.0153395,528.2928727660922,OPTIMAL,2016,1733,0.0316441,1088.1154571293155,OPTIMAL,561
conicalb_cross,16,Gurobi,24.8323992,0.3280666,1.0050365,0.0194674,0.0186822,525.9298077820551,OPTIMAL,2688,2309,0.0410432,1088.1196123534799,OPTIMAL,561
conicalb_cross,20,Gurobi,22.5908773,0.3349624,1.1295692,0.034065,0.0208503,535.9151133201422,OPTIMAL,3360,2885,0.0344757,562.810901739768,OPTIMAL,116
conicalb_cross,30,Gurobi,23.1385251,0.3939759,1.2905614,0.0392123,0.0279158,526.3485725792323,OPTIMAL,5040,4325,0.0859045,605.5509799662348,OPTIMAL,167
conicalb_cross,60,Gurobi,25.7001702,0.3687204,1.1119264,0.1072218,0.0421215,500.4144389022883,OPTIMAL,10080,8645,0.1046001,484.24669323430106,OPTIMAL,24
conicalb_cross,90,Gurobi,23.6326214,0.4303749,1.2398012,0.3668606,0.0650218,490.6058679113812,OPTIMAL,15120,12965,0.0336924,484.15229523321284,OPTIMAL,24
conicalb_cross,120,Gurobi,25.801851,0.5066794,1.1687407,0.397165,0.0838909,490.07093862634895,OPTIMAL,20160,17285,0.0432217,484.83965406932964,OPTIMAL,25
conicalb_cross,180,Gurobi,25.2839827,0.5076067,1.2917363,0.7474786,0.1240091,486.21364591451754,OPTIMAL,30240,25925,0.064499,485.9296721314438,OPTIMAL,30
conicalb_cross,240,Gurobi,26.2198288,0.6040358,1.5767706,0.9399633,0.1530589,490.5354530353027,OPTIMAL,40320,34565,0.0514538,480.27000267231233,OPTIMAL,9
conicalb_cross,360,Gurobi,27.5095423,0.7176133,1.797294,1.755382,0.2417524,490.5903618515861,OPTIMAL,60480,51845,0.0371827,479.63344273212704,OPTIMAL,5
conicalb_per,4,Gurobi,9.7906548,0.3053293,1.0169351,0.0068573,0.0093243,512.7988341351708,OPTIMAL,672,581,0.1026564,1431.2820189723861,OPTIMAL,809
conicalb_per,8,Gurobi,11.5384001,0.3174357,0.9189233,0.0099512,0.0134051,508.5936627463893,OPTIMAL,1344,1157,0.0361808,1508.522811548228,OPTIMAL,886
conicalb_per,12,Gurobi,10.0587837,0.3263416,1.0659846,0.0154654,0.0155975,509.62713344064235,OPTIMAL,2016,1733,0.1142012,676.6526695684992,OPTIMAL,279
conicalb_per,16,Gurobi,9.7565076,0.337663,1.082587,0.0223305,0.0178994,524.5113872147917,OPTIMAL,2688,2309,0.038453,676.3250072637386,OPTIMAL,280
conicalb_per,20,Gurobi,9.679184,0.3530907,1.0956162,0.0241762,0.0198876,515.9770299952952,OPTIMAL,3360,2885,0.031845,643.2079229304231,OPTIMAL,234
conicalb_per,30,Gurobi,10.2641948,0.3722416,1.144621,0.0504899,0.0259506,513.2412302215292,OPTIMAL,5040,4325,0.0390903,628.4338907667761,OPTIMAL,221
conicalb_per,60,Gurobi,12.5786169,0.3675585,0.9222754,0.1531365,0.0451109,513.4319019489782,OPTIMAL,10080,8645,0.0361028,575.6151779139052,OPTIMAL,117
conicalb_per,90,Gurobi,10.6326545,0.4095922,1.0448781,0.1751749,0.0614953,510.2144755022713,OPTIMAL,15120,12965,0.0375586,580.6779107249881,OPTIMAL,120
conicalb_per,120,Gurobi,11.265216,0.4644363,1.422143,0.3421775,0.0849711,504.3201262789077,OPTIMAL,20160,17285,0.0561177,490.7887945749942,OPTIMAL,32
conicalb_per,180,Gurobi,13.3241798,0.5416303,1.3945934,0.8181141,0.1163868,485.7311706232239,OPTIMAL,30240,25925,0.0713312,497.4074227068867,OPTIMAL,57
conicalb_per,240,Gurobi,11.8306714,0.5861994,1.5764064,0.9796765,0.15395,481.0485748505523,OPTIMAL,40320,34565,0.0493967,491.914600673706,OPTIMAL,40
conicalb_per,360,Gurobi,13.048694,0.7104642,1.7941233,2.7796939,0.2476981,480.76184908268937,OPTIMAL,60480,51845,0.0416429,484.40682919100624,OPTIMAL,27
