id,from_asset,to_asset,year,rep_period,capacity_coefficient,conversion_coefficient,time_block_start,time_block_end,solution
1,ens,e_demand,2030,1,1.0,1.0,1,1,0.0
2,ens,e_demand,2030,1,1.0,1.0,2,2,0.0
3,ens,e_demand,2030,1,1.0,1.0,3,3,0.0
4,ens,e_demand,2030,1,1.0,1.0,4,4,0.0
5,ens,e_demand,2030,1,1.0,1.0,5,5,0.0
6,ens,e_demand,2030,1,1.0,1.0,6,6,0.0
7,ens,e_demand,2030,1,1.0,1.0,7,7,0.0
8,ens,e_demand,2030,1,1.0,1.0,8,8,0.0
9,ens,e_demand,2030,1,1.0,1.0,9,9,0.0
10,ens,e_demand,2030,1,1.0,1.0,10,10,0.0
11,ens,e_demand,2030,1,1.0,1.0,11,11,0.0
12,ens,e_demand,2030,1,1.0,1.0,12,12,0.0
13,ens,e_demand,2030,1,1.0,1.0,13,13,0.0
14,ens,e_demand,2030,1,1.0,1.0,14,14,0.0
15,ens,e_demand,2030,1,1.0,1.0,15,15,0.0
16,ens,e_demand,2030,1,1.0,1.0,16,16,0.0
17,ens,e_demand,2030,1,1.0,1.0,17,17,0.0
18,ens,e_demand,2030,1,1.0,1.0,18,18,0.0
19,ens,e_demand,2030,1,1.0,1.0,19,19,0.0
20,ens,e_demand,2030,1,1.0,1.0,20,20,0.0003901096786572296
21,ens,e_demand,2030,1,1.0,1.0,21,21,0.0
22,ens,e_demand,2030,1,1.0,1.0,22,22,0.0
23,ens,e_demand,2030,1,1.0,1.0,23,23,0.0
24,ens,e_demand,2030,1,1.0,1.0,24,24,0.0
25,ocgt,e_demand,2030,1,1.0,1.0,1,1,0.04385905131304024
26,ocgt,e_demand,2030,1,1.0,1.0,2,2,0.00892224415742926
27,ocgt,e_demand,2030,1,1.0,1.0,3,3,0.0
28,ocgt,e_demand,2030,1,1.0,1.0,4,4,0.0
29,ocgt,e_demand,2030,1,1.0,1.0,5,5,0.0
30,ocgt,e_demand,2030,1,1.0,1.0,6,6,0.024503334183104297
31,ocgt,e_demand,2030,1,1.0,1.0,7,7,0.06530096910738808
32,ocgt,e_demand,2030,1,1.0,1.0,8,8,0.06171233514145001
33,ocgt,e_demand,2030,1,1.0,1.0,9,9,0.059366791188288026
34,ocgt,e_demand,2030,1,1.0,1.0,10,10,0.04469708779773024
35,ocgt,e_demand,2030,1,1.0,1.0,11,11,0.08149495238855797
36,ocgt,e_demand,2030,1,1.0,1.0,12,12,0.14014067004517866
37,ocgt,e_demand,2030,1,1.0,1.0,13,13,0.1229969670777124
38,ocgt,e_demand,2030,1,1.0,1.0,14,14,0.10171029580247365
39,ocgt,e_demand,2030,1,1.0,1.0,15,15,0.08726348198944728
40,ocgt,e_demand,2030,1,1.0,1.0,16,16,0.13629438253776333
41,ocgt,e_demand,2030,1,1.0,1.0,17,17,0.21164272339475781
42,ocgt,e_demand,2030,1,1.0,1.0,18,18,0.2433289452075163
43,ocgt,e_demand,2030,1,1.0,1.0,19,19,0.27712942922553774
44,ocgt,e_demand,2030,1,1.0,1.0,20,20,0.301205500551882
45,ocgt,e_demand,2030,1,1.0,1.0,21,21,0.2970759792095903
46,ocgt,e_demand,2030,1,1.0,1.0,22,22,0.2265152329414457
47,ocgt,e_demand,2030,1,1.0,1.0,23,23,0.12581016742478535
48,ocgt,e_demand,2030,1,1.0,1.0,24,24,0.09219281140316005
49,ccgt,e_demand,2030,1,1.0,1.0,1,1,0.8058065981205327
50,ccgt,e_demand,2030,1,1.0,1.0,2,2,0.8058065981205327
51,ccgt,e_demand,2030,1,1.0,1.0,3,3,0.8023053953852196
52,ccgt,e_demand,2030,1,1.0,1.0,4,4,0.78434410000765
53,ccgt,e_demand,2030,1,1.0,1.0,5,5,0.8013345245909743
54,ccgt,e_demand,2030,1,1.0,1.0,6,6,0.8058065981205327
55,ccgt,e_demand,2030,1,1.0,1.0,7,7,0.8058065981205327
56,ccgt,e_demand,2030,1,1.0,1.0,8,8,0.8058065981205327
57,ccgt,e_demand,2030,1,1.0,1.0,9,9,0.8058065981205327
58,ccgt,e_demand,2030,1,1.0,1.0,10,10,0.8058065981205327
59,ccgt,e_demand,2030,1,1.0,1.0,11,11,0.8058065981205327
60,ccgt,e_demand,2030,1,1.0,1.0,12,12,0.8058065981205327
61,ccgt,e_demand,2030,1,1.0,1.0,13,13,0.8058065981205327
62,ccgt,e_demand,2030,1,1.0,1.0,14,14,0.8058065981205327
63,ccgt,e_demand,2030,1,1.0,1.0,15,15,0.8058065981205327
64,ccgt,e_demand,2030,1,1.0,1.0,16,16,0.8058065981205327
65,ccgt,e_demand,2030,1,1.0,1.0,17,17,0.8058065981205327
66,ccgt,e_demand,2030,1,1.0,1.0,18,18,0.8058065981205327
67,ccgt,e_demand,2030,1,1.0,1.0,19,19,0.8058065981205327
68,ccgt,e_demand,2030,1,1.0,1.0,20,20,0.8058065981205327
69,ccgt,e_demand,2030,1,1.0,1.0,21,21,0.8058065981205327
70,ccgt,e_demand,2030,1,1.0,1.0,22,22,0.8058065981205327
71,ccgt,e_demand,2030,1,1.0,1.0,23,23,0.8058065981205327
72,ccgt,e_demand,2030,1,1.0,1.0,24,24,0.8058065981205327
73,wind,e_demand,2030,1,1.0,1.0,1,1,0.1766941378759949
74,wind,e_demand,2030,1,1.0,1.0,2,2,0.17313284146069371
75,wind,e_demand,2030,1,1.0,1.0,3,3,0.161004397912498
76,wind,e_demand,2030,1,1.0,1.0,4,4,0.14300729888292263
77,wind,e_demand,2030,1,1.0,1.0,5,5,0.13144316728079586
78,wind,e_demand,2030,1,1.0,1.0,6,6,0.12089827375010283
79,wind,e_demand,2030,1,1.0,1.0,7,7,0.10501805617410576
80,wind,e_demand,2030,1,1.0,1.0,8,8,0.08595321273024774
81,wind,e_demand,2030,1,1.0,1.0,9,9,0.07792915676908935
82,wind,e_demand,2030,1,1.0,1.0,10,10,0.08486606798426047
83,wind,e_demand,2030,1,1.0,1.0,11,11,0.07794178881280268
84,wind,e_demand,2030,1,1.0,1.0,12,12,0.089015611399641
85,wind,e_demand,2030,1,1.0,1.0,13,13,0.1104309482199446
86,wind,e_demand,2030,1,1.0,1.0,14,14,0.13350938048655808
87,wind,e_demand,2030,1,1.0,1.0,15,15,0.16387407786268293
88,wind,e_demand,2030,1,1.0,1.0,16,16,0.18711785829272978
89,wind,e_demand,2030,1,1.0,1.0,17,17,0.21175728312275213
90,wind,e_demand,2030,1,1.0,1.0,18,18,0.23644528926570865
91,wind,e_demand,2030,1,1.0,1.0,19,19,0.2613520230309021
92,wind,e_demand,2030,1,1.0,1.0,20,20,0.26459809768577647
93,wind,e_demand,2030,1,1.0,1.0,21,21,0.27355368056264207
94,wind,e_demand,2030,1,1.0,1.0,22,22,0.25952747701050294
95,wind,e_demand,2030,1,1.0,1.0,23,23,0.2214789284722311
96,wind,e_demand,2030,1,1.0,1.0,24,24,0.20617423116168837
97,solar,e_demand,2030,1,1.0,1.0,1,1,0.0
98,solar,e_demand,2030,1,1.0,1.0,2,2,0.0
99,solar,e_demand,2030,1,1.0,1.0,3,3,0.0
100,solar,e_demand,2030,1,1.0,1.0,4,4,0.0
101,solar,e_demand,2030,1,1.0,1.0,5,5,0.0
102,solar,e_demand,2030,1,1.0,1.0,6,6,7.41057523424009e-05
103,solar,e_demand,2030,1,1.0,1.0,7,7,0.014770520474051857
104,solar,e_demand,2030,1,1.0,1.0,8,8,0.11748831994835075
105,solar,e_demand,2030,1,1.0,1.0,9,9,0.2518877629486229
106,solar,e_demand,2030,1,1.0,1.0,10,10,0.36059428082196215
107,solar,e_demand,2030,1,1.0,1.0,11,11,0.42776290890715307
108,solar,e_demand,2030,1,1.0,1.0,12,12,0.4718337284104028
109,solar,e_demand,2030,1,1.0,1.0,13,13,0.48631807897132623
110,solar,e_demand,2030,1,1.0,1.0,14,14,0.4797888060113333
111,solar,e_demand,2030,1,1.0,1.0,15,15,0.4517597700144063
112,solar,e_demand,2030,1,1.0,1.0,16,16,0.38533073535154766
113,solar,e_demand,2030,1,1.0,1.0,17,17,0.2946380336551468
114,solar,e_demand,2030,1,1.0,1.0,18,18,0.18566013307243873
115,solar,e_demand,2030,1,1.0,1.0,19,19,0.0705783207659576
116,solar,e_demand,2030,1,1.0,1.0,20,20,0.0012636537505497484
117,solar,e_demand,2030,1,1.0,1.0,21,21,0.0
118,solar,e_demand,2030,1,1.0,1.0,22,22,0.0
119,solar,e_demand,2030,1,1.0,1.0,23,23,0.0
120,solar,e_demand,2030,1,1.0,1.0,24,24,0.0
121,wind_offshore,e_demand,2030,1,1.0,1.0,1,1,0.0
122,wind_offshore,e_demand,2030,1,1.0,1.0,2,2,0.0
123,wind_offshore,e_demand,2030,1,1.0,1.0,3,3,0.0
124,wind_offshore,e_demand,2030,1,1.0,1.0,4,4,0.0
125,wind_offshore,e_demand,2030,1,1.0,1.0,5,5,0.0
126,wind_offshore,e_demand,2030,1,1.0,1.0,6,6,0.0
127,wind_offshore,e_demand,2030,1,1.0,1.0,7,7,0.0
128,wind_offshore,e_demand,2030,1,1.0,1.0,8,8,0.0
129,wind_offshore,e_demand,2030,1,1.0,1.0,9,9,0.0
130,wind_offshore,e_demand,2030,1,1.0,1.0,10,10,0.0
131,wind_offshore,e_demand,2030,1,1.0,1.0,11,11,0.0
132,wind_offshore,e_demand,2030,1,1.0,1.0,12,12,0.0
133,wind_offshore,e_demand,2030,1,1.0,1.0,13,13,0.0
134,wind_offshore,e_demand,2030,1,1.0,1.0,14,14,0.0
135,wind_offshore,e_demand,2030,1,1.0,1.0,15,15,0.0
136,wind_offshore,e_demand,2030,1,1.0,1.0,16,16,0.0
137,wind_offshore,e_demand,2030,1,1.0,1.0,17,17,0.0
138,wind_offshore,e_demand,2030,1,1.0,1.0,18,18,0.0
139,wind_offshore,e_demand,2030,1,1.0,1.0,19,19,0.0
140,wind_offshore,e_demand,2030,1,1.0,1.0,20,20,0.0
141,wind_offshore,e_demand,2030,1,1.0,1.0,21,21,0.0
142,wind_offshore,e_demand,2030,1,1.0,1.0,22,22,0.0
143,wind_offshore,e_demand,2030,1,1.0,1.0,23,23,0.0
144,wind_offshore,e_demand,2030,1,1.0,1.0,24,24,0.0
145,ens,e_demand,2030,2,1.0,1.0,1,1,0.0
146,ens,e_demand,2030,2,1.0,1.0,2,2,0.0
