id,from_asset,to_asset,year,rep_period,capacity_coefficient,conversion_coefficient,time_block_start,time_block_end,solution
1,ens,e_demand,2030,1,1.0,1.0,1,1,0.0
2,ens,e_demand,2030,1,1.0,1.0,2,2,0.0
3,ens,e_demand,2030,1,1.0,1.0,3,3,0.0
4,ens,e_demand,2030,1,1.0,1.0,4,4,0.0
5,ens,e_demand,2030,1,1.0,1.0,5,5,0.0
6,ens,e_demand,2030,1,1.0,1.0,6,6,0.0
7,ens,e_demand,2030,1,1.0,1.0,7,7,0.0
8,ens,e_demand,2030,1,1.0,1.0,8,8,0.0
9,ens,e_demand,2030,1,1.0,1.0,9,9,0.0
10,ens,e_demand,2030,1,1.0,1.0,10,10,0.0
11,ens,e_demand,2030,1,1.0,1.0,11,11,0.0
12,ens,e_demand,2030,1,1.0,1.0,12,12,0.0
13,ens,e_demand,2030,1,1.0,1.0,13,13,0.0
14,ens,e_demand,2030,1,1.0,1.0,14,14,0.0
15,ens,e_demand,2030,1,1.0,1.0,15,15,0.0
16,ens,e_demand,2030,1,1.0,1.0,16,16,0.0
17,ens,e_demand,2030,1,1.0,1.0,17,17,0.0
18,ens,e_demand,2030,1,1.0,1.0,18,18,0.0
19,ens,e_demand,2030,1,1.0,1.0,19,19,0.0
20,ens,e_demand,2030,1,1.0,1.0,20,20,0.0
21,ens,e_demand,2030,1,1.0,1.0,21,21,0.0
22,ens,e_demand,2030,1,1.0,1.0,22,22,0.0
23,ens,e_demand,2030,1,1.0,1.0,23,23,0.0
24,ens,e_demand,2030,1,1.0,1.0,24,24,0.0
25,ocgt,e_demand,2030,1,1.0,1.0,1,1,0.0
26,ocgt,e_demand,2030,1,1.0,1.0,2,2,0.0
27,ocgt,e_demand,2030,1,1.0,1.0,3,3,0.0
28,ocgt,e_demand,2030,1,1.0,1.0,4,4,0.0
29,ocgt,e_demand,2030,1,1.0,1.0,5,5,0.0
30,ocgt,e_demand,2030,1,1.0,1.0,6,6,0.0
31,ocgt,e_demand,2030,1,1.0,1.0,7,7,0.0
32,ocgt,e_demand,2030,1,1.0,1.0,8,8,0.0006704766408136657
33,ocgt,e_demand,2030,1,1.0,1.0,9,9,0.04959904914343992
34,ocgt,e_demand,2030,1,1.0,1.0,10,10,0.025590051878714
35,ocgt,e_demand,2030,1,1.0,1.0,11,11,0.0
36,ocgt,e_demand,2030,1,1.0,1.0,12,12,0.0
37,ocgt,e_demand,2030,1,1.0,1.0,13,13,0.0
38,ocgt,e_demand,2030,1,1.0,1.0,14,14,0.0
39,ocgt,e_demand,2030,1,1.0,1.0,15,15,0.0
40,ocgt,e_demand,2030,1,1.0,1.0,16,16,0.0
41,ocgt,e_demand,2030,1,1.0,1.0,17,17,0.0
42,ocgt,e_demand,2030,1,1.0,1.0,18,18,0.05143378297670968
43,ocgt,e_demand,2030,1,1.0,1.0,19,19,0.09574589302982153
44,ocgt,e_demand,2030,1,1.0,1.0,20,20,0.12846698683834765
45,ocgt,e_demand,2030,1,1.0,1.0,21,21,0.12051964737217723
46,ocgt,e_demand,2030,1,1.0,1.0,22,22,0.04913536119953677
47,ocgt,e_demand,2030,1,1.0,1.0,23,23,0.0
48,ocgt,e_demand,2030,1,1.0,1.0,24,24,0.0
49,ccgt,e_demand,2030,1,1.0,1.0,1,1,0.8188161510265912
50,ccgt,e_demand,2030,1,1.0,1.0,2,2,0.8059265091064571
51,ccgt,e_demand,2030,1,1.0,1.0,3,3,0.7734781857310057
52,ccgt,e_demand,2030,1,1.0,1.0,4,4,0.7620111507586653
53,ccgt,e_demand,2030,1,1.0,1.0,5,5,0.7815926743544803
54,ccgt,e_demand,2030,1,1.0,1.0,6,6,0.8272996669974902
55,ccgt,e_demand,2030,1,1.0,1.0,7,7,0.8865769853182277
56,ccgt,e_demand,2030,1,1.0,1.0,8,8,0.9638648149279119
57,ccgt,e_demand,2030,1,1.0,1.0,9,9,0.9638648149279119
58,ccgt,e_demand,2030,1,1.0,1.0,10,10,0.9638648149279119
59,ccgt,e_demand,2030,1,1.0,1.0,11,11,0.9547067483948758
60,ccgt,e_demand,2030,1,1.0,1.0,12,12,0.900914242934238
61,ccgt,e_demand,2030,1,1.0,1.0,13,13,0.8848100659311164
62,ccgt,e_demand,2030,1,1.0,1.0,14,14,0.8744646300711416
63,ccgt,e_demand,2030,1,1.0,1.0,15,15,0.8675934339740428
64,ccgt,e_demand,2030,1,1.0,1.0,16,16,0.906107759197179
65,ccgt,e_demand,2030,1,1.0,1.0,17,17,0.9530709476025463
66,ccgt,e_demand,2030,1,1.0,1.0,18,18,0.9638648149279119
67,ccgt,e_demand,2030,1,1.0,1.0,19,19,0.9638648149279119
68,ccgt,e_demand,2030,1,1.0,1.0,20,20,0.9638648149279119
69,ccgt,e_demand,2030,1,1.0,1.0,21,21,0.9638648149279119
70,ccgt,e_demand,2030,1,1.0,1.0,22,22,0.9638648149279119
71,ccgt,e_demand,2030,1,1.0,1.0,23,23,0.927557400251077
72,ccgt,e_demand,2030,1,1.0,1.0,24,24,0.8796870810154768
73,wind,e_demand,2030,1,1.0,1.0,1,1,0.020481216170572494
74,wind,e_demand,2030,1,1.0,1.0,2,2,0.020762687459982318
75,wind,e_demand,2030,1,1.0,1.0,3,3,0.020961687139808977
76,wind,e_demand,2030,1,1.0,1.0,4,4,0.02067509848436379
77,wind,e_demand,2030,1,1.0,1.0,5,5,0.019634211626437897
78,wind,e_demand,2030,1,1.0,1.0,6,6,0.019591255980225493
79,wind,e_demand,2030,1,1.0,1.0,7,7,0.02053224371381184
80,wind,e_demand,2030,1,1.0,1.0,8,8,0.020970194893474726
81,wind,e_demand,2030,1,1.0,1.0,9,9,0.02128632305415387
82,wind,e_demand,2030,1,1.0,1.0,10,10,0.020967235098395452
83,wind,e_demand,2030,1,1.0,1.0,11,11,0.018578484575044792
84,wind,e_demand,2030,1,1.0,1.0,12,12,0.01998549151809786
85,wind,e_demand,2030,1,1.0,1.0,13,13,0.02027187703631929
86,wind,e_demand,2030,1,1.0,1.0,14,14,0.020372144334630325
87,wind,e_demand,2030,1,1.0,1.0,15,15,0.02144601420673527
88,wind,e_demand,2030,1,1.0,1.0,16,16,0.019982974905613946
89,wind,e_demand,2030,1,1.0,1.0,17,17,0.01854944009469286
90,wind,e_demand,2030,1,1.0,1.0,18,18,0.01796276312141505
91,wind,e_demand,2030,1,1.0,1.0,19,19,0.01748127267761354
92,wind,e_demand,2030,1,1.0,1.0,20,20,0.015465329726795067
93,wind,e_demand,2030,1,1.0,1.0,21,21,0.012958773472159475
94,wind,e_demand,2030,1,1.0,1.0,22,22,0.010016185136969663
95,wind,e_demand,2030,1,1.0,1.0,23,23,0.009258944741045194
96,wind,e_demand,2030,1,1.0,1.0,24,24,0.007262874350968922
97,solar,e_demand,2030,1,1.0,1.0,1,1,0.0
98,solar,e_demand,2030,1,1.0,1.0,2,2,0.0
99,solar,e_demand,2030,1,1.0,1.0,3,3,0.0
100,solar,e_demand,2030,1,1.0,1.0,4,4,0.0
101,solar,e_demand,2030,1,1.0,1.0,5,5,0.0
102,solar,e_demand,2030,1,1.0,1.0,6,6,0.0
103,solar,e_demand,2030,1,1.0,1.0,7,7,0.0
104,solar,e_demand,2030,1,1.0,1.0,8,8,0.0
105,solar,e_demand,2030,1,1.0,1.0,9,9,0.010279535012678458
106,solar,e_demand,2030,1,1.0,1.0,10,10,0.04848383922232626
107,solar,e_demand,2030,1,1.0,1.0,11,11,0.09057739229920513
108,solar,e_demand,2030,1,1.0,1.0,12,12,0.12168232772565026
109,solar,e_demand,2030,1,1.0,1.0,13,13,0.13033143167522135
110,solar,e_demand,2030,1,1.0,1.0,14,14,0.12434069926756082
111,solar,e_demand,2030,1,1.0,1.0,15,15,0.10518810350117458
112,solar,e_demand,2030,1,1.0,1.0,16,16,0.06954988043642148
113,solar,e_demand,2030,1,1.0,1.0,17,17,0.028543029967538422
114,solar,e_demand,2030,1,1.0,1.0,18,18,0.0
115,solar,e_demand,2030,1,1.0,1.0,19,19,0.0
116,solar,e_demand,2030,1,1.0,1.0,20,20,0.0
117,solar,e_demand,2030,1,1.0,1.0,21,21,0.0
118,solar,e_demand,2030,1,1.0,1.0,22,22,0.0
119,solar,e_demand,2030,1,1.0,1.0,23,23,0.0
120,solar,e_demand,2030,1,1.0,1.0,24,24,0.0
121,wind_offshore,e_demand,2030,1,1.0,1.0,1,1,0.0
122,wind_offshore,e_demand,2030,1,1.0,1.0,2,2,0.0
123,wind_offshore,e_demand,2030,1,1.0,1.0,3,3,0.0
124,wind_offshore,e_demand,2030,1,1.0,1.0,4,4,0.0
125,wind_offshore,e_demand,2030,1,1.0,1.0,5,5,0.0
126,wind_offshore,e_demand,2030,1,1.0,1.0,6,6,0.0
127,wind_offshore,e_demand,2030,1,1.0,1.0,7,7,0.0
128,wind_offshore,e_demand,2030,1,1.0,1.0,8,8,0.0
129,wind_offshore,e_demand,2030,1,1.0,1.0,9,9,0.0
130,wind_offshore,e_demand,2030,1,1.0,1.0,10,10,0.0
131,wind_offshore,e_demand,2030,1,1.0,1.0,11,11,0.0
132,wind_offshore,e_demand,2030,1,1.0,1.0,12,12,0.0
133,wind_offshore,e_demand,2030,1,1.0,1.0,13,13,0.0
134,wind_offshore,e_demand,2030,1,1.0,1.0,14,14,0.0
135,wind_offshore,e_demand,2030,1,1.0,1.0,15,15,0.0
136,wind_offshore,e_demand,2030,1,1.0,1.0,16,16,0.0
137,wind_offshore,e_demand,2030,1,1.0,1.0,17,17,0.0
138,wind_offshore,e_demand,2030,1,1.0,1.0,18,18,0.0
139,wind_offshore,e_demand,2030,1,1.0,1.0,19,19,0.0
140,wind_offshore,e_demand,2030,1,1.0,1.0,20,20,0.0
141,wind_offshore,e_demand,2030,1,1.0,1.0,21,21,0.0
142,wind_offshore,e_demand,2030,1,1.0,1.0,22,22,0.0
143,wind_offshore,e_demand,2030,1,1.0,1.0,23,23,0.0
144,wind_offshore,e_demand,2030,1,1.0,1.0,24,24,0.0
145,ens,e_demand,2030,2,1.0,1.0,1,1,0.0
146,ens,e_demand,2030,2,1.0,1.0,2,2,0.0
147,ens,e_demand,2030,2,1.0,1.0,3,3,0.0
148,ens,e_demand,2030,2,1.0,1.0,4,4,0.0
149,ens,e_demand,2030,2,1.0,1.0,5,5,0.0
150,ens,e_demand,2030,2,1.0,1.0,6,6,0.0
