id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_consumer
1,e_demand,2030,1,1,1,0.45193784589460756
2,e_demand,2030,1,2,2,0.45193784589460756
3,e_demand,2030,1,3,3,0.45193784589460756
4,e_demand,2030,1,4,4,0.45193784589460756
5,e_demand,2030,1,5,5,0.45193784589460756
6,e_demand,2030,1,6,6,0.45193784589460756
7,e_demand,2030,1,7,7,0.45193784589460756
8,e_demand,2030,1,8,8,0.45193784589460756
9,e_demand,2030,1,9,9,0.45193784589460756
10,e_demand,2030,1,10,10,0.45193784589460756
11,e_demand,2030,1,11,11,0.45193784589460756
12,e_demand,2030,1,12,12,0.45193784589460756
13,e_demand,2030,1,13,13,0.45193784589460756
14,e_demand,2030,1,14,14,0.45193784589460756
15,e_demand,2030,1,15,15,0.45193784589460756
16,e_demand,2030,1,16,16,0.45193784589460756
17,e_demand,2030,1,17,17,0.45193784589460756
18,e_demand,2030,1,18,18,0.45193784589460756
19,e_demand,2030,1,19,19,0.45193784589460756
20,e_demand,2030,1,20,20,0.45193784589460756
21,e_demand,2030,1,21,21,0.45193784589460756
22,e_demand,2030,1,22,22,0.45193784589460756
23,e_demand,2030,1,23,23,0.45193784589460756
24,e_demand,2030,1,24,24,0.45193784589460756
25,e_demand,2030,2,1,1,4.142407560417625
26,e_demand,2030,2,2,2,4.142407560417625
27,e_demand,2030,2,3,3,4.142407560417625
28,e_demand,2030,2,4,4,4.142407560417625
29,e_demand,2030,2,5,5,4.142407560417625
30,e_demand,2030,2,6,6,4.142407560417625
31,e_demand,2030,2,7,7,4.142407560417625
32,e_demand,2030,2,8,8,4.142407560417625
33,e_demand,2030,2,9,9,4.142407560417625
34,e_demand,2030,2,10,10,4.142407560417625
35,e_demand,2030,2,11,11,4.142407560417625
36,e_demand,2030,2,12,12,4.142407560417625
37,e_demand,2030,2,13,13,4.142407560417625
38,e_demand,2030,2,14,14,4.142407560417625
39,e_demand,2030,2,15,15,4.142407560417625
40,e_demand,2030,2,16,16,4.142407560417625
41,e_demand,2030,2,17,17,4.142407560417625
42,e_demand,2030,2,18,18,4.142407560417625
43,e_demand,2030,2,19,19,4.142407560417625
44,e_demand,2030,2,20,20,4.142407560417625
45,e_demand,2030,2,21,21,4.142407560417625
46,e_demand,2030,2,22,22,4.142407560417625
47,e_demand,2030,2,23,23,4.142407560417625
48,e_demand,2030,2,24,24,4.142407560417625
49,e_demand,2030,3,1,1,2.405697010084857
50,e_demand,2030,3,2,2,2.405697010084857
51,e_demand,2030,3,3,3,2.405697010084857
52,e_demand,2030,3,4,4,2.405697010084857
53,e_demand,2030,3,5,5,2.405697010084857
54,e_demand,2030,3,6,6,2.405697010084857
55,e_demand,2030,3,7,7,2.405697010084857
56,e_demand,2030,3,8,8,2.405697010084857
57,e_demand,2030,3,9,9,2.405697010084857
58,e_demand,2030,3,10,10,2.405697010084857
59,e_demand,2030,3,11,11,2.405697010084857
60,e_demand,2030,3,12,12,2.405697010084857
61,e_demand,2030,3,13,13,2.405697010084857
62,e_demand,2030,3,14,14,2.405697010084857
63,e_demand,2030,3,15,15,2.405697010084857
64,e_demand,2030,3,16,16,2.405697010084857
65,e_demand,2030,3,17,17,2.405697010084857
66,e_demand,2030,3,18,18,2.405697010084857
67,e_demand,2030,3,19,19,2.405697010084857
68,e_demand,2030,3,20,20,2.405697010084857
69,e_demand,2030,3,21,21,2.405697010084857
70,e_demand,2030,3,22,22,2.405697010084857
71,e_demand,2030,3,23,23,2.405697010084857
72,e_demand,2030,3,24,24,2.405697010084857
73,e_demand,2030,4,1,1,1.7379183320825469
74,e_demand,2030,4,2,2,1.7379183320825469
75,e_demand,2030,4,3,3,1.7379183320825469
76,e_demand,2030,4,4,4,1.7379183320825469
77,e_demand,2030,4,5,5,1.7379183320825469
78,e_demand,2030,4,6,6,1.7379183320825469
79,e_demand,2030,4,7,7,1.7379183320825469
80,e_demand,2030,4,8,8,1.7379183320825469
81,e_demand,2030,4,9,9,1.7379183320825469
82,e_demand,2030,4,10,10,1.7379183320825469
83,e_demand,2030,4,11,11,1.7379183320825469
84,e_demand,2030,4,12,12,1.7379183320825469
85,e_demand,2030,4,13,13,1.7379183320825469
86,e_demand,2030,4,14,14,1.7379183320825469
87,e_demand,2030,4,15,15,1.7379183320825469
88,e_demand,2030,4,16,16,1.7379183320825469
89,e_demand,2030,4,17,17,1.7379183320825469
90,e_demand,2030,4,18,18,1.7379183320825469
91,e_demand,2030,4,19,19,2.433085664915566
92,e_demand,2030,4,20,20,2.433085664915566
93,e_demand,2030,4,21,21,105.63889959713379
94,e_demand,2030,4,22,22,2.433085664915566
95,e_demand,2030,4,23,23,1.7379183320825469
96,e_demand,2030,4,24,24,1.7379183320825469
97,e_demand,2030,5,1,1,6.895830083276815
98,e_demand,2030,5,2,2,6.895830083276815
99,e_demand,2030,5,3,3,6.895830083276815
100,e_demand,2030,5,4,4,6.895830083276815
101,e_demand,2030,5,5,5,6.895830083276815
102,e_demand,2030,5,6,6,6.895830083276815
103,e_demand,2030,5,7,7,6.895830083276815
104,e_demand,2030,5,8,8,6.895830083276815
105,e_demand,2030,5,9,9,6.895830083276815
106,e_demand,2030,5,10,10,6.895830083276815
107,e_demand,2030,5,11,11,6.895830083276815
108,e_demand,2030,5,12,12,4.757337736408882
109,e_demand,2030,5,13,13,0.0
110,e_demand,2030,5,14,14,0.0
111,e_demand,2030,5,15,15,6.895830083276815
112,e_demand,2030,5,16,16,6.895830083276815
113,e_demand,2030,5,17,17,6.895830083276815
114,e_demand,2030,5,18,18,6.895830083276815
115,e_demand,2030,5,19,19,6.895830083276815
116,e_demand,2030,5,20,20,7.214677557615937
117,e_demand,2030,5,21,21,9.65416211658754
118,e_demand,2030,5,22,22,6.895830083276815
119,e_demand,2030,5,23,23,6.895830083276815
120,e_demand,2030,5,24,24,6.895830083276815
121,e_demand,2030,6,1,1,0.5659235191145625
122,e_demand,2030,6,2,2,0.5659235191145625
123,e_demand,2030,6,3,3,0.5659235191145625
124,e_demand,2030,6,4,4,0.5659235191145625
125,e_demand,2030,6,5,5,0.5659235191145625
126,e_demand,2030,6,6,6,0.5659235191145625
127,e_demand,2030,6,7,7,0.5659235191145625
128,e_demand,2030,6,8,8,0.5659235191145625
129,e_demand,2030,6,9,9,0.5659235191145625
130,e_demand,2030,6,10,10,0.5659235191145625
131,e_demand,2030,6,11,11,0.5659235191145625
132,e_demand,2030,6,12,12,0.0
133,e_demand,2030,6,13,13,0.0
134,e_demand,2030,6,14,14,0.0
135,e_demand,2030,6,15,15,0.0
136,e_demand,2030,6,16,16,0.5659235191145625
137,e_demand,2030,6,17,17,0.5659235191145625
138,e_demand,2030,6,18,18,0.5659235191145625
139,e_demand,2030,6,19,19,0.5659235191145625
140,e_demand,2030,6,20,20,0.5659235191145625
141,e_demand,2030,6,21,21,0.5659235191145625
142,e_demand,2030,6,22,22,0.5659235191145625
143,e_demand,2030,6,23,23,0.5659235191145625
144,e_demand,2030,6,24,24,0.5659235191145625
145,e_demand,2030,7,1,1,0.11756721424329977
146,e_demand,2030,7,2,2,0.11756721424329977
147,e_demand,2030,7,3,3,0.11756721424329977
148,e_demand,2030,7,4,4,0.11756721424329977
149,e_demand,2030,7,5,5,0.11756721424329977
150,e_demand,2030,7,6,6,0.11756721424329977
151,e_demand,2030,7,7,7,0.11756721424329977
152,e_demand,2030,7,8,8,0.11756721424329977
153,e_demand,2030,7,9,9,0.11756721424329977
154,e_demand,2030,7,10,10,0.11756721424329977
155,e_demand,2030,7,11,11,0.0
156,e_demand,2030,7,12,12,0.0
157,e_demand,2030,7,13,13,0.0
158,e_demand,2030,7,14,14,0.0
159,e_demand,2030,7,15,15,0.11756721424329977
160,e_demand,2030,7,16,16,0.11756721424329977
161,e_demand,2030,7,17,17,0.11756721424329977
162,e_demand,2030,7,18,18,0.11756721424329977
163,e_demand,2030,7,19,19,0.11756721424329977
164,e_demand,2030,7,20,20,0.11756721424329977
165,e_demand,2030,7,21,21,0.11756721424329977
166,e_demand,2030,7,22,22,0.11756721424329977
167,e_demand,2030,7,23,23,0.11756721424329977
168,e_demand,2030,7,24,24,0.11756721424329977
169,e_demand,2030,8,1,1,0.7475168757552639
170,e_demand,2030,8,2,2,0.7475168757552639
171,e_demand,2030,8,3,3,0.7475168757552639
172,e_demand,2030,8,4,4,0.7475168757552639
173,e_demand,2030,8,5,5,0.7475168757552639
174,e_demand,2030,8,6,6,0.7475168757552639
175,e_demand,2030,8,7,7,0.7475168757552639
176,e_demand,2030,8,8,8,0.7475168757552639
177,e_demand,2030,8,9,9,0.7475168757552639
178,e_demand,2030,8,10,10,0.7475168757552639
179,e_demand,2030,8,11,11,0.7475168757552639
180,e_demand,2030,8,12,12,0.0
181,e_demand,2030,8,13,13,0.0
182,e_demand,2030,8,14,14,0.0
183,e_demand,2030,8,15,15,0.7475168757552639
184,e_demand,2030,8,16,16,0.7475168757552639
185,e_demand,2030,8,17,17,0.7475168757552639
186,e_demand,2030,8,18,18,0.7475168757552639
187,e_demand,2030,8,19,19,0.7475168757552639
188,e_demand,2030,8,20,20,0.7475168757552639
189,e_demand,2030,8,21,21,0.7475168757552639
190,e_demand,2030,8,22,22,0.7475168757552639
191,e_demand,2030,8,23,23,0.7475168757552639
192,e_demand,2030,8,24,24,0.7475168757552639
