id,from_asset,to_asset,year,rep_period,capacity_coefficient,conversion_coefficient,time_block_start,time_block_end,solution
1,ens,e_demand,2030,1,1.0,1.0,1,1,0.0
2,ens,e_demand,2030,1,1.0,1.0,2,2,0.0
3,ens,e_demand,2030,1,1.0,1.0,3,3,0.0
4,ens,e_demand,2030,1,1.0,1.0,4,4,0.0
5,ens,e_demand,2030,1,1.0,1.0,5,5,0.0
6,ens,e_demand,2030,1,1.0,1.0,6,6,0.0
7,ens,e_demand,2030,1,1.0,1.0,7,7,0.0
8,ens,e_demand,2030,1,1.0,1.0,8,8,0.0
9,ens,e_demand,2030,1,1.0,1.0,9,9,0.0
10,ens,e_demand,2030,1,1.0,1.0,10,10,0.0
11,ens,e_demand,2030,1,1.0,1.0,11,11,0.0
12,ens,e_demand,2030,1,1.0,1.0,12,12,0.0
13,ens,e_demand,2030,1,1.0,1.0,13,13,0.0
14,ens,e_demand,2030,1,1.0,1.0,14,14,0.0
15,ens,e_demand,2030,1,1.0,1.0,15,15,0.0
16,ens,e_demand,2030,1,1.0,1.0,16,16,0.0
17,ens,e_demand,2030,1,1.0,1.0,17,17,0.0
18,ens,e_demand,2030,1,1.0,1.0,18,18,0.0
19,ens,e_demand,2030,1,1.0,1.0,19,19,0.0
20,ens,e_demand,2030,1,1.0,1.0,20,20,0.016265844196254285
21,ens,e_demand,2030,1,1.0,1.0,21,21,0.012586175912921077
22,ens,e_demand,2030,1,1.0,1.0,22,22,0.0
23,ens,e_demand,2030,1,1.0,1.0,23,23,0.0
24,ens,e_demand,2030,1,1.0,1.0,24,24,0.0
25,ocgt,e_demand,2030,1,1.0,1.0,1,1,0.022003625965877766
26,ocgt,e_demand,2030,1,1.0,1.0,2,2,0.0
27,ocgt,e_demand,2030,1,1.0,1.0,3,3,0.0
28,ocgt,e_demand,2030,1,1.0,1.0,4,4,0.0
29,ocgt,e_demand,2030,1,1.0,1.0,5,5,0.0
30,ocgt,e_demand,2030,1,1.0,1.0,6,6,0.0
31,ocgt,e_demand,2030,1,1.0,1.0,7,7,0.036569351893428026
32,ocgt,e_demand,2030,1,1.0,1.0,8,8,0.027894532284581497
33,ocgt,e_demand,2030,1,1.0,1.0,9,9,0.02040238715817899
34,ocgt,e_demand,2030,1,1.0,1.0,10,10,0.0027668311900971854
35,ocgt,e_demand,2030,1,1.0,1.0,11,11,0.03673282308561243
36,ocgt,e_demand,2030,1,1.0,1.0,12,12,0.09491258136971092
37,ocgt,e_demand,2030,1,1.0,1.0,13,13,0.07920026643337041
38,ocgt,e_demand,2030,1,1.0,1.0,14,14,0.06018607984438529
39,ocgt,e_demand,2030,1,1.0,1.0,15,15,0.049370123936705146
40,ocgt,e_demand,2030,1,1.0,1.0,16,16,0.10266322777762077
41,ocgt,e_demand,2030,1,1.0,1.0,17,17,0.18319818657910975
42,ocgt,e_demand,2030,1,1.0,1.0,18,18,0.22067824562453545
43,ocgt,e_demand,2030,1,1.0,1.0,19,19,0.26049331876488263
44,ocgt,e_demand,2030,1,1.0,1.0,20,20,0.2712684120156223
45,ocgt,e_demand,2030,1,1.0,1.0,21,21,0.2712684120156223
46,ocgt,e_demand,2030,1,1.0,1.0,22,22,0.21204354957839683
47,ocgt,e_demand,2030,1,1.0,1.0,23,23,0.10794684648908695
48,ocgt,e_demand,2030,1,1.0,1.0,24,24,0.07296523378933223
49,ccgt,e_demand,2030,1,1.0,1.0,1,1,0.8434124922742607
50,ccgt,e_demand,2030,1,1.0,1.0,2,2,0.8301618580621782
51,ccgt,e_demand,2030,1,1.0,1.0,3,3,0.816657284913215
52,ccgt,e_demand,2030,1,1.0,1.0,4,4,0.7970917328790215
53,ccgt,e_demand,2030,1,1.0,1.0,5,5,0.8130513338240305
54,ccgt,e_demand,2030,1,1.0,1.0,6,6,0.8410843291399712
55,ccgt,e_demand,2030,1,1.0,1.0,7,7,0.8434124922742607
56,ccgt,e_demand,2030,1,1.0,1.0,8,8,0.8434124922742607
57,ccgt,e_demand,2030,1,1.0,1.0,9,9,0.8434124922742607
58,ccgt,e_demand,2030,1,1.0,1.0,10,10,0.8434124922742607
59,ccgt,e_demand,2030,1,1.0,1.0,11,11,0.8434124922742607
60,ccgt,e_demand,2030,1,1.0,1.0,12,12,0.8434124922742607
61,ccgt,e_demand,2030,1,1.0,1.0,13,13,0.8434124922742607
62,ccgt,e_demand,2030,1,1.0,1.0,14,14,0.8434124922742607
63,ccgt,e_demand,2030,1,1.0,1.0,15,15,0.8434124922742607
64,ccgt,e_demand,2030,1,1.0,1.0,16,16,0.8434124922742607
65,ccgt,e_demand,2030,1,1.0,1.0,17,17,0.8434124922742607
66,ccgt,e_demand,2030,1,1.0,1.0,18,18,0.8434124922742607
67,ccgt,e_demand,2030,1,1.0,1.0,19,19,0.8434124922742607
68,ccgt,e_demand,2030,1,1.0,1.0,20,20,0.8434124922742607
69,ccgt,e_demand,2030,1,1.0,1.0,21,21,0.8434124922742607
70,ccgt,e_demand,2030,1,1.0,1.0,22,22,0.8434124922742607
71,ccgt,e_demand,2030,1,1.0,1.0,23,23,0.8434124922742607
72,ccgt,e_demand,2030,1,1.0,1.0,24,24,0.8434124922742607
73,wind,e_demand,2030,1,1.0,1.0,1,1,0.16094366906942928
74,wind,e_demand,2030,1,1.0,1.0,2,2,0.15769982567647742
75,wind,e_demand,2030,1,1.0,1.0,3,3,0.14665250838450256
76,wind,e_demand,2030,1,1.0,1.0,4,4,0.13025966601155117
77,wind,e_demand,2030,1,1.0,1.0,5,5,0.11972635804773966
78,wind,e_demand,2030,1,1.0,1.0,6,6,0.1101214335427327
79,wind,e_demand,2030,1,1.0,1.0,7,7,0.09565677436940177
80,wind,e_demand,2030,1,1.0,1.0,8,8,0.07829136603739384
81,wind,e_demand,2030,1,1.0,1.0,9,9,0.07098257230642362
82,wind,e_demand,2030,1,1.0,1.0,10,10,0.07730112908707949
83,wind,e_demand,2030,1,1.0,1.0,11,11,0.07099407833309496
84,wind,e_demand,2030,1,1.0,1.0,12,12,0.08108078329780906
85,wind,e_demand,2030,1,1.0,1.0,13,13,0.10058716264716924
86,wind,e_demand,2030,1,1.0,1.0,14,14,0.121608389553779
87,wind,e_demand,2030,1,1.0,1.0,15,15,0.1492663858214658
88,wind,e_demand,2030,1,1.0,1.0,16,16,0.17043822179986912
89,wind,e_demand,2030,1,1.0,1.0,17,17,0.19288129480485613
90,wind,e_demand,2030,1,1.0,1.0,18,18,0.21536861859736686
91,wind,e_demand,2030,1,1.0,1.0,19,19,0.238055172689608
92,wind,e_demand,2030,1,1.0,1.0,20,20,0.2410118931066453
93,wind,e_demand,2030,1,1.0,1.0,21,21,0.24916917768996097
94,wind,e_demand,2030,1,1.0,1.0,22,22,0.23639326621982376
95,wind,e_demand,2030,1,1.0,1.0,23,23,0.2017363552542015
96,wind,e_demand,2030,1,1.0,1.0,24,24,0.18779591462178807
97,solar,e_demand,2030,1,1.0,1.0,1,1,0.0
98,solar,e_demand,2030,1,1.0,1.0,2,2,0.0
99,solar,e_demand,2030,1,1.0,1.0,3,3,0.0
100,solar,e_demand,2030,1,1.0,1.0,4,4,0.0
101,solar,e_demand,2030,1,1.0,1.0,5,5,0.0
102,solar,e_demand,2030,1,1.0,1.0,6,6,7.654912337823485e-05
103,solar,e_demand,2030,1,1.0,1.0,7,7,0.015257525338987844
104,solar,e_demand,2030,1,1.0,1.0,8,8,0.12136207534434507
105,solar,e_demand,2030,1,1.0,1.0,9,9,0.26019285728766967
106,solar,e_demand,2030,1,1.0,1.0,10,10,0.3724835821730482
107,solar,e_demand,2030,1,1.0,1.0,11,11,0.44186685453607827
108,solar,e_demand,2030,1,1.0,1.0,12,12,0.48739075103397433
109,solar,e_demand,2030,1,1.0,1.0,13,13,0.5023526710347155
110,solar,e_demand,2030,1,1.0,1.0,14,14,0.49560811874847277
111,solar,e_demand,2030,1,1.0,1.0,15,15,0.4666549259546374
112,solar,e_demand,2030,1,1.0,1.0,16,16,0.3980356324508228
113,solar,e_demand,2030,1,1.0,1.0,17,17,0.30435266463496274
114,solar,e_demand,2030,1,1.0,1.0,18,18,0.19178160917003337
115,solar,e_demand,2030,1,1.0,1.0,19,19,0.07290538741417878
116,solar,e_demand,2030,1,1.0,1.0,20,20,0.0013053181946154433
117,solar,e_demand,2030,1,1.0,1.0,21,21,0.0
118,solar,e_demand,2030,1,1.0,1.0,22,22,0.0
119,solar,e_demand,2030,1,1.0,1.0,23,23,0.0
120,solar,e_demand,2030,1,1.0,1.0,24,24,0.0
121,wind_offshore,e_demand,2030,1,1.0,1.0,1,1,0.0
122,wind_offshore,e_demand,2030,1,1.0,1.0,2,2,0.0
123,wind_offshore,e_demand,2030,1,1.0,1.0,3,3,0.0
124,wind_offshore,e_demand,2030,1,1.0,1.0,4,4,0.0
125,wind_offshore,e_demand,2030,1,1.0,1.0,5,5,0.0
126,wind_offshore,e_demand,2030,1,1.0,1.0,6,6,0.0
127,wind_offshore,e_demand,2030,1,1.0,1.0,7,7,0.0
128,wind_offshore,e_demand,2030,1,1.0,1.0,8,8,0.0
129,wind_offshore,e_demand,2030,1,1.0,1.0,9,9,0.0
130,wind_offshore,e_demand,2030,1,1.0,1.0,10,10,0.0
131,wind_offshore,e_demand,2030,1,1.0,1.0,11,11,0.0
132,wind_offshore,e_demand,2030,1,1.0,1.0,12,12,0.0
133,wind_offshore,e_demand,2030,1,1.0,1.0,13,13,0.0
134,wind_offshore,e_demand,2030,1,1.0,1.0,14,14,0.0
135,wind_offshore,e_demand,2030,1,1.0,1.0,15,15,0.0
136,wind_offshore,e_demand,2030,1,1.0,1.0,16,16,0.0
137,wind_offshore,e_demand,2030,1,1.0,1.0,17,17,0.0
138,wind_offshore,e_demand,2030,1,1.0,1.0,18,18,0.0
139,wind_offshore,e_demand,2030,1,1.0,1.0,19,19,0.0
140,wind_offshore,e_demand,2030,1,1.0,1.0,20,20,0.0
141,wind_offshore,e_demand,2030,1,1.0,1.0,21,21,0.0
142,wind_offshore,e_demand,2030,1,1.0,1.0,22,22,0.0
143,wind_offshore,e_demand,2030,1,1.0,1.0,23,23,0.0
144,wind_offshore,e_demand,2030,1,1.0,1.0,24,24,0.0
145,ens,e_demand,2030,2,1.0,1.0,1,1,0.0
146,ens,e_demand,2030,2,1.0,1.0,2,2,0.0
147,ens,e_demand,2030,2,1.0,1.0,3,3,0.0
