base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand
0_HourlyBenchmark,1,Gurobi,0.0,1.1028843,2.2536836,5.7684832,0.450828,490.37233247512637,OPTIMAL,122640,105125,0.0,0.0,,9
convex_cross,4,Gurobi,17.4315912,0.2737638,0.9694131,0.0059293,0.0113828,606.654743706773,OPTIMAL,672,581,0.1833568,562.460697911312,OPTIMAL,23
convex_cross,8,Gurobi,15.0139806,0.2736944,0.8982401,0.0103616,0.0127296,566.4652343402564,OPTIMAL,1344,1157,0.0414045,548.6125964880804,OPTIMAL,22
convex_cross,12,Gurobi,15.2459016,0.2988358,0.9331208,0.0153276,0.0144824,565.0119178637498,OPTIMAL,2016,1733,0.0340977,559.8246911913944,OPTIMAL,43
convex_cross,16,Gurobi,15.2789915,0.3120058,0.9689574,0.0265557,0.0170071,580.8584511665979,OPTIMAL,2688,2309,0.1047487,549.1535241762524,OPTIMAL,50
convex_cross,20,Gurobi,16.2626104,0.3245839,1.0209558,0.0296976,0.0197552,582.8181903470436,OPTIMAL,3360,2885,0.1129925,540.4209043392742,OPTIMAL,43
convex_cross,30,Gurobi,16.3413387,0.3368392,1.1098583,0.0543353,0.0251764,551.3528193253456,OPTIMAL,5040,4325,0.0724344,515.0152878291037,OPTIMAL,43
convex_cross,60,Gurobi,18.0880421,0.3519108,1.0484364,0.1242199,0.0427919,539.4015873046121,OPTIMAL,10080,8645,0.0513799,492.46793816141883,OPTIMAL,12
convex_cross,90,Gurobi,16.9165515,0.3770509,1.1648958,0.2357852,0.0605666,536.6919092019073,OPTIMAL,15120,12965,0.0365508,495.0217318459044,OPTIMAL,5
convex_cross,120,Gurobi,17.6730219,0.4221387,1.2440605,0.4095763,0.0806671,531.9928202821618,OPTIMAL,20160,17285,0.03191,495.5478461189971,OPTIMAL,5
convex_cross,180,Gurobi,18.2152231,0.5176448,1.5150277,0.5997845,0.1133306,521.3415311255982,OPTIMAL,30240,25925,0.0342014,492.8492903063712,OPTIMAL,7
convex_cross,240,Gurobi,20.478016,0.5542989,1.4238007,1.2324249,0.1468737,517.604352784195,OPTIMAL,40320,34565,0.0349967,493.22143141570336,OPTIMAL,10
convex_cross,360,Gurobi,20.0395551,0.7069805,1.899406,2.5206418,0.2595555,509.80842118532996,OPTIMAL,60480,51845,0.0377573,491.92239006409034,OPTIMAL,12
convex_per,4,Gurobi,12.1699666,0.2732697,0.9005175,0.0059008,0.0117002,572.6146474158909,OPTIMAL,672,581,0.0919778,520.5263431739526,OPTIMAL,14
convex_per,8,Gurobi,9.5191865,0.2822092,0.949664,0.011735,0.0133097,562.1048526219597,OPTIMAL,1344,1157,0.0344703,517.8478556244083,OPTIMAL,14
convex_per,12,Gurobi,9.7511287,0.3100714,1.0121512,0.0155443,0.0146378,532.4999969750158,OPTIMAL,2016,1733,0.0334372,517.1186984535926,OPTIMAL,14
convex_per,16,Gurobi,9.5669883,0.3270045,1.0463975,0.0218607,0.0187404,541.0391999871399,OPTIMAL,2688,2309,0.0358316,516.3405587176817,OPTIMAL,14
convex_per,20,Gurobi,10.0786187,0.3768359,1.1398661,0.0257246,0.0210118,538.6937322259098,OPTIMAL,3360,2885,0.0121374,516.3405587176817,OPTIMAL,14
convex_per,30,Gurobi,9.9598079,0.3633726,1.1585256,0.0433156,0.0259084,542.2236569317839,OPTIMAL,5040,4325,0.0308063,515.724600835294,OPTIMAL,14
convex_per,60,Gurobi,12.0803697,0.3366457,1.0680279,0.1183486,0.0441413,526.5344376625918,OPTIMAL,10080,8645,0.0324807,524.5947864147191,OPTIMAL,30
convex_per,90,Gurobi,10.2162457,0.3744725,1.20462,0.2415292,0.0603652,524.1598887840182,OPTIMAL,15120,12965,0.0324982,519.2281963807242,OPTIMAL,34
convex_per,120,Gurobi,10.715798,0.4438697,1.3550456,0.2664345,0.0800037,524.7461670865114,OPTIMAL,20160,17285,0.0357693,511.7379602878219,OPTIMAL,38
convex_per,180,Gurobi,11.5476564,0.5026408,1.5708682,0.7695246,0.1191339,499.09666592980886,OPTIMAL,30240,25925,0.0620951,499.66144056374833,OPTIMAL,33
convex_per,240,Gurobi,12.9064742,0.5554452,1.4533132,1.1143697,0.1528706,496.70012194460077,OPTIMAL,40320,34565,0.0300013,493.6631880777641,OPTIMAL,25
convex_per,360,Gurobi,11.5100876,0.7467081,1.8936338,2.1762721,0.4187467,491.96640523865983,OPTIMAL,60480,51845,0.0356147,491.05770855348817,OPTIMAL,16
conicalb_cross,4,Gurobi,19.5554819,0.28483,0.8903344,0.0066965,0.01041,592.1261702661725,OPTIMAL,672,581,0.1523235,552.0833094558442,OPTIMAL,2
conicalb_cross,8,Gurobi,17.0875164,0.2933764,0.9525377,0.0122026,0.0119718,587.2304659518093,OPTIMAL,1344,1157,0.0332804,563.0171354932872,OPTIMAL,43
conicalb_cross,12,Gurobi,16.9218693,0.312384,1.0240643,0.0155939,0.0151279,585.0142400587517,OPTIMAL,2016,1733,0.0334766,557.5180093595501,OPTIMAL,43
