base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand
0_HourlyBenchmark,1,Gurobi,0.0,5.6270262,16.4677974,8.9970085,1.9811818,490.37233247512637,OPTIMAL,122640,105125,0.0,0.0,,9
convex_cross,4,Gurobi,35.3761606,0.362261,0.9735418,0.0064925,0.0122372,639.1125067671252,OPTIMAL,672,581,0.2442682,578.4290919992121,OPTIMAL,0
convex_cross,8,Gurobi,23.3477895,0.3840431,0.9931899,0.0108602,0.0168105,620.1771060616007,OPTIMAL,1344,1157,0.0444507,560.7631093161797,OPTIMAL,0
convex_cross,12,Gurobi,23.0526176,0.3263656,0.9667869,0.0159227,0.0135174,587.4167562900344,OPTIMAL,2016,1733,0.0474715,552.822478792211,OPTIMAL,0
convex_cross,16,Gurobi,23.7301431,0.4119686,0.9926659,0.0256808,0.0169545,585.4986021446989,OPTIMAL,2688,2309,0.0362004,552.8048770295532,OPTIMAL,0
convex_cross,20,Gurobi,24.8926596,0.3989676,1.1741006,0.0267154,0.0242548,611.0358094884765,OPTIMAL,3360,2885,0.0466909,553.102481561983,OPTIMAL,0
convex_cross,30,Gurobi,26.0546861,0.4388176,1.1690158,0.0518406,0.0376542,573.5124718803089,OPTIMAL,5040,4325,0.0717629,545.1697885065228,OPTIMAL,0
convex_cross,60,Gurobi,25.4265587,0.5649231,1.4458323,0.1481886,0.0778403,564.8346828973537,OPTIMAL,10080,8645,0.0696646,530.7040760330605,OPTIMAL,0
convex_cross,90,Gurobi,26.1313147,0.5420918,1.5616927,0.1999748,0.0681763,563.4574710965235,OPTIMAL,15120,12965,0.0434324,527.4644664676695,OPTIMAL,0
convex_cross,120,Gurobi,27.0136781,0.6359237,1.7819393,0.3369574,0.1103082,556.8120537595853,OPTIMAL,20160,17285,0.0749533,513.6582444126268,OPTIMAL,0
convex_cross,180,Gurobi,28.6799541,0.6784752,1.8587882,0.6221322,0.2095568,528.0189997251374,OPTIMAL,30240,25925,0.0736776,493.14123691583404,OPTIMAL,4
convex_cross,240,Gurobi,27.3573919,0.8548238,2.023725,1.3803596,0.2756918,528.46521432751,OPTIMAL,40320,34565,0.0614707,495.7000067441819,OPTIMAL,4
convex_cross,360,Gurobi,33.8363661,1.0224369,2.6249858,2.6946556,0.2416422,513.3814794519078,OPTIMAL,60480,51845,0.0578236,491.7943355047448,OPTIMAL,10
