base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand
0_HourlyBenchmark,1,Gurobi,0.0,5.7708689,16.4720738,8.474128,2.0268817,490.37233247512637,OPTIMAL,122640,105125,0.0,0.0,,9
convex_cross,4,Gurobi,35.0354177,0.3461634,1.0425054,0.0061926,0.012927,546.2759027303329,OPTIMAL,672,581,0.105851,579.7889065239361,OPTIMAL,92
convex_cross,8,Gurobi,19.134399,0.2987167,0.7857632,0.0114051,0.013859,541.0683000318523,OPTIMAL,1344,1157,0.0710574,579.0573217817704,OPTIMAL,93
convex_cross,12,Gurobi,19.5626992,0.2764586,0.8074306,0.0173762,0.0175058,543.1012541744906,OPTIMAL,2016,1733,0.1522635,568.6402334021201,OPTIMAL,119
convex_cross,16,Gurobi,18.7394234,0.2805203,0.8347164,0.0246056,0.0506754,545.9129660099163,OPTIMAL,2688,2309,0.1307843,579.7008001730817,OPTIMAL,101
convex_cross,20,Gurobi,19.3466565,0.2708811,0.7623839,0.02753,0.0237099,549.1248618701205,OPTIMAL,3360,2885,0.0392238,562.0837308480416,OPTIMAL,86
convex_cross,30,Gurobi,17.9619663,0.3047216,0.8793026,0.0401647,0.0266221,541.9964844403686,OPTIMAL,5040,4325,0.0933013,540.1856778205823,OPTIMAL,90
convex_cross,60,Gurobi,19.3867783,0.3467227,1.017339,0.1016809,0.0622919,549.5093621616887,OPTIMAL,10080,8645,0.0418626,491.3041379777978,OPTIMAL,15
convex_cross,90,Gurobi,20.3667379,0.380249,1.1093379,0.2134088,0.063435,536.716681786408,OPTIMAL,15120,12965,0.0385207,491.77005856565296,OPTIMAL,16
convex_cross,120,Gurobi,21.2916453,0.423206,1.2367661,0.3468086,0.0804325,543.3222922236058,OPTIMAL,20160,17285,0.039317,492.2907177716593,OPTIMAL,6
convex_cross,180,Gurobi,20.4652039,0.5250342,1.5086986,0.6125055,0.1224227,523.2750899305294,OPTIMAL,30240,25925,0.0405387,492.4019549087307,OPTIMAL,6
convex_cross,240,Gurobi,23.9601838,0.5604691,1.5668931,1.0252067,0.2740305,516.4043148439015,OPTIMAL,40320,34565,0.0350491,492.80939057872297,OPTIMAL,7
convex_cross,360,Gurobi,24.0388603,0.7140628,2.0078552,2.0317951,0.2344573,500.49863233219895,OPTIMAL,60480,51845,0.0382486,491.03533594481496,OPTIMAL,9
convex_per,4,Gurobi,14.2862208,0.2745968,0.8686181,0.0060172,0.0125253,551.7122277262466,OPTIMAL,672,581,0.1252378,793.555192034183,OPTIMAL,304
convex_per,8,Gurobi,10.6747813,0.2915482,0.9698626,0.0100207,0.0136748,560.5141732598814,OPTIMAL,1344,1157,0.0274464,580.1347589373011,OPTIMAL,92
convex_per,12,Gurobi,10.3424091,0.3051843,1.0061844,0.0156651,0.013876,518.2543082725413,OPTIMAL,2016,1733,0.0724628,533.7446136454321,OPTIMAL,51
convex_per,16,Gurobi,10.6503001,0.338777,1.0533492,0.0219465,0.017631,517.9173681636497,OPTIMAL,2688,2309,0.0460006,533.9295976375297,OPTIMAL,49
convex_per,20,Gurobi,10.9225899,0.3439323,1.1215641,0.0387563,0.0228982,518.103513405862,OPTIMAL,3360,2885,0.0365001,533.7596559362588,OPTIMAL,51
convex_per,30,Gurobi,13.6834083,0.3246023,1.0060426,0.0418692,0.0291981,536.0254464390362,OPTIMAL,5040,4325,0.0430768,533.8804608051057,OPTIMAL,51
convex_per,60,Gurobi,12.3350253,0.3555323,1.1613746,0.1003618,0.0441415,539.1723409617337,OPTIMAL,10080,8645,0.0394368,527.5945190175058,OPTIMAL,47
convex_per,90,Gurobi,12.3865261,0.4151633,1.2492759,0.3219405,0.0617698,520.6482579066807,OPTIMAL,15120,12965,0.0573293,497.676112172243,OPTIMAL,31
