base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand
0_HourlyBenchmark,1,Gurobi,0.0,5.8591358,15.2229271,9.4298345,2.5994457,490.37233247512637,OPTIMAL,122640,105125,0.0,0.0,,9
convex_cross,4,Gurobi,14.5110274,0.3821739,0.9975102,0.0073796,0.0096628,549.8091935902431,OPTIMAL,672,581,0.1632659,521.9315501816576,OPTIMAL,35
convex_cross,8,Gurobi,3.9751519,0.3477003,0.9577701,0.0213177,0.0184358,513.3148042038025,OPTIMAL,1344,1157,0.0523176,551.0477726052715,OPTIMAL,81
convex_cross,12,Gurobi,5.1106671,0.3110505,1.1030285,0.0260765,0.0218045,504.65443467549653,OPTIMAL,2016,1733,0.0408972,507.6191805405411,OPTIMAL,31
convex_cross,16,Gurobi,7.1967118,0.368267,1.0280018,0.0359928,0.0285747,506.29744979440994,OPTIMAL,2688,2309,0.0379666,516.1907877445914,OPTIMAL,37
convex_cross,20,Gurobi,6.8739145,0.4211929,1.1510739,0.0538349,0.0263321,499.21451364293625,OPTIMAL,3360,2885,0.047839,529.0784877161831,OPTIMAL,59
convex_cross,30,Gurobi,11.0959183,0.4404122,1.1737698,0.0854332,0.0271229,497.38023317563807,OPTIMAL,5040,4325,0.0434025,529.6070633652608,OPTIMAL,61
convex_cross,60,Gurobi,19.1308612,0.461064,1.3790175,0.1681461,0.0783115,491.9584142762621,OPTIMAL,10080,8645,0.048768,492.0027905696751,OPTIMAL,7
convex_cross,90,Gurobi,29.5005382,0.5601993,1.2828369,0.364879,0.1195319,492.1859326944298,OPTIMAL,15120,12965,0.0464024,491.6706306482396,OPTIMAL,7
convex_cross,120,Gurobi,39.2131423,0.5273907,1.5050814,0.5671741,0.1588675,490.44954373507545,OPTIMAL,20160,17285,0.0505491,491.5396883722399,OPTIMAL,7
convex_cross,180,Gurobi,65.132265,0.6203049,1.9333071,0.9459947,0.1401212,488.44173382720993,OPTIMAL,30240,25925,0.0446672,491.28438301993657,OPTIMAL,7
convex_cross,240,Gurobi,88.6821305,0.9699912,2.1718278,1.4076298,0.346029,491.5481150713627,OPTIMAL,40320,34565,0.059823,491.8070102626712,OPTIMAL,4
convex_cross,360,Gurobi,156.5749045,1.1651702,2.9461008,4.3087383,0.4697993,493.522459502658,OPTIMAL,60480,51845,0.1128491,491.81865582438206,OPTIMAL,3
convex_per,4,Gurobi,2.7794838,0.4484642,1.5046262,0.006774,0.0136476,470.771417590208,OPTIMAL,672,581,0.0718238,802.7713103020292,OPTIMAL,295
convex_per,8,Gurobi,2.596852,0.4076445,1.2305693,0.0176658,0.0187052,535.4472503615583,OPTIMAL,1344,1157,0.0558287,515.6952932945187,OPTIMAL,32
convex_per,12,Gurobi,2.1764045,0.4294273,1.2576111,0.0303231,0.0235122,542.155999606195,OPTIMAL,2016,1733,0.0761042,499.53461033863255,OPTIMAL,2
convex_per,16,Gurobi,3.0781289,0.4503843,1.3060778,0.0425233,0.0276034,520.1412241720667,OPTIMAL,2688,2309,0.0514804,494.1409613151074,OPTIMAL,0
convex_per,20,Gurobi,3.7510724,0.4706274,1.4159113,0.0414304,0.0307901,512.9345326501788,OPTIMAL,3360,2885,0.0509644,495.34369499988236,OPTIMAL,1
convex_per,30,Gurobi,5.3995152,0.4872689,1.4957638,0.0700558,0.048259,503.7149222747492,OPTIMAL,5040,4325,0.0499771,493.11457783382764,OPTIMAL,1
convex_per,60,Gurobi,12.2136568,0.4655992,1.3743859,0.1730169,0.0794868,495.7454559589262,OPTIMAL,10080,8645,0.0434764,493.93499435380164,OPTIMAL,1
convex_per,90,Gurobi,14.7240941,0.5691495,1.5419429,0.4156153,0.1180315,495.1348576487546,OPTIMAL,15120,12965,0.0442302,493.22171873929307,OPTIMAL,1
convex_per,120,Gurobi,19.5438361,0.741803,1.8261134,0.5249216,0.1559067,494.3960092254236,OPTIMAL,20160,17285,0.032677,492.8634357446172,OPTIMAL,1
convex_per,180,Gurobi,31.1552724,0.7569836,1.8605794,0.9121775,0.2100106,496.2035053306445,OPTIMAL,30240,25925,0.0432721,492.1184091450642,OPTIMAL,2
convex_per,240,Gurobi,41.4097159,0.5342407,1.3572707,1.9655639,0.162269,494.11709629211964,OPTIMAL,40320,34565,0.0369898,491.7587067736261,OPTIMAL,2
convex_per,360,Gurobi,37.433505,0.6637493,1.6761957,2.4473005,0.3887831,493.70502326763426,OPTIMAL,60480,51845,0.0338713,491.70843300936775,OPTIMAL,4
conicalb_cross,4,Gurobi,2.2958622,0.2661949,0.7529344,0.0072995,0.0084337,506.9615148640899,OPTIMAL,672,581,0.0582936,533.922089112129,OPTIMAL,58
conicalb_cross,8,Gurobi,3.8493868,0.253606,0.7578674,0.0126278,0.0124509,498.46380664665924,OPTIMAL,1344,1157,0.0346035,507.7012309833649,OPTIMAL,27
conicalb_cross,12,Gurobi,3.0443164,0.271275,0.7779177,0.0205211,0.0138099,493.3999068105818,OPTIMAL,2016,1733,0.0387272,515.9465386432026,OPTIMAL,35
conicalb_cross,16,Gurobi,3.695243,0.303491,0.8507824,0.0339605,0.0166187,484.4144583335311,OPTIMAL,2688,2309,0.0354351,530.2015140618327,OPTIMAL,60
conicalb_cross,20,Gurobi,4.2269112,0.2913538,0.8513196,0.0401286,0.022103,484.8201339767049,OPTIMAL,3360,2885,0.0353053,530.0056452233712,OPTIMAL,60
conicalb_cross,30,Gurobi,6.1094153,0.3332545,0.9367088,0.0701498,0.0278231,482.83246554450085,OPTIMAL,5040,4325,0.0361134,529.8042741703698,OPTIMAL,60
conicalb_cross,60,Gurobi,11.0001044,0.3757498,1.0626346,0.1409107,0.0461676,485.9572557456218,OPTIMAL,10080,8645,0.0515194,492.3491787976181,OPTIMAL,7
conicalb_cross,90,Gurobi,16.4087894,0.3602147,0.9572075,0.3099247,0.0620377,484.8334613553792,OPTIMAL,15120,12965,0.0351626,491.8687878794373,OPTIMAL,7
