base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand
0_HourlyBenchmark,1,Gurobi,0.0,5.9856929,16.1828825,8.7028064,1.9400109,490.37233247512637,OPTIMAL,122640,105125,0.0,0.0,,9
convex_cross,4,Gurobi,11.0919414,0.2636485,0.684284,0.0061322,0.0075978,657.089891291711,OPTIMAL,672,581,0.0888794,533.3311510809392,OPTIMAL,0
convex_cross,8,Gurobi,1.5504991,0.2371132,0.6311035,0.0120682,0.0153799,542.4476939379105,OPTIMAL,1344,1157,0.0414271,528.3891512896703,OPTIMAL,0
convex_cross,12,Gurobi,2.2623283,0.261607,0.6784138,0.0191138,0.0142225,559.2179565814762,OPTIMAL,2016,1733,0.0355852,527.9423543022643,OPTIMAL,0
convex_cross,16,Gurobi,2.650037,0.2808088,0.6930309,0.0257351,0.0177053,525.4453628924655,OPTIMAL,2688,2309,0.0667426,527.2176194070026,OPTIMAL,0
convex_cross,20,Gurobi,3.5046491,0.2600269,0.7060008,0.0223785,0.0200531,526.2413586989466,OPTIMAL,3360,2885,0.0375988,530.3550548567534,OPTIMAL,0
convex_cross,30,Gurobi,4.9612831,0.2728264,0.8502254,0.0424388,0.0242774,523.1414901512835,OPTIMAL,5040,4325,0.0375734,525.4159416072494,OPTIMAL,0
convex_cross,60,Gurobi,10.9476811,0.2934693,0.8543069,0.1297959,0.0540578,518.1849670602453,OPTIMAL,10080,8645,0.0405245,518.1474493989479,OPTIMAL,0
convex_cross,90,Gurobi,14.7063183,0.3277009,0.908908,0.3456987,0.0618617,512.8789898913176,OPTIMAL,15120,12965,0.0364945,517.6101146192491,OPTIMAL,0
convex_cross,120,Gurobi,21.9999683,0.3751996,1.0264055,0.4616229,0.0776208,502.6847680743813,OPTIMAL,20160,17285,0.0370065,517.5767798185894,OPTIMAL,0
convex_cross,180,Gurobi,40.6766749,0.4263186,1.0742795,0.7571931,0.115747,503.85627877405915,OPTIMAL,30240,25925,0.0422852,514.9572582727702,OPTIMAL,0
convex_cross,240,Gurobi,62.3776453,0.5003283,1.2208127,1.1064167,0.1623964,502.5590294503989,OPTIMAL,40320,34565,0.0456755,500.75078439796454,OPTIMAL,0
convex_cross,360,Gurobi,100.5837299,0.6776089,1.6265703,2.3228338,0.2246896,492.3270968199249,OPTIMAL,60480,51845,0.0410927,497.71323721108683,OPTIMAL,27
convex_per,4,Gurobi,1.8029188,0.2477479,0.6698873,0.007117,0.0085102,547.7143537291109,OPTIMAL,672,581,0.0541785,537.0767910824667,OPTIMAL,0
convex_per,8,Gurobi,1.7074968,0.2331962,0.6520937,0.0105277,0.0118184,558.3103345171661,OPTIMAL,1344,1157,0.0574463,533.6862260965167,OPTIMAL,0
convex_per,12,Gurobi,1.0274638,0.2458238,0.7020179,0.016764,0.0125905,514.5032245376854,OPTIMAL,2016,1733,0.0369662,526.6043316867851,OPTIMAL,0
convex_per,16,Gurobi,1.0688294,0.2780745,0.7294601,0.0259108,0.0162472,504.4566410074449,OPTIMAL,2688,2309,0.0346072,525.6505764197738,OPTIMAL,0
convex_per,20,Gurobi,1.7996544,0.2773249,0.7360033,0.0295884,0.021567,513.0276672593601,OPTIMAL,3360,2885,0.0387363,525.8880415862013,OPTIMAL,0
convex_per,30,Gurobi,2.3714098,0.2905446,0.8295567,0.0468164,0.0250653,515.5937464963565,OPTIMAL,5040,4325,0.0308709,524.0386352906191,OPTIMAL,0
convex_per,60,Gurobi,5.1461133,0.3277653,1.0151928,0.1232421,0.0434111,515.5212530520523,OPTIMAL,10080,8645,0.0351092,517.7826753121287,OPTIMAL,0
convex_per,90,Gurobi,8.4122458,0.3288361,0.8141691,0.2954687,0.0611437,498.8217140341809,OPTIMAL,15120,12965,0.0379935,491.6597468817291,OPTIMAL,4
convex_per,120,Gurobi,9.7593334,0.3751145,0.9188297,0.48445,0.0823413,495.8770718449795,OPTIMAL,20160,17285,0.0320148,491.4480788135401,OPTIMAL,4
convex_per,180,Gurobi,15.3132307,0.4400082,1.0555684,0.9782298,0.1192673,497.26069909938343,OPTIMAL,30240,25925,0.0362408,492.0125855078774,OPTIMAL,2
convex_per,240,Gurobi,21.387755,0.4958304,1.1961203,1.2123079,0.1525034,494.90447468485604,OPTIMAL,40320,34565,0.03433,491.77478519644876,OPTIMAL,4
convex_per,360,Gurobi,37.4603557,0.8401847,1.628118,2.4505115,0.3697405,495.9404343598585,OPTIMAL,60480,51845,0.0340061,491.7251368420324,OPTIMAL,4
conical_cross,4,Gurobi,4.1595608,0.2332464,0.6667261,0.0063941,0.0097302,462.5203358145626,OPTIMAL,672,581,0.0503547,524.0143719121403,OPTIMAL,0
conical_cross,8,Gurobi,2.6285904,0.2514972,0.7266471,0.0119013,0.0108602,484.15799337381594,OPTIMAL,1344,1157,0.0324306,520.9163390230286,OPTIMAL,0
conical_cross,12,Gurobi,3.6244069,0.2693058,0.7861394,0.0162975,0.0129682,483.86974399689666,OPTIMAL,2016,1733,0.0334286,520.3450001676632,OPTIMAL,0
conical_cross,16,Gurobi,4.1682005,0.2845078,0.8209736,0.0248546,0.0187379,504.5520892782771,OPTIMAL,2688,2309,0.0321354,520.465558157543,OPTIMAL,0
conical_cross,20,Gurobi,4.8861761,0.2897123,0.8639481,0.0268561,0.0188565,511.8371794549766,OPTIMAL,3360,2885,0.0335008,520.9611639019006,OPTIMAL,0
conical_cross,30,Gurobi,6.2335286,0.2792578,0.7979548,0.0430435,0.026894,509.2472736665153,OPTIMAL,5040,4325,0.0348426,521.1753539684331,OPTIMAL,0
conical_cross,60,Gurobi,10.8300403,0.3478298,0.9887681,0.1238134,0.0446366,499.68702398941736,OPTIMAL,10080,8645,0.040541,518.1693217636223,OPTIMAL,0
conical_cross,90,Gurobi,15.8795812,0.3262336,0.8502092,0.2978654,0.0638854,494.93407782946036,OPTIMAL,15120,12965,0.0391412,518.2442908379664,OPTIMAL,0
conical_cross,120,Gurobi,21.8220909,0.3598295,0.8847512,0.4131223,0.0784586,498.4018839338586,OPTIMAL,20160,17285,0.0384118,520.8312683473498,OPTIMAL,0
conical_cross,180,Gurobi,36.0547049,0.4427471,1.2089884,0.5360191,0.120584,484.6531960637589,OPTIMAL,30240,25925,0.0440804,532.6110059273004,OPTIMAL,56
conical_cross,240,Gurobi,50.5071829,0.4993892,1.2574253,1.976068,0.1468425,497.8826938606783,OPTIMAL,40320,34565,0.050204,492.08617800992005,OPTIMAL,11
conical_cross,360,Gurobi,83.3764581,0.6743684,1.6682828,1.6089141,0.2586131,487.30694166250834,OPTIMAL,60480,51845,0.0391948,506.5906357258003,OPTIMAL,36
conical_per,4,Gurobi,0.1509178,0.2812957,0.8113746,0.0074023,0.0098727,523.3213849559002,OPTIMAL,672,581,0.03919,537.0710843266188,OPTIMAL,0
conical_per,8,Gurobi,0.6226106,0.2591893,0.7767182,0.0105441,0.0122311,445.412659884775,OPTIMAL,1344,1157,0.0576397,525.0060048922212,OPTIMAL,0
