base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand
0_HourlyBenchmark,1,Gurobi,0.0,4.2464513,11.1991727,7.613469,1.4897369,490.37233247512637,OPTIMAL,122640,105125,0.0,0.0,,9
convex_cross,4,Gurobi,8.864792,0.2309328,0.7047425,0.0060263,0.0082436,522.4948825914968,OPTIMAL,672,581,0.0759261,534.9606938752472,OPTIMAL,0
convex_cross,8,Gurobi,3.4942446,0.2358453,0.6639078,0.0112015,0.0108691,569.9337298713616,OPTIMAL,1344,1157,0.060629,532.2528863936802,OPTIMAL,0
convex_cross,12,Gurobi,3.4947146,0.2453893,0.6963139,0.0138184,0.0137766,568.1933880092362,OPTIMAL,2016,1733,0.0327853,529.9623752089165,OPTIMAL,0
convex_cross,16,Gurobi,4.8198149,0.2666939,0.741098,0.0213103,0.0183458,539.926289128802,OPTIMAL,2688,2309,0.039706,528.8907031156599,OPTIMAL,0
convex_cross,20,Gurobi,5.9747449,0.2710856,0.8039689,0.0246193,0.0224289,537.1846929677049,OPTIMAL,3360,2885,0.0395832,528.9135364251493,OPTIMAL,0
convex_cross,30,Gurobi,8.1342872,0.2833535,0.8385086,0.0484625,0.024859,532.3955616339528,OPTIMAL,5040,4325,0.03239,528.833025407422,OPTIMAL,0
convex_cross,60,Gurobi,15.7401745,0.3125676,0.8579281,0.0985039,0.0456604,530.4973716807232,OPTIMAL,10080,8645,0.033846,527.1948048441241,OPTIMAL,0
convex_cross,90,Gurobi,22.162228,0.337181,0.939468,0.2582118,0.0638439,531.3746223641223,OPTIMAL,15120,12965,0.0318212,526.8073076913375,OPTIMAL,0
convex_cross,120,Gurobi,32.7333945,0.388118,1.1148859,0.3635216,0.0819166,526.5461715829185,OPTIMAL,20160,17285,0.0350643,526.6141498614442,OPTIMAL,0
convex_cross,180,Gurobi,55.6195356,0.4499779,1.2543831,0.7993854,0.1248881,526.7136849003489,OPTIMAL,30240,25925,0.0347633,526.1403287189611,OPTIMAL,0
convex_cross,240,Gurobi,81.4636718,0.532871,1.5016171,0.8387605,0.1542094,526.0044183582629,OPTIMAL,40320,34565,0.0464318,525.4033878488575,OPTIMAL,0
convex_cross,360,Gurobi,123.9989025,0.6751756,1.9020235,1.6402348,0.2445059,521.7993554843852,OPTIMAL,60480,51845,0.0315853,524.6668234125302,OPTIMAL,0
convex_per,4,Gurobi,1.8827069,0.2816544,0.9392819,0.006554,0.0088809,550.8840716995627,OPTIMAL,672,581,0.0357018,539.9210514001769,OPTIMAL,0
convex_per,8,Gurobi,2.0045093,0.3032317,0.8565312,0.0106547,0.0115591,585.7601979333836,OPTIMAL,1344,1157,0.0302258,537.8441190757344,OPTIMAL,0
convex_per,12,Gurobi,1.5217774,0.3071466,0.9302461,0.0162936,0.0146778,559.7133395563843,OPTIMAL,2016,1733,0.0507445,528.8354851649414,OPTIMAL,0
convex_per,16,Gurobi,2.0159288,0.2998556,0.9331243,0.0216135,0.0160933,545.5596076167496,OPTIMAL,2688,2309,0.0403164,529.0008128912913,OPTIMAL,0
convex_per,20,Gurobi,2.8446265,0.2984156,0.964225,0.0244107,0.0206371,546.9556874960193,OPTIMAL,3360,2885,0.0344778,529.3169219514152,OPTIMAL,0
