base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand
0_HourlyBenchmark,1,Gurobi,0.0,4.5647911,11.9499163,7.4723116,1.4803211,490.37233247512637,OPTIMAL,122640,105125,0.0,0.0,,9
convex_cross,4,Gurobi,8.3864299,0.2806169,0.6957543,0.0060961,0.0090083,479.4104003066901,OPTIMAL,672,581,0.1064955,534.830877625958,OPTIMAL,0
convex_cross,8,Gurobi,3.3971021,0.2595629,0.7249109,0.0101619,0.0135067,526.5782362035799,OPTIMAL,1344,1157,0.0378691,533.3000738760885,OPTIMAL,0
convex_cross,12,Gurobi,3.5838568,0.2609611,0.7340854,0.0149791,0.0163347,528.0834164904006,OPTIMAL,2016,1733,0.0366303,533.3090738736597,OPTIMAL,0
convex_cross,16,Gurobi,4.7174626,0.2717151,0.7937079,0.0211865,0.020474,489.07470034990365,OPTIMAL,2688,2309,0.0582273,527.6177573548752,OPTIMAL,0
convex_cross,20,Gurobi,5.682233,0.270568,0.7906191,0.0237668,0.0228596,487.3494402970722,OPTIMAL,3360,2885,0.0139873,527.6177573548752,OPTIMAL,0
convex_cross,30,Gurobi,7.4620357,0.28064,0.7817752,0.0401989,0.0283923,500.70113958111733,OPTIMAL,5040,4325,0.0349738,525.753022567652,OPTIMAL,0
convex_cross,60,Gurobi,14.3711893,0.3345605,0.9997528,0.1312336,0.0445096,509.85922906995,OPTIMAL,10080,8645,0.035741,519.8930739920165,OPTIMAL,0
convex_cross,90,Gurobi,22.7671253,0.3500379,0.9674017,0.3111967,0.0622525,507.51138731702855,OPTIMAL,15120,12965,0.0387037,518.0087909906954,OPTIMAL,0
convex_cross,120,Gurobi,33.5588525,0.399887,1.0821348,0.4174589,0.0855492,497.6783722498409,OPTIMAL,20160,17285,0.0392166,517.7654902764785,OPTIMAL,0
convex_cross,180,Gurobi,57.0454736,0.4977183,1.4445711,0.8247657,0.1139082,499.65613043512883,OPTIMAL,30240,25925,0.0375723,515.0456661938919,OPTIMAL,0
convex_cross,240,Gurobi,83.2830829,0.5404915,1.5449159,1.112421,0.1558321,500.1363304189593,OPTIMAL,40320,34565,0.0518734,501.31856481482265,OPTIMAL,0
convex_cross,360,Gurobi,106.9184993,0.6924256,1.803445,1.9665045,0.2269568,490.6978595127698,OPTIMAL,60480,51845,0.0394097,497.4943582417883,OPTIMAL,26
convex_per,4,Gurobi,1.8509588,0.2707991,0.8178448,0.006357,0.008569,548.3581532578013,OPTIMAL,672,581,0.0488559,539.9210514001769,OPTIMAL,0
convex_per,8,Gurobi,0.6968612,0.2837207,0.9704301,0.0114819,0.013728,617.4469780032589,OPTIMAL,1344,1157,0.0586474,534.5176381874259,OPTIMAL,0
convex_per,12,Gurobi,2.052729,0.2654964,0.7929265,0.0166923,0.0126923,542.4797049586639,OPTIMAL,2016,1733,0.0404383,531.0971520835094,OPTIMAL,0
convex_per,16,Gurobi,1.3679542,0.2857137,0.8268845,0.0255814,0.0156475,531.8796397914053,OPTIMAL,2688,2309,0.0606155,526.579111213126,OPTIMAL,0
convex_per,20,Gurobi,1.826814,0.3012581,0.8675916,0.0264644,0.0190062,540.9049293644974,OPTIMAL,3360,2885,0.0318474,526.3323575094017,OPTIMAL,0
convex_per,30,Gurobi,2.6370427,0.3171607,0.9126437,0.0392809,0.0242651,510.8528838772099,OPTIMAL,5040,4325,0.03172,523.9301776907416,OPTIMAL,0
convex_per,60,Gurobi,5.6416151,0.3536625,0.9794791,0.1327159,0.0423263,507.9894382388117,OPTIMAL,10080,8645,0.0357173,516.6271991820694,OPTIMAL,0
