base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand
0_HourlyBenchmark,1,Gurobi,0.0,4.7641937,12.9629829,9.9324756,1.4567761,490.37233247512637,OPTIMAL,122640,105125,0.0,0.0,,9
convex_cross,4,Gurobi,10.9218878,0.2920966,0.8459734,0.0104326,0.0139295,522.4948825914968,OPTIMAL,672,581,0.0858738,534.9606938752472,OPTIMAL,0
convex_cross,8,Gurobi,1.6966262,0.2641955,0.8059111,0.0120031,0.0145333,550.5672647764204,OPTIMAL,1344,1157,0.0515187,528.9936260739792,OPTIMAL,0
convex_cross,12,Gurobi,1.9047489,0.2837421,0.7681836,0.0167938,0.0156147,538.2511430572732,OPTIMAL,2016,1733,0.04547,528.9299766682526,OPTIMAL,0
convex_cross,16,Gurobi,2.9837016,0.2813099,0.834941,0.0260202,0.0175348,542.7226435816424,OPTIMAL,2688,2309,0.0464045,527.5565955851331,OPTIMAL,0
convex_cross,20,Gurobi,3.6312825,0.3320566,0.9308326,0.0284687,0.0237855,535.9457864691587,OPTIMAL,3360,2885,0.0500728,528.1306917721487,OPTIMAL,0
convex_cross,30,Gurobi,6.6616115,0.3052652,0.8426681,0.0747258,0.0371282,535.8222905971055,OPTIMAL,5040,4325,0.0496412,527.6112572693183,OPTIMAL,0
convex_cross,60,Gurobi,11.6672762,0.3220672,0.9165409,0.1137808,0.0561801,531.2425535903506,OPTIMAL,10080,8645,0.0350313,526.5155937742908,OPTIMAL,0
convex_cross,90,Gurobi,19.8996642,0.6674737,1.5723634,0.3294446,0.1105053,531.6899794134081,OPTIMAL,15120,12965,0.0420897,526.2082193046285,OPTIMAL,0
convex_cross,120,Gurobi,37.9819326,0.6096539,1.5135465,0.5224186,0.1494756,528.960086602579,OPTIMAL,20160,17285,0.0530976,525.9807492956473,OPTIMAL,0
convex_cross,180,Gurobi,57.0118737,0.5511094,1.7425064,0.8545781,0.2223618,528.2301505574866,OPTIMAL,30240,25925,0.0625742,525.4221753364367,OPTIMAL,0
convex_cross,240,Gurobi,91.9381125,0.733054,1.9892574,1.0218885,0.1837865,528.0657260481978,OPTIMAL,40320,34565,0.0696853,525.1396796294047,OPTIMAL,0
convex_cross,360,Gurobi,130.2591057,0.6798744,1.9767592,1.9018392,0.2381435,526.2241702312226,OPTIMAL,60480,51845,0.0318234,522.3968616035094,OPTIMAL,0
convex_per,4,Gurobi,2.1828325,0.2870907,0.9821568,0.0071688,0.0100616,550.8840716995627,OPTIMAL,672,581,0.0435272,539.9210514001769,OPTIMAL,0
convex_per,8,Gurobi,2.3174973,0.3114108,0.929928,0.011575,0.0125948,526.312814477019,OPTIMAL,1344,1157,0.0344141,534.5875891372104,OPTIMAL,0
convex_per,12,Gurobi,1.5329832,0.3034844,0.9414823,0.0156017,0.0147706,564.5830886135116,OPTIMAL,2016,1733,0.0383135,526.7310621274008,OPTIMAL,0
