base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand
0_HourlyBenchmark,1,Gurobi,0.0,1.0724609,4.0754428,6.7531928,1.4888741,490.37233247512637,OPTIMAL,122640,105125,0.0,0.0,,9
convex_cross,4,Gurobi,3.7053692,0.2414609,0.7583347,0.0068999,0.0092915,479.4104003066901,OPTIMAL,672,581,0.0998036,534.830877625958,OPTIMAL,0
convex_cross,8,Gurobi,0.5129053,0.26348,0.7551771,0.012778,0.0120441,505.78692466524933,OPTIMAL,1344,1157,0.0343134,522.6936858819696,OPTIMAL,0
convex_cross,12,Gurobi,0.9485304,0.3094465,0.8301466,0.0166537,0.0141459,494.2084376802021,OPTIMAL,2016,1733,0.0316056,521.2854761553865,OPTIMAL,0
convex_cross,16,Gurobi,1.695061,0.2877569,0.8473648,0.0243634,0.0194018,504.2412839490061,OPTIMAL,2688,2309,0.0328953,521.2589326869122,OPTIMAL,0
convex_cross,20,Gurobi,2.0450737,0.3017007,0.8770395,0.0300524,0.0192023,493.4044530219499,OPTIMAL,3360,2885,0.0321733,520.1729191453584,OPTIMAL,0
convex_cross,30,Gurobi,5.1523022,0.2940339,0.7087933,0.0470865,0.0262458,501.9852080965064,OPTIMAL,5040,4325,0.0352995,518.5914224410734,OPTIMAL,0
convex_cross,60,Gurobi,8.6617797,0.3197665,1.0140059,0.1522139,0.044064,483.3821938051236,OPTIMAL,10080,8645,0.0373586,491.15012866065274,OPTIMAL,11
convex_cross,90,Gurobi,14.1817673,0.3497081,1.0416062,0.3021478,0.0571867,482.9749135815289,OPTIMAL,15120,12965,0.0307486,491.1871216791328,OPTIMAL,12
convex_cross,120,Gurobi,21.4748086,0.4008847,1.1796302,0.3743359,0.0753068,478.0933009476647,OPTIMAL,20160,17285,0.031333,490.77997846565654,OPTIMAL,9
convex_cross,180,Gurobi,34.5080059,0.453879,1.1361709,0.7386097,0.1950467,479.84689482793914,OPTIMAL,30240,25925,0.0303167,490.81158783758525,OPTIMAL,14
convex_cross,240,Gurobi,54.9050796,0.5459307,1.4173976,1.5034428,0.1764816,490.48526635875857,OPTIMAL,40320,34565,0.0372136,492.60151249387656,OPTIMAL,0
convex_cross,360,Gurobi,102.7725045,0.6844903,1.7188251,2.5710274,0.2150589,496.78271908167847,OPTIMAL,60480,51845,0.0398581,491.763800264564,OPTIMAL,3
convex_per,4,Gurobi,0.6617218,0.2531781,0.8187858,0.0071871,0.0085937,548.3581532578013,OPTIMAL,672,581,0.0503962,539.9210514001769,OPTIMAL,0
convex_per,8,Gurobi,1.6239818,0.2813459,0.8505183,0.0116886,0.0139794,511.97678551578224,OPTIMAL,1344,1157,0.0535782,519.514805363841,OPTIMAL,0
convex_per,12,Gurobi,0.9931603,0.2905926,0.8642979,0.0153078,0.01479,577.5132407291612,OPTIMAL,2016,1733,0.0685804,528.392541274914,OPTIMAL,0
convex_per,16,Gurobi,1.2238608,0.3031882,0.8831522,0.0237992,0.0162813,572.3247217252385,OPTIMAL,2688,2309,0.0365448,524.47004600824,OPTIMAL,0
convex_per,20,Gurobi,1.3360921,0.3037938,0.9085615,0.0309718,0.0193532,559.2290627335636,OPTIMAL,3360,2885,0.052308,520.9416018097872,OPTIMAL,0
convex_per,30,Gurobi,2.3431543,0.3716793,1.2362613,0.0475054,0.0260221,535.2503940426599,OPTIMAL,5040,4325,0.0531581,517.9866306290284,OPTIMAL,0
convex_per,60,Gurobi,5.4985008,0.3591675,1.087544,0.1384705,0.0405935,498.70388675638833,OPTIMAL,10080,8645,0.0525435,492.9984280640656,OPTIMAL,4
convex_per,90,Gurobi,9.549907,0.3756169,1.0583945,0.3320271,0.0612098,495.52433214447285,OPTIMAL,15120,12965,0.0358764,493.5384649790561,OPTIMAL,4
convex_per,120,Gurobi,10.6917392,0.41223,0.9933271,0.38869,0.0773539,495.641335034414,OPTIMAL,20160,17285,0.0355728,492.94837778692647,OPTIMAL,4
convex_per,180,Gurobi,17.9835321,0.5049647,1.3138992,0.8402512,0.1201147,493.12186398242557,OPTIMAL,30240,25925,0.0333339,491.9878949210786,OPTIMAL,4
convex_per,240,Gurobi,24.8362406,0.5291022,1.3252027,1.3159226,0.2578101,492.0807078379095,OPTIMAL,40320,34565,0.0346294,491.6085786072132,OPTIMAL,6
convex_per,360,Gurobi,41.0109461,0.678834,1.7168536,2.5574407,0.2187343,493.2885527752477,OPTIMAL,60480,51845,0.0336169,491.56942359070615,OPTIMAL,6
conicalb_cross,4,Gurobi,0.3939711,0.2811567,0.8562702,0.0068297,0.0083876,475.694781459967,OPTIMAL,672,581,0.0515489,534.830877625958,OPTIMAL,0
conicalb_cross,8,Gurobi,2.0279205,0.2697447,0.7730377,0.0131644,0.0117592,547.0771237349207,OPTIMAL,1344,1157,0.03352,533.2407572980268,OPTIMAL,0
conicalb_cross,12,Gurobi,1.4287118,0.2781273,0.8380209,0.014776,0.0154824,522.3985493424036,OPTIMAL,2016,1733,0.0320597,533.3000738760885,OPTIMAL,0
conicalb_cross,16,Gurobi,2.0073763,0.2996071,0.8682184,0.0239677,0.0166079,532.7609241758435,OPTIMAL,2688,2309,0.038035,522.2222839732215,OPTIMAL,0
conicalb_cross,20,Gurobi,2.7846992,0.3891074,1.1701229,0.0326972,0.028151,534.2515790537652,OPTIMAL,3360,2885,0.0592183,522.4781835848345,OPTIMAL,0
conicalb_cross,30,Gurobi,4.5545533,0.3568614,0.9966093,0.054921,0.02856,501.2809823839886,OPTIMAL,5040,4325,0.0340865,522.791147270356,OPTIMAL,0
conicalb_cross,60,Gurobi,9.0866812,0.3811064,1.0967512,0.1149827,0.0421411,516.276610895114,OPTIMAL,10080,8645,0.0349896,521.4321456476187,OPTIMAL,0
conicalb_cross,90,Gurobi,16.8587466,0.3747178,1.014144,0.3617658,0.0970047,481.6662273653029,OPTIMAL,15120,12965,0.0399291,491.31249458867745,OPTIMAL,12
conicalb_cross,120,Gurobi,21.2376326,0.3890204,1.0986625,0.3967251,0.0765547,483.7515575477686,OPTIMAL,20160,17285,0.0337927,490.8693891779128,OPTIMAL,12
conicalb_cross,180,Gurobi,33.0606395,0.4810811,1.2547367,0.86048,0.1969614,495.63319045203144,OPTIMAL,30240,25925,0.0375307,493.1924856314561,OPTIMAL,1
conicalb_cross,240,Gurobi,47.442625,0.5299766,1.4805981,1.1773908,0.1469706,494.07584288207624,OPTIMAL,40320,34565,0.0328438,493.05312487553,OPTIMAL,1
conicalb_cross,360,Gurobi,92.7732982,0.685502,1.7798588,3.0887548,0.2299369,500.77276050713226,OPTIMAL,60480,51845,0.0353281,491.76095070807105,OPTIMAL,3
conicalb_per,4,Gurobi,0.3193,0.2791756,0.8219613,0.0068245,0.009851,541.9444885575006,OPTIMAL,672,581,0.0532197,539.9210514001769,OPTIMAL,0
conicalb_per,8,Gurobi,0.7240184,0.2843874,0.9678798,0.0107321,0.0120152,668.1024838097634,OPTIMAL,1344,1157,0.0324846,534.9979480099377,OPTIMAL,0
conicalb_per,12,Gurobi,2.2455308,0.2817914,0.7796956,0.0152373,0.0184638,602.0207749797952,OPTIMAL,2016,1733,0.0984699,532.2731956850351,OPTIMAL,0
conicalb_per,16,Gurobi,1.4586277,0.2793263,0.8314893,0.0217876,0.0165357,552.4410410608717,OPTIMAL,2688,2309,0.0825151,535.0135572421724,OPTIMAL,0
