base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand
0_HourlyBenchmark,1,Gurobi,0.0,6.1502163,16.6046106,8.7674566,2.2385178,490.37233247512637,OPTIMAL,122640,105125,0.0,0.0,,9
convex_cross,4,Gurobi,12.6645477,0.3689434,0.9950922,0.0096775,0.0091816,537.4831512581585,OPTIMAL,672,581,0.1289565,531.7756895147767,OPTIMAL,0
convex_cross,8,Gurobi,1.5568397,0.337036,0.8628366,0.0137106,0.019598,551.3437927992323,OPTIMAL,1344,1157,0.0561963,528.3302146733788,OPTIMAL,0
convex_cross,12,Gurobi,2.6211412,0.3690796,1.0350948,0.01791,0.0227229,545.2402861913898,OPTIMAL,2016,1733,0.0479116,523.7962036833497,OPTIMAL,0
convex_cross,16,Gurobi,4.1745858,0.3873499,0.9547642,0.0333132,0.0269222,538.236015135984,OPTIMAL,2688,2309,0.0497002,524.4867104181976,OPTIMAL,0
convex_cross,20,Gurobi,5.8705034,0.3857549,0.9500174,0.0326049,0.0321832,527.9656109903826,OPTIMAL,3360,2885,0.0438969,523.8719274589782,OPTIMAL,0
convex_cross,30,Gurobi,8.0471075,0.4190004,1.1337272,0.0605979,0.0439146,535.0855646075918,OPTIMAL,5040,4325,0.050342,521.1896383769434,OPTIMAL,0
convex_cross,60,Gurobi,17.1899633,0.4681413,1.2578127,0.1335122,0.0777793,515.0265520603106,OPTIMAL,10080,8645,0.0440509,495.2147649235184,OPTIMAL,1
convex_cross,90,Gurobi,27.1471561,0.4714013,1.3190579,0.3647461,0.1143716,512.8810491124725,OPTIMAL,15120,12965,0.0378174,495.20346183847903,OPTIMAL,1
convex_cross,120,Gurobi,39.334059,0.5569443,1.4028041,0.5558666,0.1466297,488.29922349661234,OPTIMAL,20160,17285,0.0570565,490.8953615543249,OPTIMAL,11
convex_cross,180,Gurobi,63.1335277,0.6326813,1.9030819,1.2014853,0.1717859,486.56392921118055,OPTIMAL,30240,25925,0.0498101,490.70602820111117,OPTIMAL,13
convex_cross,240,Gurobi,96.0458336,0.8491267,2.0272629,1.132969,0.244363,494.59464541794034,OPTIMAL,40320,34565,0.0506821,492.46517136679665,OPTIMAL,0
convex_cross,360,Gurobi,162.5213355,1.0411206,2.9042158,3.7195106,0.3394339,495.5856698235046,OPTIMAL,60480,51845,0.0510634,491.77019786355015,OPTIMAL,2
convex_per,4,Gurobi,2.8197567,0.4319368,1.4512681,0.007196,0.0140178,569.591206646141,OPTIMAL,672,581,0.0775015,537.0606250016431,OPTIMAL,0
convex_per,8,Gurobi,1.2063224,0.3919388,1.2157425,0.0120759,0.0174236,574.4717615669555,OPTIMAL,1344,1157,0.1005331,534.6511716592607,OPTIMAL,0
