base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand
0_HourlyBenchmark,1,Gurobi,0.0,4.6764183,12.4178422,8.412772,1.7020485,491.9440869753471,OPTIMAL,122640,105125,0.0,0.0,,0
convex_cross,4,Gurobi,10.5650514,0.2394167,0.7215179,0.0076749,0.009251,637.072253465958,OPTIMAL,672,581,0.096464,535.1434896312263,OPTIMAL,0
convex_cross,8,Gurobi,2.2019102,0.2469935,0.7900412,0.0125368,0.014823,558.0673244095059,OPTIMAL,1344,1157,0.0443705,528.7618197282004,OPTIMAL,0
convex_cross,12,Gurobi,3.4430207,0.2803695,0.8093065,0.0181181,0.0196773,564.2801705281507,OPTIMAL,2016,1733,0.0369795,528.5991925193961,OPTIMAL,0
convex_cross,16,Gurobi,4.1769311,0.2812961,0.7780874,0.0254628,0.0235632,546.6850559368688,OPTIMAL,2688,2309,0.0530461,527.4424478709734,OPTIMAL,0
convex_cross,20,Gurobi,5.336687,0.2772625,0.8112752,0.0368564,0.0347311,541.7724699156648,OPTIMAL,3360,2885,0.0383399,527.7948431366593,OPTIMAL,0
convex_cross,30,Gurobi,7.2100458,0.3055567,0.822772,0.063896,0.0282903,538.861337505986,OPTIMAL,5040,4325,0.0414693,527.7283139148434,OPTIMAL,0
convex_cross,60,Gurobi,14.7855176,0.3260833,0.9286993,0.1319299,0.0548385,534.0290791572868,OPTIMAL,10080,8645,0.040444,527.4198870970822,OPTIMAL,0
convex_cross,90,Gurobi,20.26778,0.3574081,1.1166767,0.3113235,0.0823342,534.1042432908765,OPTIMAL,15120,12965,0.0343417,527.0605817526033,OPTIMAL,0
convex_cross,120,Gurobi,31.1621555,0.4135264,1.2638667,0.4113871,0.0906226,529.735903141028,OPTIMAL,20160,17285,0.0358391,526.6867104422362,OPTIMAL,0
convex_cross,180,Gurobi,54.7433314,0.4786811,1.2608155,0.6630907,0.1410112,529.7420165800486,OPTIMAL,30240,25925,0.0335226,526.1640482098604,OPTIMAL,0
convex_cross,240,Gurobi,81.4812814,0.5346339,1.3179207,0.7915279,0.1728135,528.8845343952329,OPTIMAL,40320,34565,0.0356502,525.4979025736715,OPTIMAL,0
convex_cross,360,Gurobi,96.042104,0.6525536,1.7340138,1.2595589,0.2068351,524.9014563173572,OPTIMAL,60480,51845,0.041705,524.8078530716434,OPTIMAL,0
convex_per,4,Gurobi,2.0977859,0.2457118,0.7395704,0.0069888,0.0094257,557.1519624182368,OPTIMAL,672,581,0.0378315,537.0786860440888,OPTIMAL,0
convex_per,8,Gurobi,2.1525961,0.2621249,0.6780811,0.0114359,0.0111216,574.4709857386885,OPTIMAL,1344,1157,0.0344057,533.1106389756403,OPTIMAL,0
convex_per,12,Gurobi,1.2677538,0.2523779,0.7286572,0.0175238,0.0132836,542.3476492740763,OPTIMAL,2016,1733,0.0372658,527.9059949161756,OPTIMAL,0
convex_per,16,Gurobi,1.4967307,0.2717467,0.7406338,0.0249591,0.015714,536.8572049048497,OPTIMAL,2688,2309,0.0341925,528.1829708905481,OPTIMAL,0
convex_per,20,Gurobi,2.2158419,0.2831099,0.7700609,0.0316011,0.0181051,539.3575873737766,OPTIMAL,3360,2885,0.0334746,527.8603169367775,OPTIMAL,0
convex_per,30,Gurobi,2.8498351,0.2970774,0.8477877,0.0454717,0.02433,535.1031392367089,OPTIMAL,5040,4325,0.0346886,526.2502842386418,OPTIMAL,0
convex_per,60,Gurobi,5.6702702,0.3383039,0.9288399,0.1670713,0.0409837,530.4403031064693,OPTIMAL,10080,8645,0.0359165,526.1178446379836,OPTIMAL,0
convex_per,90,Gurobi,9.4779458,0.3316258,0.8369995,0.3196493,0.0616754,529.3888913487345,OPTIMAL,15120,12965,0.0378227,525.7619459252087,OPTIMAL,0
convex_per,120,Gurobi,9.3448297,0.3675054,0.9205372,0.307866,0.0825075,528.1483654658372,OPTIMAL,20160,17285,0.0491935,525.7341740076165,OPTIMAL,0
convex_per,180,Gurobi,15.1672065,0.4441231,1.175353,0.6983259,0.1070741,528.6899491961212,OPTIMAL,30240,25925,0.0327334,525.1074138121031,OPTIMAL,0
convex_per,240,Gurobi,22.016448,0.493962,1.2921096,1.0487547,0.1368419,527.0401151857806,OPTIMAL,40320,34565,0.0335111,524.783753203353,OPTIMAL,0
convex_per,360,Gurobi,35.2197018,0.6615617,1.6178844,1.4380648,0.2590435,526.2419386495683,OPTIMAL,60480,51845,0.0350422,524.4985917871171,OPTIMAL,0
