base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand
0_HourlyBenchmark,1,Gurobi,0.0,1.114538,3.8563486,5.9104103,0.6061495,484.7364201999142,OPTIMAL,122640,105125,0.0,0.0,,0
convex_cross,2,Gurobi,0.2482496,0.2906983,0.8044113,0.0054606,0.0085288,470.66807205986834,OPTIMAL,336,293,0.0855996,59809.47903041472,OPTIMAL,452
convex_cross,4,Gurobi,1.7771809,0.2770894,0.887952,0.0076064,0.0108392,525.9387995182856,OPTIMAL,672,581,0.0421998,1747.9147490193652,OPTIMAL,25
convex_cross,8,Gurobi,1.2630499,0.3032437,0.9145482,0.0147756,0.0133241,521.534566843693,OPTIMAL,1344,1157,0.0430011,4854.849433822003,OPTIMAL,58
convex_cross,12,Gurobi,1.8916506,0.3065259,0.8860847,0.018705,0.0151293,491.7183689439194,OPTIMAL,2016,1733,0.062477,2293.3768370275684,OPTIMAL,29
convex_cross,16,Gurobi,2.3982518,0.3269232,0.9804784,0.0309135,0.0182395,488.26523469802936,OPTIMAL,2688,2309,0.034663,1950.7023421289148,OPTIMAL,25
convex_cross,20,Gurobi,3.0572651,0.3355725,1.060566,0.0524057,0.0233771,480.45384843941997,OPTIMAL,3360,2885,0.0374232,2038.3324683814708,OPTIMAL,27
convex_cross,30,Gurobi,5.2280972,0.3520524,1.0943602,0.0626771,0.0310958,483.80412861903426,OPTIMAL,5040,4325,0.0341572,2150.701970264816,OPTIMAL,28
convex_cross,60,Gurobi,9.6338058,0.4151114,1.2357375,0.1702342,0.0501634,484.9843030734592,OPTIMAL,10080,8645,0.0352718,915.4399049143482,OPTIMAL,9
convex_cross,90,Gurobi,15.9151505,0.3817395,0.9597207,0.2664507,0.0688159,483.0325767744367,OPTIMAL,15120,12965,0.0346576,864.7274282540121,OPTIMAL,9
convex_cross,120,Gurobi,19.2375667,0.4070964,1.1492907,0.3519073,0.0861525,484.45186444329624,OPTIMAL,20160,17285,0.030438,866.3726000427896,OPTIMAL,9
convex_cross,180,Gurobi,33.0026125,0.4802075,1.2881138,0.6628956,0.1264261,484.032896950145,OPTIMAL,30240,25925,0.0360353,861.3050856988037,OPTIMAL,9
convex_cross,240,Gurobi,47.080807,0.5821652,1.5043294,0.9712114,0.1653629,482.2954675836517,OPTIMAL,40320,34565,0.0368655,780.695028345132,OPTIMAL,7
convex_cross,360,Gurobi,79.2178563,0.7850485,1.9532325,3.5127159,0.2874911,487.81909000814204,OPTIMAL,60480,51845,0.0676387,484.90590577868096,OPTIMAL,0
convex_per,2,Gurobi,0.0508411,0.3481456,1.0704329,0.004475,0.0085792,431.9258695523583,OPTIMAL,336,293,0.0712228,12061.193975788237,OPTIMAL,94
convex_per,4,Gurobi,1.6875272,0.3254122,0.8006414,0.006683,0.0113914,464.08031097262983,OPTIMAL,672,581,0.0911505,51854.31128673888,OPTIMAL,360
convex_per,8,Gurobi,0.92011,0.3118214,0.8526274,0.0123317,0.0143763,512.3967959946234,OPTIMAL,1344,1157,0.0490163,1476.1479826008456,OPTIMAL,18
convex_per,12,Gurobi,1.1466094,0.3464214,1.3458636,0.0198406,0.023198,513.7584964045578,OPTIMAL,2016,1733,0.0449672,486.5852647309369,OPTIMAL,0
convex_per,16,Gurobi,1.7365524,0.4436667,1.2524694,0.0301669,0.0220496,510.0662293492843,OPTIMAL,2688,2309,0.0368674,486.6625159178486,OPTIMAL,0
convex_per,20,Gurobi,1.8558325,0.3719434,1.026016,0.0321151,0.023154,507.09342819744967,OPTIMAL,3360,2885,0.0317888,486.5496158857498,OPTIMAL,0
convex_per,30,Gurobi,3.0185241,0.3380934,1.0558345,0.0555387,0.0288649,494.9146024938517,OPTIMAL,5040,4325,0.0352188,487.3199157200447,OPTIMAL,0
convex_per,60,Gurobi,6.1196979,0.3738574,1.1620852,0.1676968,0.0474213,492.98904065800207,OPTIMAL,10080,8645,0.035581,486.8353758818736,OPTIMAL,0
convex_per,90,Gurobi,10.0971147,0.4011516,0.955319,0.3072744,0.0668949,492.0278322580503,OPTIMAL,15120,12965,0.0368372,486.2747756138328,OPTIMAL,0
convex_per,120,Gurobi,11.0551571,0.4206283,1.1990605,0.3935144,0.0863893,491.0977325571496,OPTIMAL,20160,17285,0.0326823,486.046303417285,OPTIMAL,0
convex_per,180,Gurobi,17.216145,0.4968257,1.2839892,0.973727,0.1262234,488.5861958950226,OPTIMAL,30240,25925,0.0332657,485.6744541114934,OPTIMAL,0
convex_per,240,Gurobi,26.5919037,0.5498425,1.3616941,1.3953077,0.1673232,487.3554468759206,OPTIMAL,40320,34565,0.0344781,485.41804040369016,OPTIMAL,0
convex_per,360,Gurobi,41.0381015,0.6814658,1.6680801,3.0644783,0.2648412,486.0454770033833,OPTIMAL,60480,51845,0.0377387,484.9413106919068,OPTIMAL,0
conical_cross,2,Gurobi,0.420754,0.2765217,0.8973164,0.0044598,0.0079239,408.47743198682014,OPTIMAL,336,293,0.0764415,318805.728537847,OPTIMAL,2266
conical_cross,4,Gurobi,1.7330899,0.2697654,0.6937852,0.0063867,0.0106477,431.0912355672615,OPTIMAL,672,581,0.0545423,99121.03157565703,OPTIMAL,847
conical_cross,8,Gurobi,1.3056734,0.2937586,0.8628173,0.010694,0.0138399,505.0277946477661,OPTIMAL,1344,1157,0.0543019,848.5416714931398,OPTIMAL,9
conical_cross,12,Gurobi,1.8109294,0.3017932,0.9286505,0.0158046,0.0157934,485.7471182488086,OPTIMAL,2016,1733,0.0505716,1181.6203457155877,OPTIMAL,15
conical_cross,16,Gurobi,2.1939608,0.3433646,0.9728538,0.023937,0.0182194,480.69184551471756,OPTIMAL,2688,2309,0.0336675,1086.3963925469968,OPTIMAL,14
conical_cross,20,Gurobi,2.8438698,0.3816158,1.3798903,0.0251359,0.0219722,477.59348733612967,OPTIMAL,3360,2885,0.0328072,1190.68843455666,OPTIMAL,16
conical_cross,30,Gurobi,4.5250083,0.4064475,1.2778842,0.0472011,0.0326075,495.6104948797852,OPTIMAL,5040,4325,0.0384367,1199.5685655485909,OPTIMAL,15
conical_cross,60,Gurobi,10.0072896,0.3727698,0.9177907,0.1157164,0.0477663,488.3151484057266,OPTIMAL,10080,8645,0.0417165,1048.7771168919967,OPTIMAL,12
