base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand
0_HourlyBenchmark,1,Gurobi,0.0,6.5543734,15.9570695,6.967655,2.5491435,480.452727657423,OPTIMAL,122640,105125,0.0,0.0,,9
convex_cross,4,Gurobi,13.7252947,0.375329,1.0575028,0.0079176,0.0132257,492.22632037151226,OPTIMAL,672,581,0.126565,515.6813823147684,OPTIMAL,5
convex_cross,8,Gurobi,1.4007245,0.3924273,1.0847191,0.0142812,0.0149639,518.8287333471352,OPTIMAL,1344,1157,0.0547922,504.6259506989549,OPTIMAL,0
convex_cross,12,Gurobi,2.2980623,0.4147697,1.0191164,0.0204192,0.0230707,524.9425293746522,OPTIMAL,2016,1733,0.0495767,504.2368877852166,OPTIMAL,0
convex_cross,16,Gurobi,3.9430586,0.3784434,0.9885583,0.0272251,0.0209637,520.2715238433062,OPTIMAL,2688,2309,0.0421978,499.9085954627821,OPTIMAL,0
convex_cross,20,Gurobi,4.4057206,0.3641506,1.1303843,0.0355416,0.0240816,501.61103247778334,OPTIMAL,3360,2885,0.0531883,499.2848100442836,OPTIMAL,0
convex_cross,30,Gurobi,6.8929295,0.3657462,0.9806768,0.0555713,0.0274322,493.2848214291741,OPTIMAL,5040,4325,0.0498213,494.9857664091916,OPTIMAL,0
convex_cross,60,Gurobi,15.2422558,0.4551514,1.2829275,0.1580758,0.0477773,483.99571586503276,OPTIMAL,10080,8645,0.0503305,486.44893888710743,OPTIMAL,1
convex_cross,90,Gurobi,24.2202661,0.5313105,1.2686253,0.4446547,0.1066386,484.3289390165596,OPTIMAL,15120,12965,0.0553692,485.31080987342324,OPTIMAL,1
convex_cross,120,Gurobi,30.8840718,0.3866396,1.1675076,0.5778027,0.0927207,487.7636852247887,OPTIMAL,20160,17285,0.0407604,484.7650984818016,OPTIMAL,1
convex_cross,180,Gurobi,52.5074206,0.6905472,1.8078954,0.9006406,0.2257348,484.4464800801968,OPTIMAL,30240,25925,0.0500399,483.3635377377732,OPTIMAL,2
convex_cross,240,Gurobi,80.350257,0.7858251,2.1232919,1.4565378,0.1798067,483.47179824274025,OPTIMAL,40320,34565,0.0382304,482.42825528520865,OPTIMAL,3
convex_cross,360,Gurobi,143.3036566,1.1747278,2.6477302,2.0504346,0.3593,482.8267384756905,OPTIMAL,60480,51845,0.056904,481.30857210433544,OPTIMAL,6
convex_per,4,Gurobi,2.3103438,0.4254254,1.4113567,0.0081439,0.0140208,542.7946429404966,OPTIMAL,672,581,0.0707336,516.5798807914297,OPTIMAL,3
convex_per,8,Gurobi,1.9308873,0.391827,1.2380049,0.0144334,0.018224,585.0800250997646,OPTIMAL,1344,1157,0.1224528,530.8387856123429,OPTIMAL,0
convex_per,12,Gurobi,1.2930433,0.422087,1.3111528,0.021533,0.0224007,547.0544185333933,OPTIMAL,2016,1733,0.1160558,504.8785127987478,OPTIMAL,0
convex_per,16,Gurobi,1.82751,0.4622079,1.4221361,0.0361339,0.0352383,536.6198378970212,OPTIMAL,2688,2309,0.0521599,504.4381717701475,OPTIMAL,0
convex_per,20,Gurobi,2.4431271,0.4804183,1.3996709,0.030742,0.0325915,523.508421549651,OPTIMAL,3360,2885,0.049128,503.23478186517735,OPTIMAL,0
convex_per,30,Gurobi,3.6462651,0.4927319,1.516877,0.05595,0.035746,510.5250367689899,OPTIMAL,5040,4325,0.049266,499.3805774840913,OPTIMAL,0
convex_per,60,Gurobi,10.6175271,0.4893305,1.453637,0.1957811,0.0704524,497.10423130300774,OPTIMAL,10080,8645,0.0537513,494.61436036351665,OPTIMAL,0
convex_per,90,Gurobi,14.8491515,0.597504,1.7683483,0.3850735,0.1031554,493.57745773983663,OPTIMAL,15120,12965,0.0479802,489.34461214207374,OPTIMAL,0
convex_per,120,Gurobi,18.6722248,0.6595678,1.8917188,0.4949779,0.1010923,493.7056307270194,OPTIMAL,20160,17285,0.0376321,489.0372292054077,OPTIMAL,0
convex_per,180,Gurobi,30.619836,0.7604252,1.8820883,0.9639525,0.221242,483.5787515704839,OPTIMAL,30240,25925,0.0465401,483.9584237131856,OPTIMAL,2
convex_per,240,Gurobi,41.4902545,0.8880573,2.490661,1.4177446,0.2965856,485.9688161608416,OPTIMAL,40320,34565,0.0529534,482.9450877882234,OPTIMAL,3
convex_per,360,Gurobi,65.250229,0.7485228,1.7973168,2.0299336,0.2364962,482.40633745919075,OPTIMAL,60480,51845,0.0432653,481.9225979191767,OPTIMAL,5
conicalb_cross,4,Gurobi,1.1090706,0.2768434,0.9186764,0.0078018,0.0094131,533.1056579150336,OPTIMAL,672,581,0.0544602,509.49783551110636,OPTIMAL,0
conicalb_cross,8,Gurobi,2.7926726,0.2745937,0.8551967,0.0111152,0.0126293,566.070460529742,OPTIMAL,1344,1157,0.1523646,517.8353193574787,OPTIMAL,0
conicalb_cross,12,Gurobi,1.5684199,0.2805753,0.8636428,0.0177607,0.0147126,524.6145547813877,OPTIMAL,2016,1733,0.1372242,502.73907544881445,OPTIMAL,0
conicalb_cross,16,Gurobi,2.108534,0.4165809,0.9428645,0.0289635,0.0169881,523.6293706755577,OPTIMAL,2688,2309,0.0641991,502.1214827294154,OPTIMAL,0
conicalb_cross,20,Gurobi,2.6106398,0.3224817,0.9575658,0.0579306,0.0206746,505.44308101010887,OPTIMAL,3360,2885,0.0380851,498.26665772018947,OPTIMAL,0
conicalb_cross,30,Gurobi,4.5495727,0.3355551,1.0131629,0.0520678,0.0268209,502.1376124792565,OPTIMAL,5040,4325,0.0340097,494.4326254484746,OPTIMAL,0
conicalb_cross,60,Gurobi,8.8578598,0.3779419,1.150692,0.141037,0.0491739,478.5941175102019,OPTIMAL,10080,8645,0.0363885,485.42256144231743,OPTIMAL,1
