base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand
0_HourlyBenchmark,1,Gurobi,0.0,1.402218,3.4759908,4.0527306,0.5531867,480.452727657423,OPTIMAL,122640,105125,0.0,0.0,,9
convex_cross,4,Gurobi,1.4695691,0.2671021,0.6762854,0.0064782,0.0086797,484.9385398448635,OPTIMAL,672,581,0.077172,519.486142903832,OPTIMAL,0
convex_cross,8,Gurobi,1.2084855,0.3012091,0.802749,0.0118222,0.0110611,525.1648474112661,OPTIMAL,1344,1157,0.0388727,512.4836274394027,OPTIMAL,0
convex_cross,12,Gurobi,1.8753696,0.2732656,0.7831378,0.0154749,0.0128002,524.1769517023827,OPTIMAL,2016,1733,0.0354011,510.127405520566,OPTIMAL,0
convex_cross,16,Gurobi,2.7437942,0.3063055,1.1341498,0.0271084,0.0191195,522.5766014461697,OPTIMAL,2688,2309,0.0358758,504.41962069721455,OPTIMAL,0
convex_cross,20,Gurobi,3.4328581,0.3318482,1.0168604,0.0310508,0.0205059,511.0602693619743,OPTIMAL,3360,2885,0.0476539,504.743830757326,OPTIMAL,0
convex_cross,30,Gurobi,5.284147,0.3468556,0.9939289,0.0744984,0.0264821,493.52681685960636,OPTIMAL,5040,4325,0.0580435,490.3438741745557,OPTIMAL,0
convex_cross,60,Gurobi,10.9827869,0.3808191,0.8991601,0.1220519,0.0449352,490.60611777086973,OPTIMAL,10080,8645,0.0349279,489.18644486859426,OPTIMAL,0
convex_cross,90,Gurobi,12.5122985,0.3900687,1.1511447,0.3664323,0.0690639,488.4858810591812,OPTIMAL,15120,12965,0.0352608,488.7959544194123,OPTIMAL,0
convex_cross,120,Gurobi,18.172306,0.4222475,1.3198236,0.5385352,0.1728375,489.6747357467375,OPTIMAL,20160,17285,0.0475099,488.244933869246,OPTIMAL,0
convex_cross,180,Gurobi,31.5416794,0.5422682,1.2461574,0.6839371,0.1171703,487.2370981648449,OPTIMAL,30240,25925,0.0331737,484.7912601473125,OPTIMAL,1
convex_cross,240,Gurobi,43.6108459,0.5907199,1.5633446,1.0604917,0.1451464,485.15221467305025,OPTIMAL,40320,34565,0.0325921,483.593560795986,OPTIMAL,2
convex_cross,360,Gurobi,87.2299874,0.7249821,1.8735082,1.4211205,0.3979811,483.0590355525218,OPTIMAL,60480,51845,0.034298,481.68856966750195,OPTIMAL,5
convex_per,4,Gurobi,0.4177992,0.3488178,0.777652,0.0068255,0.0096488,536.7344926969877,OPTIMAL,672,581,0.0470711,530.0308906338291,OPTIMAL,0
convex_per,8,Gurobi,2.077576,0.3218994,0.7513813,0.0110024,0.0132918,553.8560256645138,OPTIMAL,1344,1157,0.1048579,520.9062571604544,OPTIMAL,0
convex_per,12,Gurobi,1.1996844,0.3109026,0.9033013,0.0193301,0.0139608,541.230436982153,OPTIMAL,2016,1733,0.0823938,508.2891559822457,OPTIMAL,0
convex_per,16,Gurobi,1.4940205,0.2983394,0.8984444,0.0248102,0.0162188,533.1781717021867,OPTIMAL,2688,2309,0.0337571,507.2776699701504,OPTIMAL,0
convex_per,20,Gurobi,1.9659601,0.3078339,0.9385283,0.0285091,0.0178193,524.2860272625315,OPTIMAL,3360,2885,0.0337716,508.29113320677726,OPTIMAL,0
convex_per,30,Gurobi,2.8607569,0.3860963,1.0194511,0.0825172,0.0262107,517.5790490637623,OPTIMAL,5040,4325,0.0303631,504.1253519235162,OPTIMAL,0
convex_per,60,Gurobi,5.9969277,0.3543969,1.0787003,0.1236166,0.0437587,495.4573016238479,OPTIMAL,10080,8645,0.0353973,489.53994110585916,OPTIMAL,0
convex_per,90,Gurobi,10.0911777,0.4031805,0.997395,0.3616072,0.0589184,489.3749798657231,OPTIMAL,15120,12965,0.0369456,487.5605855606944,OPTIMAL,1
convex_per,120,Gurobi,11.1982731,0.4195142,1.062784,0.4631511,0.0750691,490.0062646809337,OPTIMAL,20160,17285,0.0324158,486.23161968222104,OPTIMAL,1
convex_per,180,Gurobi,16.8266768,0.5186017,1.4006195,0.7772948,0.1140199,488.77170147044205,OPTIMAL,30240,25925,0.0326838,485.7751084166694,OPTIMAL,1
convex_per,240,Gurobi,22.719744,0.5759974,1.4018153,1.0691966,0.1453318,489.0313693608323,OPTIMAL,40320,34565,0.0344007,485.3285091297399,OPTIMAL,1
convex_per,360,Gurobi,38.1368222,0.6924759,1.7495158,1.7818387,0.2102696,485.55842337310827,OPTIMAL,60480,51845,0.034747,483.09993974431524,OPTIMAL,2
conicalb_cross,4,Gurobi,2.1468821,0.2989812,0.7280667,0.0064685,0.0097545,474.14665183664073,OPTIMAL,672,581,0.0498778,520.5295096321141,OPTIMAL,0
conicalb_cross,8,Gurobi,2.0727907,0.2694622,0.7540026,0.0118436,0.0132361,529.543961517624,OPTIMAL,1344,1157,0.0500719,505.86146875701274,OPTIMAL,0
conicalb_cross,12,Gurobi,2.4313842,0.2962288,0.8789136,0.0160894,0.0150861,512.957243599093,OPTIMAL,2016,1733,0.0397333,511.55107853283874,OPTIMAL,0
conicalb_cross,16,Gurobi,3.0042875,0.3163251,0.9421317,0.0230241,0.0174362,512.2389771143445,OPTIMAL,2688,2309,0.02074,509.315762021541,OPTIMAL,0
conicalb_cross,20,Gurobi,3.5860094,0.3447933,0.9870252,0.0298198,0.019028,505.81471358433805,OPTIMAL,3360,2885,0.0395687,507.96131911010815,OPTIMAL,0
conicalb_cross,30,Gurobi,6.328312,0.3571636,1.1852173,0.0561295,0.0298651,496.5255688817149,OPTIMAL,5040,4325,0.0340636,490.3254108817258,OPTIMAL,0
conicalb_cross,60,Gurobi,10.1684779,0.4273554,1.2096251,0.1238775,0.0459155,483.0752055712605,OPTIMAL,10080,8645,0.0338722,488.6890581212443,OPTIMAL,0
conicalb_cross,90,Gurobi,18.6049004,1.0319919,1.7113848,0.3403589,0.1073971,483.4848238899624,OPTIMAL,15120,12965,0.050088,489.0325150652442,OPTIMAL,0
conicalb_cross,120,Gurobi,22.0854491,0.6579139,1.5839579,0.496352,0.1191253,485.0814841043206,OPTIMAL,20160,17285,0.0314363,488.5049863020659,OPTIMAL,0
conicalb_cross,180,Gurobi,35.386345,0.5476317,1.3086893,0.6301414,0.1157204,484.65926983634046,OPTIMAL,30240,25925,0.035819,484.917886921208,OPTIMAL,1
conicalb_cross,240,Gurobi,43.2421722,0.7815762,1.8234681,1.0104117,0.1511155,482.92869654310425,OPTIMAL,40320,34565,0.032471,483.32089200281933,OPTIMAL,2
conicalb_cross,360,Gurobi,86.6547817,0.7371885,1.9470861,1.2929906,0.2257243,482.43658419058016,OPTIMAL,60480,51845,0.0379223,481.7670946119401,OPTIMAL,5
conicalb_per,4,Gurobi,0.4620968,0.3114638,0.856241,0.0063346,0.0108521,456.69319992900046,OPTIMAL,672,581,0.0492913,529.9648674777765,OPTIMAL,0
conicalb_per,8,Gurobi,1.0767299,0.3112725,0.965585,0.0114781,0.0136635,523.6553336085474,OPTIMAL,1344,1157,0.0678464,518.5781414935842,OPTIMAL,0
conicalb_per,12,Gurobi,2.787714,0.3291058,0.7503822,0.0162431,0.0139143,528.4328812902623,OPTIMAL,2016,1733,0.0371932,511.24879020138974,OPTIMAL,0
conicalb_per,16,Gurobi,1.7743796,0.3121414,0.8532643,0.0246385,0.016476,530.301119499751,OPTIMAL,2688,2309,0.0499223,510.4188337649214,OPTIMAL,0
conicalb_per,20,Gurobi,2.1124569,0.3289429,0.9354438,0.0297222,0.0186595,522.0089757648285,OPTIMAL,3360,2885,0.0322178,510.4357950181469,OPTIMAL,0
conicalb_per,30,Gurobi,2.8684794,0.3350771,0.9847013,0.0504914,0.0251209,512.523940913493,OPTIMAL,5040,4325,0.0349245,509.9425724631674,OPTIMAL,0
