base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand
0_HourlyBenchmark,1,Gurobi,0.0,6.2838778,16.1583189,6.863337,1.9241686,478.4794048830108,OPTIMAL,122640,105125,0.0,0.0,,10
kmedoids_cross_dirac,4,Gurobi,2.728365,0.3481352,0.9850675,0.0093452,0.0122951,439.95716139053775,OPTIMAL,672,581,0.1154337,2127.120991890811,OPTIMAL,1844
kmedoids_cross_dirac,4,Gurobi,0.256024,0.3411284,1.0146398,0.0072606,0.0134142,434.7784287914252,OPTIMAL,672,581,0.0927818,2145.985756927095,OPTIMAL,1841
kmedoids_cross_dirac,4,Gurobi,0.2056648,0.3782062,1.1153845,0.007622,0.0136915,418.5724184736923,OPTIMAL,672,581,0.1315749,6205.831469037578,OPTIMAL,4291
kmedoids_cross_dirac,4,Gurobi,0.2057958,0.3561889,1.032318,0.0071165,0.0127964,433.13176893889226,OPTIMAL,672,581,0.1999972,2169.3897000810684,OPTIMAL,1857
kmedoids_cross_dirac,4,Gurobi,0.1368233,0.3740915,1.0001112,0.007449,0.0086263,433.5205311894992,OPTIMAL,672,581,0.0782804,2136.278637877012,OPTIMAL,1867
kmedoids_cross_dirac,4,Gurobi,0.2034478,0.2484546,0.7340168,0.0070774,0.0082105,433.5205311894992,OPTIMAL,672,581,0.0147422,2136.278637877011,OPTIMAL,1867
kmedoids_cross_dirac,4,Gurobi,0.2604343,0.2496699,0.779032,0.0069595,0.0084256,433.13176893889226,OPTIMAL,672,581,0.0765636,2169.389700066888,OPTIMAL,1857
kmedoids_cross_dirac,4,Gurobi,0.156676,0.2780098,0.7752146,0.0064883,0.0087534,443.08251969033006,OPTIMAL,672,581,0.071837,1946.5074773549102,OPTIMAL,1713
kmedoids_cross_dirac,4,Gurobi,0.1212089,0.2777925,0.821774,0.0062109,0.0121734,433.5205311894992,OPTIMAL,672,581,0.0404419,2136.278637877011,OPTIMAL,1867
kmedoids_cross_dirac,4,Gurobi,0.273515,0.2848709,0.8373842,0.0068433,0.0087178,448.82893804058733,OPTIMAL,672,581,0.0587325,1828.4014000480533,OPTIMAL,1537
kmedoids_cross_dirac,8,Gurobi,0.2945836,0.2932739,0.8885771,0.0120353,0.0109006,430.58003756363183,OPTIMAL,1344,1157,0.0638707,2139.262861668017,OPTIMAL,1893
kmedoids_cross_dirac,8,Gurobi,0.2329425,0.2988971,0.8985303,0.0115436,0.0121825,424.1942555302429,OPTIMAL,1344,1157,0.0409272,2015.6707146038773,OPTIMAL,1780
kmedoids_cross_dirac,8,Gurobi,0.1627153,1.0099733,0.6656706,0.0145589,0.0104903,435.0045275241153,OPTIMAL,1344,1157,0.0472959,1846.6627263613593,OPTIMAL,1605
