base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand
0_HourlyBenchmark,1,Gurobi,0.0,1.2160627,3.2937467,6.192884,0.8009005,490.37233247512637,OPTIMAL,122640,105125,0.0,0.0,,9
kmedoids_cross_dirac,4,Gurobi,0.0634937,0.3308474,0.7998778,0.0063888,0.0111111,542.8422383930729,OPTIMAL,672,581,0.1404252,533.7598871985431,OPTIMAL,3
kmedoids_cross_dirac,4,Gurobi,0.0643219,0.3574894,1.2051972,0.0069165,0.010178,540.9402175668968,OPTIMAL,672,581,0.1530076,527.595165188866,OPTIMAL,0
kmedoids_cross_dirac,4,Gurobi,0.0667713,0.295727,0.9548364,0.0076443,0.0097537,511.90365733875,OPTIMAL,672,581,0.1322519,539.9612764433566,OPTIMAL,0
kmedoids_cross_dirac,4,Gurobi,0.1079779,0.3224831,0.7892999,0.0069583,0.0104094,511.90365733875,OPTIMAL,672,581,0.0171299,539.9612764433566,OPTIMAL,0
kmedoids_cross_dirac,4,Gurobi,0.0550845,0.2985841,0.8983696,0.0063591,0.0091255,542.8422383930729,OPTIMAL,672,581,0.0586832,533.7598871985431,OPTIMAL,3
kmedoids_cross_dirac,4,Gurobi,0.0575209,0.3307284,1.0812949,0.007528,0.0123974,511.9036573387501,OPTIMAL,672,581,0.0889226,539.9612764433566,OPTIMAL,0
kmedoids_cross_dirac,4,Gurobi,0.0933253,0.3277576,1.1018101,0.0061594,0.0106181,511.90365733875,OPTIMAL,672,581,0.0122819,539.9612764433566,OPTIMAL,0
kmedoids_cross_dirac,4,Gurobi,0.0656052,0.3608945,1.1625948,0.0070875,0.0105354,542.8422383930729,OPTIMAL,672,581,0.060343,533.7598871985431,OPTIMAL,3
kmedoids_cross_dirac,4,Gurobi,0.0585941,0.3840175,1.233918,0.0066501,0.0104852,540.9402175668968,OPTIMAL,672,581,0.1746434,527.595165188866,OPTIMAL,0
kmedoids_cross_dirac,4,Gurobi,0.0941422,0.3826594,1.2543985,0.0072403,0.011294,542.8422383930729,OPTIMAL,672,581,0.1839975,533.7598871985431,OPTIMAL,3
kmedoids_cross_dirac,8,Gurobi,0.0633468,0.4221683,1.469996,0.0132621,0.0150151,512.5303194143796,OPTIMAL,1344,1157,0.0977469,510.87490211910335,OPTIMAL,0
kmedoids_cross_dirac,8,Gurobi,0.0613741,0.4411523,1.4349803,0.0127244,0.0136537,519.8177243563215,OPTIMAL,1344,1157,0.0905603,520.8524404844865,OPTIMAL,0
kmedoids_cross_dirac,8,Gurobi,0.0987137,0.4186384,1.4968295,0.0120867,0.0154973,526.3896156416018,OPTIMAL,1344,1157,0.0770992,511.1426987814178,OPTIMAL,0
kmedoids_cross_dirac,8,Gurobi,0.0650036,0.4670283,1.7144066,0.0116675,0.0180617,520.4232608186799,OPTIMAL,1344,1157,0.0605231,515.8383493659413,OPTIMAL,0
kmedoids_cross_dirac,8,Gurobi,0.0638051,0.5870247,2.1644144,0.0117079,0.0188495,523.7409643136635,OPTIMAL,1344,1157,0.0550143,514.9924086197955,OPTIMAL,0
kmedoids_cross_dirac,8,Gurobi,0.1115318,0.5975411,2.2921707,0.0125438,0.0187967,520.256404597498,OPTIMAL,1344,1157,0.0409733,512.4964281762398,OPTIMAL,0
kmedoids_cross_dirac,8,Gurobi,0.0716693,0.6871111,2.7833193,0.0114354,0.0181885,532.4443965559592,OPTIMAL,1344,1157,0.0569583,515.8090206401203,OPTIMAL,0
kmedoids_cross_dirac,8,Gurobi,0.068539,0.9453498,3.4530543,0.0143645,0.0194015,515.2714985659701,OPTIMAL,1344,1157,0.0721615,514.4260041078625,OPTIMAL,0
kmedoids_cross_dirac,8,Gurobi,0.0684906,0.3337508,0.9795032,0.011729,0.0149549,510.973697816206,OPTIMAL,1344,1157,0.0433655,516.0023157223623,OPTIMAL,0
kmedoids_cross_dirac,8,Gurobi,0.0629856,0.3313839,1.0770428,0.0122276,0.0148603,520.0235736677334,OPTIMAL,1344,1157,0.0705927,515.0788216807042,OPTIMAL,0
kmedoids_cross_dirac,12,Gurobi,0.0640946,0.3266232,1.0357159,0.0181848,0.0154397,505.9190130357522,OPTIMAL,2016,1733,0.05568,511.1144059914852,OPTIMAL,0
kmedoids_cross_dirac,12,Gurobi,0.1087347,0.3710815,0.8946084,0.0192301,0.0168468,509.25681729310617,OPTIMAL,2016,1733,0.0461589,512.2074637061887,OPTIMAL,0
kmedoids_cross_dirac,12,Gurobi,0.0979206,0.3599915,0.9655209,0.019625,0.0162673,509.9890453311674,OPTIMAL,2016,1733,0.0424231,510.87180301492924,OPTIMAL,0
kmedoids_cross_dirac,12,Gurobi,0.0663606,0.3242126,0.99639,0.0180129,0.0149951,519.4260482499076,OPTIMAL,2016,1733,0.0549661,511.35436408582115,OPTIMAL,0
kmedoids_cross_dirac,12,Gurobi,0.0610481,0.3359267,1.0480235,0.0170743,0.0168037,526.6633115901594,OPTIMAL,2016,1733,0.0391162,514.10817580752,OPTIMAL,0
kmedoids_cross_dirac,12,Gurobi,0.060268,0.386688,1.1883668,0.0604389,0.0237866,521.1010188669234,OPTIMAL,2016,1733,0.0376325,512.1681810782451,OPTIMAL,0
kmedoids_cross_dirac,12,Gurobi,0.0697627,0.4438388,1.2223189,0.017146,0.0166864,513.009288881015,OPTIMAL,2016,1733,0.0530583,514.3500612313233,OPTIMAL,0
kmedoids_cross_dirac,12,Gurobi,0.1154845,0.3844096,1.2789113,0.0191044,0.0165452,519.0715923333672,OPTIMAL,2016,1733,0.0431651,512.2406122193173,OPTIMAL,0
kmedoids_cross_dirac,12,Gurobi,0.105872,0.4159631,1.3525831,0.0190707,0.0169547,507.213550566525,OPTIMAL,2016,1733,0.0418341,511.1571656617059,OPTIMAL,0
kmedoids_cross_dirac,12,Gurobi,0.0985277,0.515129,1.5752007,0.0206483,0.0535557,512.5135144145977,OPTIMAL,2016,1733,0.050226,514.6986089640202,OPTIMAL,0
kmedoids_cross_dirac,16,Gurobi,0.0856049,0.799601,2.2391879,0.029487,0.0236315,507.2102144379522,OPTIMAL,2688,2309,0.0528572,503.4093124659923,OPTIMAL,0
kmedoids_cross_dirac,16,Gurobi,0.0779972,0.6841382,2.3889482,0.0374667,0.0340713,510.9807662635757,OPTIMAL,2688,2309,0.0443025,511.41730898604146,OPTIMAL,0
kmedoids_cross_dirac,16,Gurobi,0.0745846,0.3926634,0.8747875,0.0289441,0.0174565,507.0499791852403,OPTIMAL,2688,2309,0.0409893,510.6678658759215,OPTIMAL,0
kmedoids_cross_dirac,16,Gurobi,0.076048,0.3521291,1.230587,0.026854,0.0227814,505.9950820774111,OPTIMAL,2688,2309,0.0406903,503.534176237395,OPTIMAL,0
kmedoids_cross_dirac,16,Gurobi,0.0743854,0.3555812,1.0338018,0.0264437,0.1466142,512.7585218888793,OPTIMAL,2688,2309,0.0462502,514.8316389008432,OPTIMAL,0
kmedoids_cross_dirac,16,Gurobi,0.1461396,0.4397115,1.1345033,0.03285,0.0246191,521.2490183138788,OPTIMAL,2688,2309,0.0446424,511.6169221815656,OPTIMAL,0
kmedoids_cross_dirac,16,Gurobi,0.0644482,0.3754032,1.0328629,0.0279302,0.0184944,509.6430514966367,OPTIMAL,2688,2309,0.0545453,511.8506746171131,OPTIMAL,0
kmedoids_cross_dirac,16,Gurobi,0.187133,0.6077674,1.4290312,0.0268091,0.0222876,509.9652215271144,OPTIMAL,2688,2309,0.0485349,512.6188050351051,OPTIMAL,0
kmedoids_cross_dirac,16,Gurobi,0.0799618,0.4250432,1.2758562,0.026648,0.0225131,509.0879945475367,OPTIMAL,2688,2309,0.0537764,510.9742860314761,OPTIMAL,0
kmedoids_cross_dirac,16,Gurobi,0.0640407,0.4143648,1.1966182,0.0262315,0.0207682,511.00328663530024,OPTIMAL,2688,2309,0.0442447,514.7104935382969,OPTIMAL,0
kmedoids_cross_dirac,20,Gurobi,0.0868265,0.6040214,1.3360862,0.0328441,0.0217951,509.3736913982057,OPTIMAL,3360,2885,0.0632006,502.41615031648206,OPTIMAL,0
