base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand
0_HourlyBenchmark,1,Gurobi,0.0,4.7912651,12.3290501,8.8452443,2.3533117,481.90622298500267,OPTIMAL,122640,105125,0.0,0.0,,10
kmedoids_cross_dirac,4,Gurobi,6.7416681,0.2580818,0.8610621,0.0085798,0.0105397,487.2049641853499,OPTIMAL,672,581,0.1710337,515.1858352898591,OPTIMAL,0
kmedoids_cross_dirac,4,Gurobi,0.1401431,0.290418,0.8659135,0.006489,0.0113623,516.536612443834,OPTIMAL,672,581,0.1216705,547.8451314791184,OPTIMAL,0
kmedoids_cross_dirac,4,Gurobi,0.1503191,0.304378,0.9393187,0.0062705,0.0098265,487.2049641853499,OPTIMAL,672,581,0.1228612,515.1858352898591,OPTIMAL,0
kmedoids_cross_dirac,4,Gurobi,0.1383844,0.2829407,0.8629638,0.0063262,0.0097166,487.2049641853499,OPTIMAL,672,581,0.0162535,515.1858352898591,OPTIMAL,0
kmedoids_cross_dirac,4,Gurobi,0.1653857,0.3449459,0.8960632,0.0067222,0.0116827,500.5126635021224,OPTIMAL,672,581,0.1030811,531.1071299513582,OPTIMAL,0
kmedoids_cross_dirac,4,Gurobi,0.1430396,0.2982816,0.8997176,0.0063786,0.0103372,500.5126635021224,OPTIMAL,672,581,0.0153265,531.1071299513582,OPTIMAL,0
kmedoids_cross_dirac,4,Gurobi,0.148354,0.3104152,0.941919,0.0063724,0.0102996,487.2049641853499,OPTIMAL,672,581,0.0973404,515.1858352898591,OPTIMAL,0
kmedoids_cross_dirac,4,Gurobi,0.1518288,0.317598,1.0859189,0.0063411,0.0115461,487.2049641853499,OPTIMAL,672,581,0.0166978,515.1858352898591,OPTIMAL,0
kmedoids_cross_dirac,4,Gurobi,0.1529547,0.3215989,1.0296229,0.0057644,0.0119689,487.2049641853499,OPTIMAL,672,581,0.0156131,515.1858352898591,OPTIMAL,0
kmedoids_cross_dirac,4,Gurobi,0.1496713,0.3117032,0.9755804,0.0068671,0.0097387,487.2049641853499,OPTIMAL,672,581,0.0164488,515.1858352898591,OPTIMAL,0
kmedoids_cross_dirac,8,Gurobi,0.1945537,0.2771525,0.9385364,0.0116464,0.0145836,497.0217391583462,OPTIMAL,1344,1157,0.0718401,507.04786491396925,OPTIMAL,0
kmedoids_cross_dirac,8,Gurobi,0.1552669,0.2900823,0.8849946,0.0114072,0.0134667,499.34942909553337,OPTIMAL,1344,1157,0.0628144,513.3235600617644,OPTIMAL,0
kmedoids_cross_dirac,8,Gurobi,0.2188366,0.3238601,1.0975453,0.0117874,0.0133626,506.5249858660452,OPTIMAL,1344,1157,0.1090631,499.42982838956857,OPTIMAL,0
kmedoids_cross_dirac,8,Gurobi,0.1972575,0.3102475,0.9411811,0.0117458,0.0174756,504.65330995902417,OPTIMAL,1344,1157,0.1034722,513.66854404223,OPTIMAL,0
kmedoids_cross_dirac,8,Gurobi,0.1720496,0.3173624,0.9903549,0.0113971,0.0149092,504.4276471547588,OPTIMAL,1344,1157,0.1063272,503.4346453440395,OPTIMAL,0
kmedoids_cross_dirac,8,Gurobi,0.1549699,0.31755,1.0951654,0.0111302,0.0158772,513.3245297486544,OPTIMAL,1344,1157,0.0879379,499.6587506481543,OPTIMAL,0
kmedoids_cross_dirac,8,Gurobi,0.1533422,0.33283,1.037918,0.0109737,0.0138787,506.7596171320641,OPTIMAL,1344,1157,0.0404638,498.58048156332546,OPTIMAL,0
kmedoids_cross_dirac,8,Gurobi,0.1984816,0.3951196,1.115416,0.011009,0.0135134,505.31086215368924,OPTIMAL,1344,1157,0.0675984,502.1321533244356,OPTIMAL,0
kmedoids_cross_dirac,8,Gurobi,0.1532685,0.3478511,1.0916477,0.010607,0.0142966,495.1068166237155,OPTIMAL,1344,1157,0.057322,501.11054974325486,OPTIMAL,0
kmedoids_cross_dirac,8,Gurobi,0.1685418,0.3722414,1.1476891,0.0118446,0.0149519,504.49741180704257,OPTIMAL,1344,1157,0.0591787,499.2198298331807,OPTIMAL,0
kmedoids_cross_dirac,12,Gurobi,0.3165125,0.4316854,1.2448926,0.0175973,0.019149,508.4796168621255,OPTIMAL,2016,1733,0.0854207,506.81034624223474,OPTIMAL,0
