base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand
0_HourlyBenchmark,1,Gurobi,0.0,1.4360709,3.5237085,7.4950088,0.8813771,491.9440869753471,OPTIMAL,122640,105125,0.0,0.0,,0
kmedoids_cross_dirac,4,Gurobi,0.0676895,0.4938744,1.5998103,0.0088484,0.0175389,448.6265460593989,OPTIMAL,672,581,0.1734207,276311.8363013034,OPTIMAL,1981
kmedoids_cross_dirac,4,Gurobi,0.0766735,0.5122591,1.5481888,0.008415,0.0167723,433.0708933774606,OPTIMAL,672,581,0.1309808,839869.2358306214,OPTIMAL,4311
kmedoids_cross_dirac,4,Gurobi,0.081054,0.5771888,1.5034355,0.0084453,0.0174828,442.1630942346444,OPTIMAL,672,581,0.084481,501673.2809389497,OPTIMAL,3148
kmedoids_cross_dirac,4,Gurobi,0.0999503,0.5458565,1.7820255,0.0074469,0.0159844,452.07906631629794,OPTIMAL,672,581,0.0597234,276311.8363013034,OPTIMAL,1981
kmedoids_cross_dirac,4,Gurobi,0.0814485,0.4837657,1.4131755,0.0085581,0.0116529,451.03175777815125,OPTIMAL,672,581,0.178812,963617.6922888134,OPTIMAL,4487
kmedoids_cross_dirac,4,Gurobi,0.057682,0.4238044,1.4979462,0.0072892,0.0109456,443.07984400078914,OPTIMAL,672,581,0.1408807,525363.5897958908,OPTIMAL,3185
kmedoids_cross_dirac,4,Gurobi,0.0536226,0.4591982,1.1983825,0.0096814,0.0190968,436.1510245702632,OPTIMAL,672,581,0.1690697,1.025811034241867e6,OPTIMAL,4577
kmedoids_cross_dirac,4,Gurobi,0.0534061,0.4481518,1.5347144,0.0084391,0.0172322,461.35366016625966,OPTIMAL,672,581,0.1206654,429960.5049204646,OPTIMAL,2670
kmedoids_cross_dirac,4,Gurobi,0.077019,0.4727623,1.4750439,0.006975,0.0125171,416.38429299844785,OPTIMAL,672,581,0.0766952,539038.7077615395,OPTIMAL,3300
kmedoids_cross_dirac,4,Gurobi,0.0502883,0.4709107,1.5055726,0.0068344,0.0139025,450.13620106816603,OPTIMAL,672,581,0.1825448,120882.55045342419,OPTIMAL,1038
kmedoids_cross_dirac,8,Gurobi,0.0582496,0.5790893,1.6362962,0.0138927,0.0212713,429.5623981826706,OPTIMAL,1344,1157,0.1897337,482009.824103704,OPTIMAL,3064
kmedoids_cross_dirac,8,Gurobi,0.1323402,0.4259513,1.7578592,0.0161104,0.0155295,439.5307395384764,OPTIMAL,1344,1157,0.0778398,369113.3283267522,OPTIMAL,2566
kmedoids_cross_dirac,8,Gurobi,0.1110465,0.5391158,1.7146438,0.0140697,0.0215549,445.5597174762188,OPTIMAL,1344,1157,0.0866137,461004.1546018353,OPTIMAL,2874
kmedoids_cross_dirac,8,Gurobi,0.0943423,0.5865859,2.0595278,0.0140177,0.0163303,453.17809326914966,OPTIMAL,1344,1157,0.0668408,232436.21481307977,OPTIMAL,1717
kmedoids_cross_dirac,8,Gurobi,0.1292318,0.5976877,1.9625215,0.0174811,0.0160247,451.23647345926145,OPTIMAL,1344,1157,0.1336124,244156.62068276483,OPTIMAL,1776
kmedoids_cross_dirac,8,Gurobi,0.0866454,0.6251712,2.0957801,0.012538,0.0152403,432.3952164085113,OPTIMAL,1344,1157,0.1386364,479466.13989543164,OPTIMAL,2957
kmedoids_cross_dirac,8,Gurobi,1.4688088,0.4906076,1.2442728,0.0119991,0.014632,460.7006325996628,OPTIMAL,1344,1157,0.1222578,148588.37375935732,OPTIMAL,1196
kmedoids_cross_dirac,8,Gurobi,0.0742531,0.4959109,1.5270442,0.0107469,0.0159923,446.01396219961725,OPTIMAL,1344,1157,0.0820686,133194.0969425427,OPTIMAL,1068
kmedoids_cross_dirac,8,Gurobi,0.0560558,0.4883641,1.416064,0.0164104,0.0193079,446.20196749413685,OPTIMAL,1344,1157,0.0972947,215600.25348315958,OPTIMAL,1706
kmedoids_cross_dirac,8,Gurobi,0.065077,0.4785792,1.5349243,0.0143607,0.0168632,446.33487101339716,OPTIMAL,1344,1157,0.0565472,166400.50828594968,OPTIMAL,1355
kmedoids_cross_dirac,12,Gurobi,0.0826763,0.476963,1.300037,0.0209231,0.0221508,438.67142697007813,OPTIMAL,2016,1733,0.0577685,238351.96736929705,OPTIMAL,1818
kmedoids_cross_dirac,12,Gurobi,0.1081072,0.4757129,1.4216673,0.0320849,0.0212579,449.61074575652054,OPTIMAL,2016,1733,0.0800177,319133.3865831227,OPTIMAL,2103
kmedoids_cross_dirac,12,Gurobi,0.1232241,0.4904773,1.4977193,0.0285609,0.0207965,449.832438320328,OPTIMAL,2016,1733,0.0762526,390161.3349105156,OPTIMAL,2437
kmedoids_cross_dirac,12,Gurobi,0.0990503,0.4778047,1.5491761,0.0191603,0.0260225,443.6157679112905,OPTIMAL,2016,1733,0.1001426,176549.5488000389,OPTIMAL,1389
