base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand
0_HourlyBenchmark,1,Gurobi,0.0,1.2089849,4.1155743,6.0096622,0.6131749,490.37233247512637,OPTIMAL,122640,105125,0.0,0.0,,9
kmeans_cross_convex,4,Gurobi,1.5649308,0.310257,0.7635716,0.0068916,0.0095625,428.02249487738055,OPTIMAL,672,581,0.1812712,6662.7779718753145,OPTIMAL,4359
kmeans_cross_convex,4,Gurobi,0.2757053,0.2993431,0.7631895,0.0075346,0.0119009,426.95667622170805,OPTIMAL,672,581,0.1059568,3834.3177823071987,OPTIMAL,2958
kmeans_cross_convex,4,Gurobi,0.3030981,0.2994402,0.9169313,0.0071267,0.0098942,421.2620152409642,OPTIMAL,672,581,0.0532418,5713.753544620635,OPTIMAL,4153
kmeans_cross_convex,4,Gurobi,0.2446226,0.2980297,1.0893017,0.0094661,0.0101973,420.94278800964906,OPTIMAL,672,581,0.0364695,5793.428342776367,OPTIMAL,4184
kmeans_cross_convex,4,Gurobi,0.2406148,0.3121536,1.0467711,0.007198,0.0097596,427.98628630285225,OPTIMAL,672,581,0.0773784,6608.206495722709,OPTIMAL,4335
kmeans_cross_convex,4,Gurobi,0.2443193,0.3669581,1.1372322,0.0071248,0.0106991,425.9285379141824,OPTIMAL,672,581,0.0370778,6886.164578886126,OPTIMAL,4470
kmeans_cross_convex,4,Gurobi,0.2303362,0.3697729,1.3009737,0.0096869,0.0131921,425.9285379141824,OPTIMAL,672,581,0.0144976,6886.164578886126,OPTIMAL,4470
kmeans_cross_convex,4,Gurobi,0.2619607,0.3853093,1.3590513,0.0075187,0.0111787,422.3492932370588,OPTIMAL,672,581,0.0734584,5401.003652126476,OPTIMAL,3945
kmeans_cross_convex,4,Gurobi,0.4303889,0.4381653,1.4721661,0.0074223,0.012448,422.2779774606344,OPTIMAL,672,581,0.0343043,5513.154173542382,OPTIMAL,4025
kmeans_cross_convex,4,Gurobi,0.2774547,0.3417514,0.9007805,0.0069211,0.0112123,427.334148052497,OPTIMAL,672,581,0.0824636,6725.986020721164,OPTIMAL,4377
kmeans_cross_convex,8,Gurobi,0.4234433,0.346248,0.8251164,0.0123356,0.0121417,437.89664393768317,OPTIMAL,1344,1157,0.0883846,2982.1509625301865,OPTIMAL,2379
kmeans_cross_convex,8,Gurobi,0.3464825,0.3468834,0.9247928,0.0116728,0.0127684,431.67081040164356,OPTIMAL,1344,1157,0.0576993,3041.2372678744596,OPTIMAL,2370
kmeans_cross_convex,8,Gurobi,0.3387194,0.3153274,1.0038491,0.0122861,0.0126599,438.13688747782004,OPTIMAL,1344,1157,0.0539923,2666.5971896182273,OPTIMAL,2179
kmeans_cross_convex,8,Gurobi,0.3636614,0.3408508,1.0989024,0.0115852,0.0126056,431.40211297095624,OPTIMAL,1344,1157,0.0561757,3143.386185071902,OPTIMAL,2457
kmeans_cross_convex,8,Gurobi,0.3585778,0.3510197,1.2698418,0.0131279,0.0124595,433.51772130300577,OPTIMAL,1344,1157,0.0790776,4631.902215918999,OPTIMAL,3515
kmeans_cross_convex,8,Gurobi,0.3601484,0.4050126,1.311724,0.012844,0.0135504,434.34436280352963,OPTIMAL,1344,1157,0.0546892,5215.091141034438,OPTIMAL,3692
kmeans_cross_convex,8,Gurobi,0.3635402,0.39387,1.3699072,0.0136753,0.0138982,435.12838717771126,OPTIMAL,1344,1157,0.0698757,3907.4863271771064,OPTIMAL,3105
kmeans_cross_convex,8,Gurobi,1.651537,0.353045,0.843243,0.0118214,0.0137315,439.2006074824834,OPTIMAL,1344,1157,0.0401415,2737.5173096143108,OPTIMAL,2219
kmeans_cross_convex,8,Gurobi,0.4406609,0.3439514,0.8392644,0.0129223,0.014783,432.4761296128705,OPTIMAL,1344,1157,0.0705935,4951.253221738708,OPTIMAL,3630
kmeans_cross_convex,8,Gurobi,0.3641841,0.3322755,0.8526346,0.0124138,0.0124768,439.01286464412806,OPTIMAL,1344,1157,0.0593832,2783.439031701438,OPTIMAL,2267
kmeans_cross_convex,12,Gurobi,0.4435104,0.3549349,1.1359852,0.0187853,0.0166877,442.8843982364186,OPTIMAL,2016,1733,0.0520639,1631.1480425065279,OPTIMAL,1358
kmeans_cross_convex,12,Gurobi,0.4479403,0.3390078,1.0942676,0.0178118,0.0158438,443.31681070712017,OPTIMAL,2016,1733,0.0378956,1703.1184364367225,OPTIMAL,1445
kmeans_cross_convex,12,Gurobi,0.415417,0.380125,1.2332736,0.0197706,0.0156639,437.98201130656196,OPTIMAL,2016,1733,0.0594221,3129.1232550513987,OPTIMAL,2542
kmeans_cross_convex,12,Gurobi,0.4693369,0.4335763,1.3952061,0.0199747,0.0147462,443.33202210602605,OPTIMAL,2016,1733,0.0567151,1737.8997748809584,OPTIMAL,1463
kmeans_cross_convex,12,Gurobi,0.4711909,0.4538991,1.5734808,0.0190335,0.0195131,444.03398865481904,OPTIMAL,2016,1733,0.0430781,1600.7280343185007,OPTIMAL,1356
kmeans_cross_convex,12,Gurobi,1.7492888,0.3860876,0.9345032,0.0174097,0.0179547,437.3047327324958,OPTIMAL,2016,1733,0.0433651,2479.9257188657275,OPTIMAL,2090
kmeans_cross_convex,12,Gurobi,0.6332719,0.3855636,0.9070618,0.0178092,0.0174847,438.33132220746774,OPTIMAL,2016,1733,0.0374048,2154.1880717274385,OPTIMAL,1841
kmeans_cross_convex,12,Gurobi,0.5568977,0.4040762,1.0107657,0.0197167,0.015496,440.6286907072674,OPTIMAL,2016,1733,0.054366,2272.6209478036226,OPTIMAL,1828
kmeans_cross_convex,12,Gurobi,0.4100988,0.3601944,1.099306,0.0202611,0.0160283,442.84171453513034,OPTIMAL,2016,1733,0.039187,1975.2062213957595,OPTIMAL,1611
kmeans_cross_convex,12,Gurobi,0.4636688,0.3638092,1.1576074,0.0188604,0.0158242,441.1401592713579,OPTIMAL,2016,1733,0.0368559,2372.3807502248646,OPTIMAL,1976
kmeans_cross_convex,16,Gurobi,0.4731038,0.3844748,1.3407764,0.0274515,0.0178308,440.8291840693691,OPTIMAL,2688,2309,0.0375847,2390.2110253580795,OPTIMAL,1982
kmeans_cross_convex,16,Gurobi,0.4513365,0.4354524,1.3739417,0.0318323,0.017736,444.44206239054245,OPTIMAL,2688,2309,0.0407298,1715.059462117136,OPTIMAL,1452
kmeans_cross_convex,16,Gurobi,1.7749603,0.4052479,0.9065976,0.027188,0.0179123,441.22079459192435,OPTIMAL,2688,2309,0.0372095,2008.0662312805441,OPTIMAL,1725
kmeans_cross_convex,16,Gurobi,0.7223971,0.3643273,0.8479465,0.0301193,0.0166125,445.1425530552892,OPTIMAL,2688,2309,0.0384664,1588.8440666390109,OPTIMAL,1325
kmeans_cross_convex,16,Gurobi,0.5631219,0.3554646,0.9686204,0.0323198,0.0212686,440.61534549870095,OPTIMAL,2688,2309,0.039722,2241.8903305637405,OPTIMAL,1882
kmeans_cross_convex,16,Gurobi,0.5041813,0.3407071,1.0213824,0.0282072,0.0163479,444.2735568270773,OPTIMAL,2688,2309,0.0406943,1491.4636707269783,OPTIMAL,1236
kmeans_cross_convex,16,Gurobi,0.4748249,0.3936884,1.1926094,0.0304118,0.0172326,442.38267999118256,OPTIMAL,2688,2309,0.0540419,2228.7719602489965,OPTIMAL,1796
kmeans_cross_convex,16,Gurobi,0.4035118,0.3934256,1.2779488,0.0300535,0.0179707,445.40667049504555,OPTIMAL,2688,2309,0.0406165,1832.6464625098565,OPTIMAL,1468
kmeans_cross_convex,16,Gurobi,0.4430787,0.4200876,1.2975244,0.0362323,0.0178542,444.76846897180286,OPTIMAL,2688,2309,0.0371265,1808.4625246689088,OPTIMAL,1480
kmeans_cross_convex,16,Gurobi,1.8917889,0.3813414,0.8727065,0.0272056,0.0184371,444.6149443463281,OPTIMAL,2688,2309,0.0374292,1789.6789524219348,OPTIMAL,1490
kmeans_cross_convex,20,Gurobi,0.8527752,0.4002746,0.9212843,0.0341216,0.0205516,442.4808073815766,OPTIMAL,3360,2885,0.0667658,1654.4836701865172,OPTIMAL,1407
kmeans_cross_convex,20,Gurobi,0.6658375,0.4482632,1.0410567,0.0473602,0.0214628,443.9892678574786,OPTIMAL,3360,2885,0.0379523,1748.4203932685841,OPTIMAL,1482
kmeans_cross_convex,20,Gurobi,0.5685058,0.3545226,1.0728189,0.038417,0.0207892,446.81408963090513,OPTIMAL,3360,2885,0.0386105,1258.4276339492717,OPTIMAL,994
kmeans_cross_convex,20,Gurobi,0.6576179,0.3839444,1.1935555,0.0365107,0.0201299,446.48617650211077,OPTIMAL,3360,2885,0.0367759,1546.9296329897757,OPTIMAL,1264
