base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,reduced_num_lol,reduced_lol,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand,loss_of_load_e_demand
0_HourlyBenchmark,1,Gurobi,0.0,1.4968313,5.116149,6.2676243,0.7012621,478.4794048830108,OPTIMAL,0,0.0,122640,105125,0.0,0.0,,10,0.27970034684604705
convex_cross,4,Gurobi,0.8301552,0.4969055,0.8711191,0.0087079,0.0109263,502.8707048098082,OPTIMAL,8,0.13438616571667675,672,581,0.0818466,515.5690176406459,OPTIMAL,0,0.0
convex_cross,8,Gurobi,2.7162225,0.362963,0.8298289,0.0489768,0.0184282,534.3655074133289,OPTIMAL,7,0.13908770905787593,1344,1157,0.0573355,517.1037314947048,OPTIMAL,0,0.0
convex_cross,12,Gurobi,2.3700753,0.7183732,1.3112094,0.0165151,0.0226583,528.0312146101269,OPTIMAL,6,0.06773952231998578,2016,1733,0.0718498,516.3926820040106,OPTIMAL,0,0.0
convex_cross,16,Gurobi,3.4853311,0.529096,1.1956024,0.0297202,0.025487,508.08036695240156,OPTIMAL,29,7.0956427848893835,2688,2309,0.0494848,486.15069830802116,OPTIMAL,10,0.31333618060431623
convex_cross,20,Gurobi,3.3610312,0.4185254,0.9170033,0.0336559,0.0185423,494.66906378921317,OPTIMAL,35,10.857886575922063,3360,2885,0.0362864,484.3137907035899,OPTIMAL,26,0.8982968471481085
convex_cross,30,Gurobi,6.1926194,0.372655,0.8020488,0.0660901,0.026124,491.1812923842029,OPTIMAL,34,10.23423956795001,5040,4325,0.0386592,483.8385757874484,OPTIMAL,22,0.9200362874285944
convex_cross,60,Gurobi,10.7565627,0.3810592,0.9738257,0.1916429,0.042419,473.568634757266,OPTIMAL,48,61.37484072990698,10080,8645,0.0414961,491.41355798039154,OPTIMAL,37,2.1707703437512333
convex_cross,90,Gurobi,16.1658432,0.4370821,0.8071794,0.4188695,0.0578435,474.60058173408754,OPTIMAL,48,61.37484072990698,15120,12965,0.0356218,491.17167515298024,OPTIMAL,37,2.1408469786451914
convex_cross,120,Gurobi,19.7503528,0.4616331,1.0020675,0.4374734,0.0820264,481.05803777715437,OPTIMAL,49,61.38783839884538,20160,17285,0.0388168,479.8200985834238,OPTIMAL,7,0.08857791790289671
convex_cross,180,Gurobi,33.63045,0.5072961,1.1301632,0.6767724,0.1312059,480.6364964719589,OPTIMAL,49,61.38797925207896,30240,25925,0.0324555,479.49289469121356,OPTIMAL,6,0.08249440017943321
convex_cross,240,Gurobi,48.981391,0.5828532,1.2440253,1.0408617,0.1501014,478.1434171651031,OPTIMAL,50,61.41429002292727,40320,34565,0.0356052,478.9659658004384,OPTIMAL,9,0.15283534666132148
convex_cross,360,Gurobi,89.2686294,0.8374046,2.0026032,1.8665224,0.2610195,476.7061173716314,OPTIMAL,53,61.456512422896836,60480,51845,0.0363415,478.81603061051726,OPTIMAL,7,0.12647218209867073
convex_per,4,Gurobi,0.4440564,0.34451,0.8534743,0.0068993,0.0141891,558.2236135567799,OPTIMAL,0,0.0,672,581,0.0692316,538.9148786164259,OPTIMAL,0,0.0
convex_per,8,Gurobi,1.1149166,0.3266639,0.7494528,0.0116905,0.0145969,543.5395242224895,OPTIMAL,9,0.27263421117939945,1344,1157,0.1052106,522.0650565787313,OPTIMAL,0,0.0
convex_per,12,Gurobi,2.58609,0.3431238,0.6563713,0.0176049,0.0149103,544.7396781275852,OPTIMAL,26,4.734206719678578,2016,1733,0.0547312,493.07586963217085,OPTIMAL,0,0.0
convex_per,16,Gurobi,1.483283,0.3270905,0.6732121,0.0262277,0.01622,537.7224657102798,OPTIMAL,29,7.188809788718221,2688,2309,0.047471,484.3341686119495,OPTIMAL,7,0.23600731292496968
