base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,reduced_num_lol,reduced_lol,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand,loss_of_load_e_demand
0_HourlyBenchmark,1,Gurobi,0.0,1.3658583,4.1333678,5.3771914,0.6037625,484.7364201999142,OPTIMAL,0,0.0,122640,105125,0.0,0.0,,0,0.0
convex_cross,4,Gurobi,0.6472258,0.3245474,0.7057222,0.0071445,0.0120732,525.9387995182856,OPTIMAL,0,0.0,672,581,0.076813,1747.9147490193652,OPTIMAL,25,0.8419354798159013
convex_cross,8,Gurobi,1.1099191,0.2917186,0.7733121,0.012959,0.0137939,521.534566843693,OPTIMAL,0,0.0,1344,1157,0.0385901,4854.849433822003,OPTIMAL,58,2.9155518404460468
convex_cross,12,Gurobi,1.7317731,0.3108232,0.8362466,0.0187859,0.0173481,491.7183689439194,OPTIMAL,0,0.0,2016,1733,0.0620582,2293.3768370275684,OPTIMAL,29,1.2098341835307571
convex_cross,16,Gurobi,3.7093238,0.3809666,1.1309953,0.0424902,0.0316362,488.26523469802936,OPTIMAL,0,0.0,2688,2309,0.0370111,1950.7023421289148,OPTIMAL,25,0.9808315836996471
convex_cross,20,Gurobi,3.527392,0.472837,1.1731976,0.0407586,0.0233547,480.45384843941997,OPTIMAL,0,0.0,3360,2885,0.0362154,2038.3324683814708,OPTIMAL,27,1.0398854136834819
convex_cross,30,Gurobi,5.0055278,0.3681672,0.9490835,0.0599384,0.037154,483.80412861903426,OPTIMAL,0,0.0,5040,4325,0.0319479,2150.701970264816,OPTIMAL,28,1.1149594310325839
convex_cross,60,Gurobi,9.3345363,0.4151115,1.0714911,0.1736987,0.0471536,484.9843030734592,OPTIMAL,0,0.0,10080,8645,0.0335442,915.4399049143482,OPTIMAL,9,0.28961246193398327
convex_cross,90,Gurobi,15.0215602,0.4389137,1.1761674,0.2732043,0.0667395,483.0325767744367,OPTIMAL,0,0.0,15120,12965,0.0325531,864.7274282540121,OPTIMAL,9,0.25531702154511104
convex_cross,120,Gurobi,20.8979923,0.5200161,1.4352397,0.3395752,0.0838246,484.45186444329624,OPTIMAL,0,0.0,20160,17285,0.0288483,866.3726000427896,OPTIMAL,9,0.2565161074587319
convex_cross,180,Gurobi,32.3749812,0.5297698,1.2533305,0.602256,0.1134452,484.032896950145,OPTIMAL,0,0.0,30240,25925,0.0343441,861.3050856988037,OPTIMAL,9,0.25393246643869594
convex_cross,240,Gurobi,46.2679809,0.5573408,1.4544185,0.8915614,0.1616008,482.2954675836517,OPTIMAL,0,0.0,40320,34565,0.0348429,780.695028345132,OPTIMAL,7,0.1996500396455887
convex_cross,360,Gurobi,73.4847139,0.6912387,1.869115,3.1284871,0.2204567,487.81909000814204,OPTIMAL,0,0.0,60480,51845,0.0460031,484.90590577868096,OPTIMAL,0,0.0
convex_per,4,Gurobi,0.5042634,0.3235311,0.8365225,0.0067,0.0107908,464.08031097262983,OPTIMAL,0,0.0,672,581,0.050501,51854.31128673888,OPTIMAL,360,34.25952122097975
convex_per,8,Gurobi,2.2681587,0.3596766,0.8302752,0.0141964,0.0172665,512.3967959946234,OPTIMAL,0,0.0,1344,1157,0.0475209,1476.1479826008456,OPTIMAL,18,0.6635093542722892
convex_per,12,Gurobi,1.1211114,0.3289815,0.9514151,0.0189225,0.0194662,513.7584964045578,OPTIMAL,0,0.0,2016,1733,0.0391291,486.5852647309369,OPTIMAL,0,0.0
convex_per,16,Gurobi,1.367415,0.3461039,0.8864807,0.0294176,0.0192388,510.0662293492843,OPTIMAL,0,0.0,2688,2309,0.0321318,486.6625159178486,OPTIMAL,0,0.0
convex_per,20,Gurobi,1.7257702,0.3590148,0.9675086,0.0317649,0.022948,507.09342819744967,OPTIMAL,0,0.0,3360,2885,0.030496,486.5496158857498,OPTIMAL,0,0.0
convex_per,30,Gurobi,2.5677236,0.3628451,0.9453151,0.0546412,0.0275505,494.9146024938517,OPTIMAL,0,0.0,5040,4325,0.0330994,487.3199157200447,OPTIMAL,0,0.0
convex_per,60,Gurobi,5.8366945,0.3907624,0.9752292,0.1669546,0.0439117,492.98904065800207,OPTIMAL,0,0.0,10080,8645,0.0319832,486.8353758818736,OPTIMAL,0,0.0
convex_per,90,Gurobi,8.493505,0.4439893,1.1987334,0.3698409,0.0713085,492.0278322580503,OPTIMAL,0,0.0,15120,12965,0.034034,486.2747756138328,OPTIMAL,0,0.0
convex_per,120,Gurobi,12.4604053,0.5170921,1.1318836,0.4640151,0.084304,491.0977325571496,OPTIMAL,0,0.0,20160,17285,0.0386224,486.046303417285,OPTIMAL,0,0.0
convex_per,180,Gurobi,16.3572299,0.5297574,1.3628362,0.9298809,0.1163127,488.5861958950226,OPTIMAL,0,0.0,30240,25925,0.033943,485.6744541114934,OPTIMAL,0,0.0
convex_per,240,Gurobi,23.378521,0.5867421,1.4253566,1.2219731,0.1670558,487.3554468759206,OPTIMAL,0,0.0,40320,34565,0.0323742,485.41804040369016,OPTIMAL,0,0.0
convex_per,360,Gurobi,39.5329037,0.7725447,1.7371064,2.8483732,0.2360444,486.0454770033833,OPTIMAL,0,0.0,60480,51845,0.0332789,484.9413106919068,OPTIMAL,0,0.0
conicalb_cross,4,Gurobi,1.0886873,0.2750321,0.7853654,0.0065652,0.0106023,460.83262966086045,OPTIMAL,0,0.0,672,581,0.0700853,574.3135492265526,OPTIMAL,3,0.05389116866952426
conicalb_cross,8,Gurobi,1.5387541,0.2950696,0.7578069,0.0120311,0.0123195,482.38720295401765,OPTIMAL,0,0.0,1344,1157,0.0314993,799.1223823975447,OPTIMAL,8,0.20467641115073865
conicalb_cross,12,Gurobi,4.1033088,0.3358319,0.7645775,0.0202332,0.0173915,467.358422618623,OPTIMAL,0,0.0,2016,1733,0.0799445,1527.1873768834075,OPTIMAL,18,0.6993827159892168
conicalb_cross,16,Gurobi,2.9324924,0.3273958,0.8435337,0.0276946,0.021761,483.3963472842935,OPTIMAL,0,0.0,2688,2309,0.034458,889.4531692677784,OPTIMAL,9,0.27153975415482146
conicalb_cross,20,Gurobi,3.5321926,0.3448999,0.9110574,0.0398148,0.0220103,475.5834073881241,OPTIMAL,0,0.0,3360,2885,0.0306406,952.6967202985783,OPTIMAL,10,0.3135136337669622
conicalb_cross,30,Gurobi,5.0578551,0.39347,0.9613444,0.0635689,0.0282041,475.6612464514351,OPTIMAL,0,0.0,5040,4325,0.0321503,959.3330110806106,OPTIMAL,10,0.3187853324512431
conicalb_cross,60,Gurobi,9.3182063,0.4063555,1.1532969,0.1770804,0.0505215,475.2195366288944,OPTIMAL,0,0.0,10080,8645,0.0290327,958.7084335117456,OPTIMAL,10,0.31839146523629247
conicalb_cross,90,Gurobi,14.7345475,0.4597683,1.1804117,0.3149669,0.0693511,476.50095633515167,OPTIMAL,0,0.0,15120,12965,0.0311067,896.1660571362199,OPTIMAL,10,0.27601927317821673
conicalb_cross,120,Gurobi,20.7653276,0.4760702,1.0704406,0.4591792,0.084943,477.4937793602657,OPTIMAL,0,0.0,20160,17285,0.0283117,880.677246407278,OPTIMAL,9,0.2657548112091499
conicalb_cross,180,Gurobi,33.402562,0.4904945,1.3410751,0.6537315,0.116288,476.73637784426256,OPTIMAL,0,0.0,30240,25925,0.0311231,870.5648921715745,OPTIMAL,9,0.25982440150731034
conicalb_cross,240,Gurobi,50.9967125,0.6250362,1.5529707,0.83841,0.1570164,475.463031902258,OPTIMAL,0,0.0,40320,34565,0.0301634,799.6942486359444,OPTIMAL,8,0.21227086735262257
conicalb_cross,360,Gurobi,81.7609816,0.7988466,1.8306294,2.2956693,0.2215299,482.8763529810719,OPTIMAL,0,0.0,60480,51845,0.0363678,485.0324060609252,OPTIMAL,0,0.0
