base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand
0_HourlyBenchmark,1,Gurobi,0.0,0.9907643,2.4295595,4.7110325,1.1238337,487.3071400810251,OPTIMAL,122640,105125,0.0,0.0,,0
convex_cross,2,Gurobi,4.0431609,0.3537034,1.0730703,0.0052113,0.0093416,422.3674320731785,OPTIMAL,336,293,0.1421988,92089.64252271662,OPTIMAL,646
convex_cross,4,Gurobi,1.1554762,0.3781046,0.9445698,0.0077944,0.0125017,526.402904783926,OPTIMAL,672,581,0.0714509,492.01167541196025,OPTIMAL,0
convex_cross,8,Gurobi,2.3496802,0.3607385,1.0674481,0.0157214,0.0139689,498.3706965021915,OPTIMAL,1344,1157,0.0516282,491.4097016933236,OPTIMAL,0
convex_cross,12,Gurobi,3.2531526,0.3980783,1.0651514,0.0256724,0.0244622,501.3119540811187,OPTIMAL,2016,1733,0.0374214,490.85330400512595,OPTIMAL,0
convex_cross,16,Gurobi,4.1487361,0.4573358,1.1119818,0.0332016,0.0177379,489.3800251788788,OPTIMAL,2688,2309,0.0433789,489.9305651672022,OPTIMAL,0
convex_cross,20,Gurobi,5.7254658,0.4255154,1.2058044,0.0332469,0.0221672,489.46683539892786,OPTIMAL,3360,2885,0.0410097,489.89796939466396,OPTIMAL,0
convex_cross,30,Gurobi,9.4391009,0.4205527,1.1705513,0.0547814,0.0262599,490.41168958692236,OPTIMAL,5040,4325,0.0378099,489.7608585682313,OPTIMAL,0
convex_cross,60,Gurobi,16.5301838,0.2989543,0.7900787,0.1240165,0.042112,488.15170972861245,OPTIMAL,10080,8645,0.0387586,489.0918910366689,OPTIMAL,0
convex_cross,90,Gurobi,12.5437751,0.3297128,0.8359055,0.3608862,0.0619485,488.434050273902,OPTIMAL,15120,12965,0.0375099,488.63281873179426,OPTIMAL,0
convex_cross,120,Gurobi,17.1194419,0.3832737,0.9603332,0.417068,0.0830147,489.90363306544754,OPTIMAL,20160,17285,0.0373489,488.21610633428594,OPTIMAL,0
convex_cross,180,Gurobi,28.9356581,0.4446891,1.0725666,1.0765147,0.1224656,487.209919170404,OPTIMAL,30240,25925,0.0380339,487.68059450711195,OPTIMAL,0
convex_cross,240,Gurobi,44.0613743,0.4952256,1.2393397,0.9176603,0.170588,487.0787809397809,OPTIMAL,40320,34565,0.0423471,487.47603511424904,OPTIMAL,0
convex_cross,360,Gurobi,88.6219134,0.6448601,1.5000864,1.8170592,0.2284908,487.0315106477115,OPTIMAL,60480,51845,0.0376209,487.36467344229993,OPTIMAL,0
convex_per,2,Gurobi,0.0506088,0.2749674,0.8366487,0.0053493,0.0072639,142.6707068660228,OPTIMAL,336,293,0.4847383,1.3380593695001403e7,OPTIMAL,16861
convex_per,4,Gurobi,0.3029527,0.265818,0.8064712,0.0073476,0.0092371,437.4383412604062,OPTIMAL,672,581,0.4584027,36546.448005085025,OPTIMAL,278
convex_per,8,Gurobi,0.7306259,0.2818229,0.8793089,0.0127838,0.0115315,529.8063042555871,OPTIMAL,1344,1157,0.0526578,491.71184323202255,OPTIMAL,0
convex_per,12,Gurobi,1.3061093,0.4121942,0.9747398,0.017573,0.0158299,521.780967766091,OPTIMAL,2016,1733,0.0379995,491.2605316732282,OPTIMAL,0
convex_per,16,Gurobi,2.9291573,0.2666472,0.7348785,0.027102,0.0171498,507.7088374921767,OPTIMAL,2688,2309,0.0360766,490.687625951359,OPTIMAL,0
convex_per,20,Gurobi,1.8077246,0.2677992,0.7604497,0.0297404,0.0189016,500.2958633824928,OPTIMAL,3360,2885,0.0631454,490.181079100312,OPTIMAL,0
convex_per,30,Gurobi,2.7529388,0.3284065,0.8734794,0.0496197,0.0240085,497.0984966385145,OPTIMAL,5040,4325,0.0321157,490.3751954531328,OPTIMAL,0
convex_per,60,Gurobi,5.7051914,0.3274309,0.9012767,0.1456448,0.0421225,492.22242523035334,OPTIMAL,10080,8645,0.0322091,489.21025631935174,OPTIMAL,0
