base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand
0_HourlyBenchmark,1,Gurobi,0.0,1.9166195,9.3950609,2947.8505898,2.4556153,448.28133724488407,OPTIMAL,297840,210247,0.0,0.0,,0
kmedoids_cross_convex,4,Gurobi,2.8395722,0.4086691,1.0849339,0.0603595,0.0468581,375.71712209365364,OPTIMAL,3534,1793,124.1461675,1.0890120699120895e6,OPTIMAL,4933
kmedoids_cross_convex,4,Gurobi,0.8095962,0.3789057,1.0446043,0.0558402,0.034632,388.35247500607954,OPTIMAL,3534,1793,22.3835682,476628.7146992787,OPTIMAL,2591
kmedoids_cross_convex,4,Gurobi,0.9633871,0.3475477,1.2072877,0.0607905,0.034454,399.255126252181,OPTIMAL,3534,1793,5.3933172,480694.1076136465,OPTIMAL,2732
kmedoids_cross_convex,4,Gurobi,1.2860931,0.5466465,1.4714553,0.0655886,0.0346047,388.49364944915015,OPTIMAL,3534,1793,6.6268737,478160.24913985824,OPTIMAL,2607
kmedoids_cross_convex,4,Gurobi,0.8478873,0.3945278,1.3422897,0.0672446,0.0329524,397.35960634476714,OPTIMAL,3534,1793,2.8025739,483349.26607684576,OPTIMAL,2580
kmedoids_cross_convex,4,Gurobi,0.9543229,0.4524756,1.4784012,0.0610552,0.0405054,414.50903343241754,OPTIMAL,3534,1793,8.7587142,358023.52169318206,OPTIMAL,2129
kmedoids_cross_convex,4,Gurobi,0.9667281,0.4360779,1.4317907,0.0680585,0.0415033,404.1465422230486,OPTIMAL,3534,1793,4.3183793,422529.02250277187,OPTIMAL,2445
kmedoids_cross_convex,4,Gurobi,2.6881821,0.4295234,1.2464978,0.0581396,0.0443408,402.2157989039967,OPTIMAL,3534,1793,3.5969233,424514.21117088676,OPTIMAL,2419
kmedoids_cross_convex,4,Gurobi,0.7606738,0.3841385,1.0917892,0.0573555,0.0394936,386.4168743187165,OPTIMAL,3534,1793,10.7866003,973562.3894282796,OPTIMAL,4459
kmedoids_cross_convex,4,Gurobi,0.9256756,0.3537928,1.1526903,0.0510677,0.0378641,412.50480435698114,OPTIMAL,3534,1793,19.6040446,256636.51606062602,OPTIMAL,1767
kmedoids_cross_convex,8,Gurobi,1.2013958,0.3599857,1.2053617,0.0895447,0.0389338,408.9355840933883,OPTIMAL,4878,2849,7.2980025,371592.3241512633,OPTIMAL,2184
kmedoids_cross_convex,8,Gurobi,1.3077593,0.3696435,1.2159316,0.1022039,0.0358581,394.73833724964186,OPTIMAL,4878,2849,3.9103892,483128.4720659396,OPTIMAL,2721
kmedoids_cross_convex,8,Gurobi,1.3482939,0.4774065,1.9165931,0.0954351,0.0465543,377.24052435189884,OPTIMAL,4878,2849,2.0093479,478455.7599238362,OPTIMAL,2772
kmedoids_cross_convex,8,Gurobi,3.0267304,0.5310262,1.2372588,0.1033032,0.0458393,411.91194705618966,OPTIMAL,4878,2849,3.2374339,424711.26811006205,OPTIMAL,2444
kmedoids_cross_convex,8,Gurobi,1.3291401,0.4352226,1.2041847,0.1344925,0.0560563,386.6482237568554,OPTIMAL,4878,2849,2.0520206,202187.2353134695,OPTIMAL,1391
kmedoids_cross_convex,8,Gurobi,1.3837018,0.4398077,1.416497,0.0978238,0.0561612,397.6282446430658,OPTIMAL,4878,2849,1.0771541,349769.12243236566,OPTIMAL,2287
kmedoids_cross_convex,8,Gurobi,1.3888067,0.4243847,1.5735068,0.0807672,0.0385105,401.46672782595556,OPTIMAL,4878,2849,0.4124843,261611.24130529517,OPTIMAL,1724
kmedoids_cross_convex,8,Gurobi,1.5620618,0.445159,1.4803728,0.0847619,0.0440896,418.08845463984414,OPTIMAL,4878,2849,0.8796949,73319.72649345933,OPTIMAL,532
kmedoids_cross_convex,8,Gurobi,1.476173,0.519604,1.6771535,0.1147238,0.0525608,378.6045768826373,OPTIMAL,4878,2849,2.0284011,484619.11879742716,OPTIMAL,2739
kmedoids_cross_convex,8,Gurobi,3.5167895,0.4488757,1.1591953,0.1068818,0.0463973,406.471405756944,OPTIMAL,4878,2849,1.6521938,418638.3823713707,OPTIMAL,2435
kmedoids_cross_convex,12,Gurobi,1.7434783,0.458274,1.2742671,0.1204082,0.0508842,409.8856641832181,OPTIMAL,6222,3905,0.6549227,304331.40373711876,OPTIMAL,1949
kmedoids_cross_convex,12,Gurobi,1.7508326,0.4087238,1.3735129,0.1087281,0.0522797,383.1024477150344,OPTIMAL,6222,3905,1.3872148,491439.7598098979,OPTIMAL,2761
kmedoids_cross_convex,12,Gurobi,1.6025979,0.6419759,1.4824901,0.1312528,0.0791924,410.6283312670483,OPTIMAL,6222,3905,1.1293247,142724.70676882204,OPTIMAL,1040
kmedoids_cross_convex,12,Gurobi,1.6446876,0.4591477,1.5306002,0.1354948,0.0533582,408.8567556824783,OPTIMAL,6222,3905,0.2975971,125513.83724353526,OPTIMAL,1084
kmedoids_cross_convex,12,Gurobi,1.7000168,0.4576609,1.5430594,0.1404322,0.0474396,415.30241759791164,OPTIMAL,6222,3905,1.9777802,207943.6340767805,OPTIMAL,1437
kmedoids_cross_convex,12,Gurobi,3.3639952,0.407219,1.1172004,0.1475794,0.0397461,429.11489722332124,OPTIMAL,6222,3905,1.9573742,11341.778027382774,OPTIMAL,93
kmedoids_cross_convex,12,Gurobi,1.3830794,0.4164765,1.0693003,0.1329971,0.0424404,406.5495204699122,OPTIMAL,6222,3905,1.0682796,298445.0062572269,OPTIMAL,1972
kmedoids_cross_convex,12,Gurobi,1.4489936,0.3800185,1.1163811,0.1160507,0.0548782,416.1236725560186,OPTIMAL,6222,3905,0.7116612,74672.39328078546,OPTIMAL,571
kmedoids_cross_convex,12,Gurobi,1.4449913,0.4038034,1.5413884,0.1695746,0.0687203,391.25613560970964,OPTIMAL,6222,3905,2.1396879,413590.6552001464,OPTIMAL,2519
