base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand
0_HourlyBenchmark,1,Gurobi,0.0,6.6651731,20.9492277,13.1940415,4.8381172,452.9916024773517,OPTIMAL,297840,210247,0.0,0.0,,0
kmedoids_cross_convex,4,Gurobi,4.2326978,0.7038516,1.9093122,0.0841337,0.302631,363.36204748456794,OPTIMAL,3534,1793,33.0107029,1.3195390388235634e6,OPTIMAL,5990
kmedoids_cross_convex,4,Gurobi,1.2514824,0.353002,1.088223,0.0666925,0.0356651,370.578831900119,OPTIMAL,3534,1793,42.9565519,401579.33521402004,OPTIMAL,2313
kmedoids_cross_convex,4,Gurobi,1.2554246,0.3531879,1.0776216,0.1171001,0.0385718,404.8821145373753,OPTIMAL,3534,1793,6.8115078,310406.76433406555,OPTIMAL,2097
kmedoids_cross_convex,4,Gurobi,2.3429658,0.3602987,1.1302862,0.0692297,0.0416773,386.5457420522982,OPTIMAL,3534,1793,9.1158148,396924.3191665583,OPTIMAL,2293
kmedoids_cross_convex,4,Gurobi,1.4215128,0.3563007,1.179612,0.0635031,0.0254294,390.84944897701104,OPTIMAL,3534,1793,2.7646582,195086.19938650943,OPTIMAL,1231
kmedoids_cross_convex,4,Gurobi,1.3522489,0.3915366,1.1913628,0.07618,0.0276921,405.94396832156934,OPTIMAL,3534,1793,4.0335106,527354.6487120128,OPTIMAL,2668
kmedoids_cross_convex,4,Gurobi,1.2329813,0.4166574,1.2622997,0.0693117,0.0260557,399.76836178119885,OPTIMAL,3534,1793,7.1171847,455552.48399472685,OPTIMAL,2785
kmedoids_cross_convex,4,Gurobi,2.868282,0.4163107,1.4660417,0.0704041,0.0464323,401.95471131287695,OPTIMAL,3534,1793,1.468829,421181.1628565629,OPTIMAL,2452
kmedoids_cross_convex,4,Gurobi,1.3149645,0.4285826,1.4023866,0.0766259,0.0464485,401.95471131287695,OPTIMAL,3534,1793,0.036863,421181.1628565629,OPTIMAL,2452
kmedoids_cross_convex,4,Gurobi,1.3591598,0.333054,1.3988506,0.0614959,0.0825741,405.30533021141235,OPTIMAL,3534,1793,8.7759011,636734.14633755,OPTIMAL,3466
kmedoids_cross_convex,8,Gurobi,1.9939198,0.390129,1.1907973,0.093955,0.0461189,412.5436342325087,OPTIMAL,4878,2849,13.2656518,52594.64140049773,OPTIMAL,409
