id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_consumer
1,e_demand,2030,1,1,1,0.07919166358646662
2,e_demand,2030,1,2,2,0.07919166358646662
3,e_demand,2030,1,3,3,0.07919166358646662
4,e_demand,2030,1,4,4,0.07919166358646662
5,e_demand,2030,1,5,5,0.07919166358646662
6,e_demand,2030,1,6,6,0.07919166358646662
7,e_demand,2030,1,7,7,0.07919166358646662
8,e_demand,2030,1,8,8,0.07919166358646662
9,e_demand,2030,1,9,9,0.07919166358646662
10,e_demand,2030,1,10,10,0.07919166358646662
11,e_demand,2030,1,11,11,0.07919166358646662
12,e_demand,2030,1,12,12,0.07919166358646662
13,e_demand,2030,1,13,13,0.07919166358646662
14,e_demand,2030,1,14,14,0.07919166358646662
15,e_demand,2030,1,15,15,0.07919166358646662
16,e_demand,2030,1,16,16,0.07919166358646662
17,e_demand,2030,1,17,17,0.11086832902105326
18,e_demand,2030,1,18,18,14.167971387553699
19,e_demand,2030,1,19,19,31.676665434586646
20,e_demand,2030,1,20,20,31.676665434586646
21,e_demand,2030,1,21,21,14.450152464108994
22,e_demand,2030,1,22,22,0.11086832902105326
23,e_demand,2030,1,23,23,0.07919166358646662
24,e_demand,2030,1,24,24,0.07919166358646662
25,e_demand,2030,2,1,1,0.1669046458780603
26,e_demand,2030,2,2,2,0.1669046458780603
27,e_demand,2030,2,3,3,0.1669046458780603
28,e_demand,2030,2,4,4,0.1669046458780603
29,e_demand,2030,2,5,5,0.1669046458780603
30,e_demand,2030,2,6,6,0.1669046458780603
31,e_demand,2030,2,7,7,0.1669046458780603
32,e_demand,2030,2,8,8,0.1669046458780603
33,e_demand,2030,2,9,9,0.1669046458780603
34,e_demand,2030,2,10,10,0.1669046458780603
35,e_demand,2030,2,11,11,0.1669046458780603
36,e_demand,2030,2,12,12,0.1669046458780603
37,e_demand,2030,2,13,13,0.1669046458780603
38,e_demand,2030,2,14,14,0.1669046458780603
39,e_demand,2030,2,15,15,0.1669046458780603
40,e_demand,2030,2,16,16,0.1669046458780603
41,e_demand,2030,2,17,17,0.1669046458780603
42,e_demand,2030,2,18,18,0.1669046458780603
43,e_demand,2030,2,19,19,0.1669046458780603
44,e_demand,2030,2,20,20,0.1669046458780603
45,e_demand,2030,2,21,21,0.1669046458780603
46,e_demand,2030,2,22,22,0.1669046458780603
47,e_demand,2030,2,23,23,0.1669046458780603
48,e_demand,2030,2,24,24,0.1669046458780603
49,e_demand,2030,3,1,1,0.19553814109145118
50,e_demand,2030,3,2,2,0.19553814109145118
51,e_demand,2030,3,3,3,0.19553814109145118
52,e_demand,2030,3,4,4,0.19553814109145118
53,e_demand,2030,3,5,5,0.19553814109145118
54,e_demand,2030,3,6,6,0.19553814109145118
55,e_demand,2030,3,7,7,0.19553814109145118
56,e_demand,2030,3,8,8,0.19553814109145118
57,e_demand,2030,3,9,9,0.19553814109145118
58,e_demand,2030,3,10,10,0.19553814109145118
59,e_demand,2030,3,11,11,0.19553814109145118
60,e_demand,2030,3,12,12,0.19553814109145118
61,e_demand,2030,3,13,13,0.19553814109145118
62,e_demand,2030,3,14,14,0.19553814109145118
63,e_demand,2030,3,15,15,0.19553814109145118
64,e_demand,2030,3,16,16,0.19553814109145118
65,e_demand,2030,3,17,17,0.19553814109145118
66,e_demand,2030,3,18,18,0.19553814109145118
67,e_demand,2030,3,19,19,0.19553814109145118
68,e_demand,2030,3,20,20,0.19553814109145118
69,e_demand,2030,3,21,21,0.19553814109145118
70,e_demand,2030,3,22,22,0.19553814109145118
71,e_demand,2030,3,23,23,0.19553814109145118
72,e_demand,2030,3,24,24,0.19553814109145118
73,e_demand,2030,4,1,1,0.348633773545923
74,e_demand,2030,4,2,2,0.348633773545923
75,e_demand,2030,4,3,3,0.348633773545923
76,e_demand,2030,4,4,4,0.348633773545923
77,e_demand,2030,4,5,5,0.348633773545923
78,e_demand,2030,4,6,6,0.348633773545923
79,e_demand,2030,4,7,7,0.348633773545923
80,e_demand,2030,4,8,8,0.348633773545923
81,e_demand,2030,4,9,9,0.348633773545923
82,e_demand,2030,4,10,10,0.348633773545923
83,e_demand,2030,4,11,11,0.348633773545923
84,e_demand,2030,4,12,12,0.348633773545923
85,e_demand,2030,4,13,13,0.348633773545923
86,e_demand,2030,4,14,14,0.348633773545923
87,e_demand,2030,4,15,15,0.348633773545923
88,e_demand,2030,4,16,16,0.348633773545923
89,e_demand,2030,4,17,17,0.348633773545923
90,e_demand,2030,4,18,18,0.348633773545923
91,e_demand,2030,4,19,19,0.348633773545923
92,e_demand,2030,4,20,20,0.348633773545923
93,e_demand,2030,4,21,21,0.348633773545923
94,e_demand,2030,4,22,22,0.348633773545923
95,e_demand,2030,4,23,23,0.348633773545923
96,e_demand,2030,4,24,24,0.348633773545923
97,e_demand,2030,5,1,1,0.5627289224510836
98,e_demand,2030,5,2,2,0.5627289224510836
99,e_demand,2030,5,3,3,0.5627289224510836
100,e_demand,2030,5,4,4,0.5627289224510836
101,e_demand,2030,5,5,5,0.5627289224510836
102,e_demand,2030,5,6,6,0.5627289224510836
103,e_demand,2030,5,7,7,0.5627289224510836
104,e_demand,2030,5,8,8,0.5627289224510836
105,e_demand,2030,5,9,9,0.5627289224510836
106,e_demand,2030,5,10,10,0.5627289224510836
107,e_demand,2030,5,11,11,0.5627289224510836
108,e_demand,2030,5,12,12,0.5627289224510836
109,e_demand,2030,5,13,13,0.5627289224510836
110,e_demand,2030,5,14,14,0.5627289224510836
111,e_demand,2030,5,15,15,0.5627289224510836
112,e_demand,2030,5,16,16,0.5627289224510836
113,e_demand,2030,5,17,17,0.5627289224510836
114,e_demand,2030,5,18,18,0.5627289224510836
115,e_demand,2030,5,19,19,0.5627289224510836
116,e_demand,2030,5,20,20,0.5627289224510836
117,e_demand,2030,5,21,21,0.5627289224510836
118,e_demand,2030,5,22,22,0.5627289224510836
119,e_demand,2030,5,23,23,0.5627289224510836
120,e_demand,2030,5,24,24,0.5627289224510836
121,e_demand,2030,6,1,1,0.22264646954435907
122,e_demand,2030,6,2,2,0.22264646954435907
123,e_demand,2030,6,3,3,0.22264646954435907
124,e_demand,2030,6,4,4,0.22264646954435907
125,e_demand,2030,6,5,5,0.22264646954435907
126,e_demand,2030,6,6,6,0.22264646954435907
127,e_demand,2030,6,7,7,0.22264646954435907
128,e_demand,2030,6,8,8,0.22264646954435907
129,e_demand,2030,6,9,9,0.22264646954435907
