id,from_asset,to_asset,year,rep_period,capacity_coefficient,conversion_coefficient,time_block_start,time_block_end,solution
1,ens,e_demand,2030,1,1.0,1.0,1,1,0.0
2,ens,e_demand,2030,1,1.0,1.0,2,2,0.0
3,ens,e_demand,2030,1,1.0,1.0,3,3,0.0
4,ens,e_demand,2030,1,1.0,1.0,4,4,0.0
5,ens,e_demand,2030,1,1.0,1.0,5,5,0.0
6,ens,e_demand,2030,1,1.0,1.0,6,6,0.0
7,ens,e_demand,2030,1,1.0,1.0,7,7,0.0
8,ens,e_demand,2030,1,1.0,1.0,8,8,0.0
9,ens,e_demand,2030,1,1.0,1.0,9,9,0.0
10,ens,e_demand,2030,1,1.0,1.0,10,10,0.0
11,ens,e_demand,2030,1,1.0,1.0,11,11,0.0
12,ens,e_demand,2030,1,1.0,1.0,12,12,0.0
13,ens,e_demand,2030,1,1.0,1.0,13,13,0.0
14,ens,e_demand,2030,1,1.0,1.0,14,14,0.0
15,ens,e_demand,2030,1,1.0,1.0,15,15,0.0
16,ens,e_demand,2030,1,1.0,1.0,16,16,0.0
17,ens,e_demand,2030,1,1.0,1.0,17,17,0.0
18,ens,e_demand,2030,1,1.0,1.0,18,18,0.0
19,ens,e_demand,2030,1,1.0,1.0,19,19,0.0
20,ens,e_demand,2030,1,1.0,1.0,20,20,0.0
21,ens,e_demand,2030,1,1.0,1.0,21,21,0.0
22,ens,e_demand,2030,1,1.0,1.0,22,22,0.0
23,ens,e_demand,2030,1,1.0,1.0,23,23,0.0
24,ens,e_demand,2030,1,1.0,1.0,24,24,0.0
25,ocgt,e_demand,2030,1,1.0,1.0,1,1,0.0
26,ocgt,e_demand,2030,1,1.0,1.0,2,2,0.0
27,ocgt,e_demand,2030,1,1.0,1.0,3,3,0.0
28,ocgt,e_demand,2030,1,1.0,1.0,4,4,0.0
29,ocgt,e_demand,2030,1,1.0,1.0,5,5,0.0
30,ocgt,e_demand,2030,1,1.0,1.0,6,6,0.0
31,ocgt,e_demand,2030,1,1.0,1.0,7,7,0.009042879612306876
32,ocgt,e_demand,2030,1,1.0,1.0,8,8,0.03330474801815375
33,ocgt,e_demand,2030,1,1.0,1.0,9,9,0.035011530745201025
34,ocgt,e_demand,2030,1,1.0,1.0,10,10,0.047421969334124014
35,ocgt,e_demand,2030,1,1.0,1.0,11,11,0.07261552842730978
36,ocgt,e_demand,2030,1,1.0,1.0,12,12,0.07987177773836929
37,ocgt,e_demand,2030,1,1.0,1.0,13,13,0.054314118626554
38,ocgt,e_demand,2030,1,1.0,1.0,14,14,0.04669393616084461
39,ocgt,e_demand,2030,1,1.0,1.0,15,15,0.023659067699927205
40,ocgt,e_demand,2030,1,1.0,1.0,16,16,0.061878816330636965
41,ocgt,e_demand,2030,1,1.0,1.0,17,17,0.08717470260570204
42,ocgt,e_demand,2030,1,1.0,1.0,18,18,0.14650662901768108
43,ocgt,e_demand,2030,1,1.0,1.0,19,19,0.1516208239960114
44,ocgt,e_demand,2030,1,1.0,1.0,20,20,0.15696357087895996
45,ocgt,e_demand,2030,1,1.0,1.0,21,21,0.1105310059128255
46,ocgt,e_demand,2030,1,1.0,1.0,22,22,0.05284044453155867
47,ocgt,e_demand,2030,1,1.0,1.0,23,23,0.0
48,ocgt,e_demand,2030,1,1.0,1.0,24,24,0.0
49,ccgt,e_demand,2030,1,1.0,1.0,1,1,0.6841047975239192
50,ccgt,e_demand,2030,1,1.0,1.0,2,2,0.6844411151171836
51,ccgt,e_demand,2030,1,1.0,1.0,3,3,0.6625677406077809
52,ccgt,e_demand,2030,1,1.0,1.0,4,4,0.6707954503961525
53,ccgt,e_demand,2030,1,1.0,1.0,5,5,0.7377834970359737
54,ccgt,e_demand,2030,1,1.0,1.0,6,6,0.7903918204159389
55,ccgt,e_demand,2030,1,1.0,1.0,7,7,0.8148678505521474
56,ccgt,e_demand,2030,1,1.0,1.0,8,8,0.8148678505521474
57,ccgt,e_demand,2030,1,1.0,1.0,9,9,0.8148678505521474
58,ccgt,e_demand,2030,1,1.0,1.0,10,10,0.8148678505521474
59,ccgt,e_demand,2030,1,1.0,1.0,11,11,0.8148678505521474
60,ccgt,e_demand,2030,1,1.0,1.0,12,12,0.8148678505521474
61,ccgt,e_demand,2030,1,1.0,1.0,13,13,0.8148678505521474
62,ccgt,e_demand,2030,1,1.0,1.0,14,14,0.8148678505521474
63,ccgt,e_demand,2030,1,1.0,1.0,15,15,0.8148678505521474
64,ccgt,e_demand,2030,1,1.0,1.0,16,16,0.8148678505521474
65,ccgt,e_demand,2030,1,1.0,1.0,17,17,0.8148678505521474
66,ccgt,e_demand,2030,1,1.0,1.0,18,18,0.8148678505521474
67,ccgt,e_demand,2030,1,1.0,1.0,19,19,0.8148678505521474
68,ccgt,e_demand,2030,1,1.0,1.0,20,20,0.8148678505521474
69,ccgt,e_demand,2030,1,1.0,1.0,21,21,0.8148678505521474
70,ccgt,e_demand,2030,1,1.0,1.0,22,22,0.8148678505521474
71,ccgt,e_demand,2030,1,1.0,1.0,23,23,0.8069060755340532
72,ccgt,e_demand,2030,1,1.0,1.0,24,24,0.7636415406679655
73,wind,e_demand,2030,1,1.0,1.0,1,1,0.19805296517662413
74,wind,e_demand,2030,1,1.0,1.0,2,2,0.18629843468733445
75,wind,e_demand,2030,1,1.0,1.0,3,3,0.1725213783929748
76,wind,e_demand,2030,1,1.0,1.0,4,4,0.1560696035686918
77,wind,e_demand,2030,1,1.0,1.0,5,5,0.13241532641190065
78,wind,e_demand,2030,1,1.0,1.0,6,6,0.11933379789672251
79,wind,e_demand,2030,1,1.0,1.0,7,7,0.1058590900976185
80,wind,e_demand,2030,1,1.0,1.0,8,8,0.08258677953238927
81,wind,e_demand,2030,1,1.0,1.0,9,9,0.06840272410218447
82,wind,e_demand,2030,1,1.0,1.0,10,10,0.062366899727320575
83,wind,e_demand,2030,1,1.0,1.0,11,11,0.054912305256844464
84,wind,e_demand,2030,1,1.0,1.0,12,12,0.05691915297060087
85,wind,e_demand,2030,1,1.0,1.0,13,13,0.06622559834146868
86,wind,e_demand,2030,1,1.0,1.0,14,14,0.07725707956897503
87,wind,e_demand,2030,1,1.0,1.0,15,15,0.09123569025256825
88,wind,e_demand,2030,1,1.0,1.0,16,16,0.11288596241166352
89,wind,e_demand,2030,1,1.0,1.0,17,17,0.14158862511111772
90,wind,e_demand,2030,1,1.0,1.0,18,18,0.17032991774822318
91,wind,e_demand,2030,1,1.0,1.0,19,19,0.19702882169204475
92,wind,e_demand,2030,1,1.0,1.0,20,20,0.21677525696274755
93,wind,e_demand,2030,1,1.0,1.0,21,21,0.23480632523814288
94,wind,e_demand,2030,1,1.0,1.0,22,22,0.2361664044149181
95,wind,e_demand,2030,1,1.0,1.0,23,23,0.22299921140741472
96,wind,e_demand,2030,1,1.0,1.0,24,24,0.21822585102575906
97,solar,e_demand,2030,1,1.0,1.0,1,1,0.0
98,solar,e_demand,2030,1,1.0,1.0,2,2,0.0
99,solar,e_demand,2030,1,1.0,1.0,3,3,0.0
100,solar,e_demand,2030,1,1.0,1.0,4,4,0.0
101,solar,e_demand,2030,1,1.0,1.0,5,5,0.0
102,solar,e_demand,2030,1,1.0,1.0,6,6,0.0
103,solar,e_demand,2030,1,1.0,1.0,7,7,0.00824702941005494
104,solar,e_demand,2030,1,1.0,1.0,8,8,0.08326300031647299
105,solar,e_demand,2030,1,1.0,1.0,9,9,0.1834078877747378
106,solar,e_demand,2030,1,1.0,1.0,10,10,0.2739399423950349
107,solar,e_demand,2030,1,1.0,1.0,11,11,0.33861464068701397
108,solar,e_demand,2030,1,1.0,1.0,12,12,0.37828697509854814
109,solar,e_demand,2030,1,1.0,1.0,13,13,0.3878227375493372
110,solar,e_demand,2030,1,1.0,1.0,14,14,0.37856510259459686
111,solar,e_demand,2030,1,1.0,1.0,15,15,0.3475313399340838
112,solar,e_demand,2030,1,1.0,1.0,16,16,0.29499014920992195
113,solar,e_demand,2030,1,1.0,1.0,17,17,0.22566693650198577
114,solar,e_demand,2030,1,1.0,1.0,18,18,0.1395363937732428
115,solar,e_demand,2030,1,1.0,1.0,19,19,0.04948304569137581
116,solar,e_demand,2030,1,1.0,1.0,20,20,0.0008359541212023991
117,solar,e_demand,2030,1,1.0,1.0,21,21,0.0
118,solar,e_demand,2030,1,1.0,1.0,22,22,0.0
119,solar,e_demand,2030,1,1.0,1.0,23,23,0.0
120,solar,e_demand,2030,1,1.0,1.0,24,24,0.0
121,wind_offshore,e_demand,2030,1,1.0,1.0,1,1,0.0
122,wind_offshore,e_demand,2030,1,1.0,1.0,2,2,0.0
123,wind_offshore,e_demand,2030,1,1.0,1.0,3,3,0.0
124,wind_offshore,e_demand,2030,1,1.0,1.0,4,4,0.0
125,wind_offshore,e_demand,2030,1,1.0,1.0,5,5,0.0
126,wind_offshore,e_demand,2030,1,1.0,1.0,6,6,0.0
127,wind_offshore,e_demand,2030,1,1.0,1.0,7,7,0.0
128,wind_offshore,e_demand,2030,1,1.0,1.0,8,8,0.0
129,wind_offshore,e_demand,2030,1,1.0,1.0,9,9,0.0
130,wind_offshore,e_demand,2030,1,1.0,1.0,10,10,0.0
131,wind_offshore,e_demand,2030,1,1.0,1.0,11,11,0.0
132,wind_offshore,e_demand,2030,1,1.0,1.0,12,12,0.0
133,wind_offshore,e_demand,2030,1,1.0,1.0,13,13,0.0
134,wind_offshore,e_demand,2030,1,1.0,1.0,14,14,0.0
135,wind_offshore,e_demand,2030,1,1.0,1.0,15,15,0.0
136,wind_offshore,e_demand,2030,1,1.0,1.0,16,16,0.0
137,wind_offshore,e_demand,2030,1,1.0,1.0,17,17,0.0
138,wind_offshore,e_demand,2030,1,1.0,1.0,18,18,0.0
139,wind_offshore,e_demand,2030,1,1.0,1.0,19,19,0.0
140,wind_offshore,e_demand,2030,1,1.0,1.0,20,20,0.0
141,wind_offshore,e_demand,2030,1,1.0,1.0,21,21,0.0
142,wind_offshore,e_demand,2030,1,1.0,1.0,22,22,0.0
143,wind_offshore,e_demand,2030,1,1.0,1.0,23,23,0.0
144,wind_offshore,e_demand,2030,1,1.0,1.0,24,24,0.0
145,ens,e_demand,2030,2,1.0,1.0,1,1,0.0
146,ens,e_demand,2030,2,1.0,1.0,2,2,0.0
147,ens,e_demand,2030,2,1.0,1.0,3,3,0.0
148,ens,e_demand,2030,2,1.0,1.0,4,4,0.0
