id,from_asset,to_asset,year,rep_period,capacity_coefficient,conversion_coefficient,time_block_start,time_block_end,solution
1,ens,e_demand,2030,1,1.0,1.0,1,1,0.0
2,ens,e_demand,2030,1,1.0,1.0,2,2,0.0
3,ens,e_demand,2030,1,1.0,1.0,3,3,0.0
4,ens,e_demand,2030,1,1.0,1.0,4,4,0.0
5,ens,e_demand,2030,1,1.0,1.0,5,5,0.0
6,ens,e_demand,2030,1,1.0,1.0,6,6,0.0
7,ens,e_demand,2030,1,1.0,1.0,7,7,0.0
8,ens,e_demand,2030,1,1.0,1.0,8,8,0.0
9,ens,e_demand,2030,1,1.0,1.0,9,9,0.0
10,ens,e_demand,2030,1,1.0,1.0,10,10,0.0
11,ens,e_demand,2030,1,1.0,1.0,11,11,0.0
12,ens,e_demand,2030,1,1.0,1.0,12,12,0.0
13,ens,e_demand,2030,1,1.0,1.0,13,13,0.0
14,ens,e_demand,2030,1,1.0,1.0,14,14,0.0
15,ens,e_demand,2030,1,1.0,1.0,15,15,0.0
16,ens,e_demand,2030,1,1.0,1.0,16,16,0.0
17,ens,e_demand,2030,1,1.0,1.0,17,17,0.0
18,ens,e_demand,2030,1,1.0,1.0,18,18,0.0
19,ens,e_demand,2030,1,1.0,1.0,19,19,0.0
20,ens,e_demand,2030,1,1.0,1.0,20,20,0.0
21,ens,e_demand,2030,1,1.0,1.0,21,21,0.0
22,ens,e_demand,2030,1,1.0,1.0,22,22,0.0
23,ens,e_demand,2030,1,1.0,1.0,23,23,0.0
24,ens,e_demand,2030,1,1.0,1.0,24,24,0.0
25,ocgt,e_demand,2030,1,1.0,1.0,1,1,0.0
26,ocgt,e_demand,2030,1,1.0,1.0,2,2,0.0
27,ocgt,e_demand,2030,1,1.0,1.0,3,3,0.0
28,ocgt,e_demand,2030,1,1.0,1.0,4,4,0.0
29,ocgt,e_demand,2030,1,1.0,1.0,5,5,0.0
30,ocgt,e_demand,2030,1,1.0,1.0,6,6,0.0
31,ocgt,e_demand,2030,1,1.0,1.0,7,7,0.0
32,ocgt,e_demand,2030,1,1.0,1.0,8,8,0.0
33,ocgt,e_demand,2030,1,1.0,1.0,9,9,0.0
34,ocgt,e_demand,2030,1,1.0,1.0,10,10,0.0
35,ocgt,e_demand,2030,1,1.0,1.0,11,11,0.0
36,ocgt,e_demand,2030,1,1.0,1.0,12,12,0.0
37,ocgt,e_demand,2030,1,1.0,1.0,13,13,0.0
38,ocgt,e_demand,2030,1,1.0,1.0,14,14,0.0
39,ocgt,e_demand,2030,1,1.0,1.0,15,15,0.0
40,ocgt,e_demand,2030,1,1.0,1.0,16,16,0.0
41,ocgt,e_demand,2030,1,1.0,1.0,17,17,0.0
42,ocgt,e_demand,2030,1,1.0,1.0,18,18,0.0
43,ocgt,e_demand,2030,1,1.0,1.0,19,19,0.0
44,ocgt,e_demand,2030,1,1.0,1.0,20,20,0.0
45,ocgt,e_demand,2030,1,1.0,1.0,21,21,0.0
46,ocgt,e_demand,2030,1,1.0,1.0,22,22,0.0
47,ocgt,e_demand,2030,1,1.0,1.0,23,23,0.0
48,ocgt,e_demand,2030,1,1.0,1.0,24,24,0.0
49,solar,e_demand,2030,1,1.0,1.0,1,1,0.0
50,solar,e_demand,2030,1,1.0,1.0,2,2,0.0
51,solar,e_demand,2030,1,1.0,1.0,3,3,0.0
52,solar,e_demand,2030,1,1.0,1.0,4,4,0.0
53,solar,e_demand,2030,1,1.0,1.0,5,5,0.0
54,solar,e_demand,2030,1,1.0,1.0,6,6,0.0
55,solar,e_demand,2030,1,1.0,1.0,7,7,0.0009869975967374722
56,solar,e_demand,2030,1,1.0,1.0,8,8,0.04895193193052432
57,solar,e_demand,2030,1,1.0,1.0,9,9,0.13198838883614147
58,solar,e_demand,2030,1,1.0,1.0,10,10,0.2329196769212703
59,solar,e_demand,2030,1,1.0,1.0,11,11,0.3266023101191384
60,solar,e_demand,2030,1,1.0,1.0,12,12,0.39421576622772725
61,solar,e_demand,2030,1,1.0,1.0,13,13,0.40577477496909675
62,solar,e_demand,2030,1,1.0,1.0,14,14,0.40773005196142237
63,solar,e_demand,2030,1,1.0,1.0,15,15,0.37891409117173946
64,solar,e_demand,2030,1,1.0,1.0,16,16,0.32283636129824966
65,solar,e_demand,2030,1,1.0,1.0,17,17,0.23819991630913648
66,solar,e_demand,2030,1,1.0,1.0,18,18,0.12255282343005962
67,solar,e_demand,2030,1,1.0,1.0,19,19,0.0158387275229394
68,solar,e_demand,2030,1,1.0,1.0,20,20,0.0
69,solar,e_demand,2030,1,1.0,1.0,21,21,0.0
70,solar,e_demand,2030,1,1.0,1.0,22,22,0.0
71,solar,e_demand,2030,1,1.0,1.0,23,23,0.0
72,solar,e_demand,2030,1,1.0,1.0,24,24,0.0
73,ccgt,e_demand,2030,1,1.0,1.0,1,1,0.0
74,ccgt,e_demand,2030,1,1.0,1.0,2,2,0.0
75,ccgt,e_demand,2030,1,1.0,1.0,3,3,0.0
76,ccgt,e_demand,2030,1,1.0,1.0,4,4,0.0
77,ccgt,e_demand,2030,1,1.0,1.0,5,5,0.0
78,ccgt,e_demand,2030,1,1.0,1.0,6,6,0.0
79,ccgt,e_demand,2030,1,1.0,1.0,7,7,0.0
80,ccgt,e_demand,2030,1,1.0,1.0,8,8,0.0
81,ccgt,e_demand,2030,1,1.0,1.0,9,9,0.0
82,ccgt,e_demand,2030,1,1.0,1.0,10,10,0.0
83,ccgt,e_demand,2030,1,1.0,1.0,11,11,0.0
84,ccgt,e_demand,2030,1,1.0,1.0,12,12,0.0
85,ccgt,e_demand,2030,1,1.0,1.0,13,13,0.0
86,ccgt,e_demand,2030,1,1.0,1.0,14,14,0.0
87,ccgt,e_demand,2030,1,1.0,1.0,15,15,0.0
88,ccgt,e_demand,2030,1,1.0,1.0,16,16,0.0
89,ccgt,e_demand,2030,1,1.0,1.0,17,17,0.0
90,ccgt,e_demand,2030,1,1.0,1.0,18,18,0.0
91,ccgt,e_demand,2030,1,1.0,1.0,19,19,0.0
92,ccgt,e_demand,2030,1,1.0,1.0,20,20,0.0
93,ccgt,e_demand,2030,1,1.0,1.0,21,21,0.0
94,ccgt,e_demand,2030,1,1.0,1.0,22,22,0.0
95,ccgt,e_demand,2030,1,1.0,1.0,23,23,0.0
96,ccgt,e_demand,2030,1,1.0,1.0,24,24,0.0
97,wind,e_demand,2030,1,1.0,1.0,1,1,0.7504895285869843
98,wind,e_demand,2030,1,1.0,1.0,2,2,0.7294647941479456
99,wind,e_demand,2030,1,1.0,1.0,3,3,0.7234403671224884
100,wind,e_demand,2030,1,1.0,1.0,4,4,0.7117559709096716
101,wind,e_demand,2030,1,1.0,1.0,5,5,0.7155757513666601
102,wind,e_demand,2030,1,1.0,1.0,6,6,0.7493878510846832
103,wind,e_demand,2030,1,1.0,1.0,7,7,0.8038481265398726
104,wind,e_demand,2030,1,1.0,1.0,8,8,0.8071415856676056
105,wind,e_demand,2030,1,1.0,1.0,9,9,0.7825316250303381
106,wind,e_demand,2030,1,1.0,1.0,10,10,0.7115294137070511
107,wind,e_demand,2030,1,1.0,1.0,11,11,0.6497466378627696
108,wind,e_demand,2030,1,1.0,1.0,12,12,0.5946916049882636
109,wind,e_demand,2030,1,1.0,1.0,13,13,0.5937054780271354
110,wind,e_demand,2030,1,1.0,1.0,14,14,0.575006460618402
111,wind,e_demand,2030,1,1.0,1.0,15,15,0.6023207165873017
112,wind,e_demand,2030,1,1.0,1.0,16,16,0.6537091619875188
113,wind,e_demand,2030,1,1.0,1.0,17,17,0.7366051598765505
114,wind,e_demand,2030,1,1.0,1.0,18,18,0.8430496482357457
115,wind,e_demand,2030,1,1.0,1.0,19,19,0.9415784466857239
116,wind,e_demand,2030,1,1.0,1.0,20,20,0.9759164780031584
117,wind,e_demand,2030,1,1.0,1.0,21,21,0.9366440011096623
118,wind,e_demand,2030,1,1.0,1.0,22,22,0.8662145118941472
119,wind,e_demand,2030,1,1.0,1.0,23,23,0.8076178482296423
120,wind,e_demand,2030,1,1.0,1.0,24,24,0.7878874095452874
121,wind_offshore,e_demand,2030,1,1.0,1.0,1,1,0.0
122,wind_offshore,e_demand,2030,1,1.0,1.0,2,2,0.0
123,wind_offshore,e_demand,2030,1,1.0,1.0,3,3,0.0
124,wind_offshore,e_demand,2030,1,1.0,1.0,4,4,0.0
125,wind_offshore,e_demand,2030,1,1.0,1.0,5,5,0.0
126,wind_offshore,e_demand,2030,1,1.0,1.0,6,6,0.0
127,wind_offshore,e_demand,2030,1,1.0,1.0,7,7,0.0
128,wind_offshore,e_demand,2030,1,1.0,1.0,8,8,0.0
129,wind_offshore,e_demand,2030,1,1.0,1.0,9,9,0.0
130,wind_offshore,e_demand,2030,1,1.0,1.0,10,10,0.0
131,wind_offshore,e_demand,2030,1,1.0,1.0,11,11,0.0
132,wind_offshore,e_demand,2030,1,1.0,1.0,12,12,0.0
133,wind_offshore,e_demand,2030,1,1.0,1.0,13,13,0.0
134,wind_offshore,e_demand,2030,1,1.0,1.0,14,14,0.0
135,wind_offshore,e_demand,2030,1,1.0,1.0,15,15,0.0
136,wind_offshore,e_demand,2030,1,1.0,1.0,16,16,0.0
137,wind_offshore,e_demand,2030,1,1.0,1.0,17,17,0.0
138,wind_offshore,e_demand,2030,1,1.0,1.0,18,18,0.0
139,wind_offshore,e_demand,2030,1,1.0,1.0,19,19,0.0
140,wind_offshore,e_demand,2030,1,1.0,1.0,20,20,0.0
141,wind_offshore,e_demand,2030,1,1.0,1.0,21,21,0.017939802923007453
142,wind_offshore,e_demand,2030,1,1.0,1.0,22,22,0.0
143,wind_offshore,e_demand,2030,1,1.0,1.0,23,23,0.0
144,wind_offshore,e_demand,2030,1,1.0,1.0,24,24,0.0
145,ens,e_demand,2030,2,1.0,1.0,1,1,0.0
146,ens,e_demand,2030,2,1.0,1.0,2,2,0.0
147,ens,e_demand,2030,2,1.0,1.0,3,3,0.0
148,ens,e_demand,2030,2,1.0,1.0,4,4,0.0
149,ens,e_demand,2030,2,1.0,1.0,5,5,0.0
150,ens,e_demand,2030,2,1.0,1.0,6,6,0.0
151,ens,e_demand,2030,2,1.0,1.0,7,7,0.0
152,ens,e_demand,2030,2,1.0,1.0,8,8,0.0
153,ens,e_demand,2030,2,1.0,1.0,9,9,0.0
154,ens,e_demand,2030,2,1.0,1.0,10,10,0.0
