id,asset,year,scenario,period_block_start,period_block_end,solution
1,hydro_reservoir,2030,0,1,1,201.6756956646995
2,hydro_reservoir,2030,0,2,2,202.4037599717068
3,hydro_reservoir,2030,0,3,3,202.11351060595462
4,hydro_reservoir,2030,0,4,4,202.14686797193093
5,hydro_reservoir,2030,0,5,5,202.40822558951615
6,hydro_reservoir,2030,0,6,6,202.757888591641
7,hydro_reservoir,2030,0,7,7,202.8849937776184
8,hydro_reservoir,2030,0,8,8,203.8664766365015
9,hydro_reservoir,2030,0,9,9,204.05164532836508
10,hydro_reservoir,2030,0,10,10,205.01972864349042
11,hydro_reservoir,2030,0,11,11,205.3218240284565
12,hydro_reservoir,2030,0,12,12,206.55419287620447
13,hydro_reservoir,2030,0,13,13,206.90738598908243
14,hydro_reservoir,2030,0,14,14,207.33826116759678
15,hydro_reservoir,2030,0,15,15,207.12609002608582
16,hydro_reservoir,2030,0,16,16,207.67232785051272
17,hydro_reservoir,2030,0,17,17,207.98995094878507
18,hydro_reservoir,2030,0,18,18,209.33309503436635
19,hydro_reservoir,2030,0,19,19,210.4253402609117
20,hydro_reservoir,2030,0,20,20,211.59984325822757
21,hydro_reservoir,2030,0,21,21,212.55686947283584
22,hydro_reservoir,2030,0,22,22,213.7725449121717
23,hydro_reservoir,2030,0,23,23,214.20553018688562
24,hydro_reservoir,2030,0,24,24,214.9183942316907
25,hydro_reservoir,2030,0,25,25,216.0420094482262
26,hydro_reservoir,2030,0,26,26,216.14179923540001
27,hydro_reservoir,2030,0,27,27,216.81640425522238
28,hydro_reservoir,2030,0,28,28,217.63865439491948
29,hydro_reservoir,2030,0,29,29,218.98179848050077
30,hydro_reservoir,2030,0,30,30,218.64909768449925
31,hydro_reservoir,2030,0,31,31,218.72469468542528
32,hydro_reservoir,2030,0,32,32,219.04352209492782
33,hydro_reservoir,2030,0,33,33,219.25132511284144
34,hydro_reservoir,2030,0,34,34,219.79946725470023
35,hydro_reservoir,2030,0,35,35,220.22099058708866
36,hydro_reservoir,2030,0,36,36,220.40491524461697
37,hydro_reservoir,2030,0,37,37,220.2884507917308
