id,from_asset,to_asset,year,rep_period,capacity_coefficient,conversion_coefficient,time_block_start,time_block_end,solution
1,ens,e_demand,2030,1,1.0,1.0,1,1,0.0
2,ens,e_demand,2030,1,1.0,1.0,2,2,0.0
3,ens,e_demand,2030,1,1.0,1.0,3,3,0.0
4,ens,e_demand,2030,1,1.0,1.0,4,4,0.0
5,ens,e_demand,2030,1,1.0,1.0,5,5,0.0
6,ens,e_demand,2030,1,1.0,1.0,6,6,0.0
7,ens,e_demand,2030,1,1.0,1.0,7,7,0.0
8,ens,e_demand,2030,1,1.0,1.0,8,8,0.0
9,ens,e_demand,2030,1,1.0,1.0,9,9,0.0
10,ens,e_demand,2030,1,1.0,1.0,10,10,0.0
11,ens,e_demand,2030,1,1.0,1.0,11,11,0.0
12,ens,e_demand,2030,1,1.0,1.0,12,12,0.0
13,ens,e_demand,2030,1,1.0,1.0,13,13,0.0
14,ens,e_demand,2030,1,1.0,1.0,14,14,0.0
15,ens,e_demand,2030,1,1.0,1.0,15,15,0.0
16,ens,e_demand,2030,1,1.0,1.0,16,16,0.0
17,ens,e_demand,2030,1,1.0,1.0,17,17,0.0
18,ens,e_demand,2030,1,1.0,1.0,18,18,0.0
19,ens,e_demand,2030,1,1.0,1.0,19,19,0.0
20,ens,e_demand,2030,1,1.0,1.0,20,20,0.0
21,ens,e_demand,2030,1,1.0,1.0,21,21,0.0
22,ens,e_demand,2030,1,1.0,1.0,22,22,0.0
23,ens,e_demand,2030,1,1.0,1.0,23,23,0.0
24,ens,e_demand,2030,1,1.0,1.0,24,24,0.0
25,ocgt,e_demand,2030,1,1.0,1.0,1,1,0.0
26,ocgt,e_demand,2030,1,1.0,1.0,2,2,0.0
27,ocgt,e_demand,2030,1,1.0,1.0,3,3,0.0
28,ocgt,e_demand,2030,1,1.0,1.0,4,4,0.0
29,ocgt,e_demand,2030,1,1.0,1.0,5,5,0.0
30,ocgt,e_demand,2030,1,1.0,1.0,6,6,0.0
31,ocgt,e_demand,2030,1,1.0,1.0,7,7,0.0
32,ocgt,e_demand,2030,1,1.0,1.0,8,8,0.0
33,ocgt,e_demand,2030,1,1.0,1.0,9,9,0.0
34,ocgt,e_demand,2030,1,1.0,1.0,10,10,0.0
35,ocgt,e_demand,2030,1,1.0,1.0,11,11,0.0
36,ocgt,e_demand,2030,1,1.0,1.0,12,12,0.0
37,ocgt,e_demand,2030,1,1.0,1.0,13,13,0.0
38,ocgt,e_demand,2030,1,1.0,1.0,14,14,0.0
39,ocgt,e_demand,2030,1,1.0,1.0,15,15,0.0
40,ocgt,e_demand,2030,1,1.0,1.0,16,16,0.0
41,ocgt,e_demand,2030,1,1.0,1.0,17,17,0.0
42,ocgt,e_demand,2030,1,1.0,1.0,18,18,0.0
43,ocgt,e_demand,2030,1,1.0,1.0,19,19,0.0
44,ocgt,e_demand,2030,1,1.0,1.0,20,20,0.0
45,ocgt,e_demand,2030,1,1.0,1.0,21,21,0.0
46,ocgt,e_demand,2030,1,1.0,1.0,22,22,0.0
47,ocgt,e_demand,2030,1,1.0,1.0,23,23,0.0
48,ocgt,e_demand,2030,1,1.0,1.0,24,24,0.0
49,ccgt,e_demand,2030,1,1.0,1.0,1,1,0.0
50,ccgt,e_demand,2030,1,1.0,1.0,2,2,0.0
51,ccgt,e_demand,2030,1,1.0,1.0,3,3,0.0
52,ccgt,e_demand,2030,1,1.0,1.0,4,4,0.0
53,ccgt,e_demand,2030,1,1.0,1.0,5,5,0.0
54,ccgt,e_demand,2030,1,1.0,1.0,6,6,0.0
55,ccgt,e_demand,2030,1,1.0,1.0,7,7,0.0
56,ccgt,e_demand,2030,1,1.0,1.0,8,8,0.0
57,ccgt,e_demand,2030,1,1.0,1.0,9,9,0.0
58,ccgt,e_demand,2030,1,1.0,1.0,10,10,0.0
59,ccgt,e_demand,2030,1,1.0,1.0,11,11,0.0
60,ccgt,e_demand,2030,1,1.0,1.0,12,12,0.0
61,ccgt,e_demand,2030,1,1.0,1.0,13,13,0.0
62,ccgt,e_demand,2030,1,1.0,1.0,14,14,0.0
63,ccgt,e_demand,2030,1,1.0,1.0,15,15,0.0
64,ccgt,e_demand,2030,1,1.0,1.0,16,16,0.0
65,ccgt,e_demand,2030,1,1.0,1.0,17,17,0.0
66,ccgt,e_demand,2030,1,1.0,1.0,18,18,0.13672641245461248
67,ccgt,e_demand,2030,1,1.0,1.0,19,19,0.1933738108803622
68,ccgt,e_demand,2030,1,1.0,1.0,20,20,0.1399456282264233
69,ccgt,e_demand,2030,1,1.0,1.0,21,21,0.13864185807769575
70,ccgt,e_demand,2030,1,1.0,1.0,22,22,0.1831371135947738
71,ccgt,e_demand,2030,1,1.0,1.0,23,23,0.0892739445278048
72,ccgt,e_demand,2030,1,1.0,1.0,24,24,0.03979720419309363
73,wind,e_demand,2030,1,1.0,1.0,1,1,0.705047759101605
74,wind,e_demand,2030,1,1.0,1.0,2,2,0.6984568424653224
75,wind,e_demand,2030,1,1.0,1.0,3,3,0.6893279312877215
76,wind,e_demand,2030,1,1.0,1.0,4,4,0.6690046303148325
77,wind,e_demand,2030,1,1.0,1.0,5,5,0.6596930496310394
78,wind,e_demand,2030,1,1.0,1.0,6,6,0.667845122403931
79,wind,e_demand,2030,1,1.0,1.0,7,7,0.7737487872105404
80,wind,e_demand,2030,1,1.0,1.0,8,8,0.7304478277648552
81,wind,e_demand,2030,1,1.0,1.0,9,9,0.766197177109077
82,wind,e_demand,2030,1,1.0,1.0,10,10,0.6833493293424283
83,wind,e_demand,2030,1,1.0,1.0,11,11,0.6025835721348658
84,wind,e_demand,2030,1,1.0,1.0,12,12,0.5373008602969237
85,wind,e_demand,2030,1,1.0,1.0,13,13,0.57005187762778
86,wind,e_demand,2030,1,1.0,1.0,14,14,0.4232540439898003
87,wind,e_demand,2030,1,1.0,1.0,15,15,0.4707984091738546
88,wind,e_demand,2030,1,1.0,1.0,16,16,0.5793368194370194
89,wind,e_demand,2030,1,1.0,1.0,17,17,0.7092866526687972
90,wind,e_demand,2030,1,1.0,1.0,18,18,0.6764808727716978
91,wind,e_demand,2030,1,1.0,1.0,19,19,0.6393467419917491
92,wind,e_demand,2030,1,1.0,1.0,20,20,0.6214597462880895
93,wind,e_demand,2030,1,1.0,1.0,21,21,0.6377747492445408
94,wind,e_demand,2030,1,1.0,1.0,22,22,0.6636226722537734
95,wind,e_demand,2030,1,1.0,1.0,23,23,0.6917799899695325
96,wind,e_demand,2030,1,1.0,1.0,24,24,0.7295332786993269
97,solar,e_demand,2030,1,1.0,1.0,1,1,0.0
98,solar,e_demand,2030,1,1.0,1.0,2,2,0.0
99,solar,e_demand,2030,1,1.0,1.0,3,3,0.0
100,solar,e_demand,2030,1,1.0,1.0,4,4,0.0
101,solar,e_demand,2030,1,1.0,1.0,5,5,0.0
102,solar,e_demand,2030,1,1.0,1.0,6,6,0.0
103,solar,e_demand,2030,1,1.0,1.0,7,7,0.0
104,solar,e_demand,2030,1,1.0,1.0,8,8,0.0
105,solar,e_demand,2030,1,1.0,1.0,9,9,0.027294009096574895
106,solar,e_demand,2030,1,1.0,1.0,10,10,0.13930165568623443
107,solar,e_demand,2030,1,1.0,1.0,11,11,0.2417036667625741
108,solar,e_demand,2030,1,1.0,1.0,12,12,0.3072156979164672
109,solar,e_demand,2030,1,1.0,1.0,13,13,0.36634953880142473
110,solar,e_demand,2030,1,1.0,1.0,14,14,0.3937043943599234
111,solar,e_demand,2030,1,1.0,1.0,15,15,0.3414970184874305
112,solar,e_demand,2030,1,1.0,1.0,16,16,0.2200503642823704
113,solar,e_demand,2030,1,1.0,1.0,17,17,0.08041252350994185
114,solar,e_demand,2030,1,1.0,1.0,18,18,0.0
115,solar,e_demand,2030,1,1.0,1.0,19,19,0.0
116,solar,e_demand,2030,1,1.0,1.0,20,20,0.0
117,solar,e_demand,2030,1,1.0,1.0,21,21,0.0
118,solar,e_demand,2030,1,1.0,1.0,22,22,0.0
119,solar,e_demand,2030,1,1.0,1.0,23,23,0.0
120,solar,e_demand,2030,1,1.0,1.0,24,24,0.0
121,wind_offshore,e_demand,2030,1,1.0,1.0,1,1,0.0
122,wind_offshore,e_demand,2030,1,1.0,1.0,2,2,0.0
123,wind_offshore,e_demand,2030,1,1.0,1.0,3,3,0.0
124,wind_offshore,e_demand,2030,1,1.0,1.0,4,4,0.0
125,wind_offshore,e_demand,2030,1,1.0,1.0,5,5,0.0
126,wind_offshore,e_demand,2030,1,1.0,1.0,6,6,0.0
127,wind_offshore,e_demand,2030,1,1.0,1.0,7,7,0.0
128,wind_offshore,e_demand,2030,1,1.0,1.0,8,8,0.0
129,wind_offshore,e_demand,2030,1,1.0,1.0,9,9,0.0
130,wind_offshore,e_demand,2030,1,1.0,1.0,10,10,0.0
131,wind_offshore,e_demand,2030,1,1.0,1.0,11,11,0.0
132,wind_offshore,e_demand,2030,1,1.0,1.0,12,12,0.0
133,wind_offshore,e_demand,2030,1,1.0,1.0,13,13,0.0
134,wind_offshore,e_demand,2030,1,1.0,1.0,14,14,0.0
135,wind_offshore,e_demand,2030,1,1.0,1.0,15,15,0.0
136,wind_offshore,e_demand,2030,1,1.0,1.0,16,16,0.0
137,wind_offshore,e_demand,2030,1,1.0,1.0,17,17,0.0
138,wind_offshore,e_demand,2030,1,1.0,1.0,18,18,0.0
139,wind_offshore,e_demand,2030,1,1.0,1.0,19,19,0.0
140,wind_offshore,e_demand,2030,1,1.0,1.0,20,20,0.0
141,wind_offshore,e_demand,2030,1,1.0,1.0,21,21,0.0
142,wind_offshore,e_demand,2030,1,1.0,1.0,22,22,0.0
143,wind_offshore,e_demand,2030,1,1.0,1.0,23,23,0.0
144,wind_offshore,e_demand,2030,1,1.0,1.0,24,24,0.0
145,battery,e_demand,2030,1,1.0,1.0,1,1,0.0
146,battery,e_demand,2030,1,1.0,1.0,2,2,0.0
147,battery,e_demand,2030,1,1.0,1.0,3,3,0.0
148,battery,e_demand,2030,1,1.0,1.0,4,4,0.0
149,battery,e_demand,2030,1,1.0,1.0,5,5,0.0
150,battery,e_demand,2030,1,1.0,1.0,6,6,0.0
151,battery,e_demand,2030,1,1.0,1.0,7,7,0.0
152,battery,e_demand,2030,1,1.0,1.0,8,8,0.0
153,battery,e_demand,2030,1,1.0,1.0,9,9,0.0
154,battery,e_demand,2030,1,1.0,1.0,10,10,0.0
