id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_consumer
1,e_demand,2030,1,1,1,0.03895645557339808
2,e_demand,2030,1,2,2,0.03895645557339808
3,e_demand,2030,1,3,3,0.03895645557339808
4,e_demand,2030,1,4,4,0.03895645557339808
5,e_demand,2030,1,5,5,0.03895645557339808
6,e_demand,2030,1,6,6,0.03895645557339808
7,e_demand,2030,1,7,7,0.03895645557339808
8,e_demand,2030,1,8,8,0.03895645557339808
9,e_demand,2030,1,9,9,0.03895645557339808
10,e_demand,2030,1,10,10,0.03895645557339808
11,e_demand,2030,1,11,11,0.07791291114679616
12,e_demand,2030,1,12,12,0.03895645557339808
13,e_demand,2030,1,13,13,0.03895645557339808
14,e_demand,2030,1,14,14,0.03895645557339808
15,e_demand,2030,1,15,15,0.03895645557339808
16,e_demand,2030,1,16,16,0.03895645557339808
17,e_demand,2030,1,17,17,0.03895645557339808
18,e_demand,2030,1,18,18,0.6413018316227533
19,e_demand,2030,1,19,19,0.973911389334952
20,e_demand,2030,1,20,20,0.973911389334952
21,e_demand,2030,1,21,21,0.973911389334952
22,e_demand,2030,1,22,22,0.973911389334952
23,e_demand,2030,1,23,23,0.03895645557339808
24,e_demand,2030,1,24,24,0.03895645557339808
25,e_demand,2030,2,1,1,2.650321875000099
26,e_demand,2030,2,2,2,2.650321875000099
27,e_demand,2030,2,3,3,2.650321875000099
28,e_demand,2030,2,4,4,2.650321875000099
29,e_demand,2030,2,5,5,2.650321875000099
30,e_demand,2030,2,6,6,2.650321875000099
31,e_demand,2030,2,7,7,2.650321875000099
32,e_demand,2030,2,8,8,2.650321875000099
33,e_demand,2030,2,9,9,2.650321875000099
34,e_demand,2030,2,10,10,2.650321875000099
35,e_demand,2030,2,11,11,2.650321875000099
36,e_demand,2030,2,12,12,2.650321875000099
37,e_demand,2030,2,13,13,2.650321875000099
38,e_demand,2030,2,14,14,2.650321875000099
39,e_demand,2030,2,15,15,2.650321875000099
40,e_demand,2030,2,16,16,2.650321875000099
41,e_demand,2030,2,17,17,2.650321875000099
42,e_demand,2030,2,18,18,2.650321875000099
43,e_demand,2030,2,19,19,2.650321875000099
44,e_demand,2030,2,20,20,2.650321875000099
45,e_demand,2030,2,21,21,2.650321875000099
46,e_demand,2030,2,22,22,2.650321875000099
47,e_demand,2030,2,23,23,2.650321875000099
48,e_demand,2030,2,24,24,2.650321875000099
49,e_demand,2030,3,1,1,0.6972351808819799
50,e_demand,2030,3,2,2,0.6972351808819799
51,e_demand,2030,3,3,3,0.6972351808819799
52,e_demand,2030,3,4,4,0.6972351808819799
53,e_demand,2030,3,5,5,0.6972351808819799
54,e_demand,2030,3,6,6,0.6972351808819799
55,e_demand,2030,3,7,7,0.6972351808819799
56,e_demand,2030,3,8,8,0.6972351808819799
57,e_demand,2030,3,9,9,0.9761292532347718
58,e_demand,2030,3,10,10,0.9761292532347718
59,e_demand,2030,3,11,11,0.9761292532347718
60,e_demand,2030,3,12,12,0.9761292532347718
61,e_demand,2030,3,13,13,0.9761292532347718
62,e_demand,2030,3,14,14,0.9761292532347718
63,e_demand,2030,3,15,15,0.9761292532347718
64,e_demand,2030,3,16,16,0.9761292532347718
65,e_demand,2030,3,17,17,0.9761292532347718
66,e_demand,2030,3,18,18,0.9761292532347718
67,e_demand,2030,3,19,19,0.9761292532347718
68,e_demand,2030,3,20,20,0.9761292532347718
69,e_demand,2030,3,21,21,104.181943185453
70,e_demand,2030,3,22,22,0.9761292532347718
71,e_demand,2030,3,23,23,0.9761292532347718
72,e_demand,2030,3,24,24,0.9761292532347718
73,e_demand,2030,4,1,1,0.24136042258759494
74,e_demand,2030,4,2,2,0.24136042258759494
75,e_demand,2030,4,3,3,0.24136042258759494
76,e_demand,2030,4,4,4,0.24136042258759494
77,e_demand,2030,4,5,5,0.019308833807007594
78,e_demand,2030,4,6,6,0.24136042258759494
79,e_demand,2030,4,7,7,0.24136042258759494
80,e_demand,2030,4,8,8,0.24136042258759494
81,e_demand,2030,4,9,9,0.24136042258759494
82,e_demand,2030,4,10,10,0.24136042258759494
83,e_demand,2030,4,11,11,0.24136042258759494
84,e_demand,2030,4,12,12,0.24136042258759494
85,e_demand,2030,4,13,13,0.24136042258759494
86,e_demand,2030,4,14,14,0.24136042258759494
87,e_demand,2030,4,15,15,0.24136042258759494
88,e_demand,2030,4,16,16,0.24136042258759494
89,e_demand,2030,4,17,17,0.24136042258759494
90,e_demand,2030,4,18,18,0.24136042258759494
91,e_demand,2030,4,19,19,0.24136042258759494
92,e_demand,2030,4,20,20,0.24136042258759494
93,e_demand,2030,4,21,21,0.24136042258759494
94,e_demand,2030,4,22,22,0.24136042258759494
95,e_demand,2030,4,23,23,0.24136042258759494
96,e_demand,2030,4,24,24,0.24136042258759494
97,e_demand,2030,5,1,1,0.7553117576581423
98,e_demand,2030,5,2,2,0.7553117576581423
99,e_demand,2030,5,3,3,0.7553117576581423
100,e_demand,2030,5,4,4,0.7553117576581423
101,e_demand,2030,5,5,5,0.7553117576581423
102,e_demand,2030,5,6,6,0.7553117576581423
103,e_demand,2030,5,7,7,0.7553117576581423
104,e_demand,2030,5,8,8,0.7553117576581423
105,e_demand,2030,5,9,9,0.7553117576581423
106,e_demand,2030,5,10,10,0.7553117576581423
107,e_demand,2030,5,11,11,0.7553117576581423
108,e_demand,2030,5,12,12,0.7553117576581423
109,e_demand,2030,5,13,13,0.7553117576581423
110,e_demand,2030,5,14,14,0.7553117576581423
111,e_demand,2030,5,15,15,0.7553117576581423
112,e_demand,2030,5,16,16,0.7553117576581423
113,e_demand,2030,5,17,17,0.7553117576581423
114,e_demand,2030,5,18,18,0.7553117576581423
115,e_demand,2030,5,19,19,0.7553117576581423
116,e_demand,2030,5,20,20,0.7553117576581423
117,e_demand,2030,5,21,21,0.7553117576581423
118,e_demand,2030,5,22,22,0.7553117576581423
119,e_demand,2030,5,23,23,0.7553117576581423
120,e_demand,2030,5,24,24,0.7553117576581423
121,e_demand,2030,6,1,1,0.16056607150515184
122,e_demand,2030,6,2,2,0.16056607150515184
123,e_demand,2030,6,3,3,0.16056607150515184
124,e_demand,2030,6,4,4,0.16056607150515184
125,e_demand,2030,6,5,5,0.16056607150515184
126,e_demand,2030,6,6,6,0.16056607150515184
127,e_demand,2030,6,7,7,0.16056607150515184
128,e_demand,2030,6,8,8,0.16056607150515184
129,e_demand,2030,6,9,9,0.16056607150515184
130,e_demand,2030,6,10,10,0.16056607150515184
131,e_demand,2030,6,11,11,0.16056607150515184
132,e_demand,2030,6,12,12,0.16056607150515184
133,e_demand,2030,6,13,13,0.006422642860206073
134,e_demand,2030,6,14,14,0.006422642860206073
135,e_demand,2030,6,15,15,0.006422642860206073
136,e_demand,2030,6,16,16,0.012845285720412146
137,e_demand,2030,6,17,17,0.16056607150515184
138,e_demand,2030,6,18,18,0.16056607150515184
139,e_demand,2030,6,19,19,0.16056607150515184
140,e_demand,2030,6,20,20,0.16056607150515184
141,e_demand,2030,6,21,21,0.16056607150515184
142,e_demand,2030,6,22,22,0.16056607150515184
143,e_demand,2030,6,23,23,0.16056607150515184
144,e_demand,2030,6,24,24,0.16056607150515184
145,e_demand,2030,7,1,1,0.944919865796213
146,e_demand,2030,7,2,2,0.944919865796213
147,e_demand,2030,7,3,3,0.944919865796213
148,e_demand,2030,7,4,4,0.944919865796213
149,e_demand,2030,7,5,5,0.944919865796213
150,e_demand,2030,7,6,6,0.944919865796213
151,e_demand,2030,7,7,7,0.944919865796213
152,e_demand,2030,7,8,8,0.944919865796213
153,e_demand,2030,7,9,9,0.944919865796213
154,e_demand,2030,7,10,10,0.944919865796213
155,e_demand,2030,7,11,11,0.944919865796213
156,e_demand,2030,7,12,12,0.944919865796213
157,e_demand,2030,7,13,13,0.944919865796213
158,e_demand,2030,7,14,14,0.944919865796213
159,e_demand,2030,7,15,15,0.944919865796213
160,e_demand,2030,7,16,16,0.944919865796213
161,e_demand,2030,7,17,17,0.944919865796213
162,e_demand,2030,7,18,18,0.944919865796213
163,e_demand,2030,7,19,19,0.944919865796213
164,e_demand,2030,7,20,20,0.944919865796213
165,e_demand,2030,7,21,21,0.944919865796213
166,e_demand,2030,7,22,22,0.944919865796213
167,e_demand,2030,7,23,23,0.944919865796213
168,e_demand,2030,7,24,24,0.944919865796213
169,e_demand,2030,8,1,1,0.937396664204414
170,e_demand,2030,8,2,2,0.937396664204414
171,e_demand,2030,8,3,3,0.937396664204414
172,e_demand,2030,8,4,4,0.937396664204414
173,e_demand,2030,8,5,5,0.937396664204414
174,e_demand,2030,8,6,6,0.937396664204414
175,e_demand,2030,8,7,7,0.937396664204414
176,e_demand,2030,8,8,8,0.937396664204414
177,e_demand,2030,8,9,9,0.937396664204414
178,e_demand,2030,8,10,10,0.937396664204414
179,e_demand,2030,8,11,11,0.937396664204414
180,e_demand,2030,8,12,12,0.937396664204414
181,e_demand,2030,8,13,13,0.937396664204414
182,e_demand,2030,8,14,14,0.937396664204414
183,e_demand,2030,8,15,15,0.937396664204414
184,e_demand,2030,8,16,16,0.937396664204414
185,e_demand,2030,8,17,17,0.937396664204414
186,e_demand,2030,8,18,18,0.937396664204414
187,e_demand,2030,8,19,19,1.3123553298861796
188,e_demand,2030,8,20,20,0.937396664204414
189,e_demand,2030,8,21,21,0.937396664204414
190,e_demand,2030,8,22,22,0.937396664204414
191,e_demand,2030,8,23,23,0.937396664204414
192,e_demand,2030,8,24,24,0.937396664204414
193,e_demand,2030,9,1,1,1.3443151944244935
194,e_demand,2030,9,2,2,1.3443151944244935
195,e_demand,2030,9,3,3,1.3443151944244935
196,e_demand,2030,9,4,4,1.3443151944244935
197,e_demand,2030,9,5,5,1.3443151944244935
198,e_demand,2030,9,6,6,1.3443151944244935
199,e_demand,2030,9,7,7,1.3443151944244935
200,e_demand,2030,9,8,8,1.3443151944244935
201,e_demand,2030,9,9,9,1.3443151944244935
202,e_demand,2030,9,10,10,1.3443151944244935
203,e_demand,2030,9,11,11,1.3443151944244935
204,e_demand,2030,9,12,12,1.3443151944244935
205,e_demand,2030,9,13,13,1.3443151944244935
206,e_demand,2030,9,14,14,1.3443151944244935
207,e_demand,2030,9,15,15,1.3443151944244935
208,e_demand,2030,9,16,16,1.3443151944244935
209,e_demand,2030,9,17,17,1.3443151944244935
210,e_demand,2030,9,18,18,1.3443151944244935
