id,from_asset,to_asset,year,rep_period,capacity_coefficient,conversion_coefficient,time_block_start,time_block_end,solution
1,ens,e_demand,2030,1,1.0,1.0,1,1,0.0
2,ens,e_demand,2030,1,1.0,1.0,2,2,0.0
3,ens,e_demand,2030,1,1.0,1.0,3,3,0.0
4,ens,e_demand,2030,1,1.0,1.0,4,4,0.0
5,ens,e_demand,2030,1,1.0,1.0,5,5,0.0
6,ens,e_demand,2030,1,1.0,1.0,6,6,0.0
7,ens,e_demand,2030,1,1.0,1.0,7,7,0.0
8,ens,e_demand,2030,1,1.0,1.0,8,8,0.0
9,ens,e_demand,2030,1,1.0,1.0,9,9,0.0
10,ens,e_demand,2030,1,1.0,1.0,10,10,0.0
11,ens,e_demand,2030,1,1.0,1.0,11,11,0.0
12,ens,e_demand,2030,1,1.0,1.0,12,12,0.0
13,ens,e_demand,2030,1,1.0,1.0,13,13,0.0
14,ens,e_demand,2030,1,1.0,1.0,14,14,0.0
15,ens,e_demand,2030,1,1.0,1.0,15,15,0.0
16,ens,e_demand,2030,1,1.0,1.0,16,16,0.0
17,ens,e_demand,2030,1,1.0,1.0,17,17,0.0
18,ens,e_demand,2030,1,1.0,1.0,18,18,0.0
19,ens,e_demand,2030,1,1.0,1.0,19,19,0.0
20,ens,e_demand,2030,1,1.0,1.0,20,20,0.0
21,ens,e_demand,2030,1,1.0,1.0,21,21,0.0
22,ens,e_demand,2030,1,1.0,1.0,22,22,0.0
23,ens,e_demand,2030,1,1.0,1.0,23,23,0.0
24,ens,e_demand,2030,1,1.0,1.0,24,24,0.0
25,wind,e_demand,2030,1,1.0,1.0,1,1,0.7065286370572578
26,wind,e_demand,2030,1,1.0,1.0,2,2,0.6858674064018127
27,wind,e_demand,2030,1,1.0,1.0,3,3,0.6694801471717738
28,wind,e_demand,2030,1,1.0,1.0,4,4,0.6431831627141336
29,wind,e_demand,2030,1,1.0,1.0,5,5,0.6476878841885811
30,wind,e_demand,2030,1,1.0,1.0,6,6,0.6473506139910807
31,wind,e_demand,2030,1,1.0,1.0,7,7,0.6743647660731142
32,wind,e_demand,2030,1,1.0,1.0,8,8,0.7141057885928095
33,wind,e_demand,2030,1,1.0,1.0,9,9,0.7559960075270513
34,wind,e_demand,2030,1,1.0,1.0,10,10,0.7605046749003579
35,wind,e_demand,2030,1,1.0,1.0,11,11,0.7401298158955522
36,wind,e_demand,2030,1,1.0,1.0,12,12,0.7370159135527552
37,wind,e_demand,2030,1,1.0,1.0,13,13,0.7270206772034726
38,wind,e_demand,2030,1,1.0,1.0,14,14,0.7578776709197084
39,wind,e_demand,2030,1,1.0,1.0,15,15,0.7645532861358104
40,wind,e_demand,2030,1,1.0,1.0,16,16,0.7977873909223122
41,wind,e_demand,2030,1,1.0,1.0,17,17,0.8263541841747952
42,wind,e_demand,2030,1,1.0,1.0,18,18,0.8105157220359359
43,wind,e_demand,2030,1,1.0,1.0,19,19,0.793816161071679
44,wind,e_demand,2030,1,1.0,1.0,20,20,0.8155433150430609
45,wind,e_demand,2030,1,1.0,1.0,21,21,0.831594941638073
46,wind,e_demand,2030,1,1.0,1.0,22,22,0.8266160429488011
47,wind,e_demand,2030,1,1.0,1.0,23,23,0.8057978090465023
48,wind,e_demand,2030,1,1.0,1.0,24,24,0.7912372715637105
49,wind_offshore,e_demand,2030,1,1.0,1.0,1,1,0.0
50,wind_offshore,e_demand,2030,1,1.0,1.0,2,2,0.0
51,wind_offshore,e_demand,2030,1,1.0,1.0,3,3,0.0
52,wind_offshore,e_demand,2030,1,1.0,1.0,4,4,0.0
53,wind_offshore,e_demand,2030,1,1.0,1.0,5,5,0.0
54,wind_offshore,e_demand,2030,1,1.0,1.0,6,6,0.0
55,wind_offshore,e_demand,2030,1,1.0,1.0,7,7,0.0
56,wind_offshore,e_demand,2030,1,1.0,1.0,8,8,0.0
57,wind_offshore,e_demand,2030,1,1.0,1.0,9,9,0.0
58,wind_offshore,e_demand,2030,1,1.0,1.0,10,10,0.0
59,wind_offshore,e_demand,2030,1,1.0,1.0,11,11,0.0
60,wind_offshore,e_demand,2030,1,1.0,1.0,12,12,0.0
61,wind_offshore,e_demand,2030,1,1.0,1.0,13,13,0.0
62,wind_offshore,e_demand,2030,1,1.0,1.0,14,14,0.0
63,wind_offshore,e_demand,2030,1,1.0,1.0,15,15,0.0
64,wind_offshore,e_demand,2030,1,1.0,1.0,16,16,0.0
65,wind_offshore,e_demand,2030,1,1.0,1.0,17,17,0.0
66,wind_offshore,e_demand,2030,1,1.0,1.0,18,18,0.0
67,wind_offshore,e_demand,2030,1,1.0,1.0,19,19,0.0
68,wind_offshore,e_demand,2030,1,1.0,1.0,20,20,0.0
69,wind_offshore,e_demand,2030,1,1.0,1.0,21,21,0.0
70,wind_offshore,e_demand,2030,1,1.0,1.0,22,22,0.0
71,wind_offshore,e_demand,2030,1,1.0,1.0,23,23,0.0
72,wind_offshore,e_demand,2030,1,1.0,1.0,24,24,0.0
73,ocgt,e_demand,2030,1,1.0,1.0,1,1,0.0
74,ocgt,e_demand,2030,1,1.0,1.0,2,2,0.0
75,ocgt,e_demand,2030,1,1.0,1.0,3,3,0.0
76,ocgt,e_demand,2030,1,1.0,1.0,4,4,0.0
77,ocgt,e_demand,2030,1,1.0,1.0,5,5,0.0
78,ocgt,e_demand,2030,1,1.0,1.0,6,6,0.0
79,ocgt,e_demand,2030,1,1.0,1.0,7,7,0.0
80,ocgt,e_demand,2030,1,1.0,1.0,8,8,0.0
81,ocgt,e_demand,2030,1,1.0,1.0,9,9,0.0
82,ocgt,e_demand,2030,1,1.0,1.0,10,10,0.0
83,ocgt,e_demand,2030,1,1.0,1.0,11,11,0.0
84,ocgt,e_demand,2030,1,1.0,1.0,12,12,0.0
85,ocgt,e_demand,2030,1,1.0,1.0,13,13,0.0
86,ocgt,e_demand,2030,1,1.0,1.0,14,14,0.0
87,ocgt,e_demand,2030,1,1.0,1.0,15,15,0.0
88,ocgt,e_demand,2030,1,1.0,1.0,16,16,0.0
89,ocgt,e_demand,2030,1,1.0,1.0,17,17,0.0
90,ocgt,e_demand,2030,1,1.0,1.0,18,18,0.0
91,ocgt,e_demand,2030,1,1.0,1.0,19,19,0.0
92,ocgt,e_demand,2030,1,1.0,1.0,20,20,0.0
93,ocgt,e_demand,2030,1,1.0,1.0,21,21,0.0
94,ocgt,e_demand,2030,1,1.0,1.0,22,22,0.0
95,ocgt,e_demand,2030,1,1.0,1.0,23,23,0.0
96,ocgt,e_demand,2030,1,1.0,1.0,24,24,0.0
97,ccgt,e_demand,2030,1,1.0,1.0,1,1,0.0
98,ccgt,e_demand,2030,1,1.0,1.0,2,2,0.0
99,ccgt,e_demand,2030,1,1.0,1.0,3,3,0.0
100,ccgt,e_demand,2030,1,1.0,1.0,4,4,0.0
101,ccgt,e_demand,2030,1,1.0,1.0,5,5,0.0
102,ccgt,e_demand,2030,1,1.0,1.0,6,6,0.0
103,ccgt,e_demand,2030,1,1.0,1.0,7,7,0.0
104,ccgt,e_demand,2030,1,1.0,1.0,8,8,0.0
105,ccgt,e_demand,2030,1,1.0,1.0,9,9,0.004683316948411653
106,ccgt,e_demand,2030,1,1.0,1.0,10,10,0.017962777294772504
107,ccgt,e_demand,2030,1,1.0,1.0,11,11,0.015063652796323088
108,ccgt,e_demand,2030,1,1.0,1.0,12,12,0.0
109,ccgt,e_demand,2030,1,1.0,1.0,13,13,0.0
110,ccgt,e_demand,2030,1,1.0,1.0,14,14,0.0
111,ccgt,e_demand,2030,1,1.0,1.0,15,15,0.0
112,ccgt,e_demand,2030,1,1.0,1.0,16,16,0.0
113,ccgt,e_demand,2030,1,1.0,1.0,17,17,0.0
114,ccgt,e_demand,2030,1,1.0,1.0,18,18,0.05978798870726254
115,ccgt,e_demand,2030,1,1.0,1.0,19,19,0.10026478257750282
116,ccgt,e_demand,2030,1,1.0,1.0,20,20,0.0922769142141604
117,ccgt,e_demand,2030,1,1.0,1.0,21,21,0.0846818771203488
118,ccgt,e_demand,2030,1,1.0,1.0,22,22,0.06567661838536043
119,ccgt,e_demand,2030,1,1.0,1.0,23,23,0.006783704421817971
120,ccgt,e_demand,2030,1,1.0,1.0,24,24,0.0
121,solar,e_demand,2030,1,1.0,1.0,1,1,0.0
122,solar,e_demand,2030,1,1.0,1.0,2,2,0.0
123,solar,e_demand,2030,1,1.0,1.0,3,3,0.0
124,solar,e_demand,2030,1,1.0,1.0,4,4,0.0
125,solar,e_demand,2030,1,1.0,1.0,5,5,0.0
126,solar,e_demand,2030,1,1.0,1.0,6,6,0.0
127,solar,e_demand,2030,1,1.0,1.0,7,7,0.0
128,solar,e_demand,2030,1,1.0,1.0,8,8,0.0
129,solar,e_demand,2030,1,1.0,1.0,9,9,0.007004697779669467
130,solar,e_demand,2030,1,1.0,1.0,10,10,0.036571508285825415
131,solar,e_demand,2030,1,1.0,1.0,11,11,0.08522405783691596
132,solar,e_demand,2030,1,1.0,1.0,12,12,0.1242033775974536
133,solar,e_demand,2030,1,1.0,1.0,13,13,0.13723984259214675
134,solar,e_demand,2030,1,1.0,1.0,14,14,0.12440660108846976
135,solar,e_demand,2030,1,1.0,1.0,15,15,0.08803970650696913
136,solar,e_demand,2030,1,1.0,1.0,16,16,0.04868363090229766
137,solar,e_demand,2030,1,1.0,1.0,17,17,0.01697958471465753
138,solar,e_demand,2030,1,1.0,1.0,18,18,0.0
139,solar,e_demand,2030,1,1.0,1.0,19,19,0.0
140,solar,e_demand,2030,1,1.0,1.0,20,20,0.0
141,solar,e_demand,2030,1,1.0,1.0,21,21,0.0
142,solar,e_demand,2030,1,1.0,1.0,22,22,0.0
143,solar,e_demand,2030,1,1.0,1.0,23,23,0.0
144,solar,e_demand,2030,1,1.0,1.0,24,24,0.0
145,wind_offshore,e_demand,2030,2,1.0,1.0,1,1,0.0
146,wind_offshore,e_demand,2030,2,1.0,1.0,2,2,0.0
147,wind_offshore,e_demand,2030,2,1.0,1.0,3,3,0.0
148,wind_offshore,e_demand,2030,2,1.0,1.0,4,4,0.0
149,wind_offshore,e_demand,2030,2,1.0,1.0,5,5,0.0
150,wind_offshore,e_demand,2030,2,1.0,1.0,6,6,0.0
151,wind_offshore,e_demand,2030,2,1.0,1.0,7,7,0.0
152,wind_offshore,e_demand,2030,2,1.0,1.0,8,8,0.0
