id,from_asset,to_asset,year,rep_period,capacity_coefficient,conversion_coefficient,time_block_start,time_block_end,solution
1,ens,e_demand,2030,1,1.0,1.0,1,1,0.0
2,ens,e_demand,2030,1,1.0,1.0,2,2,0.0
3,ens,e_demand,2030,1,1.0,1.0,3,3,0.0
4,ens,e_demand,2030,1,1.0,1.0,4,4,0.0
5,ens,e_demand,2030,1,1.0,1.0,5,5,0.0
6,ens,e_demand,2030,1,1.0,1.0,6,6,0.0
7,ens,e_demand,2030,1,1.0,1.0,7,7,0.0
8,ens,e_demand,2030,1,1.0,1.0,8,8,0.0
9,ens,e_demand,2030,1,1.0,1.0,9,9,0.0
10,ens,e_demand,2030,1,1.0,1.0,10,10,0.0
11,ens,e_demand,2030,1,1.0,1.0,11,11,0.0
12,ens,e_demand,2030,1,1.0,1.0,12,12,0.0
13,ens,e_demand,2030,1,1.0,1.0,13,13,0.0
14,ens,e_demand,2030,1,1.0,1.0,14,14,0.0
15,ens,e_demand,2030,1,1.0,1.0,15,15,0.0
16,ens,e_demand,2030,1,1.0,1.0,16,16,0.0
17,ens,e_demand,2030,1,1.0,1.0,17,17,0.0
18,ens,e_demand,2030,1,1.0,1.0,18,18,0.0
19,ens,e_demand,2030,1,1.0,1.0,19,19,0.0
20,ens,e_demand,2030,1,1.0,1.0,20,20,0.0
21,ens,e_demand,2030,1,1.0,1.0,21,21,0.0
22,ens,e_demand,2030,1,1.0,1.0,22,22,0.0
23,ens,e_demand,2030,1,1.0,1.0,23,23,0.0
24,ens,e_demand,2030,1,1.0,1.0,24,24,0.0
25,ocgt,e_demand,2030,1,1.0,1.0,1,1,0.0
26,ocgt,e_demand,2030,1,1.0,1.0,2,2,0.0
27,ocgt,e_demand,2030,1,1.0,1.0,3,3,0.0
28,ocgt,e_demand,2030,1,1.0,1.0,4,4,0.0
29,ocgt,e_demand,2030,1,1.0,1.0,5,5,0.0
30,ocgt,e_demand,2030,1,1.0,1.0,6,6,0.0
31,ocgt,e_demand,2030,1,1.0,1.0,7,7,0.0
32,ocgt,e_demand,2030,1,1.0,1.0,8,8,0.0
33,ocgt,e_demand,2030,1,1.0,1.0,9,9,0.0
34,ocgt,e_demand,2030,1,1.0,1.0,10,10,0.0
35,ocgt,e_demand,2030,1,1.0,1.0,11,11,0.0
36,ocgt,e_demand,2030,1,1.0,1.0,12,12,0.0
37,ocgt,e_demand,2030,1,1.0,1.0,13,13,0.0
38,ocgt,e_demand,2030,1,1.0,1.0,14,14,0.0
39,ocgt,e_demand,2030,1,1.0,1.0,15,15,0.0
40,ocgt,e_demand,2030,1,1.0,1.0,16,16,0.0
41,ocgt,e_demand,2030,1,1.0,1.0,17,17,0.0
42,ocgt,e_demand,2030,1,1.0,1.0,18,18,0.0
43,ocgt,e_demand,2030,1,1.0,1.0,19,19,0.0
44,ocgt,e_demand,2030,1,1.0,1.0,20,20,0.0
45,ocgt,e_demand,2030,1,1.0,1.0,21,21,0.0
46,ocgt,e_demand,2030,1,1.0,1.0,22,22,0.0
47,ocgt,e_demand,2030,1,1.0,1.0,23,23,0.0
48,ocgt,e_demand,2030,1,1.0,1.0,24,24,0.0
49,solar,e_demand,2030,1,1.0,1.0,1,1,0.0
50,solar,e_demand,2030,1,1.0,1.0,2,2,0.0
51,solar,e_demand,2030,1,1.0,1.0,3,3,0.0
52,solar,e_demand,2030,1,1.0,1.0,4,4,0.0
53,solar,e_demand,2030,1,1.0,1.0,5,5,0.0
54,solar,e_demand,2030,1,1.0,1.0,6,6,0.0
55,solar,e_demand,2030,1,1.0,1.0,7,7,0.0
56,solar,e_demand,2030,1,1.0,1.0,8,8,0.0
57,solar,e_demand,2030,1,1.0,1.0,9,9,0.007720316433198432
58,solar,e_demand,2030,1,1.0,1.0,10,10,0.040307751353011775
59,solar,e_demand,2030,1,1.0,1.0,11,11,0.09393077544785139
60,solar,e_demand,2030,1,1.0,1.0,12,12,0.13689232673356228
61,solar,e_demand,2030,1,1.0,1.0,13,13,0.15126063184751892
62,solar,e_demand,2030,1,1.0,1.0,14,14,0.13711631207977634
63,solar,e_demand,2030,1,1.0,1.0,15,15,0.09703407831419583
64,solar,e_demand,2030,1,1.0,1.0,16,16,0.05365728079998779
65,solar,e_demand,2030,1,1.0,1.0,17,17,0.01871426448717408
66,solar,e_demand,2030,1,1.0,1.0,18,18,0.0
67,solar,e_demand,2030,1,1.0,1.0,19,19,0.0
68,solar,e_demand,2030,1,1.0,1.0,20,20,0.0
69,solar,e_demand,2030,1,1.0,1.0,21,21,0.0
70,solar,e_demand,2030,1,1.0,1.0,22,22,0.0
71,solar,e_demand,2030,1,1.0,1.0,23,23,0.0
72,solar,e_demand,2030,1,1.0,1.0,24,24,0.0
73,ccgt,e_demand,2030,1,1.0,1.0,1,1,0.0
74,ccgt,e_demand,2030,1,1.0,1.0,2,2,0.0
75,ccgt,e_demand,2030,1,1.0,1.0,3,3,0.0
76,ccgt,e_demand,2030,1,1.0,1.0,4,4,0.0
77,ccgt,e_demand,2030,1,1.0,1.0,5,5,0.0
78,ccgt,e_demand,2030,1,1.0,1.0,6,6,0.0
79,ccgt,e_demand,2030,1,1.0,1.0,7,7,0.0
80,ccgt,e_demand,2030,1,1.0,1.0,8,8,0.0
81,ccgt,e_demand,2030,1,1.0,1.0,9,9,0.00676018638841569
82,ccgt,e_demand,2030,1,1.0,1.0,10,10,0.017035676377267994
83,ccgt,e_demand,2030,1,1.0,1.0,11,11,0.009090816949284708
84,ccgt,e_demand,2030,1,1.0,1.0,12,12,0.0
85,ccgt,e_demand,2030,1,1.0,1.0,13,13,0.0
86,ccgt,e_demand,2030,1,1.0,1.0,14,14,0.0
87,ccgt,e_demand,2030,1,1.0,1.0,15,15,0.0
88,ccgt,e_demand,2030,1,1.0,1.0,16,16,0.0
89,ccgt,e_demand,2030,1,1.0,1.0,17,17,0.001317696427058479
90,ccgt,e_demand,2030,1,1.0,1.0,18,18,0.06278186100403604
91,ccgt,e_demand,2030,1,1.0,1.0,19,19,0.1031969702559773
92,ccgt,e_demand,2030,1,1.0,1.0,20,20,0.09528935736775301
93,ccgt,e_demand,2030,1,1.0,1.0,21,21,0.08775361156080286
94,ccgt,e_demand,2030,1,1.0,1.0,22,22,0.06872996183542524
95,ccgt,e_demand,2030,1,1.0,1.0,23,23,0.009760149753742287
96,ccgt,e_demand,2030,1,1.0,1.0,24,24,0.0
97,wind,e_demand,2030,1,1.0,1.0,1,1,0.7065286370572578
98,wind,e_demand,2030,1,1.0,1.0,2,2,0.6858674064018127
99,wind,e_demand,2030,1,1.0,1.0,3,3,0.6694801471717738
100,wind,e_demand,2030,1,1.0,1.0,4,4,0.6431831627141336
101,wind,e_demand,2030,1,1.0,1.0,5,5,0.6476878841885811
102,wind,e_demand,2030,1,1.0,1.0,6,6,0.6473506139910807
103,wind,e_demand,2030,1,1.0,1.0,7,7,0.6743647660731142
104,wind,e_demand,2030,1,1.0,1.0,8,8,0.7141057885928095
105,wind,e_demand,2030,1,1.0,1.0,9,9,0.7532035194335183
106,wind,e_demand,2030,1,1.0,1.0,10,10,0.757695532750676
107,wind,e_demand,2030,1,1.0,1.0,11,11,0.7373959341316552
108,wind,e_demand,2030,1,1.0,1.0,12,12,0.7243269644166466
109,wind,e_demand,2030,1,1.0,1.0,13,13,0.7129998879481004
110,wind,e_demand,2030,1,1.0,1.0,14,14,0.7451679599284018
111,wind,e_demand,2030,1,1.0,1.0,15,15,0.7555589143285837
112,wind,e_demand,2030,1,1.0,1.0,16,16,0.7928137410246221
113,wind,e_demand,2030,1,1.0,1.0,17,17,0.8233018079752202
114,wind,e_demand,2030,1,1.0,1.0,18,18,0.8075218497391624
115,wind,e_demand,2030,1,1.0,1.0,19,19,0.7908839733932045
116,wind,e_demand,2030,1,1.0,1.0,20,20,0.8125308718894683
117,wind,e_demand,2030,1,1.0,1.0,21,21,0.828523207197619
118,wind,e_demand,2030,1,1.0,1.0,22,22,0.8235626994987363
119,wind,e_demand,2030,1,1.0,1.0,23,23,0.802821363714578
120,wind,e_demand,2030,1,1.0,1.0,24,24,0.7912372715637105
121,wind_offshore,e_demand,2030,1,1.0,1.0,1,1,0.0
122,wind_offshore,e_demand,2030,1,1.0,1.0,2,2,0.0
123,wind_offshore,e_demand,2030,1,1.0,1.0,3,3,0.0
124,wind_offshore,e_demand,2030,1,1.0,1.0,4,4,0.0
125,wind_offshore,e_demand,2030,1,1.0,1.0,5,5,0.0
126,wind_offshore,e_demand,2030,1,1.0,1.0,6,6,0.0
127,wind_offshore,e_demand,2030,1,1.0,1.0,7,7,0.0
128,wind_offshore,e_demand,2030,1,1.0,1.0,8,8,0.0
129,wind_offshore,e_demand,2030,1,1.0,1.0,9,9,0.0
130,wind_offshore,e_demand,2030,1,1.0,1.0,10,10,0.0
131,wind_offshore,e_demand,2030,1,1.0,1.0,11,11,0.0
132,wind_offshore,e_demand,2030,1,1.0,1.0,12,12,0.0
133,wind_offshore,e_demand,2030,1,1.0,1.0,13,13,0.0
134,wind_offshore,e_demand,2030,1,1.0,1.0,14,14,0.0
135,wind_offshore,e_demand,2030,1,1.0,1.0,15,15,0.0
136,wind_offshore,e_demand,2030,1,1.0,1.0,16,16,0.0
137,wind_offshore,e_demand,2030,1,1.0,1.0,17,17,0.0
138,wind_offshore,e_demand,2030,1,1.0,1.0,18,18,0.0
139,wind_offshore,e_demand,2030,1,1.0,1.0,19,19,0.0
140,wind_offshore,e_demand,2030,1,1.0,1.0,20,20,0.0
141,wind_offshore,e_demand,2030,1,1.0,1.0,21,21,0.0
142,wind_offshore,e_demand,2030,1,1.0,1.0,22,22,0.0
143,wind_offshore,e_demand,2030,1,1.0,1.0,23,23,0.0
144,wind_offshore,e_demand,2030,1,1.0,1.0,24,24,0.0
145,ens,e_demand,2030,2,1.0,1.0,1,1,0.0
146,ens,e_demand,2030,2,1.0,1.0,2,2,0.0
147,ens,e_demand,2030,2,1.0,1.0,3,3,0.0
148,ens,e_demand,2030,2,1.0,1.0,4,4,0.0
149,ens,e_demand,2030,2,1.0,1.0,5,5,0.0
150,ens,e_demand,2030,2,1.0,1.0,6,6,0.0
151,ens,e_demand,2030,2,1.0,1.0,7,7,0.0
152,ens,e_demand,2030,2,1.0,1.0,8,8,0.0
153,ens,e_demand,2030,2,1.0,1.0,9,9,0.0
