id,from_asset,to_asset,year,rep_period,capacity_coefficient,conversion_coefficient,time_block_start,time_block_end,solution
1,ens,e_demand,2030,1,1.0,1.0,1,1,0.0
2,ens,e_demand,2030,1,1.0,1.0,2,2,0.0
3,ens,e_demand,2030,1,1.0,1.0,3,3,0.0
4,ens,e_demand,2030,1,1.0,1.0,4,4,0.0
5,ens,e_demand,2030,1,1.0,1.0,5,5,0.0
6,ens,e_demand,2030,1,1.0,1.0,6,6,0.0
7,ens,e_demand,2030,1,1.0,1.0,7,7,0.0
8,ens,e_demand,2030,1,1.0,1.0,8,8,0.0
9,ens,e_demand,2030,1,1.0,1.0,9,9,0.0
10,ens,e_demand,2030,1,1.0,1.0,10,10,0.0
11,ens,e_demand,2030,1,1.0,1.0,11,11,0.0
12,ens,e_demand,2030,1,1.0,1.0,12,12,0.0
13,ens,e_demand,2030,1,1.0,1.0,13,13,0.0
14,ens,e_demand,2030,1,1.0,1.0,14,14,0.0
15,ens,e_demand,2030,1,1.0,1.0,15,15,0.0
16,ens,e_demand,2030,1,1.0,1.0,16,16,0.0
17,ens,e_demand,2030,1,1.0,1.0,17,17,0.0
18,ens,e_demand,2030,1,1.0,1.0,18,18,0.0
19,ens,e_demand,2030,1,1.0,1.0,19,19,0.0
20,ens,e_demand,2030,1,1.0,1.0,20,20,0.0
21,ens,e_demand,2030,1,1.0,1.0,21,21,0.0
22,ens,e_demand,2030,1,1.0,1.0,22,22,0.0
23,ens,e_demand,2030,1,1.0,1.0,23,23,0.0
24,ens,e_demand,2030,1,1.0,1.0,24,24,0.0
25,wind_offshore,e_demand,2030,1,1.0,1.0,1,1,0.24410499006740993
26,wind_offshore,e_demand,2030,1,1.0,1.0,2,2,0.23358448326252906
27,wind_offshore,e_demand,2030,1,1.0,1.0,3,3,0.2066991418369971
28,wind_offshore,e_demand,2030,1,1.0,1.0,4,4,0.18059598094311313
29,wind_offshore,e_demand,2030,1,1.0,1.0,5,5,0.22955182627208814
30,wind_offshore,e_demand,2030,1,1.0,1.0,6,6,0.2464287886969999
31,wind_offshore,e_demand,2030,1,1.0,1.0,7,7,0.17456590631714985
32,wind_offshore,e_demand,2030,1,1.0,1.0,8,8,0.22951690979643008
33,wind_offshore,e_demand,2030,1,1.0,1.0,9,9,0.24929384816780997
34,wind_offshore,e_demand,2030,1,1.0,1.0,10,10,0.250491997085175
35,wind_offshore,e_demand,2030,1,1.0,1.0,11,11,0.24811430827724976
36,wind_offshore,e_demand,2030,1,1.0,1.0,12,12,0.18539822299502756
37,wind_offshore,e_demand,2030,1,1.0,1.0,13,13,0.1478327183238155
38,wind_offshore,e_demand,2030,1,1.0,1.0,14,14,0.09369436354017197
39,wind_offshore,e_demand,2030,1,1.0,1.0,15,15,0.09882913356785472
40,wind_offshore,e_demand,2030,1,1.0,1.0,16,16,0.2491042221454955
41,wind_offshore,e_demand,2030,1,1.0,1.0,17,17,0.2503754027940915
42,wind_offshore,e_demand,2030,1,1.0,1.0,18,18,0.24617207109416195
43,wind_offshore,e_demand,2030,1,1.0,1.0,19,19,0.24534786181923599
44,wind_offshore,e_demand,2030,1,1.0,1.0,20,20,0.24577609401086617
45,wind_offshore,e_demand,2030,1,1.0,1.0,21,21,0.2516352363497984
46,wind_offshore,e_demand,2030,1,1.0,1.0,22,22,0.25219287595221246
47,wind_offshore,e_demand,2030,1,1.0,1.0,23,23,0.25413017240726016
48,wind_offshore,e_demand,2030,1,1.0,1.0,24,24,0.2507808515979816
49,ccgt,e_demand,2030,1,1.0,1.0,1,1,0.030028804098110262
50,ccgt,e_demand,2030,1,1.0,1.0,2,2,0.0
51,ccgt,e_demand,2030,1,1.0,1.0,3,3,0.0
52,ccgt,e_demand,2030,1,1.0,1.0,4,4,0.0
53,ccgt,e_demand,2030,1,1.0,1.0,5,5,0.0
54,ccgt,e_demand,2030,1,1.0,1.0,6,6,0.0
55,ccgt,e_demand,2030,1,1.0,1.0,7,7,0.0
56,ccgt,e_demand,2030,1,1.0,1.0,8,8,0.0
57,ccgt,e_demand,2030,1,1.0,1.0,9,9,0.0
58,ccgt,e_demand,2030,1,1.0,1.0,10,10,0.0
59,ccgt,e_demand,2030,1,1.0,1.0,11,11,0.0
60,ccgt,e_demand,2030,1,1.0,1.0,12,12,0.0
61,ccgt,e_demand,2030,1,1.0,1.0,13,13,0.0
62,ccgt,e_demand,2030,1,1.0,1.0,14,14,0.0
63,ccgt,e_demand,2030,1,1.0,1.0,15,15,0.0
64,ccgt,e_demand,2030,1,1.0,1.0,16,16,0.0
65,ccgt,e_demand,2030,1,1.0,1.0,17,17,0.08245648371023745
66,ccgt,e_demand,2030,1,1.0,1.0,18,18,0.10661951028018907
67,ccgt,e_demand,2030,1,1.0,1.0,19,19,0.24928774285518157
68,ccgt,e_demand,2030,1,1.0,1.0,20,20,0.28699818259793997
69,ccgt,e_demand,2030,1,1.0,1.0,21,21,0.28100927119033026
70,ccgt,e_demand,2030,1,1.0,1.0,22,22,0.2266702120598852
71,ccgt,e_demand,2030,1,1.0,1.0,23,23,0.05429950459260818
72,ccgt,e_demand,2030,1,1.0,1.0,24,24,0.02761228668233312
73,e_demand,battery,2030,1,1.0,1.0,1,1,0.0
74,e_demand,battery,2030,1,1.0,1.0,2,2,0.0
75,e_demand,battery,2030,1,1.0,1.0,3,3,0.0
76,e_demand,battery,2030,1,1.0,1.0,4,4,0.0
77,e_demand,battery,2030,1,1.0,1.0,5,5,0.06377521417135407
78,e_demand,battery,2030,1,1.0,1.0,6,6,0.09379103089513477
79,e_demand,battery,2030,1,1.0,1.0,7,7,0.0
80,e_demand,battery,2030,1,1.0,1.0,8,8,0.0
81,e_demand,battery,2030,1,1.0,1.0,9,9,0.0
82,e_demand,battery,2030,1,1.0,1.0,10,10,0.0
83,e_demand,battery,2030,1,1.0,1.0,11,11,0.01753823428637591
84,e_demand,battery,2030,1,1.0,1.0,12,12,0.0
85,e_demand,battery,2030,1,1.0,1.0,13,13,0.0
86,e_demand,battery,2030,1,1.0,1.0,14,14,0.0
87,e_demand,battery,2030,1,1.0,1.0,15,15,0.0
88,e_demand,battery,2030,1,1.0,1.0,16,16,0.058065947194340495
89,e_demand,battery,2030,1,1.0,1.0,17,17,0.0
90,e_demand,battery,2030,1,1.0,1.0,18,18,0.0
91,e_demand,battery,2030,1,1.0,1.0,19,19,0.0
92,e_demand,battery,2030,1,1.0,1.0,20,20,0.0
93,e_demand,battery,2030,1,1.0,1.0,21,21,0.0
94,e_demand,battery,2030,1,1.0,1.0,22,22,0.0
95,e_demand,battery,2030,1,1.0,1.0,23,23,0.0
96,e_demand,battery,2030,1,1.0,1.0,24,24,0.0
97,solar,e_demand,2030,1,1.0,1.0,1,1,0.0
98,solar,e_demand,2030,1,1.0,1.0,2,2,0.0
99,solar,e_demand,2030,1,1.0,1.0,3,3,0.0
100,solar,e_demand,2030,1,1.0,1.0,4,4,0.0
101,solar,e_demand,2030,1,1.0,1.0,5,5,0.0
102,solar,e_demand,2030,1,1.0,1.0,6,6,0.0
103,solar,e_demand,2030,1,1.0,1.0,7,7,0.0
104,solar,e_demand,2030,1,1.0,1.0,8,8,0.0
105,solar,e_demand,2030,1,1.0,1.0,9,9,0.01782921166229272
106,solar,e_demand,2030,1,1.0,1.0,10,10,0.09132552142944221
107,solar,e_demand,2030,1,1.0,1.0,11,11,0.16189723895480818
108,solar,e_demand,2030,1,1.0,1.0,12,12,0.20474845578783177
109,solar,e_demand,2030,1,1.0,1.0,13,13,0.25105143158340787
110,solar,e_demand,2030,1,1.0,1.0,14,14,0.2707029255163233
111,solar,e_demand,2030,1,1.0,1.0,15,15,0.23806549992531686
112,solar,e_demand,2030,1,1.0,1.0,16,16,0.1532706621392455
113,solar,e_demand,2030,1,1.0,1.0,17,17,0.05580393571965557
114,solar,e_demand,2030,1,1.0,1.0,18,18,0.0
115,solar,e_demand,2030,1,1.0,1.0,19,19,0.0
116,solar,e_demand,2030,1,1.0,1.0,20,20,0.0
117,solar,e_demand,2030,1,1.0,1.0,21,21,0.0
118,solar,e_demand,2030,1,1.0,1.0,22,22,0.0
119,solar,e_demand,2030,1,1.0,1.0,23,23,0.0
120,solar,e_demand,2030,1,1.0,1.0,24,24,0.0
121,hydro_reservoir,spillage,2030,1,0.0,1.0,1,1,0.0
122,hydro_reservoir,spillage,2030,1,0.0,1.0,2,2,0.0
123,hydro_reservoir,spillage,2030,1,0.0,1.0,3,3,0.0
124,hydro_reservoir,spillage,2030,1,0.0,1.0,4,4,0.0
125,hydro_reservoir,spillage,2030,1,0.0,1.0,5,5,0.0
126,hydro_reservoir,spillage,2030,1,0.0,1.0,6,6,0.0
127,hydro_reservoir,spillage,2030,1,0.0,1.0,7,7,0.0
128,hydro_reservoir,spillage,2030,1,0.0,1.0,8,8,0.0
129,hydro_reservoir,spillage,2030,1,0.0,1.0,9,9,0.0
130,hydro_reservoir,spillage,2030,1,0.0,1.0,10,10,0.0
131,hydro_reservoir,spillage,2030,1,0.0,1.0,11,11,0.0
132,hydro_reservoir,spillage,2030,1,0.0,1.0,12,12,0.0
133,hydro_reservoir,spillage,2030,1,0.0,1.0,13,13,0.0
134,hydro_reservoir,spillage,2030,1,0.0,1.0,14,14,0.0
135,hydro_reservoir,spillage,2030,1,0.0,1.0,15,15,0.0
136,hydro_reservoir,spillage,2030,1,0.0,1.0,16,16,0.0
137,hydro_reservoir,spillage,2030,1,0.0,1.0,17,17,0.0
138,hydro_reservoir,spillage,2030,1,0.0,1.0,18,18,0.0
139,hydro_reservoir,spillage,2030,1,0.0,1.0,19,19,0.0
140,hydro_reservoir,spillage,2030,1,0.0,1.0,20,20,0.0
141,hydro_reservoir,spillage,2030,1,0.0,1.0,21,21,0.0
142,hydro_reservoir,spillage,2030,1,0.0,1.0,22,22,0.0
143,hydro_reservoir,spillage,2030,1,0.0,1.0,23,23,0.0
144,hydro_reservoir,spillage,2030,1,0.0,1.0,24,24,0.0
145,battery,e_demand,2030,1,1.0,1.0,1,1,0.0
146,battery,e_demand,2030,1,1.0,1.0,2,2,0.0
147,battery,e_demand,2030,1,1.0,1.0,3,3,0.0
148,battery,e_demand,2030,1,1.0,1.0,4,4,0.0
149,battery,e_demand,2030,1,1.0,1.0,5,5,0.0
150,battery,e_demand,2030,1,1.0,1.0,6,6,0.0
