base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand
0_HourlyBenchmark,1,Gurobi,0.0,6.0517003,14.0901298,50.7303264,2.9936418,566.1973423609469,OPTIMAL,613200,525605,0.0,0.0,,51
convex_cross,20,Gurobi,26.3254863,0.4997168,0.782743,0.02851,0.0244719,582.0439996080763,OPTIMAL,3360,2885,0.3450556,584.9137772407412,OPTIMAL,0
convex_cross,40,Gurobi,44.7278833,0.5181582,0.972479,0.0541861,0.0998719,588.0358560795578,OPTIMAL,6720,5765,0.1865955,580.8831372634248,OPTIMAL,0
convex_cross,60,Gurobi,57.2038813,0.5129976,1.0326328,0.1007803,0.0494802,580.0129219571911,OPTIMAL,10080,8645,0.1896853,583.8710772605253,OPTIMAL,0
convex_cross,80,Gurobi,78.2296331,0.6027751,0.93147,0.1596695,0.053647,581.6355974583643,OPTIMAL,13440,11525,0.1756996,580.4267195494335,OPTIMAL,0
convex_cross,100,Gurobi,79.6455294,0.5295043,0.9284812,0.2323684,0.0636497,582.3398470797792,OPTIMAL,16800,14405,0.1721302,580.3247262236677,OPTIMAL,0
convex_cross,150,Gurobi,106.8163409,0.5435859,1.1727776,0.3843358,0.1227566,580.6497890108058,OPTIMAL,25200,21605,0.2411957,579.0791568166601,OPTIMAL,0
convex_cross,300,Gurobi,205.2834647,0.9975949,2.0566211,1.1661197,0.1925254,579.2152430145424,OPTIMAL,50400,43205,0.3437881,572.0331652747137,OPTIMAL,0
convex_cross,450,Gurobi,295.9237841,1.2177782,2.4098384,3.0215458,0.5225665,577.9360123678664,OPTIMAL,75600,64805,0.1696111,571.879920103906,OPTIMAL,0
convex_per,20,Gurobi,4.9004511,0.4520633,0.8984249,0.0327258,0.0299869,599.4760088129615,OPTIMAL,3360,2885,0.1599338,587.3035190868989,OPTIMAL,0
convex_per,40,Gurobi,4.7525237,0.4550252,0.888304,0.0590735,0.0382032,584.7286035248717,OPTIMAL,6720,5765,0.1644308,587.3068264087854,OPTIMAL,0
convex_per,60,Gurobi,7.7428035,0.492456,0.9991745,0.0938874,0.0466716,587.4235724239478,OPTIMAL,10080,8645,0.1440446,587.224525408707,OPTIMAL,0
