method,rp,num_lol_cross,num_lol_per,lol_cross,lol_per,num_lol_ratio_avg,lol_ratio_avg
convex,20,172.6,783.1,5.436410928436076,47.63485417691938,0.7795939215936661,0.8858732534743395
convex,40,41.7,160.9,1.028292544714301,4.082882336205874,0.7408328154133001,0.7481454374534171
convex,60,41.8,125.5,1.0296291700628484,3.0817181590141347,0.6669322709163347,0.6658911954517495
convex,80,33.7,37.1,0.7486445496784155,0.9484494769057031,0.09164420485175198,0.21066480829231626
convex,100,33.6,31.9,0.7478872699470689,0.8309408929436943,-0.05329153605015683,0.09995130063030039
convex,150,22.6,25.1,0.39178727811646274,0.6819997221737706,0.099601593625498,0.4255316162480239
convex,300,12.9,24.8,0.20669054881774446,0.6750050256470198,0.4798387096774194,0.6937940593558942
convex,450,6.3,15.3,0.07158336372418192,0.3344021276721249,0.5882352941176471,0.7859362791065491
conicalb,20,62.3,1402.2,1.506353419557037,86.06209459992449,0.9555698188560834,0.9824969003303997
conicalb,40,24.9,82.8,0.5409352508116138,1.8018360530090967,0.6992753623188406,0.6997866426813679
conicalb,60,25.0,37.3,0.5426445658865628,0.7585994338942228,0.32975871313672916,0.2846757568735177
conicalb,80,25.1,3.6,0.5460421180089352,0.04221980442193105,-5.972222222222222,-11.93331708863374
conicalb,100,25.0,3.5,0.5471449936225431,0.04231357100553694,-6.142857142857143,-11.930721293907018
conicalb,150,18.0,4.5,0.3247297095732559,0.06588589547219652,-3.0,-3.928668074493881
conicalb,300,13.0,4.6,0.21902424887322533,0.06732694157055116,-1.8260869565217392,-2.2531441910770926
conicalb,450,6.3,4.9,0.07039196718242287,0.06751916729157767,-0.2857142857142856,-0.042547916481836576
