base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand
0_HourlyBenchmark,1,Gurobi,0.0,6.6574378,17.8692257,5.4249176,2.3278758,625.5223106753019,OPTIMAL,122640,105125,0.0,0.0,,10
convex_cross,20,Gurobi,11.025821,0.3655704,0.9237856,0.0299489,0.0226001,624.7495356204846,OPTIMAL,3360,2885,0.1158272,627.9282135630701,OPTIMAL,24
convex_cross,40,Gurobi,10.5915733,0.3246311,0.6583759,0.053407,0.0311351,623.73219486123,OPTIMAL,6720,5765,0.0272794,626.3043122889422,OPTIMAL,7
convex_cross,60,Gurobi,11.6997627,0.413851,0.7510035,0.1586962,0.0452951,624.012387657901,OPTIMAL,10080,8645,0.040096,626.110112347512,OPTIMAL,7
convex_cross,80,Gurobi,15.4124157,0.3075859,0.7478631,0.2080734,0.0588282,622.1350339096699,OPTIMAL,13440,11525,0.0343155,625.9969124904251,OPTIMAL,7
convex_cross,100,Gurobi,22.012163,0.3583326,0.8202477,0.3274963,0.0898632,628.1123343108198,OPTIMAL,16800,14405,0.0408492,628.2237181908694,OPTIMAL,1
convex_cross,150,Gurobi,30.4924056,0.4449613,0.93697,0.5350367,0.100965,627.7641963259181,OPTIMAL,25200,21605,0.034124,626.4013722396114,OPTIMAL,3
convex_cross,300,Gurobi,68.9337057,0.5730135,1.4382155,1.2639592,0.2081213,626.4139882146059,OPTIMAL,50400,43205,0.0329517,626.2145230885146,OPTIMAL,4
convex_cross,450,Gurobi,142.3634215,1.2148555,3.141674,2.4538203,0.5329978,627.3974274821552,OPTIMAL,75600,64805,0.0554006,626.1149231021661,OPTIMAL,4
convex_cross,600,Gurobi,236.6264746,1.5837422,3.528399,3.0371797,0.8548466,625.4298010447192,OPTIMAL,100800,86405,0.0481581,625.5254115538679,OPTIMAL,10
convex_per,20,Gurobi,5.2816869,0.461075,1.1860435,0.0412372,0.0289225,619.759407166584,OPTIMAL,3360,2885,0.0485855,627.1545525115554,OPTIMAL,21
