base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand
0_HourlyBenchmark,1,Gurobi,0.0,4.4836954,11.5385338,13.8614257,2.674382,630.26812511091,OPTIMAL,429240,367925,0.0,0.0,,0
kmeans_cross_dirac,21,Gurobi,1.805872,0.3132911,0.7443462,0.0380673,0.0205782,608.2556311380073,OPTIMAL,3528,3029,0.3713644,29756.88350023419,OPTIMAL,1457
kmeans_cross_dirac,21,Gurobi,0.3668346,0.2966661,0.7233345,0.0372017,0.0215909,608.5065437467056,OPTIMAL,3528,3029,0.2302276,29658.80747758894,OPTIMAL,1458
kmeans_cross_dirac,21,Gurobi,0.3288886,0.4958083,0.9568962,0.0326763,0.0276021,600.165812010623,OPTIMAL,3528,3029,0.2016706,151650.3571279662,OPTIMAL,3972
kmeans_cross_dirac,21,Gurobi,0.3499192,0.3715058,0.801995,0.0376284,0.0263614,608.6907468165178,OPTIMAL,3528,3029,0.2034174,25383.909447554255,OPTIMAL,1282
kmeans_cross_dirac,21,Gurobi,0.2780603,0.2695684,0.6454819,0.0399689,0.0257335,609.271564850269,OPTIMAL,3528,3029,0.1239887,25043.63902846307,OPTIMAL,1273
kmeans_cross_dirac,21,Gurobi,0.3317279,0.290661,0.7238833,0.0339098,0.020241,601.1185225487544,OPTIMAL,3528,3029,0.1788801,92476.99743470858,OPTIMAL,3055
kmeans_cross_dirac,21,Gurobi,0.3709433,0.2932458,0.709967,0.0368564,0.0203715,609.2820062933913,OPTIMAL,3528,3029,0.186618,24525.676502754348,OPTIMAL,1254
kmeans_cross_dirac,21,Gurobi,0.411286,0.5680748,1.118704,0.0350633,0.0294634,599.8395277902068,OPTIMAL,3528,3029,0.1934719,134787.56470291055,OPTIMAL,3717
kmeans_cross_dirac,21,Gurobi,1.9420711,0.3006422,0.7618947,0.0346747,0.0199025,609.5616599917371,OPTIMAL,3528,3029,0.19336,23866.93557693251,OPTIMAL,1226
kmeans_cross_dirac,21,Gurobi,0.3804956,0.2991859,0.8196892,0.0407321,0.0319066,600.1095609302305,OPTIMAL,3528,3029,0.2519586,143865.4858470838,OPTIMAL,3806
kmeans_cross_dirac,42,Gurobi,0.3800197,0.329227,1.0189602,0.0956045,0.0552549,609.3785616460906,OPTIMAL,7056,6053,0.2399093,25727.50022878257,OPTIMAL,1296
kmeans_cross_dirac,42,Gurobi,0.4495637,0.7081548,1.3799418,0.0658958,0.0495881,611.7851749421139,OPTIMAL,7056,6053,0.1168643,14950.530611371114,OPTIMAL,836
kmeans_cross_dirac,42,Gurobi,1.9958001,0.3482579,0.8618834,0.1006037,0.0316947,609.7233219436787,OPTIMAL,7056,6053,0.1511072,23639.411642955267,OPTIMAL,1219
kmeans_cross_dirac,42,Gurobi,0.4575397,0.3526306,0.8352663,0.1004439,0.0330852,609.6705006206981,OPTIMAL,7056,6053,0.124642,23488.29204743318,OPTIMAL,1214
kmeans_cross_dirac,42,Gurobi,0.486524,0.617995,1.2521697,0.064217,0.0455721,611.5325020022542,OPTIMAL,7056,6053,0.1287385,15675.396023151368,OPTIMAL,878
kmeans_cross_dirac,42,Gurobi,0.4031848,0.3465109,0.9647058,0.1034248,0.0484856,610.7105337219645,OPTIMAL,7056,6053,0.1150343,19938.74393096051,OPTIMAL,1059
kmeans_cross_dirac,42,Gurobi,0.6722169,0.5416697,1.020896,0.1046701,0.0381747,610.1180654981271,OPTIMAL,7056,6053,0.1360416,22048.18810796688,OPTIMAL,1157
kmeans_cross_dirac,42,Gurobi,0.4009515,0.3137031,0.8009011,0.0944215,0.0328725,609.8420815351901,OPTIMAL,7056,6053,0.1185639,23201.98117945948,OPTIMAL,1207
kmeans_cross_dirac,42,Gurobi,0.4764277,0.3206609,0.6951231,0.0932287,0.031924,610.9129403619654,OPTIMAL,7056,6053,0.1207197,18510.112855147363,OPTIMAL,993
kmeans_cross_dirac,42,Gurobi,0.4226523,0.4337575,0.9594638,0.1014731,0.0482846,610.7551204155973,OPTIMAL,7056,6053,0.1230547,19613.666855388874,OPTIMAL,1040
kmeans_cross_dirac,63,Gurobi,2.9901855,0.4318848,0.9576316,0.1318056,0.0508088,612.1054510567432,OPTIMAL,10584,9077,0.1513742,15212.882948835091,OPTIMAL,855
kmeans_cross_dirac,63,Gurobi,0.578104,0.3982861,0.9430943,0.141316,0.052765,612.2159855905575,OPTIMAL,10584,9077,0.1320923,14117.448709403083,OPTIMAL,802
kmeans_cross_dirac,63,Gurobi,0.558246,0.8076259,1.3733927,0.1611882,0.0631154,610.2246990014382,OPTIMAL,10584,9077,0.1307486,21850.057153800666,OPTIMAL,1153
kmeans_cross_dirac,63,Gurobi,0.6268804,0.4863778,0.9895863,0.2781957,0.0696004,610.7785164823232,OPTIMAL,10584,9077,0.1533986,19822.72247563222,OPTIMAL,1057
