base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand,num_loss_of_load_h2_demand
0_HourlyBenchmark,1,Gurobi,0.0,0.8935925,3.5637314,0.0156994,0.0347373,111.23221019588243,OPTIMAL,2000,1403,0.0,0.0,,0,0
convex_per_and_cross_5,2,Gurobi,0.1114402,1.0291604,4.109909,0.0042377,0.0267307,39.08184252242504,OPTIMAL,614,215,0.0077853,4906.798986664057,OPTIMAL,168,0
convex_per_and_cross_5,4,Gurobi,0.2518224,0.9166557,4.0035923,0.0044383,0.0312107,111.46155674781741,OPTIMAL,628,227,0.0093367,111.41858130840343,OPTIMAL,0,0
convex_per_and_cross_5,6,Gurobi,0.1126625,1.2292121,4.5947852,0.0042173,0.0306565,111.34964515866818,OPTIMAL,642,239,0.0041736,111.23243656104654,OPTIMAL,0,0
convex_per_and_cross_5,8,Gurobi,0.258976,0.9651499,4.1202505,0.0049246,0.0295248,111.3523763478,OPTIMAL,656,251,0.0021265,111.23222375925462,OPTIMAL,0,0
convex_per_and_cross_5,10,Gurobi,0.1654699,1.0246321,4.1785117,0.0051716,0.0298688,111.36157713881589,OPTIMAL,670,263,0.0036847,111.32355163271413,OPTIMAL,0,0
convex_per_and_cross_5,12,Gurobi,0.146887,1.0888492,4.2695099,0.0054881,0.0319948,111.32630887098642,OPTIMAL,684,275,0.0028328,111.25588395789595,OPTIMAL,0,0
convex_per_and_cross_5,14,Gurobi,0.0897325,1.3127439,4.914735,0.0045933,0.0335383,111.30665650770587,OPTIMAL,698,287,0.0034455,111.23501468448293,OPTIMAL,0,0
convex_per_and_cross_5,16,Gurobi,0.220028,1.0469816,4.3643129,0.0055868,0.032279,111.29050506775036,OPTIMAL,712,299,0.0014423,111.23501468448293,OPTIMAL,0,0
convex_per_and_cross_5,18,Gurobi,0.1536461,1.1280954,4.4839746,0.004839,0.0304166,111.26572128939091,OPTIMAL,726,311,0.0036716,111.25588395789593,OPTIMAL,0,0
convex_per_and_cross_5,20,Gurobi,0.1443998,1.1856654,4.6986766,0.0054211,0.0323925,111.29719210331713,OPTIMAL,740,323,0.0014585,111.25588395789592,OPTIMAL,0,0
convex_per_and_cross_5,24,Gurobi,0.1536317,1.1872943,4.7543023,0.0054111,0.0315116,111.282809328263,OPTIMAL,768,347,0.0019807,111.25926589234612,OPTIMAL,0,0
convex_per_and_cross_5,28,Gurobi,0.131866,1.2737536,5.0067473,0.0052353,0.035355,111.26245273899957,OPTIMAL,796,371,0.0037777,111.23501468448293,OPTIMAL,0,0
convex_per_and_cross_5,34,Gurobi,0.1314905,1.3025462,5.259735,0.0061104,0.0353673,111.24136396005676,OPTIMAL,838,407,0.0020421,111.23221019588246,OPTIMAL,0,0
convex_per_and_cross_5,40,Gurobi,0.1260929,1.3700748,5.5324139,0.0061455,0.0390422,111.2444812661511,OPTIMAL,880,443,0.0018473,111.23221019588246,OPTIMAL,0,0
convex_cross_5,2,Gurobi,0.0453953,1.3443062,5.7271707,0.0045004,0.0369277,73.34186849315162,OPTIMAL,614,215,0.0046653,740.6865107683846,OPTIMAL,49,0
convex_cross_5,4,Gurobi,0.0879874,1.3039768,6.3127782,0.0043114,0.0388975,75.33851553312685,OPTIMAL,628,227,0.0101139,516.7024462224052,OPTIMAL,39,0
